rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,103.8738811742738,88.38516291436159,000919,金陵药业,bottom_area,2026-06-05,6.22,2026-06-04,6.15,1.138211382113811,2.276422764227637,30.35107587768969,False,0.4847,1.0812,3,3,3,100.0,26.44527661799429,31.2267657992565,18.86178861788619,1.138211382113811,历史3/3次成功; 当前距低点1.14%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
2,100.5964884699345,86.89397675143839,300355,蒙草生态,bottom_area,2026-06-05,3.12,2026-06-04,3.06,1.960784313725492,5.228758169934645,30.13698630136986,False,0.9709,1.4701,3,3,3,100.0,25.63039818474601,33.201581027668,18.03921568627451,1.960784313725492,历史3/3次成功; 当前距低点1.96%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
3,100.0060227313449,87.12553863714977,600192,长城电工,bottom_area,2026-06-05,7.17,2026-06-05,7.0,2.428571428571427,4.000000000000004,29.1497975708502,False,0.4202,1.2252,2,2,2,100.0,47.63785310734464,60.87570621468927,17.57142857142857,2.428571428571427,历史2/2次成功; 当前距低点2.43%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
4,99.84749986891761,84.99438308685421,601238,广汽集团,bottom_area,2026-06-05,6.1,2026-05-28,6.03,1.160862354892195,4.145936981757878,30.44982698961937,False,0.4942,0.271,2,2,2,100.0,25.08027070180526,26.42487046632124,18.8391376451078,1.160862354892195,历史2/2次成功; 当前距低点1.16%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
5,99.52044940008209,84.87636282949931,001206,依依股份,bottom_area,2026-06-05,16.02,2026-06-05,15.82,1.264222503160552,2.781289506953232,27.89425706472197,False,0.5019,2.2941,1,1,1,100.0,42.01741654571844,42.01741654571844,18.73577749683945,1.264222503160552,历史1/1次成功; 当前距低点1.26%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
6,97.61955121291805,83.51782303493566,300641,正丹股份,bottom_area,2026-06-05,14.83,2026-06-05,14.62,1.436388508891935,3.898768809849523,29.02912621359224,False,-1.9828,1.3578,2,2,2,100.0,42.02733505830851,50.22522522522521,18.56361149110807,1.436388508891935,历史2/2次成功; 当前距低点1.44%; 最新日涨幅-1.98%; 状态bottom_area; 底部未确认
7,97.09788096304266,82.97618822455475,000912,泸天化,bottom_area,2026-06-05,3.69,2026-06-04,3.64,1.373626373626369,4.120879120879118,32.96500920810313,False,0.545,1.2862,4,5,4,80.0,26.09267145255292,33.20388349514563,18.62637362637363,1.373626373626369,历史4/5次成功; 当前距低点1.37%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
8,96.61217505734503,83.18130783659538,601800,中国交建,bottom_area,2026-06-05,6.28,2026-05-27,6.17,1.782820097244738,5.83468395461913,27.83625730994153,False,0.0,0.4022,1,1,1,100.0,37.44493392070484,37.44493392070484,18.21717990275526,1.782820097244738,历史1/1次成功; 当前距低点1.78%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,95.57882599077855,81.96531838931604,002252,上海莱士,bottom_area,2026-06-05,5.19,2026-06-04,5.11,1.565557729941293,2.935420743639911,29.61432506887052,False,0.9728,0.5057,1,1,1,100.0,29.00505902192244,29.00505902192244,18.43444227005871,1.565557729941293,历史1/1次成功; 当前距低点1.57%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
10,94.21470707978011,84.09719591385428,600135,乐凯胶片,bottom_area,2026-06-05,9.11,2026-06-02,8.78,3.758542141230069,5.353075170842833,31.40625000000001,False,1.5608,2.018,2,2,2,100.0,43.00134547388843,56.98113207547171,16.24145785876993,3.758542141230069,历史2/2次成功; 当前距低点3.76%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
11,94.1762196846955,84.52511768634903,300986,志特新材,bottom_area,2026-06-05,18.97,2026-06-05,18.23,4.059243006034001,6.527701590784428,28.22834645669291,False,0.5299,3.6431,2,2,2,100.0,47.93486487959358,54.76987447698747,15.940756993966,4.059243006034001,历史2/2次成功; 当前距低点4.06%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
12,94.0845745864048,83.01272028470919,688670,金迪克,bottom_area,2026-06-05,15.85,2026-06-04,15.37,3.122966818477556,6.636304489264811,27.5,False,2.3902,1.3039,1,1,1,100.0,48.2725527831094,48.2725527831094,16.87703318152244,3.122966818477556,历史1/1次成功; 当前距低点3.12%; 最新日涨幅2.39%; 状态bottom_area; 底部未确认
13,93.90112864456361,79.97177289600981,603062,麦加芯彩,bottom_area,2026-06-05,42.6,2026-06-05,42.1,1.187648456057007,3.705463182897851,28.03418803418803,False,-0.9072,1.686,1,1,1,100.0,37.45130773511408,37.45130773511408,18.81235154394299,1.187648456057007,历史1/1次成功; 当前距低点1.19%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
14,93.47153932111382,80.27301177808617,688349,三一重能,bottom_area,2026-06-05,18.55,2026-06-05,18.25,1.64383561643836,3.945205479452048,29.4822256568779,False,-0.6959,0.591,2,2,2,100.0,26.39847041013858,28.79058151980021,18.35616438356164,1.64383561643836,历史2/2次成功; 当前距低点1.64%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
15,93.17163857533207,78.87635106828654,601390,中国中铁,bottom_area,2026-06-05,4.69,2026-05-28,4.65,0.8602150537634415,4.086021505376333,28.12982998454403,False,0.6438,0.4109,1,1,1,100.0,46.06060606060606,46.06060606060606,19.13978494623656,0.8602150537634415,历史1/1次成功; 当前距低点0.86%; 最新日涨幅0.64%; 状态bottom_area; 底部未确认
16,92.21331127613749,78.49138400529307,688228,开普云,bottom_area,2026-06-05,86.5,2026-06-05,85.51,1.157759326394568,3.84750321599812,29.62139917695473,False,-1.0976,2.1716,5,7,5,71.42857142857143,41.13528752530694,77.58669034489205,18.84224067360543,1.157759326394568,历史5/7次成功; 当前距低点1.16%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
