code,name,latest_date,latest_close,historical_valid_event_count,previous_event_count,current_stage,current_is_bottom_confirmed,current_top_date,current_top_price,current_top_confirm_date,current_top_confirm_price,current_low_date,current_low_price,current_low_confirm_date,current_low_confirm_price,current_drawdown_pct,current_rebound_high_date,current_rebound_high,current_rebound_pct,latest_close_rebound_pct,current_low_to_high_pct,current_low_to_latest_pct,previous_events
300437,清水源,2026-06-05,12.14,6,6,bottom_area,False,2026-05-11,17.3,2026-05-13,15.89,2026-06-05,11.75,,,32.08092485549133,2026-06-05,12.34,5.02127659574468,3.319148936170217,5.02127659574468,3.319148936170217,2021-01-21 9.49 -> 2021-02-04 6.66 dd=29.82% -> 2021-03-02 8.68 rb=30.33%; 2021-04-14 11.36 -> 2021-05-11 7.72 dd=32.04% -> 2021-05-12 9.39 rb=21.63%; 2021-09-17 27.20 -> 2021-09-30 18.88 dd=30.59% -> 2021-10-08 22.88 rb=21.19%; 2021-11-10 51.23 -> 2021-11-15 35.60 dd=30.51% -> 2021-11-17 44.78 rb=25.79%; 2022-04-19 24.66 -> 2022-04-27 17.02 dd=30.98% -> 2022-05-11 21.14 rb=24.21%; 2024-04-10 11.75 -> 2024-04-16 7.90 dd=32.77% -> 2024-04-19 10.24 rb=29.62%
688228,开普云,2026-06-05,86.5,5,5,bottom_area,False,2026-05-20,121.5,2026-05-21,106.5,2026-06-05,85.51,,,29.62139917695473,2026-06-05,88.8,3.84750321599812,1.157759326394568,3.84750321599812,1.157759326394568,2021-08-30 41.38 -> 2021-11-02 29.66 dd=28.32% -> 2021-12-01 38.50 rb=29.80%; 2024-04-01 51.46 -> 2024-04-16 36.50 dd=29.07% -> 2024-05-06 51.66 rb=41.53%; 2025-04-02 69.68 -> 2025-04-09 46.80 dd=32.84% -> 2025-04-14 61.99 rb=32.46%; 2025-08-29 158.40 -> 2025-09-04 106.99 dd=32.46% -> 2025-09-16 190.00 rb=77.59%; 2025-10-14 260.00 -> 2025-10-15 177.00 dd=31.92% -> 2025-10-16 220.00 rb=24.29%
000912,泸天化,2026-06-05,3.69,4,4,bottom_area,False,2026-04-28,5.43,2026-04-30,4.86,2026-06-04,3.64,,,32.96500920810313,2026-06-04,3.79,4.120879120879118,1.373626373626369,4.120879120879118,1.373626373626369,2021-12-28 7.25 -> 2022-01-28 5.15 dd=28.97% -> 2022-03-08 6.86 rb=33.20%; 2022-04-20 6.64 -> 2022-04-27 4.56 dd=31.33% -> 2022-05-06 5.50 rb=20.61%; 2024-01-26 4.31 -> 2024-02-06 3.04 dd=29.47% -> 2024-02-28 3.95 rb=29.93%; 2026-03-17 6.70 -> 2026-03-23 4.85 dd=27.61% -> 2026-03-30 5.85 rb=20.62%
688318,财富趋势,2026-06-05,82.7,4,4,bottom_area,False,2026-06-04,121.0,2026-06-05,81.22,2026-06-05,81.22,,,32.87603305785124,2026-06-05,85.24,4.949519822703763,1.822211278010347,4.949519822703763,1.822211278010347,2023-06-12 146.91 -> 2023-06-13 101.35 dd=31.01% -> 2023-06-20 123.66 rb=22.01%; 2023-06-20 123.66 -> 2023-07-19 88.00 dd=28.84% -> 2023-07-26 115.61 rb=31.37%; 2024-01-24 121.99 -> 2024-02-05 88.50 dd=27.45% -> 2024-02-21 121.20 rb=36.95%; 2025-03-14 165.58 -> 2025-04-07 117.27 dd=29.18% -> 2025-05-07 152.00 rb=29.62%
603050,科林电气,2026-06-05,19.95,3,3,bottom_area,False,2026-05-29,27.38,2026-06-01,23.25,2026-06-05,19.8,,,27.68444119795471,2026-06-05,21.0,6.060606060606057,0.7575757575757504,6.060606060606057,0.7575757575757504,2022-03-23 14.59 -> 2022-04-27 9.88 dd=32.28% -> 2022-06-07 13.94 rb=41.09%; 2024-01-24 18.23 -> 2024-02-06 12.50 dd=31.43% -> 2024-02-28 17.46 rb=39.68%; 2024-04-03 33.96 -> 2024-04-16 24.54 dd=27.74% -> 2024-05-15 32.75 rb=33.46%
000919,金陵药业,2026-06-05,6.22,3,3,bottom_area,False,2026-04-16,8.83,2026-04-17,7.85,2026-06-04,6.15,,,30.35107587768969,2026-06-04,6.29,2.276422764227637,1.138211382113811,2.276422764227637,1.138211382113811,2022-03-31 8.93 -> 2022-04-27 6.03 dd=32.47% -> 2022-05-16 7.29 rb=20.90%; 2022-12-14 11.15 -> 2022-12-29 7.68 dd=31.12% -> 2023-03-01 9.77 rb=27.21%; 2024-01-26 7.48 -> 2024-02-06 5.38 dd=28.07% -> 2024-02-28 7.06 rb=31.23%
002300,太阳电缆,2026-06-05,8.23,3,3,bottom_area,False,2026-05-13,11.73,2026-05-14,10.48,2026-06-05,8.12,,,30.77578857630009,2026-06-05,8.38,3.201970443349774,1.35467980295568,3.201970443349774,1.35467980295568,2022-04-22 7.42 -> 2022-04-27 5.40 dd=27.22% -> 2022-06-06 7.39 rb=36.85%; 2024-01-25 7.48 -> 2024-02-06 5.05 dd=32.49% -> 2024-02-28 6.99 rb=38.42%; 2025-11-13 8.88 -> 2025-11-24 6.48 dd=27.03% -> 2025-12-08 11.39 rb=75.77%
300355,蒙草生态,2026-06-05,3.12,3,3,bottom_area,False,2026-04-10,4.38,2026-04-13,3.81,2026-06-04,3.06,,,30.13698630136986,2026-06-04,3.22,5.228758169934645,1.960784313725492,5.228758169934645,1.960784313725492,2022-04-06 4.78 -> 2022-04-27 3.42 dd=28.45% -> 2022-05-20 4.18 rb=22.22%; 2024-01-26 3.47 -> 2024-02-06 2.53 dd=27.09% -> 2024-02-28 3.37 rb=33.20%; 2025-03-19 5.47 -> 2025-04-07 3.68 dd=32.72% -> 2025-04-10 4.47 rb=21.47%
688221,前沿生物,2026-06-05,18.8,3,3,bottom_area,False,2026-05-12,25.51,2026-05-13,23.3,2026-06-02,18.36,,,28.02822422579381,2026-06-02,19.41,5.718954248366017,2.39651416122005,5.718954248366017,2.39651416122005,2022-04-15 17.18 -> 2022-04-27 11.90 dd=30.73% -> 2022-04-28 16.05 rb=34.87%; 2022-11-30 24.38 -> 2022-12-07 17.20 dd=29.45% -> 2022-12-16 21.98 rb=27.79%; 2025-04-01 9.96 -> 2025-04-09 7.16 dd=28.11% -> 2025-04-14 9.23 rb=28.91%
605158,华达新材,2026-06-05,6.67,3,3,bottom_area,False,2026-05-14,9.04,2026-05-15,8.16,2026-06-05,6.48,,,28.31858407079645,2026-06-05,6.78,4.629629629629626,2.932098765432091,4.629629629629626,2.932098765432091,2022-04-07 7.48 -> 2022-04-27 5.41 dd=27.67% -> 2022-05-23 6.79 rb=25.51%; 2024-01-30 7.62 -> 2024-02-07 5.18 dd=32.02% -> 2024-02-28 7.08 rb=36.68%; 2025-03-19 9.81 -> 2025-04-09 6.89 dd=29.77% -> 2025-04-21 10.40 rb=50.94%
