rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.34515179337808,83.79097739839031,300490,华自科技,bottom_area,2022-04-14,12.55,2022-04-13,12.34,1.7017828200972516,4.294975688816851,28.380731282646547,False,1.7018,1.7567,2,2,2,100.0,29.306678646301293,32.06349206349206,13.29821717990275,1.7017828200972516,历史2/2次成功; 当前距低点1.70%; 最新日涨幅1.70%; 状态bottom_area; 底部未确认
2,89.50573018733016,80.04818532818531,002482,广田集团,bottom_area,2022-04-14,2.7,2022-04-13,2.66,1.5037593984962419,7.518796992481193,27.717391304347828,False,0.7463,2.8939,1,1,1,100.0,23.423423423423422,23.423423423423422,13.496240601503755,1.5037593984962419,历史1/1次成功; 当前距低点1.50%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
3,87.80995003625488,80.25360418743769,000863,三湘印象,bottom_area,2022-04-14,3.85,2022-04-13,3.75,2.6666666666666687,8.800000000000002,28.57142857142857,False,0.2604,4.3923,2,2,2,100.0,22.116151545363905,25.588235294117638,12.33333333333333,2.6666666666666687,历史2/2次成功; 当前距低点2.67%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
4,87.37990989010606,77.563639335566,300393,中来股份,bottom_area,2022-04-14,12.84,2022-04-14,12.7,1.102362204724414,6.850393700787409,30.903155603917305,False,-3.4586,5.1559,2,2,2,100.0,21.166801948051944,23.89610389610389,13.897637795275585,1.102362204724414,历史2/2次成功; 当前距低点1.10%; 最新日涨幅-3.46%; 状态bottom_area; 底部未确认
5,86.56130616892857,78.1285212159465,000788,北大医药,bottom_area,2022-04-14,9.2,2022-04-14,9.02,1.9955654101995532,3.991130820399127,30.023273855702097,False,0.9879,4.5182,1,1,1,100.0,19.13123844731978,19.13123844731978,13.004434589800445,1.9955654101995532,历史1/1次成功; 当前距低点2.00%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
6,86.41811826535906,75.78773624428914,300435,中泰股份,bottom_area,2022-04-14,15.46,2022-04-13,15.39,0.4548408057180005,3.3788174139051304,29.306384933394575,False,0.3896,1.7039,1,1,1,100.0,27.498781082398814,27.498781082398814,14.545159194281998,0.4548408057180005,历史1/1次成功; 当前距低点0.45%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
7,85.73796331884819,78.99280833289023,605186,健麾信息,bottom_area,2022-04-14,25.29,2022-04-14,24.53,3.098247044435377,3.791275988585404,27.210682492581604,False,0.9178,2.0828,1,1,1,100.0,37.29468599033817,37.29468599033817,11.901752955564621,3.098247044435377,历史1/1次成功; 当前距低点3.10%; 最新日涨幅0.92%; 状态bottom_area; 底部未确认
8,85.53356669321232,76.03452794396614,300471,厚普股份,bottom_area,2022-04-14,18.01,2022-04-14,17.8,1.179775280898881,3.3146067415730327,28.77150860344137,False,-0.6619,2.0824,1,1,1,100.0,20.346320346320343,20.346320346320343,13.820224719101118,1.179775280898881,历史1/1次成功; 当前距低点1.18%; 最新日涨幅-0.66%; 状态bottom_area; 底部未确认
9,84.94572643900918,74.53471714780395,002474,榕基软件,bottom_area,2022-04-14,6.25,2022-04-12,6.22,0.48231511254019693,3.2154340836012896,31.11849390919158,False,0.321,1.4981,1,1,1,100.0,21.0989010989011,21.0989010989011,14.517684887459803,0.48231511254019693,历史1/1次成功; 当前距低点0.48%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
10,84.36251119766794,75.0268303663991,688148,芳源股份,bottom_area,2022-04-14,19.34,2022-04-14,19.11,1.2035583464154915,5.180533751962334,31.35775862068966,False,-1.3265,2.4996,1,1,1,100.0,15.220125786163516,15.220125786163516,13.796441653584507,1.2035583464154915,历史1/1次成功; 当前距低点1.20%; 最新日涨幅-1.33%; 状态bottom_area; 底部未确认
11,83.83829986944134,73.28774647887322,000889,中嘉博创,bottom_area,2022-04-14,3.56,2022-04-14,3.55,0.28169014084507693,4.225352112676067,28.85771543086173,False,-1.385,2.9275,1,1,1,100.0,34.408602150537625,34.408602150537625,14.718309859154925,0.28169014084507693,历史1/1次成功; 当前距低点0.28%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
12,83.32479948053721,76.61051129051131,002825,纳尔股份,bottom_area,2022-04-14,15.86,2022-04-14,15.4,2.987012987012981,3.0519480519480444,27.117841930903925,False,1.6667,2.8064,1,1,1,100.0,23.123123123123136,23.123123123123136,12.012987012987018,2.987012987012981,历史1/1次成功; 当前距低点2.99%; 最新日涨幅1.67%; 状态bottom_area; 底部未确认
13,82.93232709950598,72.11506704304868,300746,汉嘉数智,bottom_area,2022-04-14,13.13,2022-04-14,13.13,0.0,2.665651180502663,32.31958762886597,False,-0.6808,2.4519,1,1,1,100.0,36.90896259703598,36.90896259703598,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
