rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.01884784210392,75.20935694303225,002536,飞龙股份,bottom_area,2022-08-30,7.69,2022-08-29,7.62,0.9186351706036784,4.724409448818902,27.081339712918655,False,-2.0382,4.1905,2,2,2,100.0,35.88088780649803,55.505617977528075,14.08136482939632,0.9186351706036784,历史2/2次成功; 当前距低点0.92%; 最新日涨幅-2.04%; 状态bottom_area; 底部未确认
2,83.93128574979397,73.50637374433249,688083,中望软件,bottom_area,2022-08-30,176.17,2022-08-30,175.5,0.3817663817663746,4.438746438746434,32.231532609954826,False,-2.8403,1.0974,2,2,2,100.0,20.144091907310933,21.52777777777778,14.618233618233626,0.3817663817663746,历史2/2次成功; 当前距低点0.38%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
3,83.6564450500681,74.22676349362118,300503,昊志机电,bottom_area,2022-08-30,10.3,2022-08-30,10.19,1.0794896957801885,7.850834151128565,29.18693537178597,False,-5.4178,7.7444,1,1,1,100.0,19.61290322580645,19.61290322580645,13.92051030421981,1.0794896957801885,历史1/1次成功; 当前距低点1.08%; 最新日涨幅-5.42%; 状态bottom_area; 底部未确认
4,83.49314099879611,74.64067645120163,002119,康强电子,bottom_area,2022-08-30,13.01,2022-08-29,12.82,1.4820592823712908,3.9001560062402496,29.48294829482948,False,-0.9893,4.5473,1,1,1,100.0,16.557911908646,16.557911908646,13.51794071762871,1.4820592823712908,历史1/1次成功; 当前距低点1.48%; 最新日涨幅-0.99%; 状态bottom_area; 底部未确认
5,82.34466876561133,76.24963200493451,688155,先惠技术,bottom_area,2022-08-30,85.0,2022-08-30,82.23,3.3686002675422544,5.02249787182293,30.689480782198242,False,-0.5848,5.8505,2,2,2,100.0,31.66688502650995,38.11460912628228,11.631399732457744,3.3686002675422544,历史2/2次成功; 当前距低点3.37%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
6,80.09438351885387,72.93443598611029,603055,台华新材,bottom_area,2022-08-30,11.2,2022-08-29,10.93,2.470265324794141,5.123513266239712,28.70189171559035,False,-0.885,0.4515,1,1,1,100.0,19.498069498069512,19.498069498069512,12.529734675205859,2.470265324794141,历史1/1次成功; 当前距低点2.47%; 最新日涨幅-0.89%; 状态bottom_area; 底部未确认
7,79.48565780585508,70.24853038823431,002632,道明光学,bottom_area,2022-08-30,6.97,2022-08-30,6.91,0.8683068017366079,4.486251808972498,30.552763819095468,False,-2.244,5.1001,1,1,1,100.0,25.259515570934255,25.259515570934255,14.131693198263392,0.8683068017366079,历史1/1次成功; 当前距低点0.87%; 最新日涨幅-2.24%; 状态bottom_area; 底部未确认
8,78.78498946806442,69.78783261608834,688058,宝兰德,bottom_area,2022-08-30,41.82,2022-08-30,41.41,0.9900990099009991,3.6223134508572814,29.813559322033907,False,-0.4286,2.228,1,1,1,100.0,24.27558257345491,24.27558257345491,14.009900990099,0.9900990099009991,历史1/1次成功; 当前距低点0.99%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
9,78.60475984534267,69.5934682080925,002110,三钢闽光,bottom_area,2022-08-30,5.24,2022-08-29,5.19,0.9633911368015379,2.11946050096338,30.14804845222072,False,-0.5693,0.2694,1,1,1,100.0,22.90322580645161,22.90322580645161,14.03660886319846,0.9633911368015379,历史1/1次成功; 当前距低点0.96%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
10,78.5148413492586,69.03953995294768,002346,柘中股份,bottom_area,2022-08-30,15.17,2022-08-30,15.08,0.5968169761273201,4.708222811671082,27.149758454106276,False,-2.9431,2.3455,1,1,1,100.0,15.431627196333075,15.431627196333075,14.403183023872678,0.5968169761273201,历史1/1次成功; 当前距低点0.60%; 最新日涨幅-2.94%; 状态bottom_area; 底部未确认
11,78.25213254578658,68.98501929769061,603289,泰瑞机器,bottom_area,2022-08-30,10.98,2022-08-30,10.9,0.733944954128441,6.055045871559634,29.903536977491964,False,-3.0891,2.5206,1,1,1,100.0,27.034482758620705,27.034482758620705,14.266055045871559,0.733944954128441,历史1/1次成功; 当前距低点0.73%; 最新日涨幅-3.09%; 状态bottom_area; 底部未确认
