rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.09001742594499,82.41496750764159,000668,荣丰控股,bottom_area,2025-12-18,9.04,2025-12-17,8.9,1.5730337078651548,7.303370786516858,28.685897435897434,True,-4.2373,2.2482,2,2,2,100.0,43.82518473964597,67.04545454545452,18.426966292134846,1.5730337078651548,历史2/2次成功; 当前距低点1.57%; 最新日涨幅-4.24%; 状态bottom_area; 底部已确认
2,90.38288814547091,78.62320030600536,000692,惠天热电,bottom_area,2025-12-18,3.49,2025-12-17,3.41,2.346041055718477,3.8123167155425186,28.511530398322844,False,0.2874,2.9971,1,1,1,100.0,26.08695652173914,26.08695652173914,17.653958944281523,2.346041055718477,历史1/1次成功; 当前距低点2.35%; 最新日涨幅0.29%; 状态bottom_area; 底部未确认
3,89.9760941176471,79.12470588235297,600708,光明地产,bottom_area,2025-12-18,3.15,2025-12-17,3.06,2.9411764705882306,3.921568627450984,27.65957446808511,False,0.9615,0.6387,1,1,1,100.0,36.07843137254903,36.07843137254903,17.05882352941177,2.9411764705882306,历史1/1次成功; 当前距低点2.94%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
4,89.50167112885173,78.10998241009413,003038,鑫铂股份,bottom_area,2025-12-18,15.03,2025-12-17,14.66,2.5238744884038145,3.7517053206002777,32.098193608151924,False,0.6024,1.6422,1,1,1,100.0,25.507614213197975,25.507614213197975,17.476125511596187,2.5238744884038145,历史1/1次成功; 当前距低点2.52%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
5,89.1362577677529,78.52847665847668,003016,欣贺股份,bottom_area,2025-12-18,9.15,2025-12-17,8.88,3.0405405405405355,5.1801801801801695,30.5707584050039,False,0.5495,4.2994,1,1,1,100.0,34.09090909090909,34.09090909090909,16.959459459459467,3.0405405405405355,历史1/1次成功; 当前距低点3.04%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
6,88.74346994691786,76.33691515568478,603038,华立股份,bottom_area,2025-12-18,15.85,2025-12-17,15.58,1.7329910141206648,5.0064184852374805,29.661399548532724,False,-0.627,1.6703,1,1,1,100.0,28.753412192902637,28.753412192902637,18.267008985879336,1.7329910141206648,历史1/1次成功; 当前距低点1.73%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
7,86.8934168087661,77.54897795075132,301024,霍普股份,bottom_area,2025-12-18,34.59,2025-12-17,33.34,3.7492501499700057,5.068986202759441,27.913513513513504,False,0.8455,1.327,1,1,1,100.0,37.51219512195122,37.51219512195122,16.250749850029994,3.7492501499700057,历史1/1次成功; 当前距低点3.75%; 最新日涨幅0.85%; 状态bottom_area; 底部未确认
8,86.40358916771469,74.65397648008648,603072,天和磁材,bottom_area,2025-12-18,40.27,2025-12-17,39.49,1.9751835907824793,3.7731071157254865,27.05947543405984,False,-0.0992,2.2492,1,1,1,100.0,22.674167027260935,22.674167027260935,18.02481640921752,1.9751835907824793,历史1/1次成功; 当前距低点1.98%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
9,84.7280883339804,73.68354786260133,002176,江特电机,bottom_area,2025-12-18,9.22,2025-12-16,9.01,2.3307436182020074,4.994450610432864,29.99222999222999,False,-2.2269,2.9905,1,1,1,100.0,21.81528662420382,21.81528662420382,17.669256381797993,2.3307436182020074,历史1/1次成功; 当前距低点2.33%; 最新日涨幅-2.23%; 状态bottom_area; 底部未确认
10,84.56776223432387,75.75971260297459,603030,全筑股份,bottom_area,2025-12-18,2.89,2025-12-17,2.78,3.956834532374112,10.071942446043176,30.845771144278604,True,1.049,3.9904,1,1,1,100.0,21.243523316062173,21.243523316062173,16.04316546762589,3.956834532374112,历史1/1次成功; 当前距低点3.96%; 最新日涨幅1.05%; 状态bottom_area; 底部已确认
11,84.26242323885454,76.06261007212021,600403,大有能源,bottom_area,2025-12-18,6.92,2025-12-17,6.63,4.374057315233786,7.993966817496233,27.934782608695645,True,0.5814,2.3134,1,1,1,100.0,27.98634812286689,27.98634812286689,15.625942684766214,4.374057315233786,历史1/1次成功; 当前距低点4.37%; 最新日涨幅0.58%; 状态bottom_area; 底部已确认
12,84.22214514029662,71.43235250186709,002235,安妮股份,bottom_area,2025-12-18,10.5,2025-12-18,10.4,0.9615384615384581,5.288461538461528,27.475592747559276,False,-1.9608,22.3464,1,1,1,100.0,32.766990291262125,32.766990291262125,19.038461538461544,0.9615384615384581,历史1/1次成功; 当前距低点0.96%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
13,83.93209335987342,74.72755627009646,000819,岳阳兴长,bottom_area,2025-12-18,15.75,2025-12-17,15.2,3.618421052631584,5.0657894736842195,27.028324531925108,False,0.5747,1.5591,1,1,1,100.0,20.739549839228296,20.739549839228296,16.381578947368418,3.618421052631584,历史1/1次成功; 当前距低点3.62%; 最新日涨幅0.57%; 状态bottom_area; 底部未确认
14,83.11255108384123,69.41934662998626,603322,超讯通信,bottom_area,2025-12-18,40.05,2025-12-18,40.0,0.1249999999999929,3.000000000000007,27.68034713433376,False,-4.8241,9.7395,1,1,1,100.0,21.905089408528212,21.905089408528212,19.87500000000001,0.1249999999999929,历史1/1次成功; 当前距低点0.12%; 最新日涨幅-4.82%; 状态bottom_area; 底部未确认
15,82.96048997336412,74.48289398741854,603178,圣龙股份,bottom_area,2025-12-18,18.38,2025-12-05,17.66,4.077010192525475,5.832389580973959,28.182187881252542,False,-0.863,1.2863,1,1,1,100.0,47.51869476546566,47.51869476546566,15.922989807474524,4.077010192525475,历史1/1次成功; 当前距低点4.08%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
16,80.4129931663872,72.79708681701092,300878,维康药业,bottom_area,2025-12-18,21.22,2025-12-17,20.3,4.5320197044334884,5.172413793103452,28.771929824561397,False,1.677,1.5847,1,1,1,100.0,21.55963302752294,21.55963302752294,15.467980295566514,4.5320197044334884,历史1/1次成功; 当前距低点4.53%; 最新日涨幅1.68%; 状态bottom_area; 底部未确认
17,79.83552706020478,72.64118164246638,605033,美邦股份,bottom_area,2025-12-18,18.74,2025-12-18,17.88,4.809843400447424,7.326621923937374,28.135048231511256,False,-1.056,4.4531,2,2,2,100.0,29.933465567131744,31.96664350243223,15.190156599552576,4.809843400447424,历史2/2次成功; 当前距低点4.81%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
18,79.50295484183562,71.16641574923997,300035,中科电气,bottom_area,2025-12-18,20.71,2025-12-16,19.93,3.913697942799805,6.6231811339688935,30.798611111111114,False,-1.1456,3.8484,1,1,1,100.0,27.686274509803933,27.686274509803933,16.086302057200196,3.913697942799805,历史1/1次成功; 当前距低点3.91%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
19,73.84960828539919,64.69305308020145,605228,神通科技,bottom_area,2025-12-18,14.3,2025-12-16,13.92,2.72988505747127,5.96264367816092,28.247422680412367,False,0.4919,1.5363,1,2,1,50.0,47.56554307116105,47.56554307116105,17.270114942528732,2.72988505747127,历史1/2次成功; 当前距低点2.73%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
20,66.81616358454558,59.28662636841913,300056,中创环保,bottom_area,2025-12-18,8.74,2025-12-17,8.45,3.4319526627219052,6.9822485207100575,29.34782608695653,False,0.8074,6.953,1,2,1,50.0,27.10472279260781,27.10472279260781,16.568047337278095,3.4319526627219052,历史1/2次成功; 当前距低点3.43%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
21,65.55132033363509,56.96939260193356,002184,海得控制,bottom_area,2025-12-18,12.48,2025-12-17,12.2,2.2950819672131244,3.688524590163943,29.357266936884773,False,-0.6369,2.2058,1,2,1,50.0,23.183760683760685,23.183760683760685,17.704918032786875,2.2950819672131244,历史1/2次成功; 当前距低点2.30%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
22,62.07260072115548,51.995436404802554,603327,福蓉科技,bottom_area,2025-12-18,10.66,2025-12-18,10.63,0.2822201317027221,2.1636876763875694,28.8487282463186,False,-3.0909,4.2107,1,2,1,50.0,21.82203389830509,21.82203389830509,19.717779868297278,0.2822201317027221,历史1/2次成功; 当前距低点0.28%; 最新日涨幅-3.09%; 状态bottom_area; 底部未确认
23,60.33538991961274,53.59028452395054,603767,中马传动,bottom_area,2025-12-18,22.85,2025-11-21,22.08,3.487318840579724,9.601449275362324,27.725040916530286,True,-0.9536,1.9252,1,3,1,33.33333333333333,29.881925522252505,29.881925522252505,16.51268115942028,3.487318840579724,历史1/3次成功; 当前距低点3.49%; 最新日涨幅-0.95%; 状态bottom_area; 底部已确认
