rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.638019140318,80.49961967497148,601969,海南矿业,bottom_area,2026-06-08,8.97,12.75,2026-06-08,8.82,1.7006802721088474,4.875283446712015,30.823529411764707,29.647058823529406,False,-2.8169,0.9826,2,2,2,100.0,34.07081019021319,36.79833679833681,18.299319727891152,1.7006802721088474,历史2/2次成功; 当前距低点1.70%; 最新日涨幅-2.82%; 状态bottom_area; 底部未确认
2,93.52700742360976,79.6449645390071,600602,云赛智联,bottom_area,2026-06-08,17.12,24.24,2026-06-08,16.92,1.1820330969267097,5.14184397163119,30.198019801980188,29.37293729372936,False,-4.7301,2.63,1,1,1,100.0,104.50751252086809,104.50751252086809,18.81796690307329,1.1820330969267097,历史1/1次成功; 当前距低点1.18%; 最新日涨幅-4.73%; 状态bottom_area; 底部未确认
3,93.49682196330271,80.35298871063578,600708,光明地产,bottom_area,2026-06-08,3.02,4.16,2026-06-08,2.97,1.6835016835016776,4.377104377104373,28.60576923076923,27.403846153846157,False,-1.9481,1.472,2,2,2,100.0,33.071895424836605,36.07843137254903,18.316498316498322,1.6835016835016776,历史2/2次成功; 当前距低点1.68%; 最新日涨幅-1.95%; 状态bottom_area; 底部未确认
4,92.6152484876839,79.07864244474128,601019,山东出版,bottom_area,2026-06-08,6.87,9.43,2026-06-08,6.78,1.327433628318582,3.097345132743362,28.101802757158,27.147401908801694,False,-1.5759,0.3682,2,2,2,100.0,21.855866222084103,22.896281800391385,18.67256637168142,1.327433628318582,历史2/2次成功; 当前距低点1.33%; 最新日涨幅-1.58%; 状态bottom_area; 底部未确认
5,91.1043754253154,78.61195137878586,688788,科思科技,bottom_area,2026-06-08,42.3,56.89,2026-06-08,41.51,1.90315586605637,5.203565405926292,27.03462822991739,25.64598347688522,False,-2.9594,1.5096,2,2,2,100.0,26.404014803195658,29.146880628786647,18.09684413394363,1.90315586605637,历史2/2次成功; 当前距低点1.90%; 最新日涨幅-2.96%; 状态bottom_area; 底部未确认
6,91.07500729124189,77.46256197943526,603062,麦加芯彩,bottom_area,2026-06-08,40.79,58.5,2026-06-08,40.34,1.1155180961824385,4.784333168071392,31.042735042735035,30.273504273504276,False,-4.2488,2.0731,1,1,1,100.0,37.45130773511408,37.45130773511408,18.884481903817562,1.1155180961824385,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-4.25%; 状态bottom_area; 底部未确认
7,90.65468575808157,78.11645806451615,600615,鑫源智造,bottom_area,2026-06-08,9.47,12.98,2026-06-08,9.3,1.8279569892473109,7.204301075268815,28.351309707241906,27.041602465331277,False,-5.3,1.6851,1,1,1,100.0,49.7,49.7,18.172043010752688,1.8279569892473109,历史1/1次成功; 当前距低点1.83%; 最新日涨幅-5.30%; 状态bottom_area; 底部未确认
8,90.24720097361272,76.74981900981727,605158,华达新材,bottom_area,2026-06-08,6.38,9.04,2026-06-08,6.31,1.1093502377179125,5.863708399366088,30.199115044247787,29.424778761061944,False,-4.3478,0.9372,3,4,3,75.0,37.710416945237164,50.9433962264151,18.890649762282088,1.1093502377179125,历史3/4次成功; 当前距低点1.11%; 最新日涨幅-4.35%; 状态bottom_area; 底部未确认
9,88.39735007496255,74.84739130434784,603086,先达股份,bottom_area,2026-06-08,5.8,7.9,2026-06-08,5.75,0.8695652173913012,4.695652173913036,27.21518987341772,26.58227848101266,False,-2.3569,1.4495,1,1,1,100.0,56.97115384615385,56.97115384615385,19.1304347826087,0.8695652173913012,历史1/1次成功; 当前距低点0.87%; 最新日涨幅-2.36%; 状态bottom_area; 底部未确认
10,88.20320436445208,76.40287261234894,688317,之江生物,bottom_area,2026-06-08,17.87,24.5,2026-06-08,17.5,2.11428571428572,3.714285714285706,28.57142857142857,27.061224489795915,False,-1.7052,1.8768,3,4,3,75.0,37.948623875916084,40.461049284578706,17.885714285714283,2.11428571428572,历史3/4次成功; 当前距低点2.11%; 最新日涨幅-1.71%; 状态bottom_area; 底部未确认
11,88.13761191101086,74.13560831663749,601238,广汽集团,bottom_area,2026-06-08,5.93,8.67,2026-06-08,5.9,0.5084745762711755,3.5593220338983045,31.949250288350626,31.603229527104965,False,-2.7869,0.3995,2,2,2,100.0,25.08027070180526,26.42487046632124,19.491525423728824,0.5084745762711755,历史2/2次成功; 当前距低点0.51%; 最新日涨幅-2.79%; 状态bottom_area; 底部未确认
12,88.0691764667889,74.67363177805798,605005,合兴股份,bottom_area,2026-06-08,16.01,21.78,2026-06-08,15.86,0.9457755359394838,2.900378310214381,27.18089990817264,26.492194674012854,False,-1.4769,0.6761,1,1,1,100.0,96.96521095484826,96.96521095484826,19.054224464060518,0.9457755359394838,历史1/1次成功; 当前距低点0.95%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
13,87.7470591564474,75.05270961673716,688679,通源环境,bottom_area,2026-06-08,52.04,72.5,2026-06-08,51.31,1.4227246150847725,7.016176183979719,29.22758620689655,28.220689655172414,False,-6.2849,2.1487,1,1,1,100.0,28.26086956521739,28.26086956521739,18.57727538491523,1.4227246150847725,历史1/1次成功; 当前距低点1.42%; 最新日涨幅-6.28%; 状态bottom_area; 底部未确认
14,87.57844625435327,73.74697653862287,601872,招商轮船,bottom_area,2026-06-08,14.14,19.5,2026-06-08,14.06,0.5689900426742537,5.689900426742525,27.897435897435898,27.487179487179485,False,-4.4595,1.3297,2,2,2,100.0,33.94770879526976,43.57723577235772,19.43100995732575,0.5689900426742537,历史2/2次成功; 当前距低点0.57%; 最新日涨幅-4.46%; 状态bottom_area; 底部未确认
15,87.52597682829777,75.74245723013607,688512,慧智微,bottom_area,2026-06-08,12.38,17.89,2026-06-08,12.13,2.061005770816158,7.08985985160758,32.196757965343764,30.799329234209054,False,-6.2121,5.8031,1,1,1,100.0,39.79328165374677,39.79328165374677,17.938994229183844,2.061005770816158,历史1/1次成功; 当前距低点2.06%; 最新日涨幅-6.21%; 状态bottom_area; 底部未确认
16,87.49439414881941,76.32254356850238,688670,金迪克,bottom_area,2026-06-08,15.18,21.2,2026-06-08,14.81,2.4983119513841947,7.224848075624579,30.14150943396226,28.39622641509434,False,-4.2271,1.2569,1,1,1,100.0,48.272552783109404,48.272552783109404,17.501688048615808,2.4983119513841947,历史1/1次成功; 当前距低点2.50%; 最新日涨幅-4.23%; 状态bottom_area; 底部未确认
17,87.2546635930082,73.37160499989149,601800,中国交建,bottom_area,2026-06-08,6.12,8.55,2026-06-08,6.09,0.4926108374384277,2.627257799671595,28.77192982456141,28.421052631578952,False,-2.5478,0.3867,1,1,1,100.0,37.44493392070484,37.44493392070484,19.507389162561573,0.4926108374384277,历史1/1次成功; 当前距低点0.49%; 最新日涨幅-2.55%; 状态bottom_area; 底部未确认
18,87.11679268928017,73.18842316975058,601390,中国中铁,bottom_area,2026-06-08,4.54,6.47,2026-06-08,4.52,0.4424778761062049,3.0973451327433756,30.13910355486863,29.829984544049452,False,-3.1983,0.7343,1,1,1,100.0,46.06060606060606,46.06060606060606,19.557522123893797,0.4424778761062049,历史1/1次成功; 当前距低点0.44%; 最新日涨幅-3.20%; 状态bottom_area; 底部未确认
19,86.67626603637164,73.47920599310642,000032,深桑达A,bottom_area,2026-06-08,15.1,21.35,2026-06-08,14.96,0.9358288770053396,5.147058823529409,29.929742388758783,29.274004683840754,False,-5.0314,1.7655,2,2,2,100.0,37.0048163047236,51.40324963072379,19.06417112299466,0.9358288770053396,历史2/2次成功; 当前距低点0.94%; 最新日涨幅-5.03%; 状态bottom_area; 底部未确认
20,86.13139480559778,73.94616348491579,000020,深华发A,bottom_area,2026-06-08,11.87,16.22,2026-06-08,11.68,1.626712328767119,5.821917808219176,27.990135635018493,26.818742293464858,False,-4.7352,2.042,3,4,3,75.0,28.9788580349721,42.08242950108458,18.373287671232884,1.626712328767119,历史3/4次成功; 当前距低点1.63%; 最新日涨幅-4.74%; 状态bottom_area; 底部未确认
21,85.15910366539899,73.51178231205967,603912,佳力图,bottom_area,2026-06-08,8.47,11.6,2026-06-08,8.31,1.9253910950661868,6.137184115523462,28.362068965517235,26.982758620689644,False,-5.5741,3.3958,1,1,1,100.0,26.13803230543319,26.13803230543319,18.074608904933815,1.9253910950661868,历史1/1次成功; 当前距低点1.93%; 最新日涨幅-5.57%; 状态bottom_area; 底部未确认
22,85.0644395024586,72.00496462065938,600619,海立股份,bottom_area,2026-06-08,14.17,19.79,2026-06-08,14.05,0.8540925266903858,5.12455516014234,29.004547751389588,28.39818089944416,False,-5.2807,2.3388,1,1,1,100.0,44.74352463179278,44.74352463179278,19.145907473309613,0.8540925266903858,历史1/1次成功; 当前距低点0.85%; 最新日涨幅-5.28%; 状态bottom_area; 底部未确认
23,84.41366388845042,71.54115116947335,688349,三一重能,bottom_area,2026-06-08,17.54,25.88,2026-06-08,17.38,0.9205983889528202,5.753739930955121,32.84389489953632,32.22565687789799,False,-5.4447,0.7805,2,2,2,100.0,26.398470410138575,28.790581519800213,19.07940161104718,0.9205983889528202,历史2/2次成功; 当前距低点0.92%; 最新日涨幅-5.44%; 状态bottom_area; 底部未确认
24,83.80508833571592,72.38977729995395,688429,时创能源,bottom_area,2026-06-08,10.92,15.25,2026-06-08,10.71,1.9607843137254815,8.12324929971988,29.77049180327868,28.393442622950822,False,-5.5363,2.8041,1,1,1,100.0,20.53959965187119,20.53959965187119,18.03921568627452,1.9607843137254815,历史1/1次成功; 当前距低点1.96%; 最新日涨幅-5.54%; 状态bottom_area; 底部未确认
25,83.72304836449602,71.01873689010489,000035,中国天楹,bottom_area,2026-06-08,5.21,7.35,2026-06-08,5.16,0.968992248062012,6.782945736434101,29.795918367346935,29.115646258503396,False,-5.4446,2.5092,1,1,1,100.0,40.84967320261436,40.84967320261436,19.031007751937988,0.968992248062012,历史1/1次成功; 当前距低点0.97%; 最新日涨幅-5.44%; 状态bottom_area; 底部未确认
26,83.23065538916053,70.69752232973386,603185,弘元绿能,bottom_area,2026-06-08,16.46,22.5,2026-06-08,16.29,1.0435850214855844,6.322897483118485,27.6,26.84444444444444,False,-5.8352,2.1817,5,8,5,62.5,31.44836655226342,43.51028702057404,18.956414978514417,1.0435850214855844,历史5/8次成功; 当前距低点1.04%; 最新日涨幅-5.84%; 状态bottom_area; 底部未确认
27,82.83504763785817,72.16127042698997,603829,洛凯股份,bottom_area,2026-06-08,19.43,26.6,2026-06-08,18.97,2.424881391671064,11.175540326831845,28.684210526315795,26.95488721804512,False,-5.358,2.5041,1,1,1,100.0,25.0,25.0,17.57511860832894,2.424881391671064,历史1/1次成功; 当前距低点2.42%; 最新日涨幅-5.36%; 状态bottom_area; 底部未确认
28,82.62097147165805,69.87565246249835,601186,中国铁建,bottom_area,2026-06-08,6.25,8.93,2026-05-28,6.2,0.8064516129032229,4.838709677419352,30.571108622620375,30.01119820828667,False,-1.7296,0.4234,1,1,1,100.0,22.496570644718787,22.496570644718787,19.19354838709678,0.8064516129032229,历史1/1次成功; 当前距低点0.81%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
29,82.16565444988072,72.39744678780072,603050,科林电气,bottom_area,2026-06-08,19.27,27.38,2026-06-08,18.7,3.048128342245991,5.6684491978609755,31.70197224251278,29.620160701241783,False,-3.4085,2.4267,3,4,3,75.0,38.076233376997756,41.09311740890686,16.951871657754012,3.048128342245991,历史3/4次成功; 当前距低点3.05%; 最新日涨幅-3.41%; 状态bottom_area; 底部未确认
30,81.256925613761,71.82408641369155,603978,深圳新星,bottom_area,2026-06-08,24.99,33.8,2026-06-08,24.21,3.2218091697645503,8.219743907476243,28.37278106508875,26.06508875739645,False,-6.5794,5.0246,1,1,1,100.0,32.9559748427673,32.9559748427673,16.778190830235452,3.2218091697645503,历史1/1次成功; 当前距低点3.22%; 最新日涨幅-6.58%; 状态bottom_area; 底部未确认
31,80.56761036787641,70.50709529085144,603178,圣龙股份,bottom_area,2026-06-08,16.89,24.0,2026-06-05,16.45,2.674772036474172,7.659574468085116,31.45833333333334,29.624999999999996,False,-2.7634,2.7962,6,9,6,66.66666666666666,31.176929394332788,47.51869476546566,17.32522796352583,2.674772036474172,历史6/9次成功; 当前距低点2.67%; 最新日涨幅-2.76%; 状态bottom_area; 底部未确认
32,78.13658052145874,67.79640881699606,603230,内蒙新华,bottom_area,2026-06-08,9.73,13.4,2026-06-08,9.52,2.2058823529411855,3.4663865546218497,28.95522388059702,27.388059701492534,False,-1.7172,0.5287,2,3,2,66.66666666666666,27.522332876533863,31.521142229544196,17.794117647058815,2.2058823529411855,历史2/3次成功; 当前距低点2.21%; 最新日涨幅-1.72%; 状态bottom_area; 底部未确认
33,76.52060649075662,65.12974634858897,605369,拱东医疗,bottom_area,2026-06-08,16.65,22.68,2026-06-08,16.46,1.1543134872417844,6.3183475091129955,27.425044091710753,26.587301587301592,False,-4.0899,0.8581,2,4,2,50.0,29.954737094087246,39.201877934272304,18.845686512758217,1.1543134872417844,历史2/4次成功; 当前距低点1.15%; 最新日涨幅-4.09%; 状态bottom_area; 底部未确认
34,75.78625097254782,64.628216937231,603079,圣达生物,bottom_area,2026-06-08,12.87,18.25,2026-06-08,12.71,1.2588512981903883,6.530291109362693,30.35616438356164,29.479452054794525,False,-3.9552,1.2599,2,4,2,50.0,28.539773640349868,34.84698914116485,18.741148701809614,1.2588512981903883,历史2/4次成功; 当前距低点1.26%; 最新日涨幅-3.96%; 状态bottom_area; 底部未确认
35,74.5087069586587,65.1455254665163,688262,国芯科技,bottom_area,2026-06-08,32.84,43.99,2026-06-08,32.0,2.6250000000000107,7.187499999999991,27.256194589679478,25.34666969765855,False,-8.1912,4.6463,4,7,4,57.14285714285714,32.59115074163924,42.05186020293122,17.37499999999999,2.6250000000000107,历史4/7次成功; 当前距低点2.63%; 最新日涨幅-8.19%; 状态bottom_area; 底部未确认
36,74.02851424048752,63.28061482197559,603191,望变电气,bottom_area,2026-06-08,16.78,22.72,2026-06-08,16.55,1.3897280966767396,5.800604229607256,27.156690140845065,26.14436619718309,False,-6.257,4.0205,2,5,2,40.0,44.5655638838632,54.24528301886794,18.610271903323262,1.3897280966767396,历史2/5次成功; 当前距低点1.39%; 最新日涨幅-6.26%; 状态bottom_area; 底部未确认
37,74.00417797907528,63.59734045076782,688089,嘉必优,bottom_area,2026-06-08,12.1,17.33,2026-06-08,11.9,1.680672268907557,6.302521008403361,31.33294864396999,30.17888055395268,False,-4.4234,1.842,2,5,2,40.0,49.83480227890883,58.830478440637926,18.319327731092443,1.680672268907557,历史2/5次成功; 当前距低点1.68%; 最新日涨幅-4.42%; 状态bottom_area; 底部未确认
38,73.54158057825862,64.2400698387463,688251,井松智能,bottom_area,2026-06-08,23.91,32.99,2026-06-08,23.31,2.5740025740025803,5.7057057057057134,29.342224916641413,27.52349196726281,False,-3.7827,2.5562,2,4,2,50.0,42.57417047028053,45.35104364326376,17.42599742599742,2.5740025740025803,历史2/4次成功; 当前距低点2.57%; 最新日涨幅-3.78%; 状态bottom_area; 底部未确认
39,73.38503605765412,62.900163769599715,688085,三友医疗,bottom_area,2026-06-08,13.87,19.89,2026-06-08,13.66,1.5373352855051177,5.5636896046852105,31.322272498743086,30.26646556058321,False,-1.9788,1.0221,1,2,1,50.0,45.78111946532998,45.78111946532998,18.462664714494885,1.5373352855051177,历史1/2次成功; 当前距低点1.54%; 最新日涨幅-1.98%; 状态bottom_area; 底部未确认
40,72.73622728133678,62.97519377328864,688062,迈威生物,bottom_area,2026-06-08,25.91,35.35,2026-06-08,25.38,2.088258471237199,7.0527974783294045,28.20367751060821,26.70438472418671,False,-2.594,3.825,2,5,2,40.0,41.27109186940569,47.1990464839094,17.911741528762803,2.088258471237199,历史2/5次成功; 当前距低点2.09%; 最新日涨幅-2.59%; 状态bottom_area; 底部未确认
41,71.48770097138105,61.343727190885744,603275,众辰科技,bottom_area,2026-06-08,40.65,55.6,2026-06-08,40.01,1.5996000999750077,4.473881529617594,28.039568345323744,26.8884892086331,False,-2.5647,4.0844,1,2,1,50.0,38.17642698295033,38.17642698295033,18.400399900024993,1.5996000999750077,历史1/2次成功; 当前距低点1.60%; 最新日涨幅-2.56%; 状态bottom_area; 底部未确认
42,71.38751030985716,61.39230085918157,603759,海天股份,bottom_area,2026-06-08,7.69,10.36,2026-06-08,7.56,1.71957671957673,4.3650793650793664,27.027027027027028,25.772200772200765,False,-2.4112,0.7744,1,2,1,50.0,39.90825688073395,39.90825688073395,18.28042328042327,1.71957671957673,历史1/2次成功; 当前距低点1.72%; 最新日涨幅-2.41%; 状态bottom_area; 底部未确认
43,70.89877337269913,60.19937099710102,601002,晋亿实业,bottom_area,2026-06-08,4.94,6.81,2026-06-08,4.89,1.022494887525577,4.294478527607361,28.193832599118945,27.45961820851688,False,-3.3268,1.8714,1,2,1,50.0,35.164835164835154,35.164835164835154,18.977505112474425,1.022494887525577,历史1/2次成功; 当前距低点1.02%; 最新日涨幅-3.33%; 状态bottom_area; 底部未确认
44,69.90446596871415,59.97720452937014,603716,塞力医疗,bottom_area,2026-06-08,15.95,22.0,2026-06-08,15.7,1.5923566878980893,6.68789808917198,28.636363636363637,27.500000000000004,False,-1.7857,4.2185,1,2,1,50.0,30.740740740740748,30.740740740740748,18.40764331210191,1.5923566878980893,历史1/2次成功; 当前距低点1.59%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
45,69.61278642848453,59.788933165920554,603348,文灿股份,bottom_area,2026-06-08,15.41,22.0,2026-06-08,15.16,1.6490765171503958,4.41952506596306,31.09090909090909,29.954545454545457,False,-3.0818,0.7406,2,5,2,40.0,28.97219153238415,31.539888682745836,18.350923482849606,1.6490765171503958,历史2/5次成功; 当前距低点1.65%; 最新日涨幅-3.08%; 状态bottom_area; 底部未确认
