rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.51811775630787,84.02566023077516,600371,万向德农,bottom_area,2025-05-14,9.29,2025-04-29,9.13,1.7524644030667946,8.214676889375685,28.671874999999996,True,0.7592,3.5407,1,1,1,100.0,38.66279069767441,38.66279069767441,13.247535596933204,1.7524644030667946,历史1/1次成功; 当前距低点1.75%; 最新日涨幅0.76%; 状态bottom_area; 底部已确认
2,81.94272524812558,76.83748949816169,002304,洋河股份,bottom_area,2025-05-14,69.73,2025-04-29,67.02,4.043569083855577,5.147717099373326,29.452631578947376,False,0.7368,0.4576,2,2,2,100.0,20.62810220081931,20.781426953567394,10.956430916144422,4.043569083855577,历史2/2次成功; 当前距低点4.04%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
3,71.10468442595787,66.46275389307765,000524,岭南控股,bottom_area,2025-05-14,12.07,2025-05-09,11.62,3.872633390705689,4.475043029259909,30.668257756563257,False,0.6672,2.5512,2,3,2,66.66666666666666,18.31016858720398,21.550094517958406,11.127366609294311,3.872633390705689,历史2/3次成功; 当前距低点3.87%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
4,59.763667434952964,54.62858083633725,001299,美能能源,bottom_area,2025-05-14,10.75,2025-04-29,10.47,2.674307545367711,5.5396370582617,31.11842105263157,False,-0.463,3.7824,1,2,1,50.0,15.247322794492616,15.247322794492616,12.325692454632287,2.674307545367711,历史1/2次成功; 当前距低点2.67%; 最新日涨幅-0.46%; 状态bottom_area; 底部未确认
