rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.48670735184228,79.42032473880548,300363,博腾股份,bottom_area,2023-05-31,30.76,2023-05-30,30.44,1.0512483574244424,3.777923784494082,27.01989930472309,False,-1.2837,1.1303,1,1,1,100.0,36.97403760071621,36.97403760071621,18.94875164257556,1.0512483574244424,历史1/1次成功; 当前距低点1.05%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
2,89.50090940660643,76.21948984903693,002041,登海种业,bottom_area,2023-05-31,15.38,2023-05-30,15.2,1.1842105263157994,3.4210526315789567,28.30188679245283,False,-0.2594,0.3598,1,1,1,100.0,21.395106715252467,21.395106715252467,18.8157894736842,1.1842105263157994,历史1/1次成功; 当前距低点1.18%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
3,88.46679779023967,74.55538509939991,001332,锡装股份,bottom_area,2023-05-31,42.66,2023-05-24,42.4,0.6132075471698066,6.556603773584908,32.290003193867776,False,-0.9519,1.3649,2,2,2,100.0,28.620958639500337,31.086142322097377,19.386792452830196,0.6132075471698066,历史2/2次成功; 当前距低点0.61%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
4,87.69578153626338,75.52507421278956,688289,圣湘生物,bottom_area,2023-05-31,18.12,2023-05-29,17.8,1.7977528089887655,3.8202247191011214,27.789046653144013,False,-0.3848,0.7621,1,1,1,100.0,25.182530200451346,25.182530200451346,18.202247191011235,1.7977528089887655,历史1/1次成功; 当前距低点1.80%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
5,86.45143062523447,77.97738694399658,688075,安旭生物,bottom_area,2023-05-31,67.45,2023-05-10,64.65,4.33101314771848,7.6566125290023015,30.37906525953047,True,0.9882,2.2564,4,5,4,80.0,31.086542584917854,40.134529147982065,15.668986852281522,4.33101314771848,历史4/5次成功; 当前距低点4.33%; 最新日涨幅0.99%; 状态bottom_area; 底部已确认
6,86.2283095074535,72.21474540008558,600935,华塑股份,bottom_area,2023-05-31,3.7,2023-05-31,3.69,0.2710027100271065,1.084010840108402,27.788649706457928,False,-0.8043,0.2603,1,1,1,100.0,28.50877192982458,28.50877192982458,19.728997289972895,0.2710027100271065,历史1/1次成功; 当前距低点0.27%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
7,84.54532511609418,74.9941796008869,000890,法尔胜,bottom_area,2023-05-31,4.24,2023-05-19,4.1,3.4146341463414775,7.56097560975611,27.689594356261026,True,-0.7026,1.6105,1,1,1,100.0,32.954545454545446,32.954545454545446,16.585365853658523,3.4146341463414775,历史1/1次成功; 当前距低点3.41%; 最新日涨幅-0.70%; 状态bottom_area; 底部已确认
8,84.03769363848735,75.61362531482257,300762,上海瀚讯,bottom_area,2023-05-31,11.92,2023-05-10,11.44,4.195804195804199,6.206293706293714,27.50316856780735,False,0.5059,1.0313,1,1,1,100.0,32.580961727183514,32.580961727183514,15.804195804195803,4.195804195804199,历史1/1次成功; 当前距低点4.20%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
9,83.34527975739573,70.34256347810893,600256,广汇能源,bottom_area,2023-05-31,7.26,2023-05-29,7.21,0.6934812760055453,5.547850208044388,29.10521140609636,False,-2.9412,1.4761,1,1,1,100.0,23.62204724409449,23.62204724409449,19.306518723994458,0.6934812760055453,历史1/1次成功; 当前距低点0.69%; 最新日涨幅-2.94%; 状态bottom_area; 底部未确认
10,78.51781544958655,67.77804905065823,600009,上海机场,bottom_area,2023-05-31,46.6,2023-05-31,45.72,1.9247594050743715,2.777777777777785,28.42830306825298,False,-0.2141,0.463,2,3,2,66.66666666666666,23.97760122344691,27.704918032786885,18.075240594925628,1.9247594050743715,历史2/3次成功; 当前距低点1.92%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
11,75.14417677168467,63.43773973752015,603327,福蓉科技,bottom_area,2023-05-31,11.38,2023-05-30,11.3,0.707964601769912,2.30088495575221,27.096774193548384,False,-0.2629,0.246,2,4,2,50.0,45.01020983632018,52.609776304888165,19.29203539823009,0.707964601769912,历史2/4次成功; 当前距低点0.71%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
12,70.75297580319483,60.21675612994601,605337,李子园,bottom_area,2023-05-31,17.58,2023-05-31,17.38,1.1507479861910201,3.5097813578826207,32.86983391270761,False,-1.5126,1.9948,1,2,1,50.0,26.615384615384624,26.615384615384624,18.849252013808982,1.1507479861910201,历史1/2次成功; 当前距低点1.15%; 最新日涨幅-1.51%; 状态bottom_area; 底部未确认
13,69.2736895685574,60.64198733851829,300758,七彩化学,bottom_area,2023-05-31,9.92,2023-04-26,9.66,2.6915113871635588,9.523809523809524,30.252707581227433,True,-1.0967,0.6534,1,2,1,50.0,38.59480269489894,38.59480269489894,17.30848861283644,2.6915113871635588,历史1/2次成功; 当前距低点2.69%; 最新日涨幅-1.10%; 状态bottom_area; 底部已确认
14,69.053865459872,62.93998538058134,002690,美亚光电,bottom_area,2023-05-31,24.81,2023-05-15,23.65,4.904862579281185,8.668076109936578,28.765060240963862,True,-2.3613,0.5666,2,3,2,66.66666666666666,25.30325481008482,27.355278093076052,15.095137420718816,4.904862579281185,历史2/3次成功; 当前距低点4.90%; 最新日涨幅-2.36%; 状态bottom_area; 底部已确认
15,68.77471651757216,58.98672565418153,002455,百川股份,bottom_area,2023-05-31,7.75,2023-05-05,7.63,1.572739187418088,7.86369593709044,28.691588785046722,True,-1.8987,0.7795,1,3,1,33.33333333333333,35.42600896860987,35.42600896860987,18.427260812581913,1.572739187418088,历史1/3次成功; 当前距低点1.57%; 最新日涨幅-1.90%; 状态bottom_area; 底部已确认
16,68.73621740824711,58.94812985399194,000792,盐湖股份,bottom_area,2023-05-31,18.79,2023-05-30,18.5,1.567567567567563,2.6486486486486402,29.49695121951219,False,-0.1594,0.2671,1,2,1,50.0,24.904214559386965,24.904214559386965,18.43243243243244,1.567567567567563,历史1/2次成功; 当前距低点1.57%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
17,63.85414524723369,56.44016515276631,002079,苏州固锝,bottom_area,2023-05-31,12.5,2023-05-10,12.11,3.2204789430223006,7.101568951279945,28.512396694214885,True,-0.7937,1.6786,1,2,1,50.0,22.488479262672804,22.488479262672804,16.7795210569777,3.2204789430223006,历史1/2次成功; 当前距低点3.22%; 最新日涨幅-0.79%; 状态bottom_area; 底部已确认
18,63.63629964328181,53.03024970273484,600955,维远股份,bottom_area,2023-05-31,18.35,2023-05-31,18.35,0.0,2.561307901907351,27.98273155416012,False,-2.3936,0.488,1,2,1,50.0,25.969084423305596,25.969084423305596,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-2.39%; 状态bottom_area; 底部未确认
19,61.203580726379016,51.6981918981599,002570,贝因美,bottom_area,2023-05-31,4.09,2023-05-30,4.06,0.7389162561576417,3.2019704433497735,29.636048526863085,False,-0.7282,0.6637,1,3,1,33.33333333333333,35.05154639175259,35.05154639175259,19.26108374384236,0.7389162561576417,历史1/3次成功; 当前距低点0.74%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
