rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.56801768064217,83.26653655252964,301313,凡拓数创,confirmed_rebound,2023-10-10,28.02,2023-10-09,27.8,0.791366906474816,10.215827338129497,30.93167701863354,False,0.0714,10.8078,4,4,4,100.0,32.04759730802268,52.43243243243245,7.208633093525184,0.791366906474816,历史4/4次成功; 当前距低点0.79%; 最新日涨幅0.07%; 状态confirmed_rebound; 底部未确认
2,87.71587488068397,82.8388612227325,600004,白云机场,bottom_area,2023-10-10,10.83,2023-10-09,10.72,1.0261194029850693,4.1977611940298445,27.322033898305083,False,0.3707,0.6417,1,1,1,100.0,32.57211538461537,32.57211538461537,6.973880597014931,1.0261194029850693,历史1/1次成功; 当前距低点1.03%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
3,87.20182041665979,83.88715520842425,002069,獐子岛,bottom_area,2023-10-10,4.11,2023-09-14,4.03,1.985111662531019,6.699751861042174,28.79858657243816,False,0.489,0.8538,3,3,3,100.0,16.6301602096504,30.967741935483854,6.014888337468981,1.985111662531019,历史3/3次成功; 当前距低点1.99%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
4,84.38663443151304,78.71919835838798,300649,杭州园林,bottom_area,2023-10-10,18.19,2023-10-10,18.12,0.386313465783666,2.81456953642383,30.307692307692303,False,-1.6757,4.3618,2,2,2,100.0,48.22576914179969,71.60305343511452,7.613686534216334,0.386313465783666,历史2/2次成功; 当前距低点0.39%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
5,81.56217039817953,80.32486808237648,002534,西子洁能,bottom_area,2023-10-10,12.88,2023-09-22,12.48,3.2051282051282075,7.2115384615384635,27.861271676300582,True,-0.3867,0.3451,3,3,3,100.0,25.712690269187092,33.11594202898551,4.794871794871793,3.2051282051282075,历史3/3次成功; 当前距低点3.21%; 最新日涨幅-0.39%; 状态bottom_area; 底部已确认
6,79.54571024153198,74.26466723794476,600322,津投城开,bottom_area,2023-10-10,2.34,2023-10-10,2.33,0.429184549356214,3.0042918454935554,28.963414634146332,False,-0.8475,3.2351,2,2,2,100.0,24.802193604714613,35.828877005347586,7.570815450643787,0.429184549356214,历史2/2次成功; 当前距低点0.43%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
7,79.51412580640283,74.10883616047101,601226,华电科工,bottom_area,2023-10-10,5.89,2023-09-25,5.87,0.340715502555359,4.088586030664399,27.975460122699385,False,-1.8333,0.5082,1,1,1,100.0,39.54659949622166,39.54659949622166,7.659284497444641,0.340715502555359,历史1/1次成功; 当前距低点0.34%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
8,78.89787341836042,77.46597008953356,603226,菲林格尔,confirmed_rebound,2023-10-10,5.41,2023-09-12,5.25,3.0476190476190506,8.952380952380947,29.71887550200803,True,-1.0969,0.8944,3,3,3,100.0,18.62656730163969,20.479302832244016,4.95238095238095,3.0476190476190506,历史3/3次成功; 当前距低点3.05%; 最新日涨幅-1.10%; 状态confirmed_rebound; 底部已确认
9,76.3918883084396,71.29136769300509,000560,我爱我家,bottom_area,2023-10-10,2.46,2023-10-10,2.45,0.40816326530611374,3.265306122448964,28.779069767441857,False,-1.6,2.5162,2,2,2,100.0,8.559031924209851,8.679245283018867,7.591836734693887,0.40816326530611374,历史2/2次成功; 当前距低点0.41%; 最新日涨幅-1.60%; 状态bottom_area; 底部未确认
10,76.165255662905,75.68302752293582,002356,赫美集团,confirmed_rebound,2023-10-10,4.52,2023-09-27,4.36,3.6697247706421847,9.633027522935777,29.903536977491953,True,-1.5251,0.5903,1,1,1,100.0,69.37669376693766,69.37669376693766,4.330275229357816,3.6697247706421847,历史1/1次成功; 当前距低点3.67%; 最新日涨幅-1.53%; 状态confirmed_rebound; 底部已确认
11,75.94335683994123,76.64990262019127,000411,英特集团,confirmed_rebound,2023-10-10,11.89,2023-08-24,11.38,4.481546572934971,9.490333919156415,27.974683544303797,True,-2.1399,1.8688,3,3,3,100.0,31.816283905822544,47.98426745329401,3.518453427065029,4.481546572934971,历史3/3次成功; 当前距低点4.48%; 最新日涨幅-2.14%; 状态confirmed_rebound; 底部已确认
