rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.20026240829576,80.64518561391539,688183,生益电子,bottom_area,2022-09-20,9.65,2022-09-19,9.51,1.4721345951629923,2.73396424815983,28.28054298642534,False,1.153,0.2899,1,1,1,100.0,26.24544349939247,26.24544349939247,18.52786540483701,1.4721345951629923,历史1/1次成功; 当前距低点1.47%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
2,92.5539881910897,80.3298765432099,002278,神开股份,bottom_area,2022-09-20,5.06,2022-09-20,4.95,2.2222222222222103,2.828282828282822,29.184549356223176,False,1.2,8.6556,1,1,1,100.0,33.74485596707818,33.74485596707818,17.777777777777793,2.2222222222222103,历史1/1次成功; 当前距低点2.22%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
3,91.67876239020768,80.47332039354795,688010,福光股份,bottom_area,2022-09-20,20.64,2022-09-19,20.07,2.840059790732438,4.384653712007967,28.270192994996425,False,2.3302,0.15,1,1,1,100.0,42.08955223880597,42.08955223880597,17.159940209267564,2.840059790732438,历史1/1次成功; 当前距低点2.84%; 最新日涨幅2.33%; 状态bottom_area; 底部未确认
4,90.44334454818187,79.18249448781363,002283,天润工业,bottom_area,2022-09-20,5.33,2022-09-19,5.19,2.6974951830443095,3.8535645472061515,27.816411682892905,False,1.912,0.6213,1,1,1,100.0,33.402061855670105,33.402061855670105,17.30250481695569,2.6974951830443095,历史1/1次成功; 当前距低点2.70%; 最新日涨幅1.91%; 状态bottom_area; 底部未确认
5,90.1990923271684,79.65009071402773,603315,福鞍股份,bottom_area,2022-09-20,20.19,2022-09-19,19.57,3.1681144609095604,4.701073071027072,29.324665944384254,False,1.5594,0.3653,1,1,1,100.0,41.68490153172865,41.68490153172865,16.83188553909044,3.1681144609095604,历史1/1次成功; 当前距低点3.17%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
6,90.0856600961668,78.95022621530565,000591,太阳能,bottom_area,2022-09-20,7.09,2022-09-19,6.9,2.75362318840579,2.898550724637671,27.672955974842754,False,2.4566,1.2256,1,1,1,100.0,32.84132841328414,32.84132841328414,17.24637681159421,2.75362318840579,历史1/1次成功; 当前距低点2.75%; 最新日涨幅2.46%; 状态bottom_area; 底部未确认
7,87.96320087212214,76.06690922177857,600996,贵广网络,bottom_area,2022-09-20,10.09,2022-09-19,9.89,2.022244691607677,8.493427704752273,28.38522809558291,False,-1.272,4.3055,1,1,1,100.0,30.84745762711863,30.84745762711863,17.977755308392325,2.022244691607677,历史1/1次成功; 当前距低点2.02%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
8,87.16812374156844,76.46659527177206,600130,波导股份,bottom_area,2022-09-20,4.03,2022-09-19,3.92,2.8061224489796,4.33673469387755,27.541589648798524,False,1.5113,3.5213,1,1,1,100.0,20.13201320132014,20.13201320132014,17.1938775510204,2.8061224489796,历史1/1次成功; 当前距低点2.81%; 最新日涨幅1.51%; 状态bottom_area; 底部未确认
9,86.84975213708236,76.52847724542909,002451,摩恩电气,bottom_area,2022-09-20,6.08,2022-09-19,5.9,3.0508474576271136,3.3898305084745637,29.59427207637232,False,2.7027,0.9125,1,1,1,100.0,23.464566929133863,23.464566929133863,16.949152542372886,3.0508474576271136,历史1/1次成功; 当前距低点3.05%; 最新日涨幅2.70%; 状态bottom_area; 底部未确认
10,86.4464802775614,77.37387937714406,300437,清水源,bottom_area,2022-09-20,18.08,2022-09-19,17.4,3.9080459770114926,4.252873563218403,29.354445797807553,False,2.0892,1.7811,5,6,5,83.33333333333334,24.628445545144793,30.330330330330323,16.09195402298851,3.9080459770114926,历史5/6次成功; 当前距低点3.91%; 最新日涨幅2.09%; 状态bottom_area; 底部未确认
11,86.25749019257701,72.649042491915,688018,乐鑫科技,bottom_area,2022-09-20,85.0,2022-09-19,84.51,0.5798130398769316,3.1120577446455986,27.769230769230763,False,-1.1053,0.6685,1,1,1,100.0,34.629119477604306,34.629119477604306,19.420186960123072,0.5798130398769316,历史1/1次成功; 当前距低点0.58%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
