rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.34454096180899,82.56992201702901,002316,亚联发展,bottom_area,2021-12-30,4.69,2021-12-30,4.64,1.0775862068965671,2.8017241379310325,30.434782608695656,False,0.2137,11.2525,2,2,2,100.0,15.090422412651577,19.154228855721406,6.922413793103432,1.0775862068965671,历史2/2次成功; 当前距低点1.08%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
2,82.20868482237978,79.64671085342587,601127,赛力斯,bottom_area,2021-12-30,55.66,2021-12-30,54.38,2.3538065465244467,4.8179477749172435,30.07586472933007,False,-1.7996,2.0861,3,3,3,100.0,20.82467623387959,27.74461028192372,5.646193453475553,2.3538065465244467,历史3/3次成功; 当前距低点2.35%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
3,81.54992419601247,78.18282527999897,605138,盛泰集团,bottom_area,2021-12-30,12.39,2021-12-30,12.17,1.807723911257195,2.7937551355792922,30.77360637087599,False,0.8958,25.0816,1,1,1,100.0,17.120622568093385,17.120622568093385,6.192276088742806,1.807723911257195,历史1/1次成功; 当前距低点1.81%; 最新日涨幅0.90%; 状态bottom_area; 底部未确认
4,79.73083132382183,76.5644921091652,603169,兰石重装,bottom_area,2021-12-30,9.15,2021-12-29,8.98,1.8930957683741638,5.345211581291764,31.18773946360153,False,-0.6515,5.8012,2,2,2,100.0,15.272851941173688,22.055137844611526,6.106904231625836,1.8930957683741638,历史2/2次成功; 当前距低点1.89%; 最新日涨幅-0.65%; 状态bottom_area; 底部未确认
5,76.56820148552674,71.89524620436191,688280,精进电动,bottom_area,2021-12-30,15.25,2021-12-30,15.14,0.7265521796565352,2.179656538969617,31.832507879333633,False,-0.131,3.7257,1,1,1,100.0,32.37518910741301,32.37518910741301,7.273447820343465,0.7265521796565352,历史1/1次成功; 当前距低点0.73%; 最新日涨幅-0.13%; 状态bottom_area; 底部未确认
6,73.95799531560107,73.02612815872894,688012,中微公司,bottom_area,2021-12-30,127.14,2021-12-30,123.03,3.3406486222872465,3.9339998374380256,31.8997010959814,False,2.4909,2.5754,1,1,1,100.0,8.187134502923984,8.187134502923984,4.6593513777127535,3.3406486222872465,历史1/1次成功; 当前距低点3.34%; 最新日涨幅2.49%; 状态bottom_area; 底部未确认
7,73.80763692160535,74.23904008826777,300488,恒锋工具,confirmed_rebound,2021-12-30,28.36,2021-12-27,27.19,4.303052592865017,8.606105185730046,31.545820745216513,True,-1.2191,1.4711,1,1,1,100.0,65.52470248827983,65.52470248827983,3.6969474071349833,4.303052592865017,历史1/1次成功; 当前距低点4.30%; 最新日涨幅-1.22%; 状态confirmed_rebound; 底部已确认
8,73.08887816668542,72.58356358660158,002357,富临运业,bottom_area,2021-12-30,6.55,2021-12-29,6.32,3.6392405063291062,7.12025316455695,28.98876404494382,False,-1.5038,9.9952,1,1,1,100.0,31.941031941031934,31.941031941031934,4.360759493670894,3.6392405063291062,历史1/1次成功; 当前距低点3.64%; 最新日涨幅-1.50%; 状态bottom_area; 底部未确认
9,70.32050368482227,71.11903318017869,600405,动力源,bottom_area,2021-12-30,7.98,2021-12-29,7.63,4.587155963302759,6.553079947575371,30.383211678832122,False,1.5267,12.8023,1,1,1,100.0,13.213703099510612,13.213703099510612,3.4128440366972406,4.587155963302759,历史1/1次成功; 当前距低点4.59%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
10,66.35027032859675,67.47445750352642,688128,中国电研,bottom_area,2021-12-30,29.05,2021-12-27,27.7,4.873646209386287,7.148014440433215,29.300663603879535,True,-0.9209,2.1232,1,1,1,100.0,10.410596026490065,10.410596026490065,3.126353790613713,4.873646209386287,历史1/1次成功; 当前距低点4.87%; 最新日涨幅-0.92%; 状态bottom_area; 底部已确认
11,52.57236141111788,53.231677621249084,002607,中公教育,bottom_area,2021-12-30,7.88,2021-12-27,7.53,4.648074369189902,6.374501992031867,30.148423005565856,False,0.1271,1.6191,1,2,1,50.0,9.458533241946544,9.458533241946544,3.351925630810098,4.648074369189902,历史1/2次成功; 当前距低点4.65%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
