rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.2239477025095,84.31723785166244,000957,中通客车,bottom_area,2024-01-19,8.03,2024-01-18,7.82,2.6854219948848983,5.1150895140665,28.125,False,-0.7417,0.9722,3,3,3,100.0,132.3344468028054,354.54545454545456,12.3145780051151,2.6854219948848983,历史3/3次成功; 当前距低点2.69%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
2,91.82837574205429,81.4919227090325,300647,超频三,bottom_area,2024-01-19,5.57,2024-01-18,5.51,1.0889292196007352,5.08166969147006,28.161668839634945,False,-1.9366,1.3918,2,2,2,100.0,31.90688886947406,48.45360824742268,13.911070780399266,1.0889292196007352,历史2/2次成功; 当前距低点1.09%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
3,89.07309699759968,80.11596899224807,603013,亚普股份,bottom_area,2024-01-19,15.76,2024-01-18,15.48,1.808785529715758,4.198966408268725,31.956043956043956,False,-1.0672,0.4668,1,1,1,100.0,53.30739299610896,53.30739299610896,13.19121447028424,1.808785529715758,历史1/1次成功; 当前距低点1.81%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
4,88.01649837485449,76.6615408706324,688023,安恒信息,bottom_area,2024-01-19,79.97,2024-01-19,79.9,0.08760951188985379,3.078848560700868,28.85129118432769,False,-2.3923,1.8362,2,2,2,100.0,33.50156213839389,39.261744966442954,14.912390488110145,0.08760951188985379,历史2/2次成功; 当前距低点0.09%; 最新日涨幅-2.39%; 状态bottom_area; 底部未确认
5,87.1336703670803,78.7509703883565,601086,国芳集团,bottom_area,2024-01-19,5.43,2024-01-18,5.32,2.06766917293232,9.774436090225555,27.12328767123287,False,-1.9856,3.5011,2,2,2,100.0,29.168043562592505,33.48946135831383,12.932330827067679,2.06766917293232,历史2/2次成功; 当前距低点2.07%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
6,86.04267502049326,76.92583682744933,002413,雷科防务,bottom_area,2024-01-19,4.78,2024-01-18,4.71,1.486199575371556,4.0339702760085006,31.540697674418606,False,-1.848,1.1054,1,1,1,100.0,28.894472361809044,28.894472361809044,13.513800424628444,1.486199575371556,历史1/1次成功; 当前距低点1.49%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
7,84.60661889483475,75.68688422161458,600006,东风股份,bottom_area,2024-01-19,5.35,2024-01-18,5.27,1.518026565464897,5.3130929791271395,30.29100529100529,False,-1.2915,0.4511,1,1,1,100.0,22.6235741444867,22.6235741444867,13.481973434535103,1.518026565464897,历史1/1次成功; 当前距低点1.52%; 最新日涨幅-1.29%; 状态bottom_area; 底部未确认
8,82.73510271761089,74.34939620817819,300567,精测电子,bottom_area,2024-01-19,64.71,2024-01-18,63.59,1.7612832206321598,5.645541751847779,28.526469596493193,False,-1.1306,1.0223,1,1,1,100.0,18.414634146341452,18.414634146341452,13.23871677936784,1.7612832206321598,历史1/1次成功; 当前距低点1.76%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
9,82.67584285286871,74.46046332046335,600981,苏豪汇鸿,bottom_area,2024-01-19,2.71,2024-01-18,2.66,1.879699248120294,3.759398496240588,31.79487179487179,False,-0.7326,0.6523,1,1,1,100.0,20.463320463320475,20.463320463320475,13.120300751879704,1.879699248120294,历史1/1次成功; 当前距低点1.88%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
10,82.34261842168677,73.89824848141522,603138,海量数据,bottom_area,2024-01-19,13.84,2024-01-18,13.61,1.6899338721528319,4.996326230712709,28.96659707724426,False,-1.6347,1.2405,1,1,1,100.0,15.114503816793897,15.114503816793897,13.310066127847167,1.6899338721528319,历史1/1次成功; 当前距低点1.69%; 最新日涨幅-1.63%; 状态bottom_area; 底部未确认
11,82.10966708014811,72.69585144059914,300579,数字认证,bottom_area,2024-01-19,22.02,2024-01-18,21.81,0.9628610729023425,4.860155891792766,27.3,False,-2.4369,0.5491,2,2,2,100.0,22.90954132697023,24.946808510638284,14.037138927097656,0.9628610729023425,历史2/2次成功; 当前距低点0.96%; 最新日涨幅-2.44%; 状态bottom_area; 底部未确认
