rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
12,81.98712144946182,78.39935438441245,688179,阿拉丁,bottom_area,2025-06-12,12.39,2025-06-10,12.07,2.651201325600665,4.97100248550124,30.870561282932417,False,1.4742,2.2998,2,2,2,100.0,11.957491434311619,12.021924482338617,7.348798674399336,2.651201325600665,历史2/2次成功; 当前距低点2.65%; 最新日涨幅1.47%; 状态bottom_area; 底部未确认
13,81.19265581389641,76.753877363934,002041,登海种业,bottom_area,2025-06-12,9.96,2025-06-03,9.76,2.0491803278688634,6.249999999999995,28.023598820059004,False,-1.3861,1.014,2,2,2,100.0,18.2043468358871,21.395106715252467,7.9508196721311375,2.0491803278688634,历史2/2次成功; 当前距低点2.05%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
14,80.27356564689174,75.2053771844607,603499,翔港科技,bottom_area,2025-06-12,16.1,2025-06-11,15.85,1.577287066246068,3.3438485804416365,32.207014542343885,False,-0.3713,1.1481,1,1,1,100.0,20.76124567474048,20.76124567474048,8.422712933753933,1.577287066246068,历史1/1次成功; 当前距低点1.58%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
15,79.73612292925222,75.34929487179485,603577,汇金通,bottom_area,2025-06-12,9.55,2025-06-10,9.36,2.029914529914544,3.952991452991464,27.216174183514774,False,-0.209,5.5924,1,1,1,100.0,27.083333333333325,27.083333333333325,7.970085470085457,2.029914529914544,历史1/1次成功; 当前距低点2.03%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
16,79.12117133285997,76.35417384768435,001311,多利科技,bottom_area,2025-06-12,20.42,2025-06-10,19.8,3.1313131313131364,4.191919191919183,31.794695142955565,False,-0.0978,2.4044,2,2,2,100.0,29.32025691977575,46.9244288224956,6.868686868686864,3.1313131313131364,历史2/2次成功; 当前距低点3.13%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
17,76.93462965286604,70.85553268685268,688682,霍莱沃,bottom_area,2025-06-12,28.09,2025-06-10,27.9,0.6810035842293953,5.376344086021505,31.61764705882353,False,-1.9888,1.5449,1,1,1,100.0,26.22699386503069,26.22699386503069,9.318996415770606,0.6810035842293953,历史1/1次成功; 当前距低点0.68%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
18,76.65536876202995,72.79210084033613,300817,双飞集团,bottom_area,2025-06-12,23.27,2025-06-10,22.75,2.285714285714284,5.362637362637358,28.097345132743364,False,-0.598,2.8703,1,1,1,100.0,16.470588235294116,16.470588235294116,7.714285714285716,2.285714285714284,历史1/1次成功; 当前距低点2.29%; 最新日涨幅-0.60%; 状态bottom_area; 底部未确认
19,76.20587384035842,70.53657872766739,600770,综艺股份,bottom_area,2025-06-12,5.35,2025-06-11,5.3,0.943396226415091,3.0188679245283048,29.80132450331126,False,-1.2915,3.3829,1,1,1,100.0,27.72861356932153,27.72861356932153,9.056603773584909,0.943396226415091,历史1/1次成功; 当前距低点0.94%; 最新日涨幅-1.29%; 状态bottom_area; 底部未确认
20,76.13253965564118,75.3172244862847,688543,国科军工,bottom_area,2025-06-12,45.45,2025-06-04,43.52,4.4347426470588225,6.755514705882347,31.604589030331603,False,1.4509,4.3628,1,1,1,100.0,33.916331836445266,33.916331836445266,5.565257352941178,4.4347426470588225,历史1/1次成功; 当前距低点4.43%; 最新日涨幅1.45%; 状态bottom_area; 底部未确认
21,75.12152519687578,69.45197612541347,000096,广聚能源,bottom_area,2025-06-12,13.72,2025-06-10,13.6,0.8823529411764779,2.426470588235295,29.166666666666668,False,-0.8671,1.6612,1,1,1,100.0,21.149144254278735,21.149144254278735,9.117647058823522,0.8823529411764779,历史1/1次成功; 当前距低点0.88%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
22,72.4728847162012,71.38026290997156,002811,郑中设计,bottom_area,2025-06-12,10.91,2025-06-10,10.47,4.202483285577836,6.781279847182417,29.01694915254237,False,-1.0879,7.0833,2,2,2,100.0,15.709273124134537,16.78832116788322,5.797516714422164,4.202483285577836,历史2/2次成功; 当前距低点4.20%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
23,71.99087040479566,70.56524606618606,688318,财富趋势,bottom_area,2025-06-12,100.53,2025-06-06,96.71,3.9499534691345337,8.458277323958233,30.906622847753095,True,-0.8482,1.2876,5,7,5,71.42857142857143,27.609815538164007,36.949152542372886,6.050046530865467,3.9499534691345337,历史5/7次成功; 当前距低点3.95%; 最新日涨幅-0.85%; 状态bottom_area; 底部已确认
24,70.03394283309787,68.64620758593381,603192,汇得科技,bottom_area,2025-06-12,21.32,2025-06-05,20.51,3.9492930277913145,6.77718186250608,31.610536845615194,False,-1.6605,3.5232,3,4,3,75.0,18.73976177041938,25.562817719680464,6.050706972208686,3.9492930277913145,历史3/4次成功; 当前距低点3.95%; 最新日涨幅-1.66%; 状态bottom_area; 底部未确认
25,66.92905295766414,61.82059536368062,603283,赛腾股份,bottom_area,2025-06-12,31.44,2025-06-12,31.18,0.8338678640153995,2.53367543296985,31.5176806501208,False,-0.9452,2.1732,3,5,3,60.0,16.192548890514658,18.522815158546013,9.1661321359846,0.8338678640153995,历史3/5次成功; 当前距低点0.83%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
26,66.91438529219242,65.51872024554181,300492,华图山鼎,bottom_area,2025-06-12,65.91,2025-06-11,63.44,3.893442622950818,4.571248423707449,29.72972972972973,False,1.1355,0.5364,2,3,2,66.66666666666666,13.489799780661322,14.94511680270195,6.1065573770491826,3.893442622950818,历史2/3次成功; 当前距低点3.89%; 最新日涨幅1.14%; 状态bottom_area; 底部未确认
27,61.390227909066354,59.61062065364441,002042,华孚时尚,bottom_area,2025-06-12,4.79,2025-06-03,4.63,3.4557235421166337,9.935205183585312,28.549382716049386,True,-0.6224,1.217,1,2,1,50.0,42.41758241758243,42.41758241758243,6.544276457883366,3.4557235421166337,历史1/2次成功; 当前距低点3.46%; 最新日涨幅-0.62%; 状态bottom_area; 底部已确认
