rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.68619856244385,71.90104222821205,300490,华自科技,bottom_area,2021-09-16,26.19,2021-09-16,26.19,0.0,0.0,29.785522788203743,False,-20.0061,2.3756,2,2,2,100.0,29.306678646301293,32.06349206349206,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-20.01%; 状态bottom_area; 底部未确认
2,81.23605711373474,70.93565394866604,688080,映翰通,bottom_area,2021-09-16,49.35,2021-09-16,49.24,0.22339561332250088,3.432168968318436,29.556509298998574,False,-2.4704,1.0546,1,1,1,100.0,21.048365306673873,21.048365306673873,14.7766043866775,0.22339561332250088,历史1/1次成功; 当前距低点0.22%; 最新日涨幅-2.47%; 状态bottom_area; 底部未确认
3,80.63687999930929,70.14791289208621,603005,晶方科技,bottom_area,2021-09-16,45.4,2021-09-16,45.39,0.02203128442387753,4.053756333994263,28.51968503937008,False,-3.1776,1.9751,1,1,1,100.0,24.55991516436903,24.55991516436903,14.977968715576123,0.02203128442387753,历史1/1次成功; 当前距低点0.02%; 最新日涨幅-3.18%; 状态bottom_area; 底部未确认
