rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.47997721845363,76.85762563957688,002825,纳尔股份,bottom_area,2023-07-20,8.7,2023-07-17,8.61,1.045296167247385,3.019744483159115,32.94392523364487,False,-0.9112,0.8664,1,1,1,100.0,23.123123123123136,23.123123123123136,18.954703832752617,1.045296167247385,历史1/1次成功; 当前距低点1.05%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
2,89.07110924114562,75.43450888365155,002755,奥赛康,bottom_area,2023-07-20,8.01,2023-07-17,7.94,0.8816120906800932,2.392947103274564,28.853046594982075,False,0.125,0.2968,1,1,1,100.0,30.831099195710454,30.831099195710454,19.11838790931991,0.8816120906800932,历史1/1次成功; 当前距低点0.88%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
3,85.1980560423546,74.54292850906971,002063,远光软件,bottom_area,2023-07-20,6.94,2023-07-07,6.76,2.6627218934911334,9.911242603550296,29.656607700312172,True,-2.5281,1.253,1,1,1,100.0,21.311475409836078,21.311475409836078,17.33727810650887,2.6627218934911334,历史1/1次成功; 当前距低点2.66%; 最新日涨幅-2.53%; 状态bottom_area; 底部已确认
4,84.66287247014778,75.67742609949532,600935,华塑股份,bottom_area,2023-07-20,3.79,2023-06-27,3.65,3.835616438356168,6.575342465753431,28.571428571428577,False,0.2646,0.2558,1,1,1,100.0,28.50877192982458,28.50877192982458,16.164383561643834,3.835616438356168,历史1/1次成功; 当前距低点3.84%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
5,68.1232564974079,61.19819732627659,603222,济民健康,bottom_area,2023-07-20,9.88,2023-07-10,9.49,4.109589041095896,8.74604847207587,27.112135176651304,True,-0.1011,1.5298,3,7,3,42.857142857142854,41.11092348681001,68.46504559270518,15.890410958904106,4.109589041095896,历史3/7次成功; 当前距低点4.11%; 最新日涨幅-0.10%; 状态bottom_area; 底部已确认
6,64.16718012270202,56.224458996402646,002403,爱仕达,bottom_area,2023-07-20,8.99,2023-07-19,8.75,2.742857142857145,3.5428571428571485,29.887820512820518,False,1.2387,4.5342,1,3,1,33.33333333333333,21.63892445582587,21.63892445582587,17.257142857142856,2.742857142857145,历史1/3次成功; 当前距低点2.74%; 最新日涨幅1.24%; 状态bottom_area; 底部未确认
7,63.16588640991887,54.524299344066776,603033,三维股份,bottom_area,2023-07-20,15.9,2023-07-17,15.6,1.9230769230769278,5.25641025641027,27.677329624478446,False,-0.4383,0.1813,1,3,1,33.33333333333333,24.922480620155024,24.922480620155024,18.076923076923073,1.9230769230769278,历史1/3次成功; 当前距低点1.92%; 最新日涨幅-0.44%; 状态bottom_area; 底部未确认
8,62.893415994624014,54.196355488780256,688318,财富趋势,bottom_area,2023-07-20,89.61,2023-07-19,88.0,1.829545454545454,5.113636363636364,28.837134077308747,False,-1.1909,0.8483,1,3,1,33.33333333333333,22.012826837691176,22.012826837691176,18.170454545454547,1.829545454545454,历史1/3次成功; 当前距低点1.83%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
9,61.40645081352962,55.73966617202648,002395,双象股份,bottom_area,2023-07-20,11.41,2023-06-26,10.9,4.6788990825688055,8.34862385321101,29.677419354838708,True,-1.0408,2.1801,1,2,1,50.0,36.59976387249114,36.59976387249114,15.321100917431195,4.6788990825688055,历史1/2次成功; 当前距低点4.68%; 最新日涨幅-1.04%; 状态bottom_area; 底部已确认
10,59.131004248668354,50.16468737808376,688169,石头科技,bottom_area,2023-07-20,251.43,2023-07-20,249.0,0.9759036144578341,5.570281124497994,32.42876526458616,False,-2.889,0.7661,1,3,1,33.33333333333333,29.71190476190475,29.71190476190475,19.024096385542165,0.9759036144578341,历史1/3次成功; 当前距低点0.98%; 最新日涨幅-2.89%; 状态bottom_area; 底部未确认
11,58.078376967770254,48.563421574721744,002829,星网宇达,bottom_area,2023-07-20,32.42,2023-07-20,32.36,0.18541409147095883,3.677379480840537,27.719454992182268,False,-3.1661,2.6449,1,3,1,33.33333333333333,21.628131021194598,21.628131021194598,19.814585908529043,0.18541409147095883,历史1/3次成功; 当前距低点0.19%; 最新日涨幅-3.17%; 状态bottom_area; 底部未确认
