rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.0938546910079,90.11011111535423,605228,神通科技,bottom_area,2025-12-10,14.32,2025-12-10,14.15,1.2014134275618369,1.4134275618374508,27.061855670103085,False,0.4208,0.5484,5,5,5,100.0,23.813622205350633,47.56554307116105,6.798586572438163,1.2014134275618369,历史5/5次成功; 当前距低点1.20%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
2,94.47252155982986,90.36971889301854,601127,赛力斯,bottom_area,2025-12-10,124.44,2025-11-24,122.37,1.691591076244172,7.232164746261334,28.854651162790695,True,0.3548,0.8863,9,9,9,100.0,22.02444380029711,42.19143576826195,6.308408923755829,1.691591076244172,历史9/9次成功; 当前距低点1.69%; 最新日涨幅0.35%; 状态bottom_area; 底部已确认
3,91.62375640188755,87.54774647691029,002759,天际股份,bottom_area,2025-12-10,34.83,2025-12-08,34.27,1.6340822877151888,7.090749927049897,27.33248515691263,True,-0.2006,15.1693,5,5,5,100.0,28.62072092957485,72.99787384833452,6.365917712284812,1.6340822877151888,历史5/5次成功; 当前距低点1.63%; 最新日涨幅-0.20%; 状态bottom_area; 底部已确认
4,90.69155566533593,87.32677176278656,002176,江特电机,bottom_area,2025-12-10,9.53,2025-12-05,9.34,2.034261241970016,4.817987152034254,27.428127428127425,False,0.8466,2.8253,5,5,5,100.0,19.058534378915056,39.01808785529715,5.9657387580299845,2.034261241970016,历史5/5次成功; 当前距低点2.03%; 最新日涨幅0.85%; 状态bottom_area; 底部未确认
5,89.76771576912991,87.51515186037587,300358,楚天科技,bottom_area,2025-12-10,9.2,2025-12-05,8.96,2.6785714285714106,4.575892857142839,27.74193548387096,False,0.9879,2.5077,4,4,4,100.0,27.96932643827245,38.205499276411004,5.32142857142859,2.6785714285714106,历史4/4次成功; 当前距低点2.68%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
6,88.01631021464446,84.63811669593615,300598,诚迈科技,bottom_area,2025-12-10,46.18,2025-12-05,45.29,1.965113711636124,4.52638551556636,29.234375,False,-0.4312,2.5841,5,5,5,100.0,26.22890300250812,45.24950099800398,6.034886288363876,1.965113711636124,历史5/5次成功; 当前距低点1.97%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
7,87.85134574178079,83.77102940678145,002459,晶澳科技,bottom_area,2025-12-10,11.3,2025-12-10,11.13,1.5274034141958663,2.4258760107816673,27.254901960784313,False,-1.3962,1.3254,6,6,6,100.0,16.2016623180001,26.683937823834192,6.472596585804134,1.5274034141958663,历史6/6次成功; 当前距低点1.53%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
8,87.48044592759054,83.70165551224838,603032,德新科技,bottom_area,2025-12-10,18.5,2025-12-10,18.19,1.7042330951071945,2.1990104452996073,27.064955894145946,False,-0.2695,2.5159,5,5,5,100.0,17.996274027380522,33.061224489795926,6.295766904892805,1.7042330951071945,历史5/5次成功; 当前距低点1.70%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
9,84.93353857094759,83.94715944744016,000619,海螺新材,bottom_area,2025-12-10,6.4,2025-11-21,6.19,3.3925686591276247,7.108239095315015,27.85547785547785,True,-1.0819,2.666,4,4,4,100.0,30.81836553898465,43.133047210300425,4.607431340872376,3.3925686591276247,历史4/4次成功; 当前距低点3.39%; 最新日涨幅-1.08%; 状态bottom_area; 底部已确认
10,83.48330439051254,84.3846334452961,002104,恒宝股份,bottom_area,2025-12-10,18.35,2025-12-04,17.55,4.558404558404562,7.578347578347569,27.027027027027028,True,0.2732,3.126,4,4,4,100.0,24.988149669131648,43.85245901639344,3.441595441595438,4.558404558404562,历史4/4次成功; 当前距低点4.56%; 最新日涨幅0.27%; 状态bottom_area; 底部已确认
11,82.04406414270558,80.36234101240123,000803,山高环能,bottom_area,2025-12-10,6.69,2025-12-05,6.5,2.923076923076929,3.8461538461538463,32.22106360792492,False,0.2999,1.9389,2,2,2,100.0,25.843851596863644,36.1111111111111,5.07692307692307,2.923076923076929,历史2/2次成功; 当前距低点2.92%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
