rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.72498509705262,78.61421619141726,002721,金一文化,bottom_area,2024-11-27,2.38,2024-11-27,2.3,3.478260869565221,3.478260869565221,31.54761904761905,False,1.2766,1.9826,2,2,2,100.0,23.250811688311686,23.376623376623378,11.521739130434778,3.478260869565221,历史2/2次成功; 当前距低点3.48%; 最新日涨幅1.28%; 状态bottom_area; 底部未确认
2,84.17551656221843,77.06191504572647,603079,圣达生物,bottom_area,2024-11-27,15.28,2024-11-27,14.87,2.757229320780095,4.57296570275724,29.8915605846299,False,-0.9079,9.0081,2,2,2,100.0,28.539773640349868,34.84698914116485,12.242770679219904,2.757229320780095,历史2/2次成功; 当前距低点2.76%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
3,82.68472263962428,78.18139410187668,002757,南兴股份,bottom_area,2024-11-27,15.59,2024-11-27,14.92,4.490616621983913,4.691689008042891,27.041564792176036,False,0.9715,11.0268,1,1,1,100.0,50.75376884422111,50.75376884422111,10.509383378016086,4.490616621983913,历史1/1次成功; 当前距低点4.49%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
4,80.09236401552761,74.72570009930483,000782,恒申新材,bottom_area,2024-11-27,4.95,2024-11-27,4.77,3.7735849056603903,3.7735849056603903,27.945619335347438,False,0.4057,2.8197,1,1,1,100.0,22.631578947368432,22.631578947368432,11.22641509433961,3.7735849056603903,历史1/1次成功; 当前距低点3.77%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
5,79.64766574585634,69.25883977900553,000973,佛塑科技,bottom_area,2024-11-27,7.37,2024-11-27,7.37,0.0,2.9850746268656683,32.26102941176471,False,-10.0122,16.9806,1,1,1,100.0,31.767955801104957,31.767955801104957,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态bottom_area; 底部未确认
6,78.88992874828656,75.29003451256234,688280,精进电动,bottom_area,2024-11-27,5.26,2024-11-27,5.01,4.990019960079841,5.18962075848303,27.28592162554427,False,1.1538,1.048,2,2,2,100.0,23.910107642711743,32.37518910741301,10.009980039920158,4.990019960079841,历史2/2次成功; 当前距低点4.99%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
7,76.42611938060934,69.55070998796631,603004,鼎龙科技,bottom_area,2024-11-27,22.7,2024-11-27,22.16,2.436823104693137,5.550541516245489,28.121959130716828,False,-7.7985,54.609,2,3,2,66.66666666666666,52.20363732099522,55.7168784029038,12.563176895306864,2.436823104693137,历史2/3次成功; 当前距低点2.44%; 最新日涨幅-7.80%; 状态bottom_area; 底部未确认
8,73.69145543817454,67.69180301540196,002761,浙江建投,bottom_area,2024-11-27,10.16,2024-11-27,9.87,2.9381965552178415,3.9513677811550214,28.890489913544677,False,-5.2239,8.2987,4,6,4,66.66666666666666,29.485077928128906,43.73730534867976,12.061803444782159,2.9381965552178415,历史4/6次成功; 当前距低点2.94%; 最新日涨幅-5.22%; 状态bottom_area; 底部未确认
9,71.68677895530817,67.9497836480785,301628,强达电路,bottom_area,2024-11-27,83.96,2024-11-27,80.25,4.62305295950155,6.5420560747663545,29.67312242572956,False,-2.6438,12.9007,1,1,1,100.0,19.08787309538719,19.08787309538719,10.376947040498449,4.62305295950155,历史1/1次成功; 当前距低点4.62%; 最新日涨幅-2.64%; 状态bottom_area; 底部未确认
10,69.87329666666666,60.7593884057971,000605,渤海股份,bottom_area,2024-11-27,9.86,2024-11-27,9.86,0.0,5.375253549695752,27.12490761271249,False,-10.0365,17.8464,2,3,2,66.66666666666666,24.960869565217386,29.39999999999999,15.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-10.04%; 状态bottom_area; 底部未确认
11,64.35550609760914,59.74963818321785,301548,崇德科技,bottom_area,2024-11-27,44.82,2024-11-27,43.3,3.5103926096997764,3.6489607390300356,29.34073107049609,False,0.4482,3.5088,1,3,1,33.33333333333333,54.89098408956984,54.89098408956984,11.489607390300224,3.5103926096997764,历史1/3次成功; 当前距低点3.51%; 最新日涨幅0.45%; 状态bottom_area; 底部未确认
12,50.10062885170675,46.798775305337124,002824,和胜股份,bottom_area,2024-11-27,17.32,2024-11-27,16.68,3.836930455635495,4.916067146282976,32.414910858995135,False,-2.0916,9.1348,1,5,1,20.0,19.06976744186047,19.06976744186047,11.163069544364504,3.836930455635495,历史1/5次成功; 当前距低点3.84%; 最新日涨幅-2.09%; 状态bottom_area; 底部未确认
