信号日期(T+0),候选顺序,代码,名称,rank_score,换手率%,回撤%,买入日期(T+1),开盘价,昨收,低开幅度%,操作,卖出日期,卖出价,退出原因,收益率%
2026-01-05,1,002910,庄园牧场,96.25,6.51,31.11,2026-01-06,11.19,0.0,0.089,买入,2026-01-15,12.309000000000001,止盈,9.89
2026-01-06,1,002910,庄园牧场,92.68,7.87,31.11,2026-01-07,11.25,0.0,-0.177,已持仓,,,,
2026-01-07,3,002910,庄园牧场,82.47,14.52,31.11,2026-01-08,11.43,0.0,-0.953,已持仓,,,,
2026-01-08,1,002910,庄园牧场,85.95,10.93,31.11,2026-01-09,11.33,0.0,0.088,已持仓,,,,
2026-01-09,1,002910,庄园牧场,83.57,9.54,31.11,2026-01-12,11.51,0.0,0.0,已持仓,,,,
2026-01-12,1,301687,新广益,83.14,33.55,29.11,2026-01-13,63.8,0.0,-1.406,已持仓,,,,
2026-01-13,1,000735,罗牛山,87.43,9.73,27.77,2026-01-14,8.13,0.0,-1.215,已持仓,,,,
2026-01-14,1,301687,新广益,95.67,20.08,30.58,2026-01-15,61.65,0.0,-0.964,已持仓,,,,
2026-01-15,2,301687,新广益,89.89,17.61,30.58,2026-01-16,63.01,0.0,-0.095,买入,2026-01-28,60.489599999999996,止损,-4.1
2026-01-16,1,603278,大业股份,93.08,12.24,29.29,2026-01-19,12.88,0.0,1.178,已持仓,,,,
2026-01-19,1,301687,新广益,87.77,15.38,30.58,2026-01-20,63.12,0.0,-0.41,已持仓,,,,
2026-01-20,1,002639,雪人集团,90.3,20.78,29.37,2026-01-21,20.74,0.0,-0.67,已持仓,,,,
2026-01-21,2,600776,东方通信,91.87,6.92,32.85,2026-01-22,18.56,0.0,-0.215,已持仓,,,,
2026-01-22,2,688562,航天软件,89.73,6.11,28.05,2026-01-23,24.0,0.0,4.621,已持仓,,,,
2026-01-23,1,301687,新广益,87.56,15.54,30.58,2026-01-26,63.61,0.0,0.315,已持仓,,,,
2026-01-26,1,300155,安居宝,91.51,10.23,31.06,2026-01-27,5.64,0.0,-0.704,已持仓,,,,
2026-01-27,1,301687,新广益,89.6,12.56,30.58,2026-01-28,62.1,0.0,-0.513,已持仓,,,,
2026-01-28,1,301687,新广益,87.04,13.59,31.55,2026-01-29,60.3,0.0,-0.626,冷却期,,,,
2026-01-29,4,301023,奕帆传动,85.7,9.59,27.08,2026-01-30,47.17,0.0,-1.09,买入,2026-02-27,47.08,到期,-0.29
2026-01-30,2,301023,奕帆传动,88.25,10.25,28.43,2026-02-02,47.51,0.0,-1.041,已持仓,,,,
2026-02-02,1,301023,奕帆传动,90.28,7.57,28.43,2026-02-03,47.44,0.0,0.381,已持仓,,,,
2026-02-03,2,301023,奕帆传动,87.8,7.63,28.43,2026-02-04,47.67,0.0,-0.811,已持仓,,,,
2026-02-04,1,300668,杰恩股份,94.1,5.31,27.93,2026-02-05,25.0,0.0,0.402,已持仓,,,,
2026-02-05,3,301023,奕帆传动,86.01,5.42,30.02,2026-02-06,45.64,0.0,-0.197,已持仓,,,,
2026-02-06,3,301023,奕帆传动,89.19,8.99,30.47,2026-02-09,46.8,0.0,0.559,已持仓,,,,
2026-02-09,4,301023,奕帆传动,82.53,5.99,30.47,2026-02-10,47.2,0.0,-0.148,已持仓,,,,
2026-02-10,4,301023,奕帆传动,78.07,5.75,30.47,2026-02-11,47.02,0.0,-0.487,已持仓,,,,
2026-02-11,10,300561,汇金科技,70.59,6.02,31.83,2026-02-12,12.81,0.0,-1.839,已持仓,,,,
2026-02-24,4,301025,读客文化,87.4,13.75,27.14,2026-02-25,12.2,0.0,0.412,已持仓,,,,
2026-02-25,1,600986,浙文互联,96.02,10.91,27.79,2026-02-26,12.04,0.0,0.0,已持仓,,,,
2026-02-26,1,600986,浙文互联,90.19,10.31,28.82,2026-02-27,11.83,0.0,0.339,已持仓,,,,
2026-02-27,1,605033,美邦股份,99.9,11.21,29.2,2026-03-02,24.2,0.0,-2.811,低开跳过,,,,
2026-03-02,1,605033,美邦股份,96.78,8.36,31.77,2026-03-03,23.6,0.0,-0.422,买入,2026-03-04,22.55,止损(低开),-4.55
2026-03-03,1,300986,志特新材,89.55,7.28,29.58,2026-03-04,27.53,0.0,-1.994,已持仓,,,,
2026-03-04,1,300986,志特新材,98.49,5.37,31.12,2026-03-05,28.01,0.0,1.486,买入,2026-03-09,26.59,止损(低开),-5.17
2026-03-05,14,300077,国民技术,86.71,6.0,30.58,2026-03-06,20.01,0.0,-1.136,已持仓,,,,
2026-03-06,11,603163,圣晖集成,84.62,5.56,27.74,2026-03-09,106.6,0.0,-1.769,已持仓,,,,
2026-03-09,9,688680,海优新材,85.24,5.05,29.41,2026-03-10,51.86,0.0,2.087,买入,2026-03-16,49.77,止损(低开),-4.13
2026-03-12,6,301226,祥明智能,88.32,6.96,29.48,2026-03-13,35.44,0.0,-0.756,已持仓,,,,
2026-03-16,9,301226,祥明智能,87.98,5.72,31.72,2026-03-17,35.1,0.0,0.92,买入,2026-03-18,43.03,止盈(高开),22.47
2026-03-17,14,002842,翔鹭钨业,77.23,16.18,31.87,2026-03-18,34.09,0.0,0.888,已持仓,,,,
2026-03-19,1,300461,田中精机,94.63,10.64,28.15,2026-03-20,44.07,0.0,-0.631,买入,2026-03-23,42.3072,止损,-4.1
2026-03-20,1,301468,博盈特焊,90.25,7.51,28.16,2026-03-23,48.2,0.0,-1.452,已持仓,,,,
2026-03-23,1,600345,长江通信,95.78,5.43,28.48,2026-03-24,35.8,0.0,2.638,买入,2026-03-25,39.38,止盈,9.89
2026-03-24,2,002413,雷科防务,92.13,8.2,27.29,2026-03-25,12.59,0.0,0.159,已持仓,,,,
2026-03-25,2,000020,深华发A,87.2,18.68,32.03,2026-03-26,17.07,0.0,-3.45,低开跳过,,,,
2026-03-26,7,002413,雷科防务,88.31,9.14,27.29,2026-03-27,12.35,0.0,-1.984,买入,2026-03-31,13.585,止盈,9.89
2026-03-27,7,002413,雷科防务,88.52,6.71,27.29,2026-03-30,12.58,0.0,-1.178,已持仓,,,,
2026-03-30,6,301687,新广益,88.12,9.28,28.36,2026-03-31,54.69,0.0,0.422,已持仓,,,,
2026-03-31,14,301687,新广益,84.72,11.1,31.03,2026-04-01,52.5,0.0,1.902,买入,2026-04-03,50.4,止损,-4.1
2026-04-01,8,301687,新广益,87.29,7.6,31.03,2026-04-02,53.04,0.0,-0.132,已持仓,,,,
2026-04-02,3,300345,华民股份,91.26,11.72,27.94,2026-04-03,7.24,0.0,0.0,已持仓,,,,
2026-04-03,12,600722,金牛化工,86.89,12.82,31.4,2026-04-07,13.46,0.0,1.97,买入,2026-04-08,14.806000000000003,止盈,9.89
2026-04-07,19,002506,协鑫集成,84.66,10.1,29.77,2026-04-08,4.54,0.0,3.653,已持仓,,,,
2026-04-08,7,002150,正泰电源,73.17,5.71,28.04,2026-04-09,29.5,0.0,-1.007,买入,2026-04-10,32.99,止盈(高开),11.72
2026-04-09,12,002506,协鑫集成,80.02,6.79,29.77,2026-04-10,4.45,0.0,1.136,已持仓,,,,
2026-04-10,12,603017,中衡设计,70.77,7.92,27.02,2026-04-13,13.36,0.0,-0.224,买入,2026-04-16,12.8256,止损,-4.1
2026-04-13,2,002788,鹭燕医药,87.06,15.15,28.49,2026-04-14,14.64,0.0,0.137,已持仓,,,,
2026-04-14,1,002788,鹭燕医药,94.92,11.44,29.57,2026-04-15,14.62,0.0,0.828,已持仓,,,,
2026-04-15,3,002506,协鑫集成,82.88,8.2,29.77,2026-04-16,4.34,0.0,-0.686,已持仓,,,,
2026-04-20,5,600636,退市国化,83.36,6.99,27.08,2026-04-21,5.69,0.0,-1.727,买入,2026-04-22,6.259000000000001,止盈,9.89
