rank,code,name,rank_score,probability_score,current_drawdown_pct,current_low_to_latest_pct,latest_turn,latest_pct_chg,current_stage,current_is_bottom_confirmed,latest_close,current_low_price,current_top_price,history_success_rate_pct,history_sample_count,history_success_count,reason
77,000516,国际医学,78.69465576585011,69.4572006535505,27.65151515151516,3.141361256544505,0.907187106657138,2.0725388601036343,bottom_area,False,3.94,3.82,5.28,66.66666666666666,3,2,历史2/3次成功; 当前距低点3.14%; 最新日涨幅2.07%; 状态bottom_area; 底部未确认
78,000715,中兴商业,78.66439871541343,69.79225675889913,30.089820359281436,3.426124197002144,1.378813641136668,1.4705882352941346,bottom_area,False,4.83,4.67,6.68,60.0,5,3,历史3/5次成功; 当前距低点3.43%; 最新日涨幅1.47%; 状态bottom_area; 底部未确认
79,603230,内蒙新华,78.5595067170488,69.51853244610874,29.55223880597016,3.283898305084751,0.4975348028643379,2.4159663865546355,bottom_area,False,9.75,9.44,13.4,66.66666666666666,3,2,历史2/3次成功; 当前距低点3.28%; 最新日涨幅2.42%; 状态bottom_area; 底部未确认
80,605369,拱东医疗,78.33536505822313,68.26665946940618,29.67372134038801,2.4451410658307244,0.5781138776795879,0.3685503685503688,bottom_area,False,16.34,15.95,22.68,50.0,4,2,历史2/4次成功; 当前距低点2.45%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
81,603239,浙江仙通,78.22053830392969,70.14100483553285,31.37577002053388,4.009575104727697,1.83806146572104,2.7186761229314182,bottom_area,False,17.38,16.71,24.35,66.66666666666666,3,2,历史2/3次成功; 当前距低点4.01%; 最新日涨幅2.72%; 状态bottom_area; 底部未确认
82,600376,首开股份,78.19998409714064,67.72285938112026,27.29257641921397,2.1021021021020974,2.4762931836020337,1.1904761904761862,bottom_area,False,3.4,3.33,4.58,50.0,4,2,历史2/4次成功; 当前距低点2.10%; 最新日涨幅1.19%; 状态bottom_area; 底部未确认
83,603232,格尔软件,78.12723443434355,66.86489951855458,31.00436681222707,1.4556962025316482,3.615261565067013,0.250156347717323,bottom_area,False,16.03,15.8,22.9,37.5,8,3,历史3/8次成功; 当前距低点1.46%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
84,300652,雷迪克,77.89739765732457,67.15112609040443,28.03880540232072,1.8503832936822704,1.47956153108304,1.581861323490652,bottom_area,False,38.53,37.83,52.57,50.0,2,1,历史1/2次成功; 当前距低点1.85%; 最新日涨幅1.58%; 状态bottom_area; 底部未确认
85,002104,恒宝股份,77.79764105765817,69.42507481657478,30.031948881789145,3.744292237442924,3.996921125030867,1.9748653500897493,bottom_area,False,11.36,10.95,15.65,60.0,5,3,历史3/5次成功; 当前距低点3.74%; 最新日涨幅1.97%; 状态bottom_area; 底部未确认
86,300441,鲍斯股份,77.46418581495654,68.71822935197758,27.329192546583865,3.4188034188034218,1.1617676656132618,2.195945945945943,bottom_area,False,6.05,5.85,8.05,66.66666666666666,3,2,历史2/3次成功; 当前距低点3.42%; 最新日涨幅2.20%; 状态bottom_area; 底部未确认
87,301329,信音电子,77.46252513567957,64.85209293502537,28.121212121212125,0.2529510961214261,13.595022242032378,-2.4610336341263195,bottom_area,False,23.78,23.72,33.0,66.66666666666666,3,2,历史2/3次成功; 当前距低点0.25%; 最新日涨幅-2.46%; 状态bottom_area; 底部未确认
88,688262,国芯科技,77.23670241655446,69.44427546651633,27.25619458967948,4.156249999999995,4.23023957062857,0.0,bottom_area,True,33.33,32.0,43.99,57.14285714285714,7,4,历史4/7次成功; 当前距低点4.16%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
89,603322,超讯通信,77.22834697501146,65.90999386867982,31.150398406374503,1.3019891500904268,3.0112294266403783,0.7191657677094732,bottom_area,False,28.01,27.65,40.16,37.5,8,3,历史3/8次成功; 当前距低点1.30%; 最新日涨幅0.72%; 状态bottom_area; 底部未确认
90,603289,泰瑞机器,76.9072117520259,66.25352662444288,30.5511811023622,1.8140589569161008,2.145212552935864,-0.7734806629834279,bottom_area,False,8.98,8.82,12.7,50.0,4,2,历史2/4次成功; 当前距低点1.81%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
91,002819,东方中科,76.88372186469759,66.43534050608947,28.768066070199588,1.9806763285024165,0.8560898256370446,0.8600095556617227,bottom_area,False,21.11,20.7,29.06,40.0,5,2,历史2/5次成功; 当前距低点1.98%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
92,002540,亚太科技,76.78067123490665,68.61590986701044,28.489208633093533,3.822937625754536,1.4509884637880377,1.976284584980248,bottom_area,False,5.16,4.97,6.95,66.66666666666666,3,2,历史2/3次成功; 当前距低点3.82%; 最新日涨幅1.98%; 状态bottom_area; 底部未确认
93,000572,海马汽车,76.71623218371178,66.87012713337752,31.249999999999996,2.457002457002448,2.411169106467677,1.213592233009697,bottom_area,False,4.17,4.07,5.92,37.5,8,3,历史3/8次成功; 当前距低点2.46%; 最新日涨幅1.21%; 状态bottom_area; 底部未确认
94,601177,杭齿前进,76.43103360146334,67.74660263990833,30.192719486081376,3.374233128834366,2.109308603709444,1.9667170953101327,bottom_area,False,13.48,13.04,18.68,50.0,4,2,历史2/4次成功; 当前距低点3.37%; 最新日涨幅1.97%; 状态bottom_area; 底部未确认
95,300672,国科微,75.99512474249235,65.04032654442152,29.81687898089173,1.4558517678200125,6.2495217419161335,-0.3343239227340144,bottom_area,True,268.3,264.45,376.8,40.0,5,2,历史2/5次成功; 当前距低点1.46%; 最新日涨幅-0.33%; 状态bottom_area; 底部已确认
96,300542,新晨科技,75.85956752102706,68.8141723860241,29.600484261501204,4.643164230438514,1.8992092108375085,2.700421940928277,bottom_area,False,12.17,11.63,16.52,62.5,8,5,历史5/8次成功; 当前距低点4.64%; 最新日涨幅2.70%; 状态bottom_area; 底部未确认
97,300535,达威股份,75.71513083604532,67.64712509122083,27.5505174963036,3.809523809523813,2.3842732059931278,1.3280212483399725,bottom_area,False,15.26,14.7,20.29,66.66666666666666,3,2,历史2/3次成功; 当前距低点3.81%; 最新日涨幅1.33%; 状态bottom_area; 底部未确认
98,688326,经纬恒润,74.81923989923332,66.33051347267123,27.52154080081095,3.3846153846153872,1.576012274801435,2.83806343906512,bottom_area,False,73.92,71.5,98.65,50.0,4,2,历史2/4次成功; 当前距低点3.38%; 最新日涨幅2.84%; 状态bottom_area; 底部未确认
99,002045,国光电器,74.67651710890246,65.62341600544815,30.67896060352054,2.902055622732772,2.60688113488608,1.6726403823178029,bottom_area,False,8.51,8.27,11.93,44.44444444444444,9,4,历史4/9次成功; 当前距低点2.90%; 最新日涨幅1.67%; 状态bottom_area; 底部未确认
100,000839,国安股份,74.57253351115563,63.47629558129557,30.188679245283023,1.158301158301168,1.1530562100807402,0.3831417624521105,bottom_area,False,2.62,2.59,3.71,50.0,2,1,历史1/2次成功; 当前距低点1.16%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
101,002829,星网宇达,74.57023678593168,66.23727005722056,31.732851985559563,3.490216816499207,8.227041645983464,3.4902168164992142,bottom_area,True,19.57,18.91,27.7,50.0,6,3,历史3/6次成功; 当前距低点3.49%; 最新日涨幅3.49%; 状态bottom_area; 底部已确认
102,601002,晋亿实业,74.53466185700292,64.29973497091144,30.102790014684288,1.8907563025210052,1.1326633456226531,0.8316008316008316,bottom_area,False,4.85,4.76,6.81,50.0,2,1,历史1/2次成功; 当前距低点1.89%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
103,600699,均胜电子,74.4026700456239,64.0698609531033,29.24841533353456,1.7918088737201283,2.6225088191276567,1.4024649383765242,bottom_area,False,23.86,23.44,33.13,50.0,2,1,历史1/2次成功; 当前距低点1.79%; 最新日涨幅1.40%; 状态bottom_area; 底部未确认
104,600992,贵绳股份,73.29362190868915,63.51607289996129,27.259259259259256,2.1384928716904184,2.8503814925129545,0.199800199800193,bottom_area,False,10.03,9.82,13.5,28.57142857142857,7,2,历史2/7次成功; 当前距低点2.14%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
105,688089,嘉必优,73.14935784802732,65.17253852999949,32.140796306982104,3.6564625850340113,1.2680241176425535,0.5775577557755707,bottom_area,False,12.19,11.76,17.33,40.0,5,2,历史2/5次成功; 当前距低点3.66%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
