周期,信号日期,排名,评分,股票代码,股票名称,买入日期,买入价,买入股数,买入金额,止盈价,止损价,卖出日期,卖出价,卖出金额,持股天数,退出原因,买入费,卖出费,总手续费,净收益金额,收益率%,买前现金,卖后现金
2021,2021-02-05,1,83.17360947816427,600121,郑州煤电,2021-02-08,4.82,10300,49646.0,5.302,4.627,2021-02-09,5.302,54610.6,2,止盈,12.91,68.81,81.72,4882.88,9.83,50000.0,54882.88
2021,2021-04-14,3,76.97706297777526,603222,济民健康,2021-04-15,16.4,3300,54120.0,18.04,15.744,2021-04-16,15.744,51955.2,2,止损,14.07,65.46,79.53,-2244.33,-4.15,54882.88,52638.55
2021,2021-04-26,1,86.23157576778118,002222,福晶科技,2021-04-27,15.59,3300,51447.0,17.149,14.966,2021-04-28,14.966,49389.12,2,止损,13.38,62.23,75.61,-2133.49,-4.15,52638.55,50505.06
2021,2021-06-29,1,80.53939088849631,002679,福建金森,2021-06-30,18.78,2600,48828.0,20.658,18.029,2021-07-01,18.029,46874.88,2,止损,12.7,59.06,71.76,-2024.88,-4.15,50505.06,48480.18
2021,2021-07-28,3,79.49807375284841,605337,李子园,2021-07-29,44.72,1000,44720.0,49.192,42.931,2021-08-09,49.192,49192.0,8,止盈,11.63,61.98,73.61,4398.39,9.83,48480.18,52878.57
2021,2021-08-27,1,87.50459365963584,688317,之江生物,2021-08-30,52.5,1000,52500.0,57.75,50.4,2021-08-31,50.4,50400.0,2,止损,13.65,63.5,77.15,-2177.15,-4.15,52878.57,50701.42
2021,2021-09-08,1,84.92945849774685,605117,德业股份,2021-09-09,175.0,200,35000.0,192.5,168.0,2021-09-10,192.5,38500.0,2,止盈,9.1,48.51,57.61,3442.39,9.83,50701.42,54143.81
2021,2021-09-27,2,89.13434876976807,300688,创业黑马,2021-09-28,28.98,1800,52164.0,31.878,27.821,2021-09-29,31.878,57380.4,2,止盈,13.56,72.3,85.86,5130.54,9.83,54143.81,59274.35
2021,2021-09-29,1,90.14031689257553,300505,川金诺,2021-09-30,34.43,1700,58531.0,37.873,33.053,2021-10-08,38.4,65280.0,2,止盈(高开),15.22,82.25,97.47,6651.53,11.36,59274.35,65925.88
2021,2021-10-13,4,87.54754533219376,300437,清水源,2021-10-14,16.57,3900,64623.0,18.227,15.907,2021-10-20,18.227,71085.3,5,止盈,16.8,89.57,106.37,6355.93,9.83,65925.88,72281.81
2021,2021-12-17,1,85.0534032556247,688280,精进电动,2021-12-20,16.27,4400,71588.0,17.897,15.619,2021-12-27,15.619,68724.48,6,止损,18.61,86.59,105.21,-2968.73,-4.15,72281.81,69313.08
2021,2021-12-27,2,90.95811527378852,002357,富临运业,2021-12-28,6.56,10500,68880.0,7.216,6.298,2022-01-04,6.298,66124.8,5,止损,17.91,83.32,101.23,-2856.43,-4.15,69313.08,66456.66
2022,2022-01-05,4,81.84065752759707,002357,富临运业,2022-01-06,6.4,7800,49920.0,7.04,6.144,2022-01-10,6.144,47923.2,3,止损,12.98,60.38,73.36,-2070.16,-4.15,50000.0,47929.84
2022,2022-01-19,2,84.7148087886503,688317,之江生物,2022-01-20,57.0,800,45600.0,62.7,54.72,2022-01-21,52.5,42000.0,2,止损(低开),11.86,52.92,64.78,-3664.78,-8.03,47929.84,44265.06
2022,2022-01-21,2,87.80811644346966,002256,兆新股份,2022-01-24,3.72,11800,43896.0,4.092,3.571,2022-01-26,3.39,40002.0,3,止损(低开),11.41,50.4,61.82,-3955.82,-9.01,44265.06,40309.25
2022,2022-01-26,1,99.48538152610436,002584,西陇科学,2022-01-27,9.2,4300,39560.0,10.12,8.832,2022-01-28,8.832,37977.6,2,止损,10.29,47.85,58.14,-1640.54,-4.15,40309.25,38668.71
2022,2022-02-07,4,88.19689405120972,300447,全信股份,2022-02-08,17.1,2200,37620.0,18.81,16.416,2022-02-09,18.81,41382.0,2,止盈,9.78,52.14,61.92,3700.08,9.83,38668.71,42368.79
