rank,code,name,rank_score,probability_score,current_drawdown_pct,current_low_to_latest_pct,latest_turn,latest_pct_chg,current_stage,current_is_bottom_confirmed,latest_close,current_low_price,current_top_price,history_success_rate_pct,history_sample_count,history_success_count,reason
1,300355,蒙草生态,101.91669442317706,87.03708683828252,31.735159817351597,1.3377926421404545,1.0874363456109826,0.3311258278145601,bottom_area,False,3.03,2.99,4.38,100.0,3,3,历史3/3次成功; 当前距低点1.34%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
2,300641,正丹股份,101.7834010385382,86.94941504073132,31.893203883495158,1.354240912330729,0.8111201865147827,0.3528581510232831,bottom_area,False,14.22,14.03,20.6,100.0,2,2,历史2/2次成功; 当前距低点1.35%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
3,300986,志特新材,100.9075537537911,86.95820580041953,29.09448818897637,1.832315380344244,2.529455154584439,0.3831417624521105,bottom_area,False,18.34,18.01,25.4,100.0,2,2,历史2/2次成功; 当前距低点1.83%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
4,603086,先达股份,98.16966183574884,84.45478260869568,27.21518987341772,1.7391304347826024,0.8523662511235297,0.8620689655172376,bottom_area,False,5.85,5.75,7.9,100.0,1,1,历史1/1次成功; 当前距低点1.74%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
5,600615,鑫源智造,97.71056748986616,84.19645806451615,28.351309707241903,1.8279569892473109,1.2471916892730333,0.0,bottom_area,False,9.47,9.3,12.98,100.0,1,1,历史1/1次成功; 当前距低点1.83%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
6,600192,长城电工,97.28045605331344,85.07185590490607,30.87044534412956,2.6354319180087806,1.282201594535346,0.2861230329041397,bottom_area,False,7.01,6.83,9.88,100.0,2,2,历史2/2次成功; 当前距低点2.64%; 最新日涨幅0.29%; 状态bottom_area; 底部未确认
7,601800,中国交建,96.57585078749408,82.69861909538969,29.122807017543877,1.4851485148514976,0.2997412216100906,0.4901960784313708,bottom_area,False,6.15,6.06,8.55,100.0,1,1,历史1/1次成功; 当前距低点1.49%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
8,301186,超达装备,95.7223862058503,83.18917688266203,28.97126508272173,2.294220665499116,1.5861789856837938,1.6356359839916346,bottom_area,False,58.41,57.1,80.39,100.0,1,1,历史1/1次成功; 当前距低点2.29%; 最新日涨幅1.64%; 状态bottom_area; 底部未确认
9,001338,永顺泰,95.26632169837224,80.87426765479371,27.98833819241982,1.0121457489878507,1.4294717940429331,-2.252693437806075,bottom_area,False,9.98,9.88,13.72,100.0,2,2,历史2/2次成功; 当前距低点1.01%; 最新日涨幅-2.25%; 状态bottom_area; 底部未确认
10,603062,麦加芯彩,94.92974225956614,81.84697447323792,31.042735042735035,1.8591968269707488,1.0481993517084005,0.7354743809757425,bottom_area,False,41.09,40.34,58.5,100.0,1,1,历史1/1次成功; 当前距低点1.86%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
11,601186,中国铁建,94.893356063729,80.73016859153061,30.571108622620372,1.1290322580645062,0.2727117435123741,0.3199999999999869,bottom_area,False,6.27,6.2,8.93,100.0,1,1,历史1/1次成功; 当前距低点1.13%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
12,600429,三元股份,94.70272222222223,81.64027777777778,29.2962356792144,1.8518518518518532,0.8713121199019069,0.2277904328018332,bottom_area,False,4.4,4.32,6.11,100.0,1,1,历史1/1次成功; 当前距低点1.85%; 最新日涨幅0.23%; 状态bottom_area; 底部未确认
13,601019,山东出版,94.26177792171094,81.57722651553773,28.101802757158,2.064896755162237,0.2605395562796492,0.727802037845704,bottom_area,False,6.92,6.78,9.43,100.0,2,2,历史2/2次成功; 当前距低点2.06%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
14,600602,云赛智联,93.87812586408124,82.22141843971636,30.198019801980188,2.718676122931426,1.8282086684403944,1.5186915887850372,bottom_area,False,17.38,16.92,24.24,100.0,1,1,历史1/1次成功; 当前距低点2.72%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
15,002537,海联金汇,93.78686838652791,80.40040501369015,29.02439024390243,1.546391752577317,1.589471752080433,0.0,bottom_area,False,5.91,5.82,8.2,75.0,4,3,历史3/4次成功; 当前距低点1.55%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
16,601238,广汽集团,93.101109195256,79.56551554847037,32.98731257208766,1.376936316695354,0.2721685171961608,-0.6745362563237767,bottom_area,False,5.89,5.81,8.67,100.0,2,2,历史2/2次成功; 当前距低点1.38%; 最新日涨幅-0.67%; 状态bottom_area; 底部未确认
17,000822,山东海化,92.32798626944536,78.53625388064852,27.47967479674797,1.1210762331838524,1.5361213729942922,-0.879120879120876,bottom_area,False,4.51,4.46,6.15,100.0,1,1,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-0.88%; 状态bottom_area; 底部未确认
18,000919,金陵药业,92.18041059962468,77.51824293855023,31.483578708946773,0.4958677685950454,1.2016564693299612,-0.815660685154973,bottom_area,False,6.08,6.05,8.83,100.0,3,3,历史3/3次成功; 当前距低点0.50%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
19,601872,招商轮船,92.10092909713228,81.32219619393601,28.666666666666668,3.1631919482386737,1.0527511556000644,1.4851485148514865,bottom_area,False,14.35,13.91,19.5,100.0,2,2,历史2/2次成功; 当前距低点3.16%; 最新日涨幅1.49%; 状态bottom_area; 底部未确认
20,601969,海南矿业,92.10069522325456,79.69223918853035,31.294117647058822,2.054794520547942,0.8370897943178983,-0.3344481605351279,bottom_area,False,8.94,8.76,12.75,100.0,2,2,历史2/2次成功; 当前距低点2.05%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
21,688349,三一重能,91.9741292971616,80.70203724542269,32.84389489953632,2.819332566168021,0.7385217778871856,1.881413911060448,bottom_area,False,17.87,17.38,25.88,100.0,2,2,历史2/2次成功; 当前距低点2.82%; 最新日涨幅1.88%; 状态bottom_area; 底部未确认
22,000035,中国天楹,91.94870454076244,78.89732065281201,31.83673469387755,1.5968063872255505,1.896792519808841,-2.303262955854124,bottom_area,False,5.09,5.01,7.35,100.0,1,1,历史1/1次成功; 当前距低点1.60%; 最新日涨幅-2.30%; 状态bottom_area; 底部未确认
23,002686,亿利达,91.12968668442988,80.75613445378151,27.878787878787875,3.3613445378151288,1.4290581428889555,2.1594684385382257,bottom_area,False,6.15,5.95,8.25,100.0,1,1,历史1/1次成功; 当前距低点3.36%; 最新日涨幅2.16%; 状态bottom_area; 底部未确认
24,002556,辉隆股份,91.10263160528244,78.16679360480157,27.140783744557336,1.5936254980079698,0.7526653866718314,-0.1956947162426781,bottom_area,False,5.1,5.02,6.89,100.0,1,1,历史1/1次成功; 当前距低点1.59%; 最新日涨幅-0.20%; 状态bottom_area; 底部未确认
25,002075,沙钢股份,90.94709692772123,79.08443211106196,28.63070539419088,2.325581395348839,1.5307304746425687,-0.8450704225352101,bottom_area,False,3.52,3.44,4.82,100.0,2,2,历史2/2次成功; 当前距低点2.33%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
26,688670,金迪克,90.8255211940062,78.83834370354627,30.14150943396226,2.2282241728561787,0.9672889610389612,-0.2635046113306893,bottom_area,False,15.14,14.81,21.2,100.0,1,1,历史1/1次成功; 当前距低点2.23%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
27,000880,潍柴重机,90.73903194555062,79.62602207355303,28.55941704035875,2.8246371125931837,5.820546376855981,1.6285381930981169,bottom_area,False,26.21,25.49,35.68,100.0,1,1,历史1/1次成功; 当前距低点2.82%; 最新日涨幅1.63%; 状态bottom_area; 底部未确认
28,301063,海锅股份,90.17945438418168,78.13867928696273,28.46798780487805,2.1310602024507306,2.0893495235373787,0.524383848977461,bottom_area,False,19.17,18.77,26.24,100.0,1,1,历史1/1次成功; 当前距低点2.13%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
29,600619,海立股份,90.09448597278087,79.81524931816828,29.004547751389588,3.3451957295373584,2.1447467325688416,2.470007057163026,bottom_area,False,14.52,14.05,19.79,100.0,1,1,历史1/1次成功; 当前距低点3.35%; 最新日涨幅2.47%; 状态bottom_area; 底部未确认
30,000888,峨眉山A,89.90638764662356,75.64126173096975,27.894736842105267,0.5213764337852004,1.0769518069386297,-1.1282051282051175,bottom_area,False,9.64,9.59,13.3,100.0,1,1,历史1/1次成功; 当前距低点0.52%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
31,600108,亚盛集团,89.7304177402448,77.37007628496397,28.285077951002226,1.8633540372670687,2.6830085446873206,-0.3039513677811634,bottom_area,False,3.28,3.22,4.49,100.0,1,1,历史1/1次成功; 当前距低点1.86%; 最新日涨幅-0.30%; 状态bottom_area; 底部未确认
32,000032,深桑达A,89.7255121156339,80.26332364016524,29.929742388758783,3.8770053475935713,1.2818473421238323,2.913907284768213,bottom_area,False,15.54,14.96,21.35,100.0,2,2,历史2/2次成功; 当前距低点3.88%; 最新日涨幅2.91%; 状态bottom_area; 底部未确认
33,002760,凤形股份,89.50896514565613,78.01279000135624,32.26415094339623,2.451253481894158,3.27571307147205,0.0544069640914024,bottom_area,False,18.39,17.95,26.5,100.0,1,1,历史1/1次成功; 当前距低点2.45%; 最新日涨幅0.05%; 状态bottom_area; 底部未确认
