rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.02155411165975,81.76092726339344,600986,浙文互联,bottom_area,2026-02-25,12.04,16.48,2026-02-25,11.9,1.176470588235284,3.193277310924361,27.791262135922327,26.94174757281554,False,-2.1933,10.9095,5,6,5,83.33333333333334,37.2040154367557,60.28761061946904,18.823529411764717,1.176470588235284,历史5/6次成功; 当前距低点1.18%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
2,95.76657078032318,82.01026113165489,688317,之江生物,bottom_area,2026-02-25,21.14,28.58,2026-02-24,20.83,1.4882381180989068,2.064330292846871,27.11686494051785,26.032190342897128,False,0.4276,0.9955,3,4,3,75.0,37.948623875916084,40.461049284578706,18.511761881901094,1.4882381180989068,历史3/4次成功; 当前距低点1.49%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
3,91.95262329773306,80.93115864017086,301225,恒勃股份,bottom_area,2026-02-25,131.0,179.99,2026-02-25,127.2,2.9874213836477965,3.459119496855339,29.329407189288297,27.218178787710436,False,2.1204,3.6885,2,2,2,100.0,29.690749434880892,31.690140845070424,17.012578616352204,2.9874213836477965,历史2/2次成功; 当前距低点2.99%; 最新日涨幅2.12%; 状态bottom_area; 底部未确认
4,88.29952996804992,76.98157916551534,300780,德恩精工,bottom_area,2026-02-25,23.67,32.08,2026-02-25,23.1,2.4675324675324686,6.190476190476189,27.992518703241885,26.21571072319201,False,-2.7527,13.3579,1,1,1,100.0,41.22340425531916,41.22340425531916,17.532467532467532,2.4675324675324686,历史1/1次成功; 当前距低点2.47%; 最新日涨幅-2.75%; 状态bottom_area; 底部未确认
5,87.83735488854562,76.96225380710662,600271,航天信息,bottom_area,2026-02-25,10.12,13.99,2026-02-02,9.85,2.7411167512690313,5.1776649746192875,29.592566118656187,27.662616154396,False,1.2,1.2565,1,1,1,100.0,21.999999999999996,21.999999999999996,17.258883248730967,2.7411167512690313,历史1/1次成功; 当前距低点2.74%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
6,85.31994061910751,75.96360555652375,301023,奕帆传动,bottom_area,2026-02-25,46.96,65.18,2026-02-06,45.32,3.6187113857016784,5.4060017652250725,30.469469162319733,27.953359926357784,False,0.4062,3.8995,1,1,1,100.0,27.388535031847127,27.388535031847127,16.381288614298324,3.6187113857016784,历史1/1次成功; 当前距低点3.62%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
7,78.45386016767448,70.74144679525904,603169,兰石重装,bottom_area,2026-02-25,10.64,14.18,2026-01-29,10.2,4.3137254901960915,7.745098039215696,28.067700987306072,24.96473906911142,True,1.3333,1.526,3,5,3,60.0,35.30505867153828,49.872122762148344,15.68627450980391,4.3137254901960915,历史3/5次成功; 当前距低点4.31%; 最新日涨幅1.33%; 状态bottom_area; 底部已确认
8,74.97358962567829,62.47799135473191,603103,横店影视,bottom_area,2026-02-25,28.27,40.45,2026-02-25,28.27,0.0,2.4761230986911893,30.111248454882578,30.111248454882578,False,-9.9968,2.7457,2,3,2,66.66666666666666,34.20067036594215,37.951807228915676,20.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
9,74.74394175476351,65.36281437125749,300652,雷迪克,bottom_area,2026-02-25,51.42,74.21,2026-02-06,50.1,2.6347305389221565,4.510978043912171,32.48888289987871,30.71014688047432,False,0.9225,1.4298,1,2,1,50.0,54.41115272575945,54.41115272575945,17.365269461077844,2.6347305389221565,历史1/2次成功; 当前距低点2.63%; 最新日涨幅0.92%; 状态bottom_area; 底部未确认
10,69.82760138848171,61.34148115687994,300723,一品红,bottom_area,2026-02-25,33.54,45.88,2026-02-25,32.6,2.883435582822079,3.251533742331273,28.945074106364434,26.896251089799485,False,2.1627,1.4661,1,2,1,50.0,31.428571428571427,31.428571428571427,17.11656441717792,2.883435582822079,历史1/2次成功; 当前距低点2.88%; 最新日涨幅2.16%; 状态bottom_area; 底部未确认
11,69.05586473145914,59.21069089209035,688095,福昕软件,bottom_area,2026-02-25,84.8,121.0,2026-02-25,83.5,1.5568862275449067,2.8023952095808426,30.991735537190085,29.91735537190083,False,-0.2353,3.7498,2,6,2,33.33333333333333,28.962678266448417,31.679509356817103,18.443113772455096,1.5568862275449067,历史2/6次成功; 当前距低点1.56%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
12,66.93086603177387,59.42490072180231,600593,大连圣亚,bottom_area,2026-02-25,37.02,49.5,2026-02-24,35.78,3.465623253214092,4.807154835103407,27.717171717171713,25.212121212121207,False,1.6195,2.8218,1,2,1,50.0,28.26086956521739,28.26086956521739,16.53437674678591,3.465623253214092,历史1/2次成功; 当前距低点3.47%; 最新日涨幅1.62%; 状态bottom_area; 底部未确认
13,62.903081122071455,57.07737741745953,688119,中钢洛耐,bottom_area,2026-02-25,6.29,8.45,2026-02-12,6.01,4.658901830282866,5.158069883527463,28.87573964497041,25.562130177514785,False,1.7799,2.4493,1,2,1,50.0,30.267062314540045,30.267062314540045,15.341098169717135,4.658901830282866,历史1/2次成功; 当前距低点4.66%; 最新日涨幅1.78%; 状态bottom_area; 底部未确认
14,57.96403385337005,52.92368308351178,603360,百傲化学,bottom_area,2026-02-25,29.4,38.98,2026-02-09,28.0,4.999999999999995,9.357142857142861,28.168291431503327,24.5767060030785,True,-1.1765,1.3488,1,2,1,50.0,25.39614561027837,25.39614561027837,15.000000000000007,4.999999999999995,历史1/2次成功; 当前距低点5.00%; 最新日涨幅-1.18%; 状态bottom_area; 底部已确认
15,55.08379563030859,49.900223585937866,300687,赛意信息,bottom_area,2026-02-25,22.43,30.44,2026-02-06,21.45,4.568764568764571,9.090909090909088,29.533508541392912,26.31406044678056,True,-1.709,3.6832,1,3,1,33.33333333333333,23.299319727891156,23.299319727891156,15.431235431235429,4.568764568764571,历史1/3次成功; 当前距低点4.57%; 最新日涨幅-1.71%; 状态bottom_area; 底部已确认
