rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.37750528938422,83.20756304921659,002537,海联金汇,confirmed_rebound,2025-05-21,6.96,2025-05-14,6.86,1.4577259475218607,12.244897959183671,29.568788501026695,True,-1.8336,6.2166,3,3,3,100.0,30.006334460034605,39.33649289099527,6.542274052478139,1.4577259475218607,历史3/3次成功; 当前距低点1.46%; 最新日涨幅-1.83%; 状态confirmed_rebound; 底部已确认
2,86.07475295136163,82.28064079628167,002304,洋河股份,bottom_area,2025-05-21,68.13,2025-04-29,67.02,1.656222023276633,5.147717099373326,29.452631578947376,False,0.0441,0.2131,2,2,2,100.0,20.62810220081931,20.781426953567394,6.343777976723366,1.656222023276633,历史2/2次成功; 当前距低点1.66%; 最新日涨幅0.04%; 状态bottom_area; 底部未确认
3,81.55037528270356,75.70852763845902,688280,精进电动,bottom_area,2025-05-21,7.33,2025-05-21,7.32,0.13661202185792057,7.923497267759563,27.236580516898606,False,-6.8615,7.1921,3,3,3,100.0,22.526898109113223,32.37518910741301,7.86338797814208,0.13661202185792057,历史3/3次成功; 当前距低点0.14%; 最新日涨幅-6.86%; 状态bottom_area; 底部未确认
4,79.18164801330256,76.00708091007102,688050,爱博医疗,bottom_area,2025-05-21,75.62,2025-05-19,74.23,1.8725582648524863,4.108850868920917,31.547399483585387,False,-0.3164,0.8712,2,2,2,100.0,12.024267494272554,12.90770757525636,6.127441735147514,1.8725582648524863,历史2/2次成功; 当前距低点1.87%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
5,77.53935720200693,75.48101903310153,300727,润禾材料,bottom_area,2025-05-21,29.19,2025-05-19,28.45,2.60105448154658,5.16695957820739,29.228855721393042,False,-1.1179,1.5066,6,7,6,85.71428571428571,15.744979076186002,26.812499999999993,5.39894551845342,2.60105448154658,历史6/7次成功; 当前距低点2.60%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
6,73.55789557946133,74.88360108510153,600371,万向德农,confirmed_rebound,2025-05-21,9.58,2025-04-29,9.13,4.928806133625403,8.214676889375685,28.671874999999996,True,0.0,3.5925,1,1,1,100.0,38.66279069767441,38.66279069767441,3.071193866374597,4.928806133625403,历史1/1次成功; 当前距低点4.93%; 最新日涨幅0.00%; 状态confirmed_rebound; 底部已确认
7,70.02284844857354,71.20571941591996,001299,美能能源,bottom_area,2025-05-21,10.98,2025-04-29,10.47,4.871060171919769,7.163323782234957,31.11842105263157,True,-0.9025,4.2775,2,2,2,100.0,13.772777461812025,15.247322794492616,3.128939828080231,4.871060171919769,历史2/2次成功; 当前距低点4.87%; 最新日涨幅-0.90%; 状态bottom_area; 底部已确认
8,68.37850943113084,69.45983002832861,000565,渝三峡A,confirmed_rebound,2025-05-21,11.1,2025-05-21,10.59,4.815864022662888,11.898016997167137,28.154681139755766,False,-5.6122,27.1621,1,1,1,100.0,57.568807339449535,57.568807339449535,3.1841359773371125,4.815864022662888,历史1/1次成功; 当前距低点4.82%; 最新日涨幅-5.61%; 状态confirmed_rebound; 底部未确认
