rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.38743818801855,86.63520107558824,601127,赛力斯,bottom_area,2023-08-22,34.5,2023-08-22,33.7,2.3738872403560745,3.6795252225519133,27.07206232417225,False,1.5602,1.8135,8,8,8,100.0,19.503569804301506,30.591200733272228,5.6261127596439255,2.3738872403560745,历史8/8次成功; 当前距低点2.37%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
2,87.67819230202456,85.88932498171569,300604,长川科技,bottom_area,2023-08-22,34.8,2023-08-22,33.81,2.928127772848254,4.229517894114166,31.93074290316086,False,0.1439,1.8923,4,4,4,100.0,22.28739948284786,36.28082648300379,5.071872227151745,2.928127772848254,历史4/4次成功; 当前距低点2.93%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
3,86.04253683679651,82.6732134218676,000411,英特集团,bottom_area,2023-08-22,11.66,2023-08-22,11.44,1.9230769230769287,5.419580419580428,27.594936708860768,False,-2.5898,6.4365,3,3,3,100.0,31.816283905822544,47.98426745329401,6.076923076923071,1.9230769230769287,历史3/3次成功; 当前距低点1.92%; 最新日涨幅-2.59%; 状态bottom_area; 底部未确认
4,85.84832678819777,84.1275732659176,688248,南网科技,bottom_area,2023-08-22,30.39,2023-08-22,29.52,2.947154471544719,3.31978319783198,31.31689157747789,False,1.0306,2.8004,3,3,3,100.0,29.715513231395445,49.406593406593416,5.052845528455281,2.947154471544719,历史3/3次成功; 当前距低点2.95%; 最新日涨幅1.03%; 状态bottom_area; 底部未确认
5,85.44077330688447,82.04577569204137,000980,众泰汽车,bottom_area,2023-08-22,3.77,2023-08-22,3.7,1.8918918918918874,7.837837837837839,30.188679245283012,False,-3.0848,6.2361,4,4,4,100.0,21.609081750295033,43.49775784753364,6.108108108108112,1.8918918918918874,历史4/4次成功; 当前距低点1.89%; 最新日涨幅-3.08%; 状态bottom_area; 底部未确认
6,84.62732540039569,82.82787921787282,603236,移远通信,bottom_area,2023-08-22,45.33,2023-08-22,44.06,2.8824330458465637,3.9718565592374038,29.175373734126342,False,1.8423,2.1601,3,3,3,100.0,21.93455141076877,39.389337383102855,5.117566954153436,2.8824330458465637,历史3/3次成功; 当前距低点2.88%; 最新日涨幅1.84%; 状态bottom_area; 底部未确认
7,84.51734463846886,82.24431809348394,001266,宏英智能,bottom_area,2023-08-22,25.82,2023-08-22,25.17,2.582439411998405,3.655145013905435,28.534923339011918,False,0.0775,4.1515,3,3,3,100.0,15.119784692689752,23.285351397121083,5.417560588001595,2.582439411998405,历史3/3次成功; 当前距低点2.58%; 最新日涨幅0.08%; 状态bottom_area; 底部未确认
8,84.39785244136738,82.35714443760375,603005,晶方科技,bottom_area,2023-08-22,19.21,2023-08-22,18.7,2.727272727272736,3.101604278074876,27.46314972847169,False,1.694,2.1299,3,3,3,100.0,17.501754063363318,24.55991516436903,5.2727272727272645,2.727272727272736,历史3/3次成功; 当前距低点2.73%; 最新日涨幅1.69%; 状态bottom_area; 底部未确认
9,83.7873380638199,81.38044961461199,300539,横河精密,bottom_area,2023-08-22,11.55,2023-08-17,11.27,2.484472049689451,5.146406388642414,27.524115755627015,False,0.2604,1.2573,2,2,2,100.0,25.941106924214775,39.25845147219192,5.515527950310549,2.484472049689451,历史2/2次成功; 当前距低点2.48%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
10,83.45707884147275,80.66957227675009,002386,天原股份,bottom_area,2023-08-22,5.95,2023-08-22,5.82,2.233676975945015,3.092783505154634,29.794933655006023,False,-0.1678,0.8457,3,3,3,100.0,24.851375171530723,48.85290148448042,5.766323024054985,2.233676975945015,历史3/3次成功; 当前距低点2.23%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
11,83.34387254598202,81.68440177252585,002150,正泰电源,bottom_area,2023-08-22,13.94,2023-08-22,13.54,2.954209748892174,3.028064992614477,29.479166666666668,False,1.0877,1.2997,1,1,1,100.0,164.87025948103792,164.87025948103792,5.045790251107826,2.954209748892174,历史1/1次成功; 当前距低点2.95%; 最新日涨幅1.09%; 状态bottom_area; 底部未确认
12,83.14674418784078,81.76649970055293,300474,景嘉微,bottom_area,2023-08-22,70.52,2023-08-22,68.38,3.129570049722142,3.363556595495776,28.142076502732245,False,2.055,1.7075,2,2,2,100.0,35.92429792429792,59.857142857142854,4.870429950277858,3.129570049722142,历史2/2次成功; 当前距低点3.13%; 最新日涨幅2.06%; 状态bottom_area; 底部未确认
13,83.13660090469031,80.13846409876754,002240,盛新锂能,bottom_area,2023-08-22,24.42,2023-08-22,23.92,2.0903010033444818,4.3896321070234,32.237960339943335,False,-0.7317,1.252,3,3,3,100.0,20.23844293759655,33.42198581560282,5.909698996655519,2.0903010033444818,历史3/3次成功; 当前距低点2.09%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
14,83.08380369294068,79.9437670784197,000028,国药一致,bottom_area,2023-08-22,32.69,2023-08-22,32.05,1.9968798751950099,2.2152886115444645,27.40656851642129,False,1.0198,0.9265,2,2,2,100.0,12.240070934754426,14.150943396226415,6.00312012480499,1.9968798751950099,历史2/2次成功; 当前距低点2.00%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
15,82.2375629462354,79.15656763851027,603212,赛伍技术,bottom_area,2023-08-22,16.71,2023-08-22,16.38,2.0146520146520257,4.51770451770453,27.68211920529801,False,-1.4741,1.5686,2,2,2,100.0,30.698786193101522,32.01038575667657,5.985347985347975,2.0146520146520257,历史2/2次成功; 当前距低点2.01%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
16,81.74958102558405,77.95535071945766,600990,四创电子,bottom_area,2023-08-22,21.91,2023-08-22,21.58,1.5291936978684053,1.9462465245597855,32.7516360236834,False,0.9212,0.719,1,1,1,100.0,12.483399734395755,12.483399734395755,6.470806302131595,1.5291936978684053,历史1/1次成功; 当前距低点1.53%; 最新日涨幅0.92%; 状态bottom_area; 底部未确认
17,81.21242913563066,78.42070359548276,002272,川润股份,bottom_area,2023-08-22,6.09,2023-08-22,5.96,2.1812080536912735,4.026845637583897,27.228327228327228,False,-0.8143,1.9823,2,2,2,100.0,28.784182569348804,48.337595907928375,5.8187919463087265,2.1812080536912735,历史2/2次成功; 当前距低点2.18%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
