rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.78063917229028,83.55691868405084,688300,联瑞新材,bottom_area,2023-08-16,42.12,2023-08-14,41.55,1.3718411552346579,3.7304452466907447,28.974358974358978,False,0.0475,0.2936,2,2,2,100.0,24.003852247235756,26.809910956252438,18.628158844765345,1.3718411552346579,历史2/2次成功; 当前距低点1.37%; 最新日涨幅0.05%; 状态bottom_area; 底部未确认
2,89.98859864321608,75.68427135678391,002150,正泰电源,bottom_area,2023-08-16,14.0,2023-08-16,13.93,0.5025125628140724,3.3022254127781827,27.447916666666668,False,-1.8233,1.1513,1,1,1,100.0,164.87025948103792,164.87025948103792,19.497487437185928,0.5025125628140724,历史1/1次成功; 当前距低点0.50%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
3,88.93409391118796,74.61327011466172,688328,深科达,bottom_area,2023-08-16,21.82,2023-08-16,21.74,0.367985280588785,2.5298988040478414,30.918334922148077,False,-1.1328,3.4785,2,2,2,100.0,25.92621803443088,29.170984455958543,19.632014719411217,0.367985280588785,历史2/2次成功; 当前距低点0.37%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
4,87.14356087407225,75.59806797179024,002864,盘龙药业,bottom_area,2023-08-16,34.9,2023-08-08,34.15,2.1961932650073206,7.349926793557827,27.340425531914896,True,-2.7042,4.6891,1,1,1,100.0,21.26553019358567,21.26553019358567,17.80380673499268,2.1961932650073206,历史1/1次成功; 当前距低点2.20%; 最新日涨幅-2.70%; 状态bottom_area; 底部已确认
5,85.89909417024542,72.66865897620764,600935,华塑股份,bottom_area,2023-08-16,3.68,2023-06-27,3.65,0.8219178082191849,7.671232876712336,28.571428571428577,True,-0.8086,0.2488,1,1,1,100.0,28.50877192982458,28.50877192982458,19.178082191780817,0.8219178082191849,历史1/1次成功; 当前距低点0.82%; 最新日涨幅-0.81%; 状态bottom_area; 底部已确认
6,85.22375594997,71.32821263874314,603015,弘讯科技,bottom_area,2023-08-16,8.48,2023-08-16,8.46,0.23640661938533772,2.482269503546088,29.38230383973288,False,-1.7381,0.8167,1,1,1,100.0,23.318385650224208,23.318385650224208,19.763593380614665,0.23640661938533772,历史1/1次成功; 当前距低点0.24%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
7,84.91433407531738,71.00390384289827,002519,银河电子,bottom_area,2023-08-16,5.38,2023-08-16,5.37,0.18621973929236102,1.675977653631282,27.628032345013477,False,-1.4652,0.9717,1,1,1,100.0,20.959595959595962,20.959595959595962,19.813780260707638,0.18621973929236102,历史1/1次成功; 当前距低点0.19%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
8,83.9577760877812,73.52783631144418,002045,国光电器,bottom_area,2023-08-16,13.62,2023-08-14,13.26,2.7149321266968283,8.974358974358971,28.20790471034109,True,-4.0169,3.8472,3,4,3,75.0,30.875707313510432,33.77563329312426,17.285067873303174,2.7149321266968283,历史3/4次成功; 当前距低点2.71%; 最新日涨幅-4.02%; 状态bottom_area; 底部已确认
9,83.81266204040209,70.7509484756641,688143,长盈通,bottom_area,2023-08-16,28.6,2023-08-15,28.4,0.7042253521126861,2.887323943661973,32.04115817181144,False,-1.5829,0.6503,1,1,1,100.0,25.949367088607595,25.949367088607595,19.295774647887313,0.7042253521126861,历史1/1次成功; 当前距低点0.70%; 最新日涨幅-1.58%; 状态bottom_area; 底部未确认
10,81.3140148432674,71.93746878057505,002219,新里程,bottom_area,2023-08-16,3.79,2023-08-07,3.67,3.2697547683923736,6.267029972752043,29.42307692307693,False,-1.3021,0.3599,1,1,1,100.0,23.938223938223942,23.938223938223942,16.730245231607626,3.2697547683923736,历史1/1次成功; 当前距低点3.27%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
11,80.4058281585863,67.20402812908918,688248,南网科技,bottom_area,2023-08-16,30.93,2023-08-16,30.88,0.16191709844559815,3.011658031088082,28.152629129827822,False,-1.7159,1.9752,2,3,2,66.66666666666666,39.12114218751869,49.406593406593416,19.8380829015544,0.16191709844559815,历史2/3次成功; 当前距低点0.16%; 最新日涨幅-1.72%; 状态bottom_area; 底部未确认
12,78.67336474242279,70.9031558789736,002755,奥赛康,bottom_area,2023-08-16,8.03,2023-08-08,7.7,4.285714285714275,6.363636363636354,31.00358422939068,False,-0.7417,0.1918,1,1,1,100.0,30.831099195710454,30.831099195710454,15.714285714285726,4.285714285714275,历史1/1次成功; 当前距低点4.29%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
13,71.24750328700259,59.68244647382801,300604,长川科技,bottom_area,2023-08-16,35.35,2023-08-16,35.25,0.2836879432624154,4.2836879432624055,29.031608616871353,False,-3.1507,1.9283,2,4,2,50.0,29.834704217560827,36.28082648300379,19.716312056737586,0.2836879432624154,历史2/4次成功; 当前距低点0.28%; 最新日涨幅-3.15%; 状态bottom_area; 底部未确认
14,68.98560575172861,57.58101377276951,300539,横河精密,bottom_area,2023-08-16,11.35,2023-08-16,11.34,0.08818342151675297,2.1164021164021185,27.07395498392283,False,-1.0462,1.001,1,2,1,50.0,39.25845147219192,39.25845147219192,19.91181657848325,0.08818342151675297,历史1/2次成功; 当前距低点0.09%; 最新日涨幅-1.05%; 状态bottom_area; 底部未确认
15,67.53239619381154,56.53970242112988,300763,锦浪科技,bottom_area,2023-08-16,82.86,2023-08-16,82.65,0.2540834845734951,2.819116757410766,29.268292682926823,False,-1.2278,1.7238,1,2,1,50.0,35.693617021276594,35.693617021276594,19.745916515426508,0.2540834845734951,历史1/2次成功; 当前距低点0.25%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
16,67.09548802116886,57.3598446200552,688355,明志科技,bottom_area,2023-08-16,22.53,2023-08-16,22.22,1.3951395139514056,4.095409540954096,27.027914614121514,False,-2.383,2.3469,1,4,1,25.0,35.08474576271185,35.08474576271185,18.604860486048597,1.3951395139514056,历史1/4次成功; 当前距低点1.40%; 最新日涨幅-2.38%; 状态bottom_area; 底部未确认
17,66.60376752669407,59.5089624949042,000890,法尔胜,bottom_area,2023-08-16,4.63,2023-08-14,4.46,3.8116591928251107,6.502242152466368,27.47967479674797,False,1.5351,8.1798,1,2,1,50.0,32.954545454545446,32.954545454545446,16.18834080717489,3.8116591928251107,历史1/2次成功; 当前距低点3.81%; 最新日涨幅1.54%; 状态bottom_area; 底部未确认
18,65.82676295070632,55.19123756851489,002386,天原股份,bottom_area,2023-08-16,6.03,2023-08-15,6.01,0.33277870216306926,1.6638935108153168,27.503015681544024,False,-0.495,0.4778,1,3,1,33.33333333333333,48.85290148448042,48.85290148448042,19.66722129783693,0.33277870216306926,历史1/3次成功; 当前距低点0.33%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
19,65.75430184927178,55.989646230205196,688115,思林杰,bottom_area,2023-08-16,29.22,2023-08-15,28.88,1.1772853185595562,10.734072022160671,27.345911949685537,False,-0.5107,2.224,1,3,1,33.33333333333333,23.658728081654015,23.658728081654015,18.822714681440445,1.1772853185595562,历史1/3次成功; 当前距低点1.18%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
20,65.09829084164417,54.311317193612275,300473,德尔股份,bottom_area,2023-08-16,15.87,2023-08-16,15.86,0.06305170239596335,2.1437578814627987,29.35412026726058,False,-1.9159,1.276,1,2,1,50.0,21.37137137137137,21.37137137137137,19.936948297604037,0.06305170239596335,历史1/2次成功; 当前距低点0.06%; 最新日涨幅-1.92%; 状态bottom_area; 底部未确认
21,64.35695812964524,54.20005426271721,688262,国芯科技,bottom_area,2023-08-16,31.42,2023-08-16,31.24,0.5761843790012909,3.7772087067861824,32.52699784017278,False,-2.8748,1.459,1,2,1,50.0,27.063197026022312,27.063197026022312,19.42381562099871,0.5761843790012909,历史1/2次成功; 当前距低点0.58%; 最新日涨幅-2.87%; 状态bottom_area; 底部未确认
22,63.3879406176782,52.89979900770815,002240,盛新锂能,bottom_area,2023-08-16,25.35,2023-08-16,25.33,0.07895775759969652,2.4476904855902135,28.243626062322946,False,-1.4002,0.8949,1,3,1,33.33333333333333,33.42198581560282,33.42198581560282,19.921042242400304,0.07895775759969652,历史1/3次成功; 当前距低点0.08%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
