rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
17,76.11033642740169,72.80058103467373,600749,西藏旅游,bottom_area,2025-09-29,18.67,2025-09-29,18.36,1.6884531590414067,3.1045751633986947,28.000000000000004,False,-0.4797,5.3302,1,1,1,100.0,9.19491525423728,9.19491525423728,6.311546840958593,1.6884531590414067,历史1/1次成功; 当前距低点1.69%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
18,75.91910641409979,72.3388172204681,300111,向日葵,confirmed_rebound,2025-09-29,7.5,2025-09-29,7.39,1.488497970230045,9.33694181326117,28.11284046692607,False,-4.2146,23.4974,1,1,1,100.0,24.691358024691343,24.691358024691343,6.5115020297699555,1.488497970230045,历史1/1次成功; 当前距低点1.49%; 最新日涨幅-4.21%; 状态confirmed_rebound; 底部未确认
19,74.79508483102563,75.19913991114524,000545,金浦钛业,bottom_area,2025-09-29,2.68,2025-09-29,2.57,4.280155642023359,4.669260700389109,32.36842105263158,False,3.4749,8.6604,5,6,5,83.33333333333334,17.49764215927511,24.6875,3.7198443579766414,4.280155642023359,历史5/6次成功; 当前距低点4.28%; 最新日涨幅3.47%; 状态bottom_area; 底部未确认
20,74.74276487034015,75.41755350698158,002059,云南旅游,bottom_area,2025-09-29,6.08,2025-09-29,5.82,4.46735395189003,6.013745704467348,28.0593325092707,False,1.3333,8.1782,2,2,2,100.0,18.18881998543464,25.935162094763093,3.53264604810997,4.46735395189003,历史2/2次成功; 当前距低点4.47%; 最新日涨幅1.33%; 状态bottom_area; 底部未确认
21,72.95119671381114,70.95301825576712,002622,皓宸医疗,confirmed_rebound,2025-09-29,3.21,2025-09-29,3.13,2.5559105431309925,8.945686900958474,27.03962703962704,False,-6.9565,10.9239,5,6,5,83.33333333333334,16.4363492514647,20.819112627986343,5.4440894568690075,2.5559105431309925,历史5/6次成功; 当前距低点2.56%; 最新日涨幅-6.96%; 状态confirmed_rebound; 底部未确认
22,72.57533167918528,72.71861959957853,002259,升达林业,confirmed_rebound,2025-09-29,4.06,2025-09-23,3.9,4.102564102564095,9.487179487179478,27.509293680297397,True,2.5253,3.0593,1,1,1,100.0,16.894977168949776,16.894977168949776,3.8974358974359053,4.102564102564095,历史1/1次成功; 当前距低点4.10%; 最新日涨幅2.53%; 状态confirmed_rebound; 底部已确认
23,69.43,66.81,002097,山河智能,bottom_area,2025-09-29,12.75,2025-09-29,12.5,2.0,3.1200000000000045,28.160919540229877,False,0.7109,5.64,1,2,1,50.0,50.210970464135016,50.210970464135016,6.0,2.0,历史1/2次成功; 当前距低点2.00%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
24,68.09018962765325,69.37330592668724,603709,中源家居,bottom_area,2025-09-29,14.36,2025-09-23,13.68,4.970760233918127,7.0906432748538055,32.80943025540275,False,0.8427,2.2275,1,1,1,100.0,8.53031860226105,8.53031860226105,3.029239766081873,4.970760233918127,历史1/1次成功; 当前距低点4.97%; 最新日涨幅0.84%; 状态bottom_area; 底部未确认
25,61.88948965159594,61.605206310581316,603057,紫燕食品,confirmed_rebound,2025-09-29,19.59,2025-09-23,18.88,3.7605932203389876,8.050847457627116,28.267477203647424,True,-0.2546,0.5197,2,3,2,66.66666666666666,14.315549388642651,19.124700239808163,4.239406779661013,3.7605932203389876,历史2/3次成功; 当前距低点3.76%; 最新日涨幅-0.25%; 状态confirmed_rebound; 底部已确认
26,55.73228816404297,52.31859275053302,301551,无线传媒,bottom_area,2025-09-29,38.07,2025-09-29,37.8,0.7142857142857226,5.820105820105828,27.90387182910548,False,-7.5971,7.4795,1,2,1,50.0,28.855721393034813,28.855721393034813,7.285714285714278,0.7142857142857226,历史1/2次成功; 当前距低点0.71%; 最新日涨幅-7.60%; 状态bottom_area; 底部未确认
