rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.67625348207942,79.05204787436276,000065,北方国际,bottom_area,2024-07-23,9.34,2024-07-23,9.33,0.1071811361200406,2.893890675241153,29.58490566037736,False,-1.8908,0.6669,3,3,3,100.0,29.926993896325044,41.48061104582843,19.89281886387996,0.1071811361200406,历史3/3次成功; 当前距低点0.11%; 最新日涨幅-1.89%; 状态bottom_area; 底部未确认
2,94.13295160918635,81.21867743343518,600973,宝胜股份,bottom_area,2024-07-23,3.22,2024-07-18,3.16,1.8987341772151913,4.113924050632908,31.749460043196542,False,-1.227,0.5338,2,2,2,100.0,40.36446966390223,46.551724137931025,18.10126582278481,1.8987341772151913,历史2/2次成功; 当前距低点1.90%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
3,93.54374455184374,79.80380605352136,001218,丽臣实业,bottom_area,2024-07-23,14.23,2024-07-18,14.05,1.281138790035585,3.70106761565836,29.040404040404038,False,-1.2491,0.6982,2,2,2,100.0,25.18711018711019,29.999999999999993,18.718861209964416,1.281138790035585,历史2/2次成功; 当前距低点1.28%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
4,92.81592724440178,77.51950029963244,000811,冰轮环境,bottom_area,2024-07-23,8.22,2024-07-23,8.21,0.12180267965894989,4.750304506699132,30.89225589225589,False,-3.8596,1.1697,3,3,3,100.0,32.0817763938432,47.451868629671566,19.87819732034105,0.12180267965894989,历史3/3次成功; 当前距低点0.12%; 最新日涨幅-3.86%; 状态bottom_area; 底部未确认
5,92.77045625492022,80.71029694178058,000789,万年青,bottom_area,2024-07-23,4.35,2024-07-09,4.25,2.35294117647058,7.2941176470588145,29.752066115702476,True,-1.1364,0.462,2,2,2,100.0,34.00539152759949,47.599999999999994,17.64705882352942,2.35294117647058,历史2/2次成功; 当前距低点2.35%; 最新日涨幅-1.14%; 状态bottom_area; 底部已确认
6,91.72565581593527,80.01599762666693,605567,春雪食品,bottom_area,2024-07-23,7.38,2024-07-09,7.2,2.499999999999996,7.638888888888887,29.961089494163417,True,-1.992,1.2809,2,2,2,100.0,32.07525605734906,36.46616541353383,17.500000000000004,2.499999999999996,历史2/2次成功; 当前距低点2.50%; 最新日涨幅-1.99%; 状态bottom_area; 底部已确认
7,89.12700602113614,76.99356265356265,603012,创力集团,bottom_area,2024-07-23,4.15,2024-07-09,4.07,1.9656019656019672,6.633906633906624,27.19141323792486,False,-1.4252,0.9221,1,1,1,100.0,35.13513513513512,35.13513513513512,18.034398034398034,1.9656019656019672,历史1/1次成功; 当前距低点1.97%; 最新日涨幅-1.43%; 状态bottom_area; 底部未确认
8,88.92183962124388,75.1242643391521,002687,乔治白,bottom_area,2024-07-23,4.04,2024-07-09,4.01,0.7481296758104801,6.733167082294276,31.45299145299145,False,-0.7371,0.7908,1,1,1,100.0,64.00000000000001,64.00000000000001,19.25187032418952,0.7481296758104801,历史1/1次成功; 当前距低点0.75%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
9,88.72022212034129,76.66613490712702,603325,博隆技术,bottom_area,2024-07-23,60.18,2024-07-18,59.01,1.9827147941026975,5.388917132689374,31.922011998154137,False,-1.8111,1.047,1,1,1,100.0,33.584541062801925,33.584541062801925,18.017285205897306,1.9827147941026975,历史1/1次成功; 当前距低点1.98%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
10,88.48542715541035,73.86921084795794,300349,金卡智能,bottom_area,2024-07-23,10.31,2024-07-23,10.3,0.09708737864077463,5.825242718446598,30.91884641180415,False,-4.2711,1.3681,1,1,1,100.0,45.48693586698337,45.48693586698337,19.902912621359224,0.09708737864077463,历史1/1次成功; 当前距低点0.10%; 最新日涨幅-4.27%; 状态bottom_area; 底部未确认
11,87.90496815762576,73.58560682878176,601717,中创智领,bottom_area,2024-07-23,12.21,2024-07-23,12.18,0.24630541871922115,4.761904761904763,32.707182320441994,False,-3.9339,1.4108,2,2,2,100.0,29.124640771298786,35.43478260869567,19.753694581280783,0.24630541871922115,历史2/2次成功; 当前距低点0.25%; 最新日涨幅-3.93%; 状态bottom_area; 底部未确认
