rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.05207561825769,78.48330674147456,300483,首华燃气,bottom_area,2025-06-25,11.36,2025-06-25,11.22,1.2477718360071193,4.901960784313716,32.40963855421687,False,-5.8824,17.0455,1,1,1,100.0,44.56035767511176,44.56035767511176,18.752228163992882,1.2477718360071193,历史1/1次成功; 当前距低点1.25%; 最新日涨幅-5.88%; 状态bottom_area; 底部未确认
2,89.62479777954007,78.32076923076924,600250,南京商旅,bottom_area,2025-06-25,10.67,2025-06-23,10.4,2.5961538461538423,5.673076923076922,28.52233676975945,False,-0.0936,6.4219,1,1,1,100.0,53.93258426966293,53.93258426966293,17.40384615384616,2.5961538461538423,历史1/1次成功; 当前距低点2.60%; 最新日涨幅-0.09%; 状态bottom_area; 底部未确认
3,88.09025712292113,78.0626918308307,002678,珠江钢琴,bottom_area,2025-06-25,4.92,2025-06-23,4.76,3.361344537815129,3.991596638655471,29.79351032448378,False,0.2037,1.4076,1,1,1,100.0,35.5191256830601,35.5191256830601,16.63865546218487,3.361344537815129,历史1/1次成功; 当前距低点3.36%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
4,84.04572805514789,76.49700617824509,300436,广生堂,bottom_area,2025-06-25,34.09,2025-06-20,32.52,4.82779827798278,7.595325953259528,29.671280276816603,True,0.3533,5.5928,1,1,1,100.0,35.88379705400981,35.88379705400981,15.17220172201722,4.82779827798278,历史1/1次成功; 当前距低点4.83%; 最新日涨幅0.35%; 状态bottom_area; 底部已确认
5,84.0228101621685,75.26566441638391,600770,综艺股份,bottom_area,2025-06-25,5.26,2025-06-23,5.06,3.9525691699604777,4.347826086956535,32.980132450331126,False,0.1905,2.1233,1,1,1,100.0,27.72861356932153,27.72861356932153,16.047430830039524,3.9525691699604777,历史1/1次成功; 当前距低点3.95%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
6,81.99395772532796,74.74655172413793,603787,新日股份,bottom_area,2025-06-25,12.17,2025-06-23,11.6,4.9137931034482785,7.672413793103454,28.39506172839506,True,-0.3276,5.555,1,1,1,100.0,92.85714285714283,92.85714285714283,15.086206896551724,4.9137931034482785,历史1/1次成功; 当前距低点4.91%; 最新日涨幅-0.33%; 状态bottom_area; 底部已确认
7,81.71116259141263,73.89641336858989,002615,哈尔斯,bottom_area,2025-06-25,8.17,2025-06-23,7.82,4.47570332480818,4.859335038363159,30.673758865248217,False,0.0,11.0402,1,1,1,100.0,26.779661016949152,26.779661016949152,15.52429667519182,4.47570332480818,历史1/1次成功; 当前距低点4.48%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
8,80.36941299909255,73.15060344827586,603577,汇金通,bottom_area,2025-06-25,9.12,2025-06-23,8.7,4.827586206896551,5.172413793103461,32.34836702954899,False,0.2198,2.9893,1,1,1,100.0,27.083333333333325,27.083333333333325,15.17241379310345,4.827586206896551,历史1/1次成功; 当前距低点4.83%; 最新日涨幅0.22%; 状态bottom_area; 底部未确认
9,80.36590483911074,72.9768121666996,600706,曲江文旅,bottom_area,2025-06-25,9.58,2025-06-23,9.15,4.699453551912565,5.792349726775949,27.66798418972332,False,0.3141,4.7411,1,1,1,100.0,24.578313253012034,24.578313253012034,15.300546448087438,4.699453551912565,历史1/1次成功; 当前距低点4.70%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
10,79.81324189155484,72.47099452501602,603327,福蓉科技,bottom_area,2025-06-25,9.14,2025-06-23,8.73,4.696449026345935,5.040091638029776,28.148148148148145,False,0.5501,0.6966,1,1,1,100.0,21.82203389830509,21.82203389830509,15.303550973654067,4.696449026345935,历史1/1次成功; 当前距低点4.70%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
11,79.21894013130122,70.67807317589747,603681,永冠新材,bottom_area,2025-06-25,14.73,2025-06-20,14.2,3.7323943661971914,5.492957746478881,29.000000000000004,False,-0.8748,4.078,1,1,1,100.0,22.83834586466165,22.83834586466165,16.26760563380281,3.7323943661971914,历史1/1次成功; 当前距低点3.73%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
12,78.60801186273399,69.46587128895447,300164,通源石油,bottom_area,2025-06-25,5.79,2025-06-25,5.61,3.208556149732615,5.347593582887697,32.40963855421687,False,-6.462,37.1645,1,1,1,100.0,20.114942528735625,20.114942528735625,16.791443850267385,3.208556149732615,历史1/1次成功; 当前距低点3.21%; 最新日涨幅-6.46%; 状态bottom_area; 底部未确认
13,76.22174481115078,64.76681159420288,605136,丽人丽妆,bottom_area,2025-06-25,10.46,2025-06-23,10.35,1.0628019323671614,4.927536231884056,28.768066070199588,False,-1.5066,6.0811,1,2,1,50.0,52.667814113597245,52.667814113597245,18.937198067632842,1.0628019323671614,历史1/2次成功; 当前距低点1.06%; 最新日涨幅-1.51%; 状态bottom_area; 底部未确认
14,63.686822759872015,57.0635315985814,300949,奥雅股份,bottom_area,2025-06-25,39.58,2025-06-23,38.07,3.9663777252429684,6.0152350932492755,27.89772727272727,False,0.1518,5.4702,1,2,1,50.0,21.703617269544917,21.703617269544917,16.033622274757032,3.9663777252429684,历史1/2次成功; 当前距低点3.97%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
