rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.43196749737596,83.81393232183376,300530,领湃科技,bottom_area,2022-09-26,26.95,2022-09-23,26.68,1.011994002998499,7.946026986506751,28.433476394849787,True,-3.3357,1.6788,3,3,3,100.0,27.802573379948058,34.07510431154381,8.988005997001501,1.011994002998499,历史3/3次成功; 当前距低点1.01%; 最新日涨幅-3.34%; 状态bottom_area; 底部已确认
2,88.60009104536194,80.7256806957848,300437,清水源,bottom_area,2022-09-26,17.11,2022-09-26,17.09,0.11702750146284127,2.867173785839663,30.613073487616727,False,-2.2844,1.7768,6,6,6,100.0,22.379050532903687,30.330330330330323,9.88297249853716,0.11702750146284127,历史6/6次成功; 当前距低点0.12%; 最新日涨幅-2.28%; 状态bottom_area; 底部未确认
3,87.92422475700631,83.77195252701483,002245,蔚蓝锂芯,bottom_area,2022-09-26,14.99,2022-09-23,14.63,2.460697197539299,5.673274094326726,27.788746298124384,False,1.0108,1.9687,3,3,3,100.0,21.840549125830286,25.653923541247494,7.539302802460702,2.460697197539299,历史3/3次成功; 当前距低点2.46%; 最新日涨幅1.01%; 状态bottom_area; 底部未确认
4,87.09073482418012,81.47951969456851,300508,维宏股份,bottom_area,2022-09-26,20.91,2022-09-19,20.6,1.5048543689320326,7.66990291262135,30.849278281302446,True,-0.3811,1.6035,2,2,2,100.0,27.74509492329859,42.06627680311891,8.495145631067968,1.5048543689320326,历史2/2次成功; 当前距低点1.50%; 最新日涨幅-0.38%; 状态bottom_area; 底部已确认
5,86.39644581026114,80.09239892697654,300484,蓝海华腾,bottom_area,2022-09-26,10.85,2022-09-26,10.74,1.0242085661080023,3.1657355679702035,29.573770491803273,False,-1.3636,1.7895,2,2,2,100.0,23.589217514531214,28.708133971291865,8.975791433891999,1.0242085661080023,历史2/2次成功; 当前距低点1.02%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
6,85.8785931722894,79.66518572294031,600215,派斯林,bottom_area,2022-09-26,6.68,2022-09-26,6.61,1.059001512859295,3.32829046898638,30.42105263157894,False,-1.3294,0.7696,2,2,2,100.0,21.718866517524237,23.993288590604024,8.940998487140705,1.059001512859295,历史2/2次成功; 当前距低点1.06%; 最新日涨幅-1.33%; 状态bottom_area; 底部未确认
7,84.5288670495418,78.70687333108097,605358,立昂微,bottom_area,2022-09-26,47.6,2022-09-26,47.01,1.2550521165709496,3.0419059774516057,28.772727272727277,False,0.4008,1.2111,1,1,1,100.0,13.16339869281045,13.16339869281045,8.74494788342905,1.2550521165709496,历史1/1次成功; 当前距低点1.26%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
8,84.01317143628062,78.34255956589826,688018,乐鑫科技,bottom_area,2022-09-26,79.84,2022-09-26,78.79,1.332656428480768,2.5383931971062315,32.65811965811965,False,-0.7952,0.533,1,1,1,100.0,34.629119477604306,34.629119477604306,8.667343571519233,1.332656428480768,历史1/1次成功; 当前距低点1.33%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
9,83.79510179281127,76.82489599705225,002600,领益智造,bottom_area,2022-09-26,4.53,2022-09-26,4.51,0.44345898004435613,2.660753880266078,27.14054927302101,False,-2.1598,0.4165,3,3,3,100.0,22.07517457824405,38.381201044386415,9.556541019955645,0.44345898004435613,历史3/3次成功; 当前距低点0.44%; 最新日涨幅-2.16%; 状态bottom_area; 底部未确认
10,82.38807260223584,75.13893078949128,603229,奥翔药业,bottom_area,2022-09-26,23.84,2022-09-26,23.8,0.1680672268907527,2.0588235294117583,31.902718168812594,False,-1.4061,1.2395,2,2,2,100.0,26.30174229463547,41.48479427549196,9.831932773109248,0.1680672268907527,历史2/2次成功; 当前距低点0.17%; 最新日涨幅-1.41%; 状态bottom_area; 底部未确认
11,82.17717121952813,75.02409761135058,601778,晶科科技,bottom_area,2022-09-26,4.51,2022-09-26,4.5,0.2222222222222175,3.111111111111104,27.30210016155089,False,-2.8017,0.9075,2,2,2,100.0,26.348195043103452,42.344827586206904,9.777777777777782,0.2222222222222175,历史2/2次成功; 当前距低点0.22%; 最新日涨幅-2.80%; 状态bottom_area; 底部未确认
12,82.11845405739408,77.76026259563852,300671,富满微,bottom_area,2022-09-26,43.0,2022-09-26,42.1,2.1377672209026097,4.156769596199525,31.074001309757694,False,0.1164,1.1964,1,1,1,100.0,18.894472361809044,18.894472361809044,7.862232779097391,2.1377672209026097,历史1/1次成功; 当前距低点2.14%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
13,81.71408516972448,74.57198003920871,002343,慈文传媒,bottom_area,2022-09-26,4.97,2022-09-26,4.96,0.20161290322580216,3.0241935483871036,29.0414878397711,False,-2.1654,2.0394,1,1,1,100.0,40.33149171270718,40.33149171270718,9.7983870967742,0.20161290322580216,历史1/1次成功; 当前距低点0.20%; 最新日涨幅-2.17%; 状态bottom_area; 底部未确认
14,81.3054891547017,75.51940534142696,603192,汇得科技,bottom_area,2022-09-26,18.86,2022-09-26,18.65,1.1260053619302994,3.1635388739946375,29.59607399018498,False,-0.8412,0.7228,1,1,1,100.0,16.917728852838945,16.917728852838945,8.873994638069702,1.1260053619302994,历史1/1次成功; 当前距低点1.13%; 最新日涨幅-0.84%; 状态bottom_area; 底部未确认
15,81.20736241283791,75.27648762987783,603228,景旺电子,bottom_area,2022-09-26,19.8,2022-09-26,19.6,1.0204081632653024,3.265306122448964,28.152492668621697,False,-0.5025,0.4188,1,1,1,100.0,14.317302377003868,14.317302377003868,8.979591836734699,1.0204081632653024,历史1/1次成功; 当前距低点1.02%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
16,81.02644132086795,74.31056445953845,300538,同益股份,bottom_area,2022-09-26,10.91,2022-09-26,10.86,0.46040515653775976,3.499079189686932,29.019607843137262,False,-1.9766,0.7319,2,2,2,100.0,25.431657077658826,30.150753768844226,9.53959484346224,0.46040515653775976,历史2/2次成功; 当前距低点0.46%; 最新日涨幅-1.98%; 状态bottom_area; 底部未确认
17,80.94588458767521,75.9289325045779,603356,华菱精工,bottom_area,2022-09-26,12.38,2022-09-26,12.18,1.6420361247947541,5.1724137931034555,27.153110047846884,False,-2.9781,2.0271,1,1,1,100.0,25.445026178010465,25.445026178010465,8.357963875205247,1.6420361247947541,历史1/1次成功; 当前距低点1.64%; 最新日涨幅-2.98%; 状态bottom_area; 底部未确认
18,80.91601681275174,73.92187059492426,002178,延华智能,bottom_area,2022-09-26,3.9,2022-09-26,3.89,0.2570694087403544,4.11311053984575,28.623853211009177,False,-3.4653,1.1317,3,3,3,100.0,14.397789499205718,17.359413202933986,9.742930591259647,0.2570694087403544,历史3/3次成功; 当前距低点0.26%; 最新日涨幅-3.47%; 状态bottom_area; 底部未确认
19,80.63556222749705,74.328371120405,688055,龙腾光电,bottom_area,2022-09-26,4.16,2022-09-26,4.13,0.7263922518159867,3.6319612590799117,27.54385964912281,False,-2.8037,0.2162,1,1,1,100.0,45.45454545454546,45.45454545454546,9.273607748184014,0.7263922518159867,历史1/1次成功; 当前距低点0.73%; 最新日涨幅-2.80%; 状态bottom_area; 底部未确认
20,80.27599279871941,73.21487952373747,300560,中富通,bottom_area,2022-09-26,11.81,2022-09-26,11.79,0.1696352841391124,2.9686174724342784,28.76132930513596,False,-2.7984,1.1536,2,2,2,100.0,15.976601997713122,20.94196804037006,9.830364715860888,0.1696352841391124,历史2/2次成功; 当前距低点0.17%; 最新日涨幅-2.80%; 状态bottom_area; 底部未确认
21,80.26039312320796,74.87479717235334,688171,纬德信息,bottom_area,2022-09-26,19.45,2022-09-26,19.19,1.3548723293381866,3.5435122459614368,29.13589364844903,False,-2.5063,2.0313,1,1,1,100.0,16.257559587335468,16.257559587335468,8.645127670661815,1.3548723293381866,历史1/1次成功; 当前距低点1.35%; 最新日涨幅-2.51%; 状态bottom_area; 底部未确认
22,80.05524084171427,73.4516545878984,300342,天银机电,bottom_area,2022-09-26,8.32,2022-09-26,8.28,0.48309178743962466,3.864734299516912,27.368421052631586,False,-2.4619,0.7105,2,2,2,100.0,21.09195625409008,26.68539325842696,9.516908212560377,0.48309178743962466,历史2/2次成功; 当前距低点0.48%; 最新日涨幅-2.46%; 状态bottom_area; 底部未确认
23,80.05454508874591,73.07688155922037,002516,旷达科技,bottom_area,2022-09-26,4.65,2022-09-26,4.64,0.2155172413793249,2.8017241379310325,29.59028831562975,False,-2.1053,0.761,1,1,1,100.0,32.46376811594203,32.46376811594203,9.784482758620676,0.2155172413793249,历史1/1次成功; 当前距低点0.22%; 最新日涨幅-2.11%; 状态bottom_area; 底部未确认
24,79.73322654597555,73.10642989410462,002157,正邦科技,bottom_area,2022-09-26,4.49,2022-09-26,4.47,0.4474272930648874,4.697986577181208,28.36538461538462,False,-4.2644,2.0142,3,3,3,100.0,12.347118937056795,13.751169317118809,9.552572706935113,0.4474272930648874,历史3/3次成功; 当前距低点0.45%; 最新日涨幅-4.26%; 状态bottom_area; 底部未确认
25,79.73215552551764,72.89591475392544,002138,顺络电子,bottom_area,2022-09-26,20.26,2022-09-26,20.2,0.2970297029703083,3.960396039603964,28.948294055575097,False,-2.9693,1.7727,1,1,1,100.0,32.49001331557922,32.49001331557922,9.702970297029692,0.2970297029703083,历史1/1次成功; 当前距低点0.30%; 最新日涨幅-2.97%; 状态bottom_area; 底部未确认
26,79.69727421381921,76.86819702889424,300648,星云股份,bottom_area,2022-09-26,37.55,2022-09-23,36.42,3.1026908292147044,6.26029654036244,27.60882528324389,False,1.8167,2.9843,4,5,4,80.0,19.259850104858955,26.78362573099414,6.897309170785296,3.1026908292147044,历史4/5次成功; 当前距低点3.10%; 最新日涨幅1.82%; 状态bottom_area; 底部未确认
27,79.37287798408488,72.15716180371352,688199,久日新材,bottom_area,2022-09-26,33.72,2022-09-26,33.72,0.0,2.2835112692764032,28.920741989881954,False,-2.4588,0.7102,1,1,1,100.0,37.135278514588855,37.135278514588855,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.46%; 状态bottom_area; 底部未确认
28,79.3701078693957,72.44860947240406,300433,蓝思科技,bottom_area,2022-09-26,9.41,2022-09-26,9.39,0.21299254526091133,2.023429179978695,27.713625866050805,False,-1.1555,0.3247,2,2,2,100.0,12.388346643005029,14.217687074829932,9.78700745473909,0.21299254526091133,历史2/2次成功; 当前距低点0.21%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
29,79.2572301073815,73.27406042518146,603315,福鞍股份,bottom_area,2022-09-26,19.46,2022-09-26,19.29,0.8812856402281064,3.5769828926905203,30.335861321776818,False,-2.7972,0.3786,1,1,1,100.0,41.68490153172865,41.68490153172865,9.118714359771895,0.8812856402281064,历史1/1次成功; 当前距低点0.88%; 最新日涨幅-2.80%; 状态bottom_area; 底部未确认
30,79.1552295359371,76.88148303099956,688356,键凯科技,bottom_area,2022-09-26,167.88,2022-09-23,162.25,3.469953775038518,5.787365177195677,28.76898761963298,False,2.3908,1.2946,2,2,2,100.0,13.833213107996695,15.625,6.530046224961483,3.469953775038518,历史2/2次成功; 当前距低点3.47%; 最新日涨幅2.39%; 状态bottom_area; 底部未确认
31,78.9809036677058,73.70516550522646,000728,国元证券,bottom_area,2022-09-26,6.65,2022-09-21,6.56,1.3719512195122066,5.945121951219521,28.92741061755147,False,-1.3353,1.3261,1,1,1,100.0,10.178571428571434,10.178571428571434,8.628048780487795,1.3719512195122066,历史1/1次成功; 当前距低点1.37%; 最新日涨幅-1.34%; 状态bottom_area; 底部未确认
32,78.67311917233317,72.31674795443607,000591,太阳能,bottom_area,2022-09-26,6.94,2022-09-19,6.9,0.5797101449275368,4.927536231884055,27.672955974842754,False,-1.1396,1.0263,1,1,1,100.0,32.84132841328414,32.84132841328414,9.420289855072465,0.5797101449275368,历史1/1次成功; 当前距低点0.58%; 最新日涨幅-1.14%; 状态bottom_area; 底部未确认
