rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.88523752615203,82.7039928332425,002125,湘潭电化,bottom_area,2023-04-20,12.47,2023-04-10,12.32,1.2175324675324704,7.629870129870126,29.236071223434806,False,-2.1961,1.2064,3,3,3,100.0,23.333155157078114,32.067510548523195,8.78246753246753,1.2175324675324704,历史3/3次成功; 当前距低点1.22%; 最新日涨幅-2.20%; 状态bottom_area; 底部未确认
2,88.87914244978585,83.02357541779995,605399,晨光新材,bottom_area,2023-04-20,27.79,2023-04-20,27.4,1.4233576642335788,2.919708029197083,32.312252964426875,False,-2.8661,5.0477,2,2,2,100.0,44.24102630243285,52.857533497402244,8.57664233576642,1.4233576642335788,历史2/2次成功; 当前距低点1.42%; 最新日涨幅-2.87%; 状态bottom_area; 底部未确认
3,87.13914167775386,79.65041495597906,002006,精工科技,bottom_area,2023-04-20,21.07,2023-04-20,21.01,0.28557829604949414,3.61732508329366,31.85209211806681,False,-2.4537,1.5012,3,3,3,100.0,35.330825112752166,61.48648648648647,9.714421703950507,0.28557829604949414,历史3/3次成功; 当前距低点0.29%; 最新日涨幅-2.45%; 状态bottom_area; 底部未确认
4,86.62559969826502,80.94927835051546,600172,黄河旋风,bottom_area,2023-04-20,4.92,2023-04-20,4.85,1.443298969072171,2.268041237113409,29.30029154518951,False,-1.006,1.8443,1,1,1,100.0,51.074589127686465,51.074589127686465,8.55670103092783,1.443298969072171,历史1/1次成功; 当前距低点1.44%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
5,86.22952062231838,79.0019131614654,300586,美联新材,bottom_area,2023-04-20,14.8,2023-04-20,14.74,0.4070556309362313,3.595658073270009,28.44660194174758,False,-2.5675,1.4258,2,2,2,100.0,69.69134206257787,124.33414043583537,9.592944369063769,0.4070556309362313,历史2/2次成功; 当前距低点0.41%; 最新日涨幅-2.57%; 状态bottom_area; 底部未确认
6,85.4730594326394,78.58354330708661,000678,襄阳轴承,bottom_area,2023-04-20,5.11,2023-04-20,5.08,0.590551181102367,2.362204724409451,30.02754820936639,False,-1.7308,1.1975,2,2,2,100.0,68.2777295253666,121.62162162162164,9.409448818897634,0.590551181102367,历史2/2次成功; 当前距低点0.59%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
7,83.37692874269068,78.73522416547031,002843,泰嘉股份,bottom_area,2023-04-20,15.86,2023-04-20,15.55,1.993569131832789,3.1511254019292503,27.875695732838583,False,-0.5643,1.2283,2,2,2,100.0,28.175063365855337,31.56626506024095,8.006430868167211,1.993569131832789,历史2/2次成功; 当前距低点1.99%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
8,83.23227324950884,78.16311711839926,002350,北京科锐,bottom_area,2023-04-20,7.17,2023-04-20,7.05,1.7021276595744694,2.9787234042553186,28.498985801217035,False,-1.511,2.133,2,2,2,100.0,21.526710657145447,23.07692307692308,8.297872340425531,1.7021276595744694,历史2/2次成功; 当前距低点1.70%; 最新日涨幅-1.51%; 状态bottom_area; 底部未确认
9,82.39224887137819,77.24273331691704,002397,梦洁股份,bottom_area,2023-04-20,3.78,2023-04-20,3.72,1.612903225806441,4.301075268817196,30.98330241187383,False,-3.3248,4.2238,1,1,1,100.0,42.36641221374045,42.36641221374045,8.387096774193559,1.612903225806441,历史1/1次成功; 当前距低点1.61%; 最新日涨幅-3.32%; 状态bottom_area; 底部未确认
10,82.07088930396331,76.4655739271036,000887,中鼎股份,bottom_area,2023-04-20,11.8,2023-04-20,11.65,1.2875536480686725,5.150214592274675,31.227863046044867,False,-3.5159,2.2323,2,2,2,100.0,17.53331314354936,23.84615384615385,8.712446351931328,1.2875536480686725,历史2/2次成功; 当前距低点1.29%; 最新日涨幅-3.52%; 状态bottom_area; 底部未确认
11,81.89800598505037,75.40986723218359,600141,兴发集团,bottom_area,2023-04-20,25.57,2023-04-12,25.4,0.669291338582684,7.0472440944882,29.79546710889995,True,-2.1806,1.7197,2,2,2,100.0,24.70887894705429,36.58969804618119,9.330708661417317,0.669291338582684,历史2/2次成功; 当前距低点0.67%; 最新日涨幅-2.18%; 状态bottom_area; 底部已确认
