rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.38940810789857,80.76181866421423,688680,海优新材,bottom_area,2026-03-06,51.92,70.0,2026-03-06,50.89,2.0239732756926725,4.047946551385345,27.299999999999997,25.82857142857143,False,0.0193,3.3927,1,1,1,100.0,33.636977058029686,33.636977058029686,17.976026724307328,2.0239732756926725,历史1/1次成功; 当前距低点2.02%; 最新日涨幅0.02%; 状态bottom_area; 底部未确认
2,92.18093517532193,77.86322804103615,300986,志特新材,bottom_area,2026-03-06,27.3,39.56,2026-03-06,27.1,0.7380073800737981,3.321033210332098,31.49646107178969,30.99089989888777,False,-2.2906,4.566,2,2,2,100.0,47.93486487959358,54.76987447698747,19.2619926199262,0.7380073800737981,历史2/2次成功; 当前距低点0.74%; 最新日涨幅-2.29%; 状态bottom_area; 底部未确认
3,92.00501183605498,79.35991959008601,002739,儒意电影,bottom_area,2026-03-06,10.28,13.87,2026-03-04,10.09,1.8830525272547027,2.7750247770069314,27.253064167267482,25.88320115356885,False,0.8832,1.5665,1,1,1,100.0,24.37246963562753,24.37246963562753,18.1169474727453,1.8830525272547027,历史1/1次成功; 当前距低点1.88%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
4,90.8111888184457,78.87568229054087,603758,秦安股份,bottom_area,2026-03-06,14.01,19.16,2026-03-04,13.7,2.262773722627741,3.284671532846723,28.496868475991654,26.87891440501044,False,0.8639,0.7855,1,1,1,100.0,26.423690205011397,26.423690205011397,17.737226277372258,2.262773722627741,历史1/1次成功; 当前距低点2.26%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
5,90.21118221982492,79.68069402295819,001206,依依股份,bottom_area,2026-03-06,22.7,31.9,2026-03-04,22.0,3.1818181818181785,3.772727272727265,31.034482758620683,28.84012539184953,False,0.576,2.3563,1,1,1,100.0,42.01741654571844,42.01741654571844,16.81818181818182,3.1818181818181785,历史1/1次成功; 当前距低点3.18%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
6,88.93106982220444,78.3952473196089,688317,之江生物,bottom_area,2026-03-06,20.12,28.58,2026-03-04,19.52,3.0737704918032858,3.7909836065573876,31.700489853044083,29.60111966410076,False,2.0802,0.8803,3,4,3,75.0,37.948623875916084,40.461049284578706,16.926229508196716,3.0737704918032858,历史3/4次成功; 当前距低点3.07%; 最新日涨幅2.08%; 状态bottom_area; 底部未确认
7,88.40614348689238,79.27593667546172,300781,因赛集团,bottom_area,2026-03-06,39.42,53.22,2026-03-04,37.9,4.010554089709771,5.277044854881266,28.786170612551675,25.930101465614424,False,1.9131,4.2986,1,1,1,100.0,75.49457562220803,75.49457562220803,15.989445910290229,4.010554089709771,历史1/1次成功; 当前距低点4.01%; 最新日涨幅1.91%; 状态bottom_area; 底部未确认
8,87.4347256222217,78.74098765432097,301283,聚胶股份,bottom_area,2026-03-06,48.13,63.52,2026-03-04,46.17,4.245180853367989,4.245180853367989,27.314231738035268,24.228589420654913,False,2.6007,1.2881,1,1,1,100.0,73.6405529953917,73.6405529953917,15.754819146632013,4.245180853367989,历史1/1次成功; 当前距低点4.25%; 最新日涨幅2.60%; 状态bottom_area; 底部未确认
9,86.94189088873175,77.89782175300188,300879,大叶股份,bottom_area,2026-03-06,23.6,31.32,2026-03-04,22.7,3.964757709251111,4.5374449339207095,27.522349936143044,24.64878671775223,False,2.7875,1.6003,2,2,2,100.0,25.362738333840962,29.057924888605967,16.03524229074889,3.964757709251111,历史2/2次成功; 当前距低点3.96%; 最新日涨幅2.79%; 状态bottom_area; 底部未确认
10,84.74761623806204,75.97158797229673,605116,奥锐特,bottom_area,2026-03-06,25.52,35.58,2026-03-04,24.54,3.9934800325998387,4.808475957620211,31.02866779089376,28.274311410905,False,2.2846,0.8194,1,1,1,100.0,32.02538949798039,32.02538949798039,16.006519967400163,3.9934800325998387,历史1/1次成功; 当前距低点3.99%; 最新日涨幅2.28%; 状态bottom_area; 底部未确认
11,84.6179611156341,70.80203815282363,603163,圣晖集成,bottom_area,2026-03-06,108.52,149.85,2026-03-06,108.28,0.22164758034724316,5.7443664573328395,27.741074407741074,27.580914247580914,False,-3.1071,5.5641,1,1,1,100.0,30.52362707535122,30.52362707535122,19.77835241965276,0.22164758034724316,历史1/1次成功; 当前距低点0.22%; 最新日涨幅-3.11%; 状态bottom_area; 底部未确认
12,83.3821919836532,75.01273261577235,688236,春立医疗,bottom_area,2026-03-06,20.65,27.56,2026-03-04,19.82,4.18768920282542,4.43995963673057,28.084179970972418,25.072568940493472,False,2.4306,0.6335,3,4,3,75.0,33.4175483774963,48.33672776646301,15.81231079717458,4.18768920282542,历史3/4次成功; 当前距低点4.19%; 最新日涨幅2.43%; 状态bottom_area; 底部未确认
13,82.95336395546519,72.83710005845725,601519,大智慧,bottom_area,2026-03-06,11.52,15.88,2026-03-04,11.2,2.85714285714286,3.5714285714285747,29.471032745591945,27.455919395466,False,1.2302,1.2017,2,3,2,66.66666666666666,40.13289841976505,40.138408304498256,17.14285714285714,2.85714285714286,历史2/3次成功; 当前距低点2.86%; 最新日涨幅1.23%; 状态bottom_area; 底部未确认
14,82.8306362645891,72.21034685313069,301413,安培龙,bottom_area,2026-03-06,128.86,178.99,2026-03-06,125.76,2.465012722646317,4.039440203562339,29.73909156936142,28.0071512374993,False,1.5125,4.5177,2,3,2,66.66666666666666,31.956501043535567,40.258064516129025,17.534987277353682,2.465012722646317,历史2/3次成功; 当前距低点2.47%; 最新日涨幅1.51%; 状态bottom_area; 底部未确认
15,80.76916765161413,72.68879773691653,300063,天龙集团,bottom_area,2026-03-06,12.63,16.81,2026-03-04,12.12,4.207920792079221,5.445544554455447,27.90005948839976,24.866151100535387,False,-0.3943,5.5784,1,1,1,100.0,39.47772657450077,39.47772657450077,15.792079207920779,4.207920792079221,历史1/1次成功; 当前距低点4.21%; 最新日涨幅-0.39%; 状态bottom_area; 底部未确认
16,79.47610061897899,71.45675790435855,300663,科蓝软件,bottom_area,2026-03-06,15.54,20.71,2026-03-04,14.92,4.155495978552273,4.222520107238611,27.95750845002415,24.96378561081604,False,1.7682,1.5413,2,3,2,66.66666666666666,48.62700036984445,76.77304964539006,15.844504021447728,4.155495978552273,历史2/3次成功; 当前距低点4.16%; 最新日涨幅1.77%; 状态bottom_area; 底部未确认
17,79.23524290121294,71.41161098737938,300725,药石科技,bottom_area,2026-03-06,37.46,51.15,2026-03-04,35.92,4.28730512249443,4.649220489977733,29.775171065493637,26.764418377321597,False,2.2938,2.7626,2,3,2,66.66666666666666,51.70433867208061,60.139860139860126,15.712694877505573,4.28730512249443,历史2/3次成功; 当前距低点4.29%; 最新日涨幅2.29%; 状态bottom_area; 底部未确认
18,77.34409636287894,67.70832500011863,688318,财富趋势,bottom_area,2026-03-06,117.08,163.63,2026-03-05,114.01,2.6927462503289123,4.74519778966757,30.324512619935213,28.448328546110126,False,2.075,1.0448,4,8,4,50.0,29.988099198218027,36.949152542372886,17.30725374967109,2.6927462503289123,历史4/8次成功; 当前距低点2.69%; 最新日涨幅2.08%; 状态bottom_area; 底部未确认
19,76.59401866618335,66.41719101123593,688166,博瑞医药,bottom_area,2026-03-06,40.92,55.88,2026-03-06,40.05,2.172284644194768,3.995006242197257,28.328561202576957,26.77165354330709,False,1.6141,2.3427,1,2,1,50.0,50.993377483443716,50.993377483443716,17.827715355805232,2.172284644194768,历史1/2次成功; 当前距低点2.17%; 最新日涨幅1.61%; 状态bottom_area; 底部未确认
20,75.56183838636127,68.51397397228052,603130,云中马,bottom_area,2026-03-06,43.94,61.5,2026-03-04,42.0,4.619047619047613,4.952380952380948,31.70731707317073,28.55284552845529,False,1.6424,0.9453,2,3,2,66.66666666666666,38.48782729592695,52.76771857216763,15.380952380952387,4.619047619047613,历史2/3次成功; 当前距低点4.62%; 最新日涨幅1.64%; 状态bottom_area; 底部未确认
21,70.88726894161984,61.54707366702553,603099,长白山,bottom_area,2026-03-06,37.85,52.2,2026-03-06,37.02,2.242031334413826,2.8092922744462427,29.080459770114942,27.490421455938694,False,1.6653,1.207,1,2,1,50.0,24.671532846715323,24.671532846715323,17.757968665586176,2.242031334413826,历史1/2次成功; 当前距低点2.24%; 最新日涨幅1.67%; 状态bottom_area; 底部未确认
22,68.45817771611149,60.37411871161675,688167,炬光科技,bottom_area,2026-03-06,306.2,408.49,2026-03-06,297.0,3.0976430976430938,7.744107744107744,27.293201791965533,25.041004675757062,False,-3.7107,6.491,3,6,3,50.0,28.20830631313442,39.13715105373497,16.902356902356907,3.0976430976430938,历史3/6次成功; 当前距低点3.10%; 最新日涨幅-3.71%; 状态bottom_area; 底部未确认
23,67.73288297284833,60.16751598412689,600415,小商品城,bottom_area,2026-03-06,14.22,19.01,2026-03-04,13.74,3.493449781659392,4.221251819505095,27.722251446607054,25.197264597580222,False,0.4237,0.5339,1,2,1,50.0,32.59452411994785,32.59452411994785,16.50655021834061,3.493449781659392,历史1/2次成功; 当前距低点3.49%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
24,67.2778865105857,59.63672476593588,603949,雪龙集团,bottom_area,2026-03-06,18.06,24.1,2026-03-04,17.47,3.3772180881511153,3.720663995420734,27.51037344398341,25.062240663900425,False,1.7465,1.2838,1,2,1,50.0,28.31603229527105,28.31603229527105,16.622781911848886,3.3772180881511153,历史1/2次成功; 当前距低点3.38%; 最新日涨幅1.75%; 状态bottom_area; 底部未确认
25,67.05738104621213,58.48266383528847,688083,中望软件,bottom_area,2026-03-06,59.76,83.59,2026-03-05,58.31,2.4867089693019993,3.1726976504887574,30.24285201579136,28.508194760138778,False,1.6499,0.7433,2,7,2,28.57142857142857,24.290723500060842,27.053669222343906,17.513291030698003,2.4867089693019993,历史2/7次成功; 当前距低点2.49%; 最新日涨幅1.65%; 状态bottom_area; 底部未确认
26,64.8896799954638,56.639597028380415,002009,天奇股份,bottom_area,2026-03-06,27.53,38.0,2026-03-04,26.85,2.5325884543761625,7.8584729981378,29.34210526315789,27.552631578947366,True,-3.0975,11.1084,1,3,1,33.33333333333333,44.78798586572438,44.78798586572438,17.46741154562384,2.5325884543761625,历史1/3次成功; 当前距低点2.53%; 最新日涨幅-3.10%; 状态bottom_area; 底部已确认
27,64.8560911379801,54.280895497521755,603598,引力传媒,bottom_area,2026-03-06,21.25,31.6,2026-03-06,21.2,0.23584905660377695,2.3113207547169905,32.911392405063296,32.75316455696203,False,-1.3463,4.4465,1,2,1,50.0,23.325974981604134,23.325974981604134,19.764150943396224,0.23584905660377695,历史1/2次成功; 当前距低点0.24%; 最新日涨幅-1.35%; 状态bottom_area; 底部未确认
28,64.01277265833217,55.465143111184915,300454,深信服,bottom_area,2026-03-06,117.45,157.68,2026-03-05,115.0,2.130434782608698,3.2000000000000055,27.067478437341453,25.51369863013699,False,1.2413,2.864,1,6,1,16.666666666666664,29.49391262831224,29.49391262831224,17.869565217391305,2.130434782608698,历史1/6次成功; 当前距低点2.13%; 最新日涨幅1.24%; 状态bottom_area; 底部未确认
29,59.88687446749634,53.543198563570094,301459,丰茂股份,bottom_area,2026-03-06,39.94,54.99,2026-03-04,38.46,3.8481539261570377,4.16016640665627,30.06001091107474,27.368612474995462,False,1.2934,3.1517,1,3,1,33.33333333333333,20.772345063843044,20.772345063843044,16.15184607384296,3.8481539261570377,历史1/3次成功; 当前距低点3.85%; 最新日涨幅1.29%; 状态bottom_area; 底部未确认
30,59.55463296797392,53.78436177033256,688084,晶品特装,bottom_area,2026-03-06,75.22,99.85,2026-03-06,72.05,4.3997224149895935,4.510756419153366,27.841762643965946,24.667000500751122,False,0.5077,1.5156,1,3,1,33.33333333333333,28.830083565459613,28.830083565459613,15.600277585010408,4.3997224149895935,历史1/3次成功; 当前距低点4.40%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
31,57.8401291488757,52.32181294032572,000995,皇台酒业,bottom_area,2026-03-06,15.36,21.2,2026-03-04,14.7,4.489795918367348,4.829931972789122,30.660377358490564,27.547169811320753,False,2.1956,6.6124,2,8,2,25.0,23.45993351722187,24.697644812221508,15.510204081632653,4.489795918367348,历史2/8次成功; 当前距低点4.49%; 最新日涨幅2.20%; 状态bottom_area; 底部未确认
32,55.748765313629505,48.98374660141379,688287,退市观典,bottom_area,2026-03-06,3.91,5.66,2026-03-06,3.8,2.8947368421052717,16.315789473684212,32.862190812720854,30.918727915194346,False,-9.2807,5.1585,1,6,1,16.666666666666664,36.70473083197391,36.70473083197391,17.10526315789473,2.8947368421052717,历史1/6次成功; 当前距低点2.89%; 最新日涨幅-9.28%; 状态bottom_area; 底部未确认
33,55.7088531990914,49.8236442176748,300612,宣亚国际,bottom_area,2026-03-06,16.39,22.05,2026-03-04,15.78,3.865652724968322,3.929024081115331,28.43537414965987,25.668934240362812,False,1.6749,3.4287,1,7,1,14.285714285714285,25.592417061611382,25.592417061611382,16.13434727503168,3.865652724968322,历史1/7次成功; 当前距低点3.87%; 最新日涨幅1.67%; 状态bottom_area; 底部未确认
