rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.54406899689656,80.93084580140082,600391,航发科技,bottom_area,2022-01-28,20.76,2022-01-28,20.46,1.4662756598240503,4.203323558162265,30.691056910569102,False,0.5327,3.3507,1,1,1,100.0,27.709431751611014,27.709431751611014,18.53372434017595,1.4662756598240503,历史1/1次成功; 当前距低点1.47%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
2,93.29553299986317,81.91315068493151,002584,西陇科学,bottom_area,2022-01-28,9.01,2022-01-28,8.76,2.853881278538813,4.680365296803655,29.863891112890318,False,0.6704,10.805,1,1,1,100.0,68.08510638297875,68.08510638297875,17.14611872146119,2.853881278538813,历史1/1次成功; 当前距低点2.85%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
3,92.88069056295309,80.75358434282805,600217,中再资环,bottom_area,2022-01-28,5.74,2022-01-28,5.61,2.317290552584668,3.9215686274509753,29.52261306532663,False,0.1745,0.9968,1,1,1,100.0,37.18820861678004,37.18820861678004,17.682709447415334,2.317290552584668,历史1/1次成功; 当前距低点2.32%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
4,92.05939339795695,81.02813054814668,300447,全信股份,bottom_area,2022-01-28,17.57,2022-01-27,17.06,2.989449003517008,7.151230949589698,27.650551314673454,False,2.7485,2.2448,2,2,2,100.0,30.236958474007892,30.328638497652584,17.010550996482994,2.989449003517008,历史2/2次成功; 当前距低点2.99%; 最新日涨幅2.75%; 状态bottom_area; 底部未确认
5,91.47772562756727,80.85956727375181,002603,以岭药业,bottom_area,2022-01-28,20.82,2022-01-26,20.17,3.222607833415957,7.585523054040642,27.757879656160455,True,0.4342,3.5352,1,1,1,100.0,39.661898569570866,39.661898569570866,16.777392166584043,3.222607833415957,历史1/1次成功; 当前距低点3.22%; 最新日涨幅0.43%; 状态bottom_area; 底部已确认
6,90.44829801922377,79.84834327834326,300511,雪榕生物,bottom_area,2022-01-28,6.87,2022-01-27,6.66,3.153153153153153,4.054054054054047,31.198347107438014,False,2.8443,2.7493,2,2,2,100.0,25.900712191034756,29.220779220779214,16.846846846846848,3.153153153153153,历史2/2次成功; 当前距低点3.15%; 最新日涨幅2.84%; 状态bottom_area; 底部未确认
7,89.45661475656043,74.76431625192474,688089,嘉必优,bottom_area,2022-01-28,50.5,2022-01-28,50.42,0.15866719555731515,5.414518048393488,27.243867243867236,False,-2.2265,0.7613,1,1,1,100.0,40.83912611717973,40.83912611717973,19.841332804442686,0.15866719555731515,历史1/1次成功; 当前距低点0.16%; 最新日涨幅-2.23%; 状态bottom_area; 底部未确认
8,88.76712767940356,77.72236985754228,300339,润和软件,bottom_area,2022-01-28,19.0,2022-01-27,18.5,2.7027027027027026,7.945945945945939,27.450980392156865,False,2.3707,3.4028,1,1,1,100.0,25.615763546798025,25.615763546798025,17.2972972972973,2.7027027027027026,历史1/1次成功; 当前距低点2.70%; 最新日涨幅2.37%; 状态bottom_area; 底部未确认
9,88.72653499728703,73.93877916440586,000620,盈新发展,bottom_area,2022-01-28,3.2,2022-01-28,3.2,0.0,0.0,30.585683297180044,False,-9.8592,0.6893,2,2,2,100.0,40.26225357207451,58.4192439862543,20.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.86%; 状态bottom_area; 底部未确认
10,87.13701459408975,73.68302366345314,603368,柳药集团,bottom_area,2022-01-28,16.43,2022-01-28,16.3,0.7975460122699325,2.6993865030674704,30.282292557741652,False,-0.4846,2.0051,1,1,1,100.0,42.85714285714285,42.85714285714285,19.20245398773007,0.7975460122699325,历史1/1次成功; 当前距低点0.80%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
11,84.67887394263826,75.1154271356784,002806,华锋股份,bottom_area,2022-01-28,12.41,2022-01-27,12.0,3.416666666666668,5.583333333333332,31.856899488926743,False,3.2446,2.2386,1,1,1,100.0,20.35175879396985,20.35175879396985,16.583333333333332,3.416666666666668,历史1/1次成功; 当前距低点3.42%; 最新日涨幅3.24%; 状态bottom_area; 底部未确认
12,81.91681509411642,71.34547664514565,603171,税友股份,bottom_area,2022-01-28,32.26,2022-01-28,31.5,2.4126984126984063,7.936507936507936,28.555227942844187,False,-4.3014,9.6191,1,1,1,100.0,20.464672183322723,20.464672183322723,17.587301587301596,2.4126984126984063,历史1/1次成功; 当前距低点2.41%; 最新日涨幅-4.30%; 状态bottom_area; 底部未确认
13,81.55227724648695,73.45701443157834,002658,雪迪龙,bottom_area,2022-01-28,7.84,2022-01-28,7.52,4.255319148936175,5.1861702127659655,28.989612842304062,False,3.0223,3.7067,1,1,1,100.0,21.715817694369974,21.715817694369974,15.744680851063828,4.255319148936175,历史1/1次成功; 当前距低点4.26%; 最新日涨幅3.02%; 状态bottom_area; 底部未确认
14,77.75201106641715,68.94011647888988,603222,济民健康,bottom_area,2022-01-28,14.63,2022-01-28,14.15,3.3922261484098972,4.593639575971734,27.361396303901437,False,1.8802,3.9651,2,4,2,50.0,45.18490374873354,68.46504559270518,16.607773851590103,3.3922261484098972,历史2/4次成功; 当前距低点3.39%; 最新日涨幅1.88%; 状态bottom_area; 底部未确认
15,71.4447303773043,65.02986065423109,603196,璞源材料,bottom_area,2022-01-28,7.38,2022-01-27,7.04,4.829545454545452,6.534090909090909,28.960645812310798,False,4.0903,2.3137,2,3,2,66.66666666666666,22.33633131144113,22.85714285714286,15.170454545454549,4.829545454545452,历史2/3次成功; 当前距低点4.83%; 最新日涨幅4.09%; 状态bottom_area; 底部未确认
16,67.86148240241238,59.874446493614265,605162,新中港,bottom_area,2022-01-28,10.57,2022-01-27,10.25,3.121951219512198,4.390243902439018,30.508474576271187,False,2.7211,3.1233,1,2,1,50.0,26.46502835538753,26.46502835538753,16.878048780487802,3.121951219512198,历史1/2次成功; 当前距低点3.12%; 最新日涨幅2.72%; 状态bottom_area; 底部未确认
17,67.69546113930389,59.790723359209586,300658,延江股份,bottom_area,2022-01-28,10.06,2022-01-27,9.75,3.1794871794871846,4.410256410256407,32.57261410788382,False,2.444,1.4755,1,2,1,50.0,26.72018348623853,26.72018348623853,16.820512820512818,3.1794871794871846,历史1/2次成功; 当前距低点3.18%; 最新日涨幅2.44%; 状态bottom_area; 底部未确认
18,61.46408598541183,51.722035072529636,300573,兴齐眼药,bottom_area,2022-01-28,100.12,2022-01-28,99.59,0.532181945978513,5.231448940656686,27.57090909090909,False,-3.0315,2.712,1,3,1,33.33333333333333,42.86062675283501,42.86062675283501,19.46781805402149,0.532181945978513,历史1/3次成功; 当前距低点0.53%; 最新日涨幅-3.03%; 状态bottom_area; 底部未确认
