rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.65284075892441,82.79498452086443,000065,北方国际,confirmed_rebound,2024-08-12,9.34,2024-07-25,9.19,1.632208922742115,8.7051142546246,30.641509433962266,True,-1.3728,0.4338,3,3,3,100.0,29.926993896325044,41.48061104582843,6.367791077257885,1.632208922742115,历史3/3次成功; 当前距低点1.63%; 最新日涨幅-1.37%; 状态confirmed_rebound; 底部已确认
2,86.45918233287699,81.80412458416004,001239,永达股份,bottom_area,2024-08-12,14.41,2024-08-12,14.25,1.1228070175438607,5.263157894736842,30.791646430305974,False,-4.443,22.2302,3,3,3,100.0,27.54905690408631,62.04678362573098,6.87719298245614,1.1228070175438607,历史3/3次成功; 当前距低点1.12%; 最新日涨幅-4.44%; 状态bottom_area; 底部未确认
3,85.15376652898999,82.24607694019521,600343,航天动力,bottom_area,2024-08-12,7.92,2024-08-12,7.75,2.1935483870967736,6.064516129032267,30.803571428571423,False,-5.9382,6.3847,4,4,4,100.0,26.383694961160476,55.72413793103447,5.806451612903227,2.1935483870967736,历史4/4次成功; 当前距低点2.19%; 最新日涨幅-5.94%; 状态bottom_area; 底部未确认
4,83.16197411665107,78.66258900153296,002601,龙佰集团,bottom_area,2024-08-12,16.42,2024-08-12,16.24,1.1083743842364733,1.3546798029556801,30.000000000000004,False,0.6127,0.3276,1,1,1,100.0,11.127325793506023,11.127325793506023,6.891625615763528,1.1083743842364733,历史1/1次成功; 当前距低点1.11%; 最新日涨幅0.61%; 状态bottom_area; 底部未确认
5,83.14393060386983,79.8392168484714,300424,航新科技,bottom_area,2024-08-12,12.93,2024-08-12,12.69,1.891252955082744,5.752561071710011,27.2362385321101,False,-2.1936,5.8117,2,2,2,100.0,32.85630960247343,52.29885057471265,6.108747044917257,1.891252955082744,历史2/2次成功; 当前距低点1.89%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
6,81.84720019149677,78.33535435379983,001203,大中矿业,bottom_area,2024-08-12,8.28,2024-08-05,8.14,1.719901719901705,3.4398034398034314,30.00859845227859,False,-0.4808,0.3403,2,2,2,100.0,22.670592877288865,29.46341463414634,6.280098280098295,1.719901719901705,历史2/2次成功; 当前距低点1.72%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
7,81.7495330161528,78.65645964132777,301606,绿联科技,bottom_area,2024-08-12,30.17,2024-08-08,29.58,1.9945909398242172,4.462474645030428,28.705712219812014,False,1.072,16.3124,1,1,1,100.0,21.957671957671955,21.957671957671955,6.005409060175783,1.9945909398242172,历史1/1次成功; 当前距低点1.99%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
8,79.67758433980805,77.85832061068703,002687,乔治白,bottom_area,2024-08-12,4.04,2024-07-25,3.93,2.7989821882951618,5.852417302798981,32.82051282051282,False,-0.2469,0.6433,1,1,1,100.0,64.00000000000001,64.00000000000001,5.201017811704839,2.7989821882951618,历史1/1次成功; 当前距低点2.80%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
9,79.51305758510641,74.11972004318167,002313,日海智能,bottom_area,2024-08-12,5.75,2024-08-12,5.73,0.3490401396160484,5.7591623036649064,29.951100244498768,False,-5.7377,3.7317,3,3,3,100.0,16.588879362936876,20.08238928939237,7.650959860383952,0.3490401396160484,历史3/3次成功; 当前距低点0.35%; 最新日涨幅-5.74%; 状态bottom_area; 底部未确认
10,79.4643933904449,73.57814202818972,000901,航天科技,bottom_area,2024-08-12,11.19,2024-08-12,11.19,0.0,0.0,27.19583604424203,False,-9.9759,1.4884,2,2,2,100.0,38.32334423757916,42.402315484804625,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.98%; 状态bottom_area; 底部未确认
11,78.91837514955718,80.14647149299867,000811,冰轮环境,confirmed_rebound,2024-08-12,8.51,2024-07-24,8.12,4.802955665024638,11.083743842364537,31.64983164983166,True,0.0,0.637,3,3,3,100.0,32.0817763938432,47.451868629671566,3.197044334975362,4.802955665024638,历史3/3次成功; 当前距低点4.80%; 最新日涨幅0.00%; 状态confirmed_rebound; 底部已确认
