rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.83295821733643,84.85710570303796,601388,怡球资源,bottom_area,2024-07-10,2.13,2024-07-09,2.1,1.428571428571419,3.809523809523813,29.292929292929294,False,-1.3889,0.6828,4,4,4,100.0,20.829293334305355,35.632183908045974,8.571428571428582,1.428571428571419,历史4/4次成功; 当前距低点1.43%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
2,90.03525476127996,83.83849633641455,000065,北方国际,bottom_area,2024-07-10,9.66,2024-07-09,9.54,1.2578616352201362,3.4591194968553474,28.000000000000007,False,-1.5291,0.5471,3,3,3,100.0,29.926993896325044,41.48061104582843,8.742138364779864,1.2578616352201362,历史3/3次成功; 当前距低点1.26%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
3,89.98295869272997,85.90825867645539,000301,东方盛虹,bottom_area,2024-07-10,7.59,2024-07-09,7.4,2.567567567567561,4.594594594594593,28.914505283381363,False,0.1319,0.1512,6,6,6,100.0,17.969423282308696,28.337639965546952,7.43243243243244,2.567567567567561,历史6/6次成功; 当前距低点2.57%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
4,88.40896222835406,83.40468134750381,603113,金能科技,bottom_area,2024-07-10,5.25,2024-07-09,5.15,1.941747572815527,4.660194174757268,28.867403314917123,False,-2.4164,0.5914,5,5,5,100.0,19.31110652431836,31.03448275862069,8.058252427184472,1.941747572815527,历史5/5次成功; 当前距低点1.94%; 最新日涨幅-2.42%; 状态bottom_area; 底部未确认
5,88.37150545751484,83.1819452887538,600094,大名城,bottom_area,2024-07-10,3.35,2024-07-09,3.29,1.8237082066869317,6.079027355623105,30.000000000000004,False,-2.3324,0.9762,2,2,2,100.0,51.71595225176342,87.28070175438596,8.17629179331307,1.8237082066869317,历史2/2次成功; 当前距低点1.82%; 最新日涨幅-2.33%; 状态bottom_area; 底部未确认
6,87.85633853690148,81.68264988295704,000789,万年青,bottom_area,2024-07-10,4.3,2024-07-09,4.25,1.17647058823529,3.9999999999999982,29.752066115702476,False,-1.3761,0.4255,2,2,2,100.0,34.00539152759949,47.599999999999994,8.82352941176471,1.17647058823529,历史2/2次成功; 当前距低点1.18%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
7,87.85225103150691,85.4665980243239,002317,众生药业,bottom_area,2024-07-10,11.07,2024-07-10,10.69,3.55472404115997,6.6417212347988865,31.342324983943488,False,1.0036,2.1962,4,4,4,100.0,27.695531388003374,58.31999999999999,6.44527595884003,3.55472404115997,历史4/4次成功; 当前距低点3.55%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
8,87.52990084667819,82.26295772871546,601886,江河集团,bottom_area,2024-07-10,4.67,2024-07-09,4.59,1.7429193899782152,3.4858387799564303,27.488151658767773,False,-0.8493,0.6039,3,3,3,100.0,27.40222547239673,33.5540838852097,8.257080610021786,1.7429193899782152,历史3/3次成功; 当前距低点1.74%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
9,87.27558490732615,81.78530202365145,600155,华创云信,bottom_area,2024-07-10,5.75,2024-07-08,5.66,1.5901060070671353,4.41696113074205,27.806122448979586,False,-1.5411,0.7324,2,2,2,100.0,39.627654407336166,46.19883040935671,8.409893992932865,1.5901060070671353,历史2/2次成功; 当前距低点1.59%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
10,87.24123200568282,84.64780826720025,002838,道恩股份,bottom_area,2024-07-10,8.78,2024-07-09,8.49,3.415783274440508,5.182567726737332,32.511923688394276,False,0.114,0.4033,5,5,5,100.0,21.59029103722908,38.59649122807017,6.584216725559493,3.415783274440508,历史5/5次成功; 当前距低点3.42%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
11,87.02942053614657,82.30194352531217,603368,柳药集团,bottom_area,2024-07-10,17.27,2024-07-09,16.92,2.0685579196217363,3.5460992907801288,29.79253112033195,False,-0.918,1.1208,3,3,3,100.0,31.603524634675978,42.85714285714285,7.931442080378265,2.0685579196217363,历史3/3次成功; 当前距低点2.07%; 最新日涨幅-0.92%; 状态bottom_area; 底部未确认
12,86.74378961832528,82.91685772339915,300480,光力科技,bottom_area,2024-07-10,13.65,2024-07-09,13.3,2.631578947368418,6.090225563909764,28.108108108108105,False,-2.847,2.349,5,5,5,100.0,25.144396362360865,39.69465648854962,7.368421052631582,2.631578947368418,历史5/5次成功; 当前距低点2.63%; 最新日涨幅-2.85%; 状态bottom_area; 底部未确认
13,86.48805746512998,83.44147343505921,002497,雅化集团,bottom_area,2024-07-10,8.6,2024-07-09,8.34,3.1175059952038344,5.995203836930456,27.351916376306622,False,0.3501,1.0621,3,3,3,100.0,28.11498443077391,38.755980861244026,6.8824940047961665,3.1175059952038344,历史3/3次成功; 当前距低点3.12%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
