rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.3959071853607,81.91127256211786,300752,隆利科技,bottom_area,2024-06-06,12.57,2024-06-06,12.37,1.616814874696856,10.024252223120456,31.086350974930365,False,-4.9887,5.0157,4,4,4,100.0,17.51403481949826,21.807655194596325,13.383185125303143,1.616814874696856,历史4/4次成功; 当前距低点1.62%; 最新日涨幅-4.99%; 状态bottom_area; 底部未确认
2,90.83150899451002,80.72071892011529,301393,昊帆生物,bottom_area,2024-06-06,39.97,2024-06-06,39.51,1.1642622120982054,7.061503416856491,29.547075606276753,False,-4.2635,6.0119,2,2,2,100.0,38.899122385479515,58.59438845001361,13.835737787901795,1.1642622120982054,历史2/2次成功; 当前距低点1.16%; 最新日涨幅-4.26%; 状态bottom_area; 底部未确认
3,90.29486637842506,80.41635235727364,300665,飞鹿股份,bottom_area,2024-06-06,4.75,2024-06-06,4.69,1.2793176972281364,11.727078891257992,28.067484662576675,False,-8.6538,7.0374,3,3,3,100.0,22.006433908353674,23.50486787204451,13.720682302771865,1.2793176972281364,历史3/3次成功; 当前距低点1.28%; 最新日涨幅-8.65%; 状态bottom_area; 底部未确认
4,89.6440134874759,79.67333333333333,002491,通鼎互联,bottom_area,2024-06-06,3.46,2024-06-06,3.42,1.1695906432748548,8.479532163742691,29.48453608247422,False,-5.7221,1.6523,1,1,1,100.0,52.39520958083833,52.39520958083833,13.830409356725145,1.1695906432748548,历史1/1次成功; 当前距低点1.17%; 最新日涨幅-5.72%; 状态bottom_area; 底部未确认
5,89.34915675562966,79.03825688073394,300720,海川智能,bottom_area,2024-06-06,14.3,2024-06-06,14.17,0.9174311926605561,13.620324629498953,27.146529562982003,False,-9.6081,4.3866,3,3,3,100.0,57.75229601757511,75.69193742478939,14.082568807339443,0.9174311926605561,历史3/3次成功; 当前距低点0.92%; 最新日涨幅-9.61%; 状态bottom_area; 底部未确认
6,89.22808680471871,78.70115681189117,688159,有方科技,bottom_area,2024-06-06,31.77,2024-06-06,31.53,0.7611798287345335,9.705042816365374,31.15720524017467,False,-5.4183,3.3768,4,4,4,100.0,29.60562807207472,61.150808574652125,14.238820171265465,0.7611798287345335,历史4/4次成功; 当前距低点0.76%; 最新日涨幅-5.42%; 状态bottom_area; 底部未确认
7,89.09552851109075,79.09107316685599,688129,东来技术,bottom_area,2024-06-06,11.89,2024-06-06,11.76,1.105442176870755,7.993197278911561,27.40740740740741,False,-5.4097,0.9154,2,2,2,100.0,29.416566290974792,32.881355932203384,13.894557823129244,1.105442176870755,历史2/2次成功; 当前距低点1.11%; 最新日涨幅-5.41%; 状态bottom_area; 底部未确认
8,88.82928220976484,79.25890430856104,000663,永安林业,bottom_area,2024-06-06,4.41,2024-06-06,4.35,1.3793103448275978,11.034482758620701,27.86069651741294,False,-7.5472,3.5629,2,2,2,100.0,33.67597792885999,50.39215686274511,13.620689655172402,1.3793103448275978,历史2/2次成功; 当前距低点1.38%; 最新日涨幅-7.55%; 状态bottom_area; 底部未确认
9,87.67816183816186,79.35428571428572,002687,乔治白,bottom_area,2024-06-06,4.29,2024-06-06,4.2,2.1428571428571392,4.523809523809512,28.2051282051282,False,-1.6055,3.0635,1,1,1,100.0,64.00000000000001,64.00000000000001,12.857142857142861,2.1428571428571392,历史1/1次成功; 当前距低点2.14%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
10,87.57566254678078,80.20971066093443,300649,杭州园林,bottom_area,2024-06-06,9.98,2024-06-06,9.71,2.780638516992786,9.98970133882594,28.968544257498163,False,-5.9378,4.7604,3,3,3,100.0,39.29874451439769,71.60305343511452,12.219361483007212,2.780638516992786,历史3/3次成功; 当前距低点2.78%; 最新日涨幅-5.94%; 状态bottom_area; 底部未确认
11,87.1200537435027,77.81276695411476,002162,悦心健康,bottom_area,2024-06-06,2.83,2024-06-06,2.79,1.4336917562724028,9.318996415770602,28.64450127877238,False,-4.3919,1.656,1,1,1,100.0,43.23432343234324,43.23432343234324,13.566308243727596,1.4336917562724028,历史1/1次成功; 当前距低点1.43%; 最新日涨幅-4.39%; 状态bottom_area; 底部未确认
