rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.9582207323258,89.0182953022956,605162,新中港,bottom_area,2025-02-05,6.79,2025-02-05,6.71,1.1922503725782425,1.7883755588673638,28.081457663451232,False,0.2954,1.8006,4,4,4,100.0,17.831323396634367,26.46502835538753,6.807749627421758,1.1922503725782425,历史4/4次成功; 当前距低点1.19%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
2,89.7835320760326,85.08367209371318,300422,博世科,bottom_area,2025-02-05,4.2,2025-02-05,4.15,1.2048192771084292,3.614457831325288,29.541595925297102,False,0.0,3.9007,2,2,2,100.0,30.164838954410644,45.4320987654321,6.795180722891571,1.2048192771084292,历史2/2次成功; 当前距低点1.20%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,89.38360774884386,87.11082425636673,002246,北化股份,bottom_area,2025-02-05,9.26,2025-02-05,9.02,2.660753880266078,2.660753880266078,28.808208366219418,False,2.3204,1.3206,4,4,4,100.0,25.577113458996685,31.992687385740403,5.3392461197339225,2.660753880266078,历史4/4次成功; 当前距低点2.66%; 最新日涨幅2.32%; 状态bottom_area; 底部未确认
4,88.50681228915363,86.65874428687223,002767,先锋电子,bottom_area,2025-02-05,14.18,2025-01-27,13.78,2.902757619738755,4.354136429608138,31.442786069651753,False,2.6792,6.7339,4,4,4,100.0,26.113073440196743,52.04379562043795,5.097242380261245,2.902757619738755,历史4/4次成功; 当前距低点2.90%; 最新日涨幅2.68%; 状态bottom_area; 底部未确认
5,86.90191048233343,83.16223603656294,002358,森源电气,bottom_area,2025-02-05,4.75,2025-02-05,4.67,1.713062098501072,3.6402569593147733,27.14508580343214,False,0.211,5.3608,1,1,1,100.0,42.73127753303966,42.73127753303966,6.286937901498928,1.713062098501072,历史1/1次成功; 当前距低点1.71%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
6,86.76923633907079,84.64955639043231,300601,康泰生物,bottom_area,2025-02-05,14.76,2025-01-27,14.37,2.7139874739039707,2.8531663187195555,29.316281357599607,False,2.714,1.1288,5,5,5,100.0,12.997031349104097,24.837758112094402,5.286012526096029,2.7139874739039707,历史5/5次成功; 当前距低点2.71%; 最新日涨幅2.71%; 状态bottom_area; 底部未确认
7,85.49714575955366,83.37376887436385,600325,华发股份,bottom_area,2025-02-05,5.34,2025-01-13,5.2,2.6923076923076863,5.961538461538454,29.539295392953925,False,0.3759,0.9796,3,3,3,100.0,22.53887318723322,32.553606237816766,5.307692307692314,2.6923076923076863,历史3/3次成功; 当前距低点2.69%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
8,85.14671602024275,84.05712782032889,300399,天利科技,bottom_area,2025-02-05,22.65,2025-02-05,21.92,3.330291970802905,4.744525547445251,27.894736842105257,False,2.027,7.0292,5,5,5,100.0,17.366631794405947,31.95098963242225,4.6697080291970945,3.330291970802905,历史5/5次成功; 当前距低点3.33%; 最新日涨幅2.03%; 状态bottom_area; 底部未确认
9,83.83707015748352,83.1919628526488,300347,泰格医药,bottom_area,2025-02-05,49.52,2025-01-24,47.8,3.5983263598326487,4.393305439330547,30.824891461649784,False,1.0612,1.5272,4,4,4,100.0,16.000790070253917,23.423271500843175,4.401673640167352,3.5983263598326487,历史4/4次成功; 当前距低点3.60%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
10,83.52707539221,83.35082694756315,600202,哈空调,bottom_area,2025-02-05,4.54,2025-01-24,4.37,3.89016018306636,3.89016018306636,29.967948717948715,False,1.7937,3.2623,5,5,5,100.0,20.432215940615322,41.50485436893204,4.10983981693364,3.89016018306636,历史5/5次成功; 当前距低点3.89%; 最新日涨幅1.79%; 状态bottom_area; 底部未确认
11,82.99107686102442,77.32298734665777,300502,新易盛,confirmed_rebound,2025-02-05,102.51,2025-02-05,102.18,0.3229594832648251,15.482481894695626,29.08106607440311,False,-18.4941,8.4722,4,4,4,100.0,27.039435314524596,34.5909668057319,7.677040516735175,0.3229594832648251,历史4/4次成功; 当前距低点0.32%; 最新日涨幅-18.49%; 状态confirmed_rebound; 底部未确认
