rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.11580429333324,78.98237377702793,688010,福光股份,bottom_area,2024-11-18,29.72,2024-11-18,29.07,2.235982112143098,13.96628826969385,30.62052505966587,False,-9.8027,6.0891,3,3,3,100.0,26.0237257672806,42.08955223880597,12.764017887856902,2.235982112143098,历史3/3次成功; 当前距低点2.24%; 最新日涨幅-9.80%; 状态bottom_area; 底部未确认
2,86.46784289363025,76.8879317460433,301321,翰博高新,bottom_area,2024-11-18,16.08,2024-11-18,15.89,1.1957205789804766,10.509754562617987,29.752431476569406,False,-6.5116,4.8573,2,2,2,100.0,18.67835841999342,19.679430097951904,13.804279421019523,1.1957205789804766,历史2/2次成功; 当前距低点1.20%; 最新日涨幅-6.51%; 状态bottom_area; 底部未确认
3,85.99096261069015,76.36099294486544,600318,新力金融,bottom_area,2024-11-18,9.0,2024-11-18,8.9,1.1235955056179736,6.853932584269656,27.049180327868843,False,-4.1534,8.7577,1,1,1,100.0,31.627906976744185,31.627906976744185,13.876404494382024,1.1235955056179736,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-4.15%; 状态bottom_area; 底部未确认
4,82.81182607296118,73.45386804498526,301577,美信科技,bottom_area,2024-11-18,58.98,2024-11-18,58.36,1.0623714873200778,9.287183002056205,28.820587876570308,False,-6.7952,14.9888,1,1,1,100.0,15.247715247715247,15.247715247715247,13.937628512679922,1.0623714873200778,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-6.80%; 状态bottom_area; 底部未确认
5,82.78849999999998,71.99,300337,银邦股份,confirmed_rebound,2024-11-18,14.81,2024-11-18,14.81,0.0,29.912221471978377,32.033042680128496,False,-19.9892,15.7706,4,5,4,80.0,51.38046630670999,131.5277777777778,15.0,0.0,历史4/5次成功; 当前距低点0.00%; 最新日涨幅-19.99%; 状态confirmed_rebound; 底部未确认
6,78.24003921763524,70.37759517531157,300399,天利科技,confirmed_rebound,2024-11-18,20.78,2024-11-18,20.41,1.812836844683983,19.990200881920618,28.461268839817738,False,-16.3109,12.8157,3,4,3,75.0,22.289586995650758,31.95098963242225,13.187163155316018,1.812836844683983,历史3/4次成功; 当前距低点1.81%; 最新日涨幅-16.31%; 状态confirmed_rebound; 底部未确认
7,77.72671717407457,72.25430867058384,688260,昀冢科技,confirmed_rebound,2024-11-18,17.95,2024-11-18,17.33,3.5776110790536704,15.291402192729384,30.680000000000007,False,-8.3716,5.4021,2,2,2,100.0,33.17882758508712,35.05853357979052,11.422388920946329,3.5776110790536704,历史2/2次成功; 当前距低点3.58%; 最新日涨幅-8.37%; 状态confirmed_rebound; 底部未确认
8,75.99361015521424,67.42493641740374,688058,宝兰德,bottom_area,2024-11-18,31.9,2024-11-18,31.56,1.0773130544993659,13.022813688212937,28.564961521050254,False,-9.8615,3.631,2,3,2,66.66666666666666,21.906147930084103,24.27558257345491,13.922686945500635,1.0773130544993659,历史2/3次成功; 当前距低点1.08%; 最新日涨幅-9.86%; 状态bottom_area; 底部未确认
9,72.03805891698477,65.46669089807664,002693,双成药业,bottom_area,2024-11-18,22.53,2024-11-15,22.01,2.3625624716038143,9.76828714220808,28.49252761533463,False,1.3951,11.6978,2,6,2,33.33333333333333,68.73626373626374,102.85714285714285,12.637437528396184,2.3625624716038143,历史2/6次成功; 当前距低点2.36%; 最新日涨幅1.40%; 状态bottom_area; 底部未确认
10,72.00150234312713,65.66577454508926,688195,腾景科技,bottom_area,2024-11-18,38.97,2024-11-18,38.0,2.5526315789473655,9.210526315789473,27.105313638979478,False,-4.4619,5.4901,5,8,5,62.5,22.893949167146577,38.77410468319559,12.447368421052635,2.5526315789473655,历史5/8次成功; 当前距低点2.55%; 最新日涨幅-4.46%; 状态bottom_area; 底部未确认
11,69.55825630865301,63.504351002708304,300520,科大国创,bottom_area,2024-11-18,21.63,2024-11-18,21.08,2.609108159392793,13.757115749525628,27.10926694329185,False,-9.875,12.5929,2,3,2,66.66666666666666,19.604574943318287,23.65591397849461,12.390891840607205,2.609108159392793,历史2/3次成功; 当前距低点2.61%; 最新日涨幅-9.88%; 状态bottom_area; 底部未确认
