rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.14404712650733,76.89325908323319,603319,美湖股份,bottom_area,2026-05-20,30.21,42.06,2026-05-20,29.83,1.27388535031848,5.8330539725109025,29.07750832144556,28.17403708987161,False,-5.2384,6.351,4,5,4,80.0,29.665148827738342,43.981481481481474,18.72611464968152,1.27388535031848,历史4/5次成功; 当前距低点1.27%; 最新日涨幅-5.24%; 状态bottom_area; 底部未确认
2,88.9705494560252,74.57341136319403,601238,广汽集团,bottom_area,2026-05-20,6.34,8.67,2026-05-20,6.32,0.3164556962025249,2.3734177215189787,27.104959630911186,26.874279123414073,False,-2.1605,0.2464,2,2,2,100.0,25.08027070180526,26.42487046632124,19.683544303797476,0.3164556962025249,历史2/2次成功; 当前距低点0.32%; 最新日涨幅-2.16%; 状态bottom_area; 底部未确认
3,88.12324249120996,75.6779570359055,002773,康弘药业,bottom_area,2026-05-20,21.66,30.6,2026-05-20,21.31,1.6424213984045117,4.270295635851714,30.359477124183016,29.215686274509807,False,-0.8696,1.1774,1,1,1,100.0,24.10041841004185,24.10041841004185,18.35757860159549,1.6424213984045117,历史1/1次成功; 当前距低点1.64%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
4,87.72725374347625,77.0609619631902,603277,银都股份,bottom_area,2026-05-20,12.86,17.69,2026-05-20,12.5,2.8799999999999955,3.0400000000000063,29.338609383832683,27.30356133408706,False,0.2338,0.3159,1,1,1,100.0,24.23312883435582,24.23312883435582,17.120000000000005,2.8799999999999955,历史1/1次成功; 当前距低点2.88%; 最新日涨幅0.23%; 状态bottom_area; 底部未确认
5,87.46458439246811,77.0528186739303,688819,天能股份,bottom_area,2026-05-20,26.79,36.54,2026-05-18,26.0,3.038461538461535,3.7307692307692264,28.845101258894363,26.683087027914613,False,0.3747,0.3927,1,1,1,100.0,26.131779471089207,26.131779471089207,16.961538461538467,3.038461538461535,历史1/1次成功; 当前距低点3.04%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
6,86.51529559628041,72.77945482625483,601136,首创证券,bottom_area,2026-05-20,15.62,21.55,2026-05-20,15.54,0.5148005148005153,2.1879021879021985,27.888631090487248,27.517401392111374,False,-1.8228,0.3331,1,1,1,100.0,34.53333333333333,34.53333333333333,19.485199485199487,0.5148005148005153,历史1/1次成功; 当前距低点0.51%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
7,84.85712757928022,72.31690025954767,300449,汉邦高科,bottom_area,2026-05-20,9.1,12.83,2026-05-20,8.99,1.2235817575083363,5.561735261401557,29.9298519095869,29.072486360093535,False,-4.6122,11.3439,2,3,2,66.66666666666666,50.919184909469436,71.7557251908397,18.776418242491665,1.2235817575083363,历史2/3次成功; 当前距低点1.22%; 最新日涨幅-4.61%; 状态bottom_area; 底部未确认
8,84.73006413534912,71.00957079524999,601186,中国铁建,bottom_area,2026-05-20,6.49,8.93,2026-05-18,6.47,0.30911901081917253,2.318392581143746,27.547592385218366,27.32362821948488,False,-1.5175,0.4025,1,1,1,100.0,22.496570644718787,22.496570644718787,19.69088098918083,0.30911901081917253,历史1/1次成功; 当前距低点0.31%; 最新日涨幅-1.52%; 状态bottom_area; 底部未确认
9,84.56115733786169,70.85193649032537,300979,华利集团,bottom_area,2026-05-20,37.18,51.35,2026-05-20,37.07,0.29673590504450886,2.5896951712975476,27.809152872444017,27.59493670886076,False,-1.9515,0.1368,1,1,1,100.0,21.49728147218737,21.49728147218737,19.703264094955493,0.29673590504450886,历史1/1次成功; 当前距低点0.30%; 最新日涨幅-1.95%; 状态bottom_area; 底部未确认
10,84.06380872260932,75.86228180217942,600338,西藏珠峰,bottom_area,2026-05-20,20.59,28.28,2026-05-20,19.73,4.358844399391786,6.893056259503291,30.233380480905236,27.192362093352195,False,1.4286,9.2208,3,4,3,75.0,40.08304856340157,59.223300970873794,15.641155600608215,4.358844399391786,历史3/4次成功; 当前距低点4.36%; 最新日涨幅1.43%; 状态bottom_area; 底部未确认
11,82.65355019412746,73.82839025308118,002866,传艺科技,bottom_area,2026-05-20,22.42,30.0,2026-05-20,21.6,3.7962962962962976,4.583333333333326,27.999999999999996,25.26666666666666,False,-0.3112,7.7071,1,1,1,100.0,40.55884843353091,40.55884843353091,16.203703703703702,3.7962962962962976,历史1/1次成功; 当前距低点3.80%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
