rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.14404712650733,76.89325908323319,603319,美湖股份,bottom_area,2026-05-20,30.21,42.06,2026-05-20,29.83,1.27388535031848,5.8330539725109025,29.07750832144556,28.17403708987161,False,-5.2384,6.351,4,5,4,80.0,29.665148827738342,43.981481481481474,18.72611464968152,1.27388535031848,历史4/5次成功; 当前距低点1.27%; 最新日涨幅-5.24%; 状态bottom_area; 底部未确认
12,82.26968012543557,74.57891600861448,000007,全新好,bottom_area,2026-05-20,12.49,17.79,2026-05-19,11.94,4.606365159128984,7.202680067001685,32.88364249578415,29.792017987633496,True,1.2156,2.9885,1,1,1,100.0,22.85714285714285,22.85714285714285,15.393634840871018,4.606365159128984,历史1/1次成功; 当前距低点4.61%; 最新日涨幅1.22%; 状态bottom_area; 底部已确认
13,80.1060622777908,69.74142128937339,688326,经纬恒润,bottom_area,2026-05-20,89.91,125.0,2026-05-06,87.81,2.3915271609156066,7.7212162623846945,29.752000000000002,28.072000000000003,True,-2.0161,1.8271,2,3,2,66.66666666666666,31.061486825775873,34.48938586529221,17.608472839084392,2.3915271609156066,历史2/3次成功; 当前距低点2.39%; 最新日涨幅-2.02%; 状态bottom_area; 底部已确认
14,78.67623323626687,66.77868996254328,000723,美锦能源,bottom_area,2026-05-20,4.03,5.67,2026-05-18,3.99,1.0025062656641612,3.0075187969924837,29.629629629629623,28.924162257495585,False,-1.9465,0.8902,2,4,2,50.0,26.74410886159975,30.434782608695667,18.99749373433584,1.0025062656641612,历史2/4次成功; 当前距低点1.00%; 最新日涨幅-1.95%; 状态bottom_area; 底部未确认
15,76.24607798498023,68.2897401395047,002083,孚日股份,bottom_area,2026-05-20,10.54,14.53,2026-05-20,10.14,3.944773175542392,5.424063116370798,30.213351686166547,27.460426703372338,False,2.3301,3.0423,2,3,2,66.66666666666666,29.01696942513269,31.79487179487179,16.05522682445761,3.944773175542392,历史2/3次成功; 当前距低点3.94%; 最新日涨幅2.33%; 状态bottom_area; 底部未确认
16,75.68655807783894,66.3602523431289,300651,金陵体育,bottom_area,2026-05-20,26.64,35.7,2026-05-20,25.92,2.7777777777777732,3.6265432098765342,27.39495798319328,25.378151260504207,False,0.8327,11.5713,3,6,3,50.0,23.782718690657177,25.720461095100855,17.22222222222223,2.7777777777777732,历史3/6次成功; 当前距低点2.78%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
17,75.52434262112872,66.10511287449458,603179,新泉股份,bottom_area,2026-05-20,57.38,81.57,2026-05-20,55.88,2.6843235504652827,4.366499642090189,31.49442196886109,29.65551060438886,False,-0.226,4.7649,2,3,2,66.66666666666666,24.294107004778237,25.201612903225808,17.315676449534717,2.6843235504652827,历史2/3次成功; 当前距低点2.68%; 最新日涨幅-0.23%; 状态bottom_area; 底部未确认
18,74.22445394777145,63.201020193151905,002676,顺威股份,bottom_area,2026-05-20,6.02,8.23,2026-05-18,5.95,1.176470588235284,5.042016806722685,27.703523693803163,26.852976913730263,False,-1.473,2.0703,2,5,2,40.0,31.308457711442777,39.33333333333333,18.823529411764717,1.176470588235284,历史2/5次成功; 当前距低点1.18%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
19,73.72090374292934,63.35530514175878,688336,三生国健,bottom_area,2026-05-20,63.48,91.44,2026-05-20,62.43,1.681883709754921,4.1166106038763415,31.7257217847769,30.577427821522313,False,-1.4439,0.6581,1,2,1,50.0,51.08359133126935,51.08359133126935,18.31811629024508,1.681883709754921,历史1/2次成功; 当前距低点1.68%; 最新日涨幅-1.44%; 状态bottom_area; 底部未确认
20,73.1746511067798,62.279653495320034,603101,汇嘉时代,bottom_area,2026-05-20,7.9,11.38,2026-05-20,7.81,1.1523687580025703,4.2253521126760685,31.37082601054482,30.579964850615116,False,-2.5894,2.4016,1,2,1,50.0,37.72609819121447,37.72609819121447,18.84763124199743,1.1523687580025703,历史1/2次成功; 当前距低点1.15%; 最新日涨幅-2.59%; 状态bottom_area; 底部未确认
21,72.34965739704953,62.41024759489895,300072,海新能科,bottom_area,2026-05-20,4.32,5.92,2026-05-18,4.24,1.8867924528301903,6.132075471698108,28.378378378378372,27.027027027027025,False,-1.3699,1.3028,1,2,1,50.0,47.4308300395257,47.4308300395257,18.11320754716981,1.8867924528301903,历史1/2次成功; 当前距低点1.89%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
22,71.7585076068207,61.122057054654945,605116,奥锐特,bottom_area,2026-05-20,21.17,28.8,2026-05-20,20.92,1.1950286806883366,2.103250478011461,27.361111111111107,26.49305555555555,False,-0.8895,0.4716,1,2,1,50.0,32.02538949798039,32.02538949798039,18.804971319311665,1.1950286806883366,历史1/2次成功; 当前距低点1.20%; 最新日涨幅-0.89%; 状态bottom_area; 底部未确认
23,70.19979310344827,58.4998275862069,600636,退市国化,bottom_area,2026-05-20,4.51,6.3,2026-04-29,4.51,0.0,2.660753880266078,28.41269841269841,28.41269841269841,False,0.0,0.0,1,2,1,50.0,32.90229885057471,32.90229885057471,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
24,69.03241267824691,57.82542938917052,002342,巨力索具,bottom_area,2026-05-20,14.21,20.35,2026-05-20,14.17,0.2822865208186374,11.079745942131265,30.368550368550373,30.17199017199017,False,-9.7205,37.9113,2,5,2,40.0,41.500229336758096,49.54591321897074,19.717713479181363,0.2822865208186374,历史2/5次成功; 当前距低点0.28%; 最新日涨幅-9.72%; 状态bottom_area; 底部未确认
25,68.736605994642,57.8633778493286,000012,南玻A,bottom_area,2026-05-20,3.64,5.27,2026-05-20,3.62,0.5524861878453043,3.314917127071826,31.30929791271346,30.92979127134724,False,-2.6738,1.0305,1,2,1,50.0,46.467991169977914,46.467991169977914,19.447513812154696,0.5524861878453043,历史1/2次成功; 当前距低点0.55%; 最新日涨幅-2.67%; 状态bottom_area; 底部未确认
26,68.36668294070465,59.993664117981425,002580,圣阳股份,bottom_area,2026-05-20,26.21,36.5,2026-05-19,25.49,2.8246371125931833,9.846998823067876,30.164383561643838,28.191780821917806,False,-4.6909,17.6153,2,4,2,50.0,22.81632653061224,24.0,17.175362887406816,2.8246371125931833,历史2/4次成功; 当前距低点2.82%; 最新日涨幅-4.69%; 状态bottom_area; 底部未确认
27,67.74413668163577,57.685378099119134,002828,贝肯能源,bottom_area,2026-05-20,11.16,15.17,2026-05-15,11.03,1.1786038077969245,4.079782411604724,27.290705339485832,26.43375082399472,False,-0.5348,3.9246,1,3,1,33.33333333333333,32.79172821270311,32.79172821270311,18.82139619220308,1.1786038077969245,历史1/3次成功; 当前距低点1.18%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
28,67.12304172300561,59.0498923166066,603313,梦百合,bottom_area,2026-05-20,5.91,8.27,2026-05-18,5.74,2.9616724738675946,6.6202090592334475,30.592503022974597,28.53688029020556,False,-2.7961,1.5407,2,5,2,40.0,30.87368579045548,36.22250970245794,17.038327526132406,2.9616724738675946,历史2/5次成功; 当前距低点2.96%; 最新日涨幅-2.80%; 状态bottom_area; 底部未确认
29,65.17397676386675,55.26570051359507,603113,金能科技,bottom_area,2026-05-20,5.31,7.5,2026-05-20,5.26,0.9505703422053199,2.8517110266159764,29.86666666666667,29.200000000000003,False,-1.8484,1.1546,2,5,2,40.0,25.71505856894199,31.03448275862069,19.049429657794683,0.9505703422053199,历史2/5次成功; 当前距低点0.95%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
30,65.1312803347432,55.68689489415208,301076,新瀚新材,bottom_area,2026-05-20,31.84,45.03,2026-05-20,31.4,1.4012738853503226,4.3949044585987345,30.26870974905619,29.291583388851876,False,-1.8798,3.4712,1,3,1,33.33333333333333,24.776699029126224,24.776699029126224,18.59872611464968,1.4012738853503226,历史1/3次成功; 当前距低点1.40%; 最新日涨幅-1.88%; 状态bottom_area; 底部未确认
31,65.10456332464783,55.108805392998214,601808,中海油服,bottom_area,2026-05-20,14.18,20.55,2026-05-18,14.06,0.8534850640113741,2.347083926031295,31.581508515815088,30.99756690997567,False,-0.7003,0.5887,1,2,1,50.0,35.34812547819435,35.34812547819435,19.146514935988627,0.8534850640113741,历史1/2次成功; 当前距低点0.85%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
32,63.95717391870832,54.69686711424936,000925,众合科技,bottom_area,2026-05-20,8.6,11.84,2026-05-20,8.48,1.415094339622632,5.188679245283013,28.378378378378372,27.36486486486487,False,-2.9345,9.8521,1,4,1,25.0,21.01226993865031,21.01226993865031,18.58490566037737,1.415094339622632,历史1/4次成功; 当前距低点1.42%; 最新日涨幅-2.93%; 状态bottom_area; 底部未确认
33,63.81220585008099,56.20301566899255,002379,宏桥控股,bottom_area,2026-05-20,20.77,29.92,2026-05-20,20.16,3.025793650793648,4.910714285714278,32.62032085561498,30.58155080213904,False,-0.0481,2.0176,1,2,1,50.0,28.020565552699235,28.020565552699235,16.97420634920635,3.025793650793648,历史1/2次成功; 当前距低点3.03%; 最新日涨幅-0.05%; 状态bottom_area; 底部未确认
34,63.08231672986999,54.541320754717006,002320,海峡股份,bottom_area,2026-05-20,8.11,11.0,2026-05-15,7.95,2.012578616352192,4.276729559748415,27.727272727272727,26.272727272727277,False,-1.0976,0.695,1,3,1,33.33333333333333,26.111111111111097,26.111111111111097,17.98742138364781,2.012578616352192,历史1/3次成功; 当前距低点2.01%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
35,59.10777504767849,53.501301700962465,000978,桂林旅游,bottom_area,2026-05-20,6.47,8.66,2026-05-18,6.19,4.523424878836823,5.815831987075919,28.52193995381062,25.288683602771368,False,-1.0703,2.2066,1,2,1,50.0,31.85328185328186,31.85328185328186,15.476575121163178,4.523424878836823,历史1/2次成功; 当前距低点4.52%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
36,56.85137209988481,50.9826318427456,000546,金圆股份,bottom_area,2026-05-20,6.22,8.27,2026-05-20,5.98,4.013377926421393,6.688963210702331,27.69044740024183,24.788391777509066,False,0.3226,7.234,1,5,1,20.0,21.253405994550416,21.253405994550416,15.986622073578607,4.013377926421393,历史1/5次成功; 当前距低点4.01%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
