rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.36003208623471,79.02152923170954,605228,神通科技,bottom_area,2025-12-16,14.3,2025-12-16,13.92,2.72988505747127,5.3160919540229905,28.247422680412367,False,1.3466,1.8209,4,5,4,80.0,26.26702775668829,47.56554307116105,12.27011494252873,2.72988505747127,历史4/5次成功; 当前距低点2.73%; 最新日涨幅1.35%; 状态bottom_area; 底部未确认
2,85.65926793635445,75.46610329051722,603030,全筑股份,bottom_area,2025-12-16,2.88,2025-12-16,2.86,0.6993006993007,3.1468531468531578,28.855721393034823,False,-1.7065,1.6545,6,7,6,85.71428571428571,32.19167603261121,51.87969924812029,14.300699300699298,0.6993006993007,历史6/7次成功; 当前距低点0.70%; 最新日涨幅-1.71%; 状态bottom_area; 底部未确认
3,83.04215726118184,73.22608540925269,301001,凯淳股份,bottom_area,2025-12-16,28.31,2025-12-16,28.1,0.7473309608540829,4.875444839857642,32.19111969111969,False,-3.6091,6.0133,1,1,1,100.0,58.89483065953654,58.89483065953654,14.252669039145916,0.7473309608540829,历史1/1次成功; 当前距低点0.75%; 最新日涨幅-3.61%; 状态bottom_area; 底部未确认
4,82.8350432863362,72.12108739362118,003038,鑫铂股份,bottom_area,2025-12-16,14.88,2025-12-16,14.87,0.0672494956287933,2.48823133826497,31.125521074571566,False,-2.4902,2.0961,1,1,1,100.0,25.507614213197975,25.507614213197975,14.932750504371207,0.0672494956287933,历史1/1次成功; 当前距低点0.07%; 最新日涨幅-2.49%; 状态bottom_area; 底部未确认
5,82.25061112365789,72.39358727665423,003016,欣贺股份,bottom_area,2025-12-16,9.32,2025-12-16,9.26,0.6479481641468736,5.723542116630663,27.59968725566849,False,-2.4084,6.8653,1,1,1,100.0,34.09090909090909,34.09090909090909,14.352051835853125,0.6479481641468736,历史1/1次成功; 当前距低点0.65%; 最新日涨幅-2.41%; 状态bottom_area; 底部未确认
6,81.32912194822393,72.01980901451492,600708,光明地产,bottom_area,2025-12-16,3.11,2025-12-15,3.08,0.9740259740259676,2.5974025974025996,27.186761229314428,False,-0.9554,0.6308,1,1,1,100.0,36.07843137254903,36.07843137254903,14.02597402597403,0.9740259740259676,历史1/1次成功; 当前距低点0.97%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
7,81.29155858652372,71.42124264336944,300035,中科电气,bottom_area,2025-12-16,20.04,2025-12-16,19.93,0.5519317611640714,4.014049172102362,30.798611111111114,False,-2.907,3.9161,1,1,1,100.0,27.686274509803933,27.686274509803933,14.448068238835928,0.5519317611640714,历史1/1次成功; 当前距低点0.55%; 最新日涨幅-2.91%; 状态bottom_area; 底部未确认
8,81.02191267606754,71.05453974027849,688365,光云科技,bottom_area,2025-12-16,15.48,2025-12-16,15.41,0.4542504866969519,6.22972096041532,32.97085689430187,False,-4.6211,3.1578,1,1,1,100.0,34.732423924449115,34.732423924449115,14.545749513303047,0.4542504866969519,历史1/1次成功; 当前距低点0.45%; 最新日涨幅-4.62%; 状态bottom_area; 底部未确认
9,80.44405824286164,70.40263148880169,300358,楚天科技,bottom_area,2025-12-16,8.75,2025-12-16,8.72,0.3440366972476991,3.555045871559618,29.677419354838708,False,-3.4216,3.3173,3,4,3,75.0,34.04319977702382,38.205499276411004,14.655963302752301,0.3440366972476991,历史3/4次成功; 当前距低点0.34%; 最新日涨幅-3.42%; 状态bottom_area; 底部未确认
10,80.06476536676374,70.32084040622088,300878,维康药业,bottom_area,2025-12-16,20.68,2025-12-16,20.57,0.5347593582887672,3.2571706368497724,27.824561403508767,False,-2.7281,1.5433,1,1,1,100.0,21.55963302752294,21.55963302752294,14.465240641711233,0.5347593582887672,历史1/1次成功; 当前距低点0.53%; 最新日涨幅-2.73%; 状态bottom_area; 底部未确认
11,80.02191711321437,71.83772043903564,605299,舒华体育,bottom_area,2025-12-16,11.92,2025-12-15,11.72,1.7064846416382191,5.290102389078491,32.05797101449275,False,-0.6667,8.6399,2,3,2,66.66666666666666,43.12816535109732,56.12903225806454,13.293515358361779,1.7064846416382191,历史2/3次成功; 当前距低点1.71%; 最新日涨幅-0.67%; 状态bottom_area; 底部未确认
12,79.8629919382486,70.30243006094268,301567,贝隆精密,bottom_area,2025-12-16,44.51,2025-12-16,44.22,0.6558118498416986,4.5906829488919065,30.36220472440945,False,-3.0917,11.6112,2,2,2,100.0,16.4929090246331,16.59192825112107,14.344188150158303,0.6558118498416986,历史2/2次成功; 当前距低点0.66%; 最新日涨幅-3.09%; 状态bottom_area; 底部未确认
13,79.71783484082869,69.91127579294896,300890,翔丰华,bottom_area,2025-12-16,28.73,2025-12-16,28.6,0.45454545454545103,2.7272727272727186,27.539903724347596,False,-2.2124,3.6411,1,1,1,100.0,18.37440553393861,18.37440553393861,14.545454545454547,0.45454545454545103,历史1/1次成功; 当前距低点0.45%; 最新日涨幅-2.21%; 状态bottom_area; 底部未确认
