rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.25676041816817,88.7304409581538,002265,建设工业,bottom_area,2023-09-22,12.4,2023-08-25,12.16,1.9736842105263175,7.1546052631578885,28.344136711844424,True,1.39,0.4704,4,4,4,100.0,16.669037409429027,32.75229357798165,6.026315789473682,1.9736842105263175,历史4/4次成功; 当前距低点1.97%; 最新日涨幅1.39%; 状态bottom_area; 底部已确认
2,90.42366530059283,86.3233081628571,002386,天原股份,bottom_area,2023-09-22,5.76,2023-08-31,5.67,1.5873015873015848,5.996472663139327,31.604342581423396,False,0.6993,0.495,3,3,3,100.0,24.851375171530723,48.85290148448042,6.412698412698416,1.5873015873015848,历史3/3次成功; 当前距低点1.59%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
3,83.12850734027921,82.24679115929958,002534,西子洁能,bottom_area,2023-09-22,12.91,2023-09-22,12.48,3.445512820512818,3.445512820512818,27.861271676300582,False,3.28,0.5049,3,3,3,100.0,25.712690269187092,33.11594202898551,4.554487179487182,3.445512820512818,历史3/3次成功; 当前距低点3.45%; 最新日涨幅3.28%; 状态bottom_area; 底部未确认
4,82.27424665565735,81.05837108931757,002069,獐子岛,bottom_area,2023-09-22,4.16,2023-09-14,4.03,3.2258064516129004,5.707196029776663,28.79858657243816,False,1.2165,1.0193,3,3,3,100.0,16.6301602096504,30.967741935483854,4.7741935483871,3.2258064516129004,历史3/3次成功; 当前距低点3.23%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
5,81.97659403391081,80.24402415206285,300561,汇金科技,bottom_area,2023-09-22,12.82,2023-09-21,12.46,2.8892455858747947,3.21027287319421,32.539252842447205,False,2.3962,3.545,2,2,2,100.0,24.79303273041607,27.62128325508607,5.110754414125205,2.8892455858747947,历史2/2次成功; 当前距低点2.89%; 最新日涨幅2.40%; 状态bottom_area; 底部未确认
6,81.57227832889615,78.81831889848102,002767,先锋电子,bottom_area,2023-09-22,14.31,2023-09-22,14.0,2.214285714285718,2.214285714285718,30.174563591022448,False,0.2101,5.5288,2,2,2,100.0,8.854249070174514,9.063444108761324,5.785714285714282,2.214285714285718,历史2/2次成功; 当前距低点2.21%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
7,81.02766159346224,81.41781685559889,603232,格尔软件,bottom_area,2023-09-22,12.02,2023-09-21,11.53,4.249783174327843,4.336513443191674,29.176904176904184,False,3.176,2.7959,4,4,4,100.0,14.447970392829903,22.78481012658228,3.7502168256721577,4.249783174327843,历史4/4次成功; 当前距低点4.25%; 最新日涨幅3.18%; 状态bottom_area; 底部未确认
8,80.7138893453291,78.3431572815061,300603,立昂技术,bottom_area,2023-09-22,9.2,2023-09-21,8.98,2.4498886414253773,2.672605790645882,27.346278317152095,False,1.9956,5.4856,4,5,4,80.0,19.18765260191376,35.36723163841809,5.550111358574623,2.4498886414253773,历史4/5次成功; 当前距低点2.45%; 最新日涨幅2.00%; 状态bottom_area; 底部未确认
9,80.69459407372258,78.55797861424017,000028,国药一致,bottom_area,2023-09-22,31.12,2023-09-22,30.33,2.604681833168489,2.8684470820969374,31.30237825594564,False,1.2691,0.7245,2,2,2,100.0,12.240070934754426,14.150943396226415,5.395318166831512,2.604681833168489,历史2/2次成功; 当前距低点2.60%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
10,77.67229762021314,76.69928404910476,603191,望变电气,bottom_area,2023-09-22,15.45,2023-09-21,14.95,3.3444816053511706,3.6120401337792707,29.046037019458954,False,2.7261,2.226,2,2,2,100.0,11.315602738201239,13.281249999999995,4.65551839464883,3.3444816053511706,历史2/2次成功; 当前距低点3.34%; 最新日涨幅2.73%; 状态bottom_area; 底部未确认
11,77.37646734326903,76.44582254704414,601777,千里科技,confirmed_rebound,2023-09-22,3.68,2023-08-25,3.56,3.3707865168539355,8.146067415730338,27.93522267206478,True,1.6575,0.5066,1,1,1,100.0,27.96352583586626,27.96352583586626,4.6292134831460645,3.3707865168539355,历史1/1次成功; 当前距低点3.37%; 最新日涨幅1.66%; 状态confirmed_rebound; 底部已确认
12,76.31851985473762,70.82493624348726,300573,兴齐眼药,bottom_area,2023-09-22,153.8,2023-09-22,153.62,0.11717224319750476,5.318317927353201,31.724444444444444,False,-2.4483,3.2162,3,4,3,75.0,23.31768256977187,42.86062675283501,7.882827756802495,0.11717224319750476,历史3/4次成功; 当前距低点0.12%; 最新日涨幅-2.45%; 状态bottom_area; 底部未确认
13,76.05931592511925,76.22272713138118,000058,深赛格,bottom_area,2023-09-22,7.09,2023-09-22,6.81,4.111600587371517,4.405286343612345,27.16577540106952,False,0.7102,4.2174,1,1,1,100.0,34.82352941176472,34.82352941176472,3.8883994126284835,4.111600587371517,历史1/1次成功; 当前距低点4.11%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
14,72.55634450059695,73.9373491456196,688191,智洋创新,bottom_area,2023-09-22,18.76,2023-09-20,17.87,4.980414101846673,5.595970900951315,28.519999999999996,False,3.9335,3.691,2,2,2,100.0,16.51985643994637,22.671568627450974,3.019585898153327,4.980414101846673,历史2/2次成功; 当前距低点4.98%; 最新日涨幅3.93%; 状态bottom_area; 底部未确认
15,70.73407892385569,71.28531864625202,600375,汉马科技,confirmed_rebound,2023-09-22,5.69,2023-09-21,5.45,4.403669724770646,11.376146788990829,30.395913154533844,False,2.1544,2.9321,1,1,1,100.0,22.073578595317713,22.073578595317713,3.5963302752293544,4.403669724770646,历史1/1次成功; 当前距低点4.40%; 最新日涨幅2.15%; 状态confirmed_rebound; 底部未确认
16,70.50970272192475,71.6653684471292,600032,浙江新能,bottom_area,2023-09-22,10.17,2023-09-22,9.7,4.845360824742275,5.05154639175258,27.395209580838326,False,1.8018,2.1191,1,1,1,100.0,19.31608133086876,19.31608133086876,3.154639175257725,4.845360824742275,历史1/1次成功; 当前距低点4.85%; 最新日涨幅1.80%; 状态bottom_area; 底部未确认
17,55.90411740762023,54.21936646791718,605365,立达信,bottom_area,2023-09-22,17.43,2023-09-21,17.02,2.408930669800236,3.995299647473559,30.217302173021732,False,-1.0221,20.841,1,2,1,50.0,9.794238683127569,9.794238683127569,5.5910693301997645,2.408930669800236,历史1/2次成功; 当前距低点2.41%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
