rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.39900179895741,79.76063457641743,601666,平煤股份,bottom_area,2024-07-23,9.92,2024-07-22,9.9,0.20202020202019771,4.141414141414143,27.47252747252747,False,-2.8404,0.7454,4,4,4,100.0,18.23247654313697,27.30923694779115,9.797979797979803,0.20202020202019771,历史4/4次成功; 当前距低点0.20%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
2,86.77951251133204,79.05204787436276,000065,北方国际,bottom_area,2024-07-23,9.34,2024-07-23,9.33,0.1071811361200406,2.893890675241153,29.58490566037736,False,-1.8908,0.6669,3,3,3,100.0,29.926993896325044,41.48061104582843,9.89281886387996,0.1071811361200406,历史3/3次成功; 当前距低点0.11%; 最新日涨幅-1.89%; 状态bottom_area; 底部未确认
3,86.16242301633991,81.21867743343518,600973,宝胜股份,bottom_area,2024-07-23,3.22,2024-07-18,3.16,1.8987341772151913,4.113924050632908,31.749460043196542,False,-1.227,0.5338,2,2,2,100.0,40.36446966390223,46.551724137931025,8.101265822784809,1.8987341772151913,历史2/2次成功; 当前距低点1.90%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
4,86.06902538210971,81.13387484414473,603209,兴通股份,bottom_area,2024-07-23,12.33,2024-07-18,12.1,1.9008264462809954,5.371900826446284,27.674835624626425,False,-1.8312,0.6142,3,3,3,100.0,23.267522267018258,26.115859449192786,8.099173553719005,1.9008264462809954,历史3/3次成功; 当前距低点1.90%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
5,85.95605239487556,78.14186581352322,603113,金能科技,bottom_area,2024-07-23,4.89,2024-07-23,4.89,0.0,3.0674846625766947,32.45856353591161,False,-1.0121,0.9206,5,5,5,100.0,19.31110652431836,31.03448275862069,10.0,0.0,历史5/5次成功; 当前距低点0.00%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
6,85.79757601066902,78.32571503676691,601886,江河集团,bottom_area,2024-07-23,4.56,2024-07-23,4.55,0.21978021978021509,3.9560439560439695,28.120063191153243,False,-1.2987,0.7267,3,3,3,100.0,27.40222547239673,33.5540838852097,9.780219780219786,0.21978021978021509,历史3/3次成功; 当前距低点0.22%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
7,85.66431043341805,79.80380605352136,001218,丽臣实业,bottom_area,2024-07-23,14.23,2024-07-18,14.05,1.281138790035585,3.70106761565836,29.040404040404038,False,-1.2491,0.6982,2,2,2,100.0,25.18711018711019,29.999999999999993,8.718861209964416,1.281138790035585,历史2/2次成功; 当前距低点1.28%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
8,85.49183520119165,78.2623700784742,600955,维远股份,bottom_area,2024-07-23,13.77,2024-07-09,13.72,0.3644314868804587,7.069970845481041,28.911917098445596,True,-2.6167,0.2212,3,3,3,100.0,19.641257357858347,25.969084423305596,9.63556851311954,0.3644314868804587,历史3/3次成功; 当前距低点0.36%; 最新日涨幅-2.62%; 状态bottom_area; 底部已确认
9,85.07340781058203,77.51950029963244,000811,冰轮环境,bottom_area,2024-07-23,8.22,2024-07-23,8.21,0.12180267965894989,4.750304506699132,30.89225589225589,False,-3.8596,1.1697,3,3,3,100.0,32.0817763938432,47.451868629671566,9.87819732034105,0.12180267965894989,历史3/3次成功; 当前距低点0.12%; 最新日涨幅-3.86%; 状态bottom_area; 底部未确认
10,84.88496747325202,80.71029694178058,000789,万年青,bottom_area,2024-07-23,4.35,2024-07-09,4.25,2.35294117647058,7.2941176470588145,29.752066115702476,True,-1.1364,0.462,2,2,2,100.0,34.00539152759949,47.599999999999994,7.647058823529421,2.35294117647058,历史2/2次成功; 当前距低点2.35%; 最新日涨幅-1.14%; 状态bottom_area; 底部已确认
11,84.5450218120499,78.15944614648723,605337,李子园,bottom_area,2024-07-23,9.18,2024-07-09,9.1,0.87912087912088,8.35164835164835,31.00833965125095,True,-2.7542,0.4106,3,3,3,100.0,25.39699866066034,37.98882681564246,9.12087912087912,0.87912087912088,历史3/3次成功; 当前距低点0.88%; 最新日涨幅-2.75%; 状态bottom_area; 底部已确认
12,84.1163589655633,76.71681483224998,002545,东方铁塔,bottom_area,2024-07-23,5.92,2024-07-23,5.91,0.1692047377326529,3.5532994923857864,28.276699029126213,False,-2.7915,0.7527,3,3,3,100.0,18.132266850969987,28.468653648509758,9.830795262267348,0.1692047377326529,历史3/3次成功; 当前距低点0.17%; 最新日涨幅-2.79%; 状态bottom_area; 底部未确认
13,83.91921702308971,80.01599762666693,605567,春雪食品,bottom_area,2024-07-23,7.38,2024-07-09,7.2,2.499999999999996,7.638888888888887,29.961089494163417,True,-1.992,1.2809,2,2,2,100.0,32.07525605734906,36.46616541353383,7.5000000000000036,2.499999999999996,历史2/2次成功; 当前距低点2.50%; 最新日涨幅-1.99%; 状态bottom_area; 底部已确认
14,83.64585411348983,79.09849144728939,002246,北化股份,bottom_area,2024-07-23,7.41,2024-07-18,7.26,2.066115702479344,6.887052341597796,31.315042573320724,False,-3.1373,1.4998,3,3,3,100.0,24.565780908291877,31.992687385740403,7.933884297520656,2.066115702479344,历史3/3次成功; 当前距低点2.07%; 最新日涨幅-3.14%; 状态bottom_area; 底部未确认
