rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.65250655569345,82.24055130588485,300761,立华股份,bottom_area,2024-09-19,17.46,2024-09-18,17.27,1.1001737116386872,3.2426172553561012,30.6425702811245,False,0.4025,0.6527,1,1,1,100.0,30.263157894736853,30.263157894736853,13.89982628836131,1.1001737116386872,历史1/1次成功; 当前距低点1.10%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
2,89.03711053687577,80.34430327929635,002130,沃尔核材,bottom_area,2024-09-19,10.8,2024-09-19,10.59,1.9830028328611977,3.3994334277620344,27.416038382453735,False,0.0927,4.6695,1,1,1,100.0,30.89005235602093,30.89005235602093,13.016997167138802,1.9830028328611977,历史1/1次成功; 当前距低点1.98%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
3,87.69205304420265,78.80230151638165,301456,盘古智能,bottom_area,2024-09-19,18.5,2024-09-18,18.18,1.7601760176017618,4.510451045104512,27.279999999999998,False,-0.5376,2.3706,1,1,1,100.0,42.34141309953585,42.34141309953585,13.239823982398239,1.7601760176017618,历史1/1次成功; 当前距低点1.76%; 最新日涨幅-0.54%; 状态bottom_area; 底部未确认
4,85.59455263810453,78.49627488410142,002674,兴业科技,bottom_area,2024-09-19,7.94,2024-09-18,7.72,2.8497409326424954,3.367875647668403,32.16168717047452,False,1.7949,0.3913,1,1,1,100.0,31.578947368421055,31.578947368421055,12.150259067357503,2.8497409326424954,历史1/1次成功; 当前距低点2.85%; 最新日涨幅1.79%; 状态bottom_area; 底部未确认
5,84.25061310453931,78.46452752236918,301386,未来电器,bottom_area,2024-09-19,17.48,2024-09-18,16.86,3.677342823250303,4.626334519572961,28.224776500638566,False,1.0989,1.522,2,2,2,100.0,24.88639332999926,27.880184331797242,11.322657176749697,3.677342823250303,历史2/2次成功; 当前距低点3.68%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
6,82.63195655591194,74.25458749323529,601808,中海油服,bottom_area,2024-09-19,13.3,2024-09-18,13.07,1.7597551644988556,2.830910482019887,30.25613660618996,False,-0.6721,0.2303,1,1,1,100.0,17.88617886178861,17.88617886178861,13.240244835501144,1.7597551644988556,历史1/1次成功; 当前距低点1.76%; 最新日涨幅-0.67%; 状态bottom_area; 底部未确认
7,79.83165197099235,74.02281647101631,300521,爱司凯,bottom_area,2024-09-19,10.22,2024-09-18,9.88,3.441295546558703,4.048582995951403,28.920863309352512,False,2.3023,1.3442,4,6,4,66.66666666666666,37.001632529588655,73.27586206896554,11.558704453441296,3.441295546558703,历史4/6次成功; 当前距低点3.44%; 最新日涨幅2.30%; 状态bottom_area; 底部未确认
8,79.56702172946595,74.34737605007413,688009,中国通号,bottom_area,2024-09-19,4.85,2024-09-18,4.67,3.8543897216274026,4.282655246252681,28.153846153846157,False,2.9724,0.3465,1,1,1,100.0,21.588089330024815,21.588089330024815,11.145610278372597,3.8543897216274026,历史1/1次成功; 当前距低点3.85%; 最新日涨幅2.97%; 状态bottom_area; 底部未确认
9,78.62943627745078,71.43871928693025,002600,领益智造,bottom_area,2024-09-19,6.1,2024-09-18,5.96,2.3489932885905986,4.026845637583897,30.616996507566935,False,0.9934,2.507,3,5,3,60.0,24.163569811380693,38.381201044386415,12.651006711409401,2.3489932885905986,历史3/5次成功; 当前距低点2.35%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
10,78.55556409331835,73.80214623843524,603079,圣达生物,bottom_area,2024-09-19,10.55,2024-09-18,10.13,4.146100691016781,4.6396841066140055,30.616438356164377,False,2.3278,1.6206,1,1,1,100.0,22.232558139534888,22.232558139534888,10.853899308983218,4.146100691016781,历史1/1次成功; 当前距低点4.15%; 最新日涨幅2.33%; 状态bottom_area; 底部未确认
11,76.97662615067831,72.51596658226953,001286,陕西能源,bottom_area,2024-09-19,8.99,2024-09-11,8.62,4.292343387471009,5.568445475638057,31.749802058590664,False,1.5819,1.7483,1,1,1,100.0,17.110266159695826,17.110266159695826,10.70765661252899,4.292343387471009,历史1/1次成功; 当前距低点4.29%; 最新日涨幅1.58%; 状态bottom_area; 底部未确认
