rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.00759406462387,82.68104343610574,002245,蔚蓝锂芯,bottom_area,2022-09-27,15.06,2022-09-23,14.63,2.939166097060832,5.673274094326726,27.788746298124384,False,0.467,1.837,3,3,3,100.0,21.840549125830286,25.653923541247494,12.060833902939168,2.939166097060832,历史3/3次成功; 当前距低点2.94%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
2,89.0695058225803,80.92582232458922,300437,清水源,bottom_area,2022-09-27,17.42,2022-09-27,17.02,2.350176263219754,2.4676850763807385,30.897279740154282,False,1.8118,1.7497,5,6,5,83.33333333333334,24.628445545144793,30.330330330330323,12.649823736780247,2.350176263219754,历史5/6次成功; 当前距低点2.35%; 最新日涨幅1.81%; 状态bottom_area; 底部未确认
3,88.80865559901248,79.38634434105695,600126,杭钢股份,bottom_area,2022-09-27,4.12,2022-09-27,4.06,1.4778325123152833,1.9704433497536966,28.89667250437829,False,0.9804,0.233,1,1,1,100.0,19.54732510288064,19.54732510288064,13.522167487684717,1.4778325123152833,历史1/1次成功; 当前距低点1.48%; 最新日涨幅0.98%; 状态bottom_area; 底部未确认
4,88.71016106674661,80.96359386219547,603315,福鞍股份,bottom_area,2022-09-27,19.79,2022-09-26,19.29,2.5920165889061693,3.939865215137385,30.335861321776818,False,1.6958,0.599,1,1,1,100.0,41.68490153172865,41.68490153172865,12.40798341109383,2.5920165889061693,历史1/1次成功; 当前距低点2.59%; 最新日涨幅1.70%; 状态bottom_area; 底部未确认
5,88.69371243095776,80.61790913467435,688199,久日新材,bottom_area,2022-09-27,34.52,2022-09-26,33.72,2.3724792408066557,2.7580071174377214,28.920741989881954,False,2.3725,0.9581,1,1,1,100.0,37.135278514588855,37.135278514588855,12.627520759193345,2.3724792408066557,历史1/1次成功; 当前距低点2.37%; 最新日涨幅2.37%; 状态bottom_area; 底部未确认
6,88.17819337934249,80.9498481179837,688055,龙腾光电,bottom_area,2022-09-27,4.25,2022-09-26,4.13,2.9055690072639253,3.6319612590799117,27.54385964912281,False,2.1635,0.202,1,1,1,100.0,45.45454545454546,45.45454545454546,12.094430992736074,2.9055690072639253,历史1/1次成功; 当前距低点2.91%; 最新日涨幅2.16%; 状态bottom_area; 底部未确认
7,88.14098127217558,80.36049516760856,300342,天银机电,bottom_area,2022-09-27,8.49,2022-09-26,8.28,2.5362318840579814,3.864734299516912,27.368421052631586,False,2.0433,0.6798,2,2,2,100.0,21.09195625409008,26.68539325842696,12.463768115942019,2.5362318840579814,历史2/2次成功; 当前距低点2.54%; 最新日涨幅2.04%; 状态bottom_area; 底部未确认
8,87.59852984192163,79.83135509832626,688018,乐鑫科技,bottom_area,2022-09-27,80.77,2022-09-26,78.79,2.5130092651351563,2.6399289249904787,32.65811965811965,False,1.1648,0.8249,1,1,1,100.0,34.629119477604306,34.629119477604306,12.486990734864843,2.5130092651351563,历史1/1次成功; 当前距低点2.51%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
9,87.58684196874245,80.23887937390394,300484,蓝海华腾,bottom_area,2022-09-27,11.04,2022-09-26,10.74,2.793296089385465,4.376163873370583,29.573770491803273,False,1.7512,2.042,2,2,2,100.0,23.589217514531214,28.708133971291865,12.206703910614534,2.793296089385465,历史2/2次成功; 当前距低点2.79%; 最新日涨幅1.75%; 状态bottom_area; 底部未确认
10,87.4370804435306,79.61109578052303,000591,太阳能,bottom_area,2022-09-27,7.07,2022-09-19,6.9,2.4637681159420275,4.927536231884055,27.672955974842754,False,1.8732,0.7924,1,1,1,100.0,32.84132841328414,32.84132841328414,12.536231884057973,2.4637681159420275,历史1/1次成功; 当前距低点2.46%; 最新日涨幅1.87%; 状态bottom_area; 底部未确认
11,86.58821184281835,79.18249448781363,002283,天润工业,bottom_area,2022-09-27,5.33,2022-09-19,5.19,2.6974951830443095,5.394990366088619,27.816411682892905,False,1.912,0.3782,1,1,1,100.0,33.402061855670105,33.402061855670105,12.30250481695569,2.6974951830443095,历史1/1次成功; 当前距低点2.70%; 最新日涨幅1.91%; 状态bottom_area; 底部未确认
