rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.98312389640645,79.7606681182678,001332,锡装股份,bottom_area,2023-05-30,43.07,2023-05-24,42.4,1.5801886792452873,6.556603773584908,32.290003193867776,False,-2.5124,1.9925,2,2,2,100.0,28.620958639500337,31.086142322097377,18.419811320754715,1.5801886792452873,历史2/2次成功; 当前距低点1.58%; 最新日涨幅-2.51%; 状态bottom_area; 底部未确认
2,90.85283626363142,78.80844499930642,688289,圣湘生物,bottom_area,2023-05-30,18.19,2023-05-29,17.8,2.1910112359550595,2.2471910112359472,27.789046653144013,False,1.6201,0.7751,1,1,1,100.0,25.182530200451346,25.182530200451346,17.80898876404494,2.1910112359550595,历史1/1次成功; 当前距低点2.19%; 最新日涨幅1.62%; 状态bottom_area; 底部未确认
3,88.36985778726626,75.61948984903695,002041,登海种业,bottom_area,2023-05-30,15.42,2023-05-30,15.2,1.4473684210526359,3.4210526315789567,28.30188679245283,False,-1.9708,0.4652,1,1,1,100.0,21.395106715252467,21.395106715252467,18.552631578947366,1.4473684210526359,历史1/1次成功; 当前距低点1.45%; 最新日涨幅-1.97%; 状态bottom_area; 底部未确认
4,87.82413831439611,76.42426692014584,300363,博腾股份,bottom_area,2023-05-30,31.16,2023-05-30,30.44,2.36530880420499,3.777923784494082,27.01989930472309,False,-1.0165,1.3629,1,1,1,100.0,36.97403760071621,36.97403760071621,17.63469119579501,2.36530880420499,历史1/1次成功; 当前距低点2.37%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
5,86.21849247314063,77.5058869179601,000890,法尔胜,bottom_area,2023-05-30,4.27,2023-05-19,4.1,4.146341463414633,7.56097560975611,27.689594356261026,True,1.1848,1.5964,1,1,1,100.0,32.954545454545446,32.954545454545446,15.85365853658537,4.146341463414633,历史1/1次成功; 当前距低点4.15%; 最新日涨幅1.18%; 状态bottom_area; 底部已确认
6,86.18717436150263,76.80942951062677,300762,上海瀚讯,bottom_area,2023-05-30,11.86,2023-05-10,11.44,3.6713286713286704,6.206293706293714,27.50316856780735,False,1.1083,1.1836,1,1,1,100.0,32.580961727183514,32.580961727183514,16.32867132867133,3.6713286713286704,历史1/1次成功; 当前距低点3.67%; 最新日涨幅1.11%; 状态bottom_area; 底部未确认
7,85.9839764217433,76.1249971528133,688075,安旭生物,bottom_area,2023-05-30,66.79,2023-05-10,64.65,3.310131477184842,7.6566125290023015,30.37906525953047,True,-0.2092,1.3052,4,5,4,80.0,31.086542584917854,40.134529147982065,16.68986852281516,3.310131477184842,历史4/5次成功; 当前距低点3.31%; 最新日涨幅-0.21%; 状态bottom_area; 底部已确认
8,84.01672970547442,74.97555931722127,600256,广汇能源,bottom_area,2023-05-30,7.48,2023-05-29,7.21,3.744798890429965,5.547850208044388,29.10521140609636,False,0.9447,1.4674,1,1,1,100.0,23.62204724409449,23.62204724409449,16.255201109570034,3.744798890429965,历史1/1次成功; 当前距低点3.74%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
9,83.92476266021916,70.98398293029874,600935,华塑股份,bottom_area,2023-05-30,3.73,2023-05-30,3.7,0.8108108108108055,1.8918918918918874,27.59295499021526,False,-0.7979,0.3269,1,1,1,100.0,28.50877192982458,28.50877192982458,19.189189189189197,0.8108108108108055,历史1/1次成功; 当前距低点0.81%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
10,78.80711208542932,67.93967388572179,600009,上海机场,bottom_area,2023-05-30,46.7,2023-05-30,45.85,1.8538713195201777,3.1188658669574694,28.224796493425174,False,-0.8703,0.6338,2,3,2,66.66666666666666,23.97760122344691,27.704918032786885,18.146128680479823,1.8538713195201777,历史2/3次成功; 当前距低点1.85%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
11,74.06627375464004,62.83243000300689,603327,福蓉科技,bottom_area,2023-05-30,11.41,2023-05-30,11.3,0.9734513274336233,1.5929203539822985,27.096774193548384,False,-0.3493,0.2819,2,4,2,50.0,45.01020983632018,52.609776304888165,19.026548672566378,0.9734513274336233,历史2/4次成功; 当前距低点0.97%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
12,70.26350458172125,59.89634017123241,600955,维远股份,bottom_area,2023-05-30,18.8,2023-05-30,18.57,1.2385568120624686,2.5309639203015553,27.119309262166407,False,-0.9484,0.4191,1,2,1,50.0,25.969084423305596,25.969084423305596,18.76144318793753,1.2385568120624686,历史1/2次成功; 当前距低点1.24%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
