rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,81.20754299965101,77.4827729483894,300552,万集科技,bottom_area,2022-08-25,22.15,2022-08-25,21.81,1.5589179275561664,5.41036221916552,32.497678737233066,False,-1.9912,2.8656,2,2,2,100.0,16.113472167835834,23.929299796057098,6.441082072443834,1.5589179275561664,历史2/2次成功; 当前距低点1.56%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
2,81.19772783020797,77.17949386395746,300400,劲拓股份,confirmed_rebound,2022-08-25,16.38,2022-08-25,16.16,1.3613861386138542,9.653465346534645,27.338129496402875,False,-6.4,4.0355,3,3,3,100.0,15.825022903209952,27.014218009478668,6.638613861386146,1.3613861386138542,历史3/3次成功; 当前距低点1.36%; 最新日涨幅-6.40%; 状态confirmed_rebound; 底部未确认
3,80.91299645686306,76.58931297709925,002110,三钢闽光,bottom_area,2022-08-25,5.3,2022-08-25,5.24,1.1450381679389239,2.099236641221363,29.47510094212651,False,-0.5629,0.5024,1,1,1,100.0,22.90322580645161,22.90322580645161,6.854961832061076,1.1450381679389239,历史1/1次成功; 当前距低点1.15%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
4,80.73993120611661,77.5086142186348,688083,中望软件,bottom_area,2022-08-25,186.77,2022-08-25,183.33,1.8763977526864113,3.8509791087110528,29.20801637255281,False,-0.469,0.7143,2,2,2,100.0,20.144091907310933,21.52777777777778,6.123602247313589,1.8763977526864113,历史2/2次成功; 当前距低点1.88%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
5,79.4890034376616,78.12820790671636,603180,金牌家居,bottom_area,2022-08-25,23.93,2022-08-10,23.21,3.102111158983192,5.342524773804388,27.15003138731952,False,2.5718,0.8762,2,2,2,100.0,16.0269965010647,23.744619799139173,4.897888841016808,3.102111158983192,历史2/2次成功; 当前距低点3.10%; 最新日涨幅2.57%; 状态bottom_area; 底部未确认
6,78.02200094520468,73.85435571612477,605069,正和生态,bottom_area,2022-08-25,10.59,2022-08-25,10.47,1.1461318051575857,3.6294173829990353,29.58977807666442,False,-0.9355,1.2089,1,1,1,100.0,8.212560386473426,8.212560386473426,6.8538681948424145,1.1461318051575857,历史1/1次成功; 当前距低点1.15%; 最新日涨幅-0.94%; 状态bottom_area; 底部未确认
7,77.85622887066775,74.20513346553005,688091,上海谊众,bottom_area,2022-08-25,105.36,2022-08-25,103.8,1.5028901734104068,5.6840077071291,30.786157231446293,False,-0.9029,3.9388,1,1,1,100.0,14.471629359708471,14.471629359708471,6.497109826589593,1.5028901734104068,历史1/1次成功; 当前距低点1.50%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
8,77.43113551904214,73.54642738743615,300740,水羊股份,bottom_area,2022-08-25,14.54,2022-08-25,14.35,1.3240418118466866,4.738675958188152,28.321678321678323,False,-1.7568,3.2441,1,1,1,100.0,8.73786407766991,8.73786407766991,6.675958188153314,1.3240418118466866,历史1/1次成功; 当前距低点1.32%; 最新日涨幅-1.76%; 状态bottom_area; 底部未确认
9,77.07062168888777,75.48833347628442,600248,陕建股份,bottom_area,2022-08-25,4.58,2022-08-03,4.45,2.921348314606739,5.393258426966296,28.2258064516129,False,2.0045,1.2506,1,1,1,100.0,16.28498727735369,16.28498727735369,5.078651685393261,2.921348314606739,历史1/1次成功; 当前距低点2.92%; 最新日涨幅2.00%; 状态bottom_area; 底部未确认
10,76.97333053393255,73.6989987789988,000547,航天发展,bottom_area,2022-08-25,11.11,2022-08-25,10.92,1.7399267399267355,3.205128205128202,28.157894736842103,False,-0.8921,2.9569,1,1,1,100.0,14.656084656084673,14.656084656084673,6.260073260073265,1.7399267399267355,历史1/1次成功; 当前距低点1.74%; 最新日涨幅-0.89%; 状态bottom_area; 底部未确认
11,76.08284338214456,71.38878620689655,002471,中超控股,bottom_area,2022-08-25,2.92,2022-08-25,2.9,0.6896551724137937,4.1379310344827624,30.78758949880669,False,-2.6667,6.7748,1,1,1,100.0,29.2,29.2,7.310344827586207,0.6896551724137937,历史1/1次成功; 当前距低点0.69%; 最新日涨幅-2.67%; 状态bottom_area; 底部未确认
