rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.27733138392948,85.9703042596349,000678,襄阳轴承,bottom_area,2023-04-24,5.05,2023-04-24,4.93,2.4340770791075075,3.448275862068964,32.09366391184573,False,1.2024,1.334,2,2,2,100.0,68.2777295253666,121.62162162162164,7.5659229208924925,2.4340770791075075,历史2/2次成功; 当前距低点2.43%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
2,90.0826600796019,84.17568948742434,002843,泰嘉股份,bottom_area,2023-04-24,15.49,2023-04-24,15.27,1.440733464309107,2.4885396201702736,29.174397031539883,False,0.3238,1.2485,2,2,2,100.0,28.175063365855337,31.56626506024095,8.559266535690893,1.440733464309107,历史2/2次成功; 当前距低点1.44%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
3,89.69269779310916,84.62749340823397,002363,隆基机械,bottom_area,2023-04-24,6.8,2023-04-24,6.67,1.9490254872563704,3.2983508245877022,27.02407002188184,False,1.0401,1.1303,2,2,2,100.0,36.83479311386288,54.96828752642705,8.05097451274363,1.9490254872563704,历史2/2次成功; 当前距低点1.95%; 最新日涨幅1.04%; 状态bottom_area; 底部未确认
4,88.91202222102856,83.00277141648075,300665,飞鹿股份,bottom_area,2023-04-24,7.29,2023-04-24,7.19,1.3908205841446404,2.6425591098748193,30.329457364341085,False,0.1374,1.5595,2,2,2,100.0,21.25721692650826,22.6044226044226,8.60917941585536,1.3908205841446404,历史2/2次成功; 当前距低点1.39%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
5,88.6360385067264,83.92940890907994,300658,延江股份,bottom_area,2023-04-24,7.65,2023-04-24,7.49,2.1361815754339135,2.8037383177570088,27.772420443587265,False,0.7905,1.1944,3,3,3,100.0,18.70915538209279,26.72018348623853,7.8638184245660865,2.1361815754339135,历史3/3次成功; 当前距低点2.14%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
6,88.35039247093695,82.4092597885095,002125,湘潭电化,bottom_area,2023-04-24,12.04,2023-04-24,11.88,1.3468013468013331,3.9562289562289465,31.763354394026415,False,-2.1933,1.0715,3,3,3,100.0,23.333155157078114,32.067510548523195,8.653198653198668,1.3468013468013331,历史3/3次成功; 当前距低点1.35%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
7,88.02270676828017,84.71052523171991,000957,中通客车,bottom_area,2023-04-24,10.0,2023-04-24,9.71,2.9866117404737293,4.222451081359406,27.913882702301407,False,1.4199,2.7196,2,2,2,100.0,185.5153400254489,354.54545454545456,7.013388259526271,2.9866117404737293,历史2/2次成功; 当前距低点2.99%; 最新日涨幅1.42%; 状态bottom_area; 底部未确认
8,87.41677026741458,81.45890392239303,002724,海洋王,bottom_area,2023-04-24,8.6,2023-04-24,8.49,1.2956419316843277,2.0023557126030616,27.373823781009403,False,-0.1161,0.6232,3,3,3,100.0,17.596599605555337,25.204081632653047,8.704358068315674,1.2956419316843277,历史3/3次成功; 当前距低点1.30%; 最新日涨幅-0.12%; 状态bottom_area; 底部未确认
9,86.0224610866343,79.73092470396821,002350,北京科锐,bottom_area,2023-04-24,6.97,2023-04-24,6.9,1.0144927536231796,1.5942028985507162,30.020283975659222,False,-0.1433,1.1299,2,2,2,100.0,21.526710657145447,23.07692307692308,8.985507246376821,1.0144927536231796,历史2/2次成功; 当前距低点1.01%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
10,85.86085028066174,82.11264934581737,002370,亚太药业,bottom_area,2023-04-24,4.25,2023-04-24,4.14,2.657004830917882,4.83091787439614,31.5702479338843,False,0.9501,1.3551,3,3,3,100.0,15.325915915645853,15.633423180592995,7.342995169082118,2.657004830917882,历史3/3次成功; 当前距低点2.66%; 最新日涨幅0.95%; 状态bottom_area; 底部未确认
11,85.75750451437703,80.8434885440523,002806,华锋股份,bottom_area,2023-04-24,10.71,2023-04-24,10.51,1.9029495718363563,3.044719314938157,30.30503978779841,False,1.0377,1.8072,2,2,2,100.0,15.925879396984929,20.35175879396985,8.097050428163644,1.9029495718363563,历史2/2次成功; 当前距低点1.90%; 最新日涨幅1.04%; 状态bottom_area; 底部未确认
