rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
19,83.20617654093145,69.75917724336227,688183,生益电子,bottom_area,2022-09-28,9.12,2022-09-26,9.09,0.33003300330032304,4.290429042904297,31.447963800904976,False,-3.0818,0.4015,1,1,1,100.0,26.24544349939247,26.24544349939247,19.669966996699678,0.33003300330032304,历史1/1次成功; 当前距低点0.33%; 最新日涨幅-3.08%; 状态bottom_area; 底部未确认
20,82.57456092148506,69.17036101799744,000683,博源化工,bottom_area,2022-09-28,7.08,2022-09-28,7.06,0.2832861189801765,4.6742209631728056,28.17904374364192,False,-4.1949,1.4464,1,1,1,100.0,22.50673854447439,22.50673854447439,19.716713881019825,0.2832861189801765,历史1/1次成功; 当前距低点0.28%; 最新日涨幅-4.19%; 状态bottom_area; 底部未确认
21,82.01234289513324,69.42687528946799,000688,国城矿业,bottom_area,2022-09-28,16.45,2022-09-28,16.31,0.8583690987124498,10.116492949110988,32.01333889120467,False,-8.8137,1.2034,1,1,1,100.0,30.935251798561143,30.935251798561143,19.141630901287552,0.8583690987124498,历史1/1次成功; 当前距低点0.86%; 最新日涨幅-8.81%; 状态bottom_area; 底部未确认
22,72.69578613059896,60.579821775499134,002245,蔚蓝锂芯,bottom_area,2022-09-28,14.26,2022-09-28,14.26,0.0,5.329593267882187,29.61500493583416,False,-5.3121,2.1945,2,3,2,66.66666666666666,23.995457574368096,25.653923541247494,20.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-5.31%; 状态bottom_area; 底部未确认
23,68.51882914625236,57.38464923950952,601919,中远海控,bottom_area,2022-09-28,11.05,2022-09-28,11.02,0.2722323049001918,3.357531760435581,27.212681638044923,False,-2.5573,0.7725,1,2,1,50.0,40.45881126173098,40.45881126173098,19.72776769509981,0.2722323049001918,历史1/2次成功; 当前距低点0.27%; 最新日涨幅-2.56%; 状态bottom_area; 底部未确认
24,67.29136551724139,56.07613793103449,601778,晶科科技,bottom_area,2022-09-28,4.49,2022-09-28,4.49,0.0,3.7861915367483276,27.463651050080777,False,-2.603,0.8965,1,2,1,50.0,42.344827586206904,42.344827586206904,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-2.60%; 状态bottom_area; 底部未确认
25,67.04588400787371,58.879915411464104,603229,奥翔药业,bottom_area,2022-09-28,24.4,2022-09-27,23.72,2.866779089376053,9.949409780775714,32.13161659513592,True,-4.5757,2.4945,1,2,1,50.0,41.48479427549196,41.48479427549196,17.133220910623947,2.866779089376053,历史1/2次成功; 当前距低点2.87%; 最新日涨幅-4.58%; 状态bottom_area; 底部已确认
26,66.71842877476207,57.53075312930016,300560,中富通,bottom_area,2022-09-28,12.01,2022-09-26,11.79,1.8659881255301158,4.071246819338426,28.76132930513596,False,-1.9592,1.049,1,2,1,50.0,20.94196804037006,20.94196804037006,18.134011874469884,1.8659881255301158,历史1/2次成功; 当前距低点1.87%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
27,66.22803407783263,55.97337073674886,300549,优德精密,bottom_area,2022-09-28,11.79,2022-09-28,11.7,0.769230769230768,4.5299145299145405,27.23880597014925,False,-2.7228,0.6105,1,2,1,50.0,38.963531669865645,38.963531669865645,19.230769230769234,0.769230769230768,历史1/2次成功; 当前距低点0.77%; 最新日涨幅-2.72%; 状态bottom_area; 底部未确认
28,65.41876357866911,54.73691749617424,300648,星云股份,bottom_area,2022-09-28,36.28,2022-09-28,36.2,0.22099447513811685,5.4696132596685,28.046114092625718,False,-4.1226,2.1139,2,5,2,40.0,24.14400483596314,26.78362573099414,19.779005524861883,0.22099447513811685,历史2/5次成功; 当前距低点0.22%; 最新日涨幅-4.12%; 状态bottom_area; 底部未确认
29,65.21417697750854,55.744245958966076,603033,三维股份,bottom_area,2022-09-28,16.07,2022-09-26,15.85,1.388012618296534,6.246056782334387,32.83898305084747,False,-1.411,0.2942,1,3,1,33.33333333333333,24.922480620155024,24.922480620155024,18.611987381703468,1.388012618296534,历史1/3次成功; 当前距低点1.39%; 最新日涨幅-1.41%; 状态bottom_area; 底部未确认
30,65.02635685654221,54.35725162972622,601686,友发集团,bottom_area,2022-09-28,5.91,2022-09-28,5.9,0.1694915254237252,2.8813559322033884,30.832356389214528,False,-2.4752,0.6237,1,2,1,50.0,22.923076923076927,22.923076923076927,19.830508474576273,0.1694915254237252,历史1/2次成功; 当前距低点0.17%; 最新日涨幅-2.48%; 状态bottom_area; 底部未确认
31,64.28913865621558,53.67112972449879,002080,中材科技,bottom_area,2022-09-28,20.32,2022-09-28,20.3,0.09852216748768262,4.433497536945805,29.243638898570936,False,-4.1961,0.5444,1,2,1,50.0,28.579356270810223,28.579356270810223,19.901477832512317,0.09852216748768262,历史1/2次成功; 当前距低点0.10%; 最新日涨幅-4.20%; 状态bottom_area; 底部未确认
32,63.057776149319785,52.69519070224258,600215,派斯林,bottom_area,2022-09-28,6.57,2022-09-28,6.56,0.1524390243902542,4.268292682926833,30.947368421052634,False,-3.0973,1.0199,1,2,1,50.0,23.993288590604024,23.993288590604024,19.847560975609746,0.1524390243902542,历史1/2次成功; 当前距低点0.15%; 最新日涨幅-3.10%; 状态bottom_area; 底部未确认
33,62.32777947932618,51.93981623277182,000676,智度股份,bottom_area,2022-09-28,5.19,2022-09-28,5.19,0.0,3.2755298651252396,28.708791208791208,False,-3.1716,0.8479,1,2,1,50.0,30.321592649310862,30.321592649310862,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-3.17%; 状态bottom_area; 底部未确认
34,61.96765550239235,51.639712918660294,300484,蓝海华腾,bottom_area,2022-09-28,10.56,2022-09-28,10.56,0.0,5.018939393939387,30.754098360655735,False,-4.3478,1.8924,1,2,1,50.0,28.708133971291865,28.708133971291865,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-4.35%; 状态bottom_area; 底部未确认
35,61.5161797752809,51.263483146067415,300342,天银机电,bottom_area,2022-09-28,8.12,2022-09-28,8.12,0.0,5.295566502463074,28.771929824561415,False,-4.3581,0.9723,1,2,1,50.0,26.68539325842696,26.68539325842696,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-4.36%; 状态bottom_area; 底部未确认
36,61.1184555984556,50.93204633204633,002173,创新医疗,bottom_area,2022-09-28,6.2,2022-09-28,6.2,0.0,10.645161290322584,27.2300469483568,False,-10.0145,7.1013,1,2,1,50.0,24.903474903474905,24.903474903474905,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态bottom_area; 底部未确认
37,59.78668407310705,49.82223672758921,002600,领益智造,bottom_area,2022-09-28,4.48,2022-09-28,4.48,0.0,3.348214285714274,27.62520193861066,False,-3.6559,0.3731,1,3,1,33.33333333333333,38.381201044386415,38.381201044386415,20.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-3.66%; 状态bottom_area; 底部未确认
38,58.37242802675696,52.62692022263449,002723,小崧股份,bottom_area,2022-09-28,10.9,2022-09-27,10.45,4.30622009569379,7.177033492822966,28.522571819425448,False,-0.3656,2.8008,1,2,1,50.0,24.489795918367328,24.489795918367328,15.69377990430621,4.30622009569379,历史1/2次成功; 当前距低点4.31%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
