rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.59261867151858,82.52153094203572,688048,长光华芯,bottom_area,2023-05-12,85.36,2023-05-12,84.25,1.3175074183976254,3.038575667655789,29.20168067226891,False,0.4235,0.9223,2,2,2,100.0,17.771225032162963,19.48504983388705,13.682492581602373,1.3175074183976254,历史2/2次成功; 当前距低点1.32%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
2,90.67764622604712,81.3668281187128,002245,蔚蓝锂芯,bottom_area,2023-05-12,10.88,2023-04-26,10.7,1.6822429906542196,8.317757009345799,29.512516469038214,False,-2.0702,1.3403,3,3,3,100.0,21.840549125830286,25.653923541247494,13.31775700934578,1.6822429906542196,历史3/3次成功; 当前距低点1.68%; 最新日涨幅-2.07%; 状态bottom_area; 底部未确认
3,89.29792721382725,79.12524492731015,002802,洪汇新材,bottom_area,2023-05-12,10.03,2023-05-12,9.93,1.007049345417922,2.920443101711993,31.1373092926491,False,-1.8591,1.5107,2,2,2,100.0,18.17912599388721,20.65637065637066,13.992950654582078,1.007049345417922,历史2/2次成功; 当前距低点1.01%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
4,89.10058011500146,79.76744614604165,688350,富淼科技,bottom_area,2023-05-12,16.29,2023-05-05,16.04,1.5586034912718205,4.301745635910232,32.774518021793796,False,-1.2727,1.1075,2,2,2,100.0,28.392807022265636,38.54748603351957,13.441396508728179,1.5586034912718205,历史2/2次成功; 当前距低点1.56%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
5,88.2185979302897,77.33070016794952,688008,澜起科技,bottom_area,2023-05-12,53.73,2023-05-12,53.5,0.42990654205606893,5.570093457943919,31.864493122771265,False,-3.6924,1.3474,3,3,3,100.0,34.8434789453621,62.20095693779905,14.57009345794393,0.42990654205606893,历史3/3次成功; 当前距低点0.43%; 最新日涨幅-3.69%; 状态bottom_area; 底部未确认
6,87.90841068817436,78.20984909104634,300762,上海瀚讯,bottom_area,2023-05-12,11.58,2023-05-10,11.44,1.2237762237762289,3.2342657342657435,27.50316856780735,False,-0.2584,1.0229,1,1,1,100.0,32.580961727183514,32.580961727183514,13.77622377622377,1.2237762237762289,历史1/1次成功; 当前距低点1.22%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
7,87.48197955115864,76.07128656622491,000620,盈新发展,bottom_area,2023-05-12,1.25,2023-05-12,1.25,0.0,5.600000000000005,30.16759776536313,False,-5.303,7.5379,3,3,3,100.0,35.0606804635748,58.4192439862543,15.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-5.30%; 状态bottom_area; 底部未确认
8,87.1678918146333,77.75298716471555,300661,圣邦股份,bottom_area,2023-05-12,121.21,2023-04-25,119.58,1.363104198026422,6.790433182806494,30.20079383609619,False,-1.7668,0.5288,1,1,1,100.0,31.832606108687024,31.832606108687024,13.636895801973578,1.363104198026422,历史1/1次成功; 当前距低点1.36%; 最新日涨幅-1.77%; 状态bottom_area; 底部未确认
9,86.41867110158586,75.4529323072951,688010,福光股份,bottom_area,2023-05-12,23.03,2023-05-10,22.98,0.21758050478677418,3.829416884247167,30.907997594708352,False,-0.4323,0.6645,2,2,2,100.0,28.59685945273632,42.08955223880597,14.782419495213226,0.21758050478677418,历史2/2次成功; 当前距低点0.22%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
10,85.74951584565778,76.6414066496164,000629,钒钛股份,bottom_area,2023-05-12,4.14,2023-04-25,4.08,1.470588235294108,9.803921568627459,31.08108108108108,False,-2.5882,0.8102,1,1,1,100.0,27.173913043478265,27.173913043478265,13.529411764705893,1.470588235294108,历史1/1次成功; 当前距低点1.47%; 最新日涨幅-2.59%; 状态bottom_area; 底部未确认
11,85.58592077323186,74.47462928147952,688206,概伦电子,bottom_area,2023-05-12,26.73,2023-05-12,26.72,0.037425149700604655,4.528443113772458,27.588075880758804,False,-3.1522,1.5779,2,2,2,100.0,31.34386356342422,39.570720968629594,14.962574850299395,0.037425149700604655,历史2/2次成功; 当前距低点0.04%; 最新日涨幅-3.15%; 状态bottom_area; 底部未确认
12,85.52438836174473,77.17284888521883,002079,苏州固锝,bottom_area,2023-05-12,12.35,2023-05-10,12.11,1.98183319570603,4.624277456647404,28.512396694214885,False,-1.3578,1.6694,2,2,2,100.0,19.631336405529957,22.488479262672804,13.018166804293967,1.98183319570603,历史2/2次成功; 当前距低点1.98%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
