rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.22594795704772,86.46155685233465,002805,丰元股份,bottom_area,2024-06-11,10.82,2024-06-11,10.51,2.9495718363463417,3.1398667935299724,31.35205747877205,False,0.4643,1.4259,5,5,5,100.0,25.626777630130704,50.09389671361502,5.050428163653659,2.9495718363463417,历史5/5次成功; 当前距低点2.95%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
2,87.9480964463394,86.1221844093912,002761,浙江建投,bottom_area,2024-06-11,8.49,2024-06-06,8.25,2.9090909090909114,4.4848484848484755,28.26086956521739,False,0.2361,1.8733,6,6,6,100.0,23.305976785583134,43.73730534867976,5.090909090909089,2.9090909090909114,历史6/6次成功; 当前距低点2.91%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
3,85.04258312409279,80.51739497622962,000521,长虹美菱,bottom_area,2024-06-11,8.74,2024-06-11,8.64,1.1574074074074032,2.199074074074068,31.645569620253163,False,-0.6818,2.4256,3,3,3,100.0,10.840235833970437,13.407821229050265,6.842592592592597,1.1574074074074032,历史3/3次成功; 当前距低点1.16%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
4,84.99118072956736,84.21612572552873,605266,健之佳,bottom_area,2024-06-11,37.9,2024-06-06,36.61,3.5236274242010355,7.620868615132475,31.570093457943926,False,1.1746,0.392,5,5,5,100.0,20.591377702726223,33.154615273148806,4.4763725757989645,3.5236274242010355,历史5/5次成功; 当前距低点3.52%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
5,84.75656720129852,81.98471632083726,605198,安德利,bottom_area,2024-06-11,29.27,2024-06-11,28.62,2.271139063591889,2.6554856743535917,29.123328380386333,False,0.5842,0.4497,1,1,1,100.0,43.241469816272954,43.241469816272954,5.728860936408112,2.271139063591889,历史1/1次成功; 当前距低点2.27%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
6,84.2082905341708,84.45699825910557,688159,有方科技,bottom_area,2024-06-11,32.6,2024-06-11,31.3,4.153354632587861,5.75079872204473,31.659388646288207,False,0.1536,2.726,4,4,4,100.0,29.60562807207472,61.150808574652125,3.846645367412139,4.153354632587861,历史4/4次成功; 当前距低点4.15%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
7,83.58406692110589,81.49606321010197,600322,津投城开,bottom_area,2024-06-11,1.53,2024-06-06,1.49,2.684563758389264,7.382550335570476,28.01932367149758,False,-1.2903,1.226,4,4,4,100.0,18.15520741521231,35.828877005347586,5.315436241610736,2.684563758389264,历史4/4次成功; 当前距低点2.68%; 最新日涨幅-1.29%; 状态bottom_area; 底部未确认
8,82.88184234730474,80.23497633821384,688105,诺唯赞,bottom_area,2024-06-11,21.68,2024-06-11,21.19,2.312411514865495,4.719207173194903,27.30703259005145,False,0.1386,1.0006,2,2,2,100.0,17.673519312404096,25.237580993520524,5.687588485134505,2.312411514865495,历史2/2次成功; 当前距低点2.31%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
9,82.65911700228543,81.43532217355826,002837,英维克,bottom_area,2024-06-11,23.37,2024-06-11,22.64,3.224381625441698,3.621908127208482,31.97115384615385,False,1.7414,1.1973,3,3,3,100.0,18.639313330996423,24.517374517374524,4.775618374558302,3.224381625441698,历史3/3次成功; 当前距低点3.22%; 最新日涨幅1.74%; 状态bottom_area; 底部未确认
10,81.5001470588374,80.77625060532519,000705,浙江震元,bottom_area,2024-06-11,7.32,2024-06-06,7.07,3.536067892503536,4.950495049504945,27.26337448559671,False,0.5495,2.4994,3,3,3,100.0,18.916588173296947,34.04605263157895,4.463932107496464,3.536067892503536,历史3/3次成功; 当前距低点3.54%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
11,81.15026204004327,78.30288442460316,600162,香江控股,bottom_area,2024-06-11,1.43,2024-06-11,1.4,2.142857142857145,4.28571428571429,27.083333333333336,False,-2.0548,1.1348,2,2,2,100.0,27.68063822751323,28.90624999999999,5.857142857142855,2.142857142857145,历史2/2次成功; 当前距低点2.14%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
12,80.08871961507346,80.58605067064084,300720,海川智能,bottom_area,2024-06-11,14.0,2024-06-11,13.42,4.321907600596125,5.6631892697466455,31.0025706940874,False,-0.92,2.3801,3,3,3,100.0,57.75229601757511,75.69193742478939,3.678092399403875,4.321907600596125,历史3/3次成功; 当前距低点4.32%; 最新日涨幅-0.92%; 状态bottom_area; 底部未确认
13,79.68117577614862,77.87252361477324,002225,濮耐股份,bottom_area,2024-06-11,4.03,2024-06-06,3.92,2.8061224489796,7.39795918367347,27.001862197392928,False,-0.4938,2.1433,3,3,3,100.0,16.830552679821142,29.457364341085263,5.1938775510204005,2.8061224489796,历史3/3次成功; 当前距低点2.81%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
14,79.43358083355663,78.772409137192,603326,我乐家居,bottom_area,2024-06-11,6.1,2024-06-06,5.89,3.5653650254668925,6.791171477079802,27.552275522755238,False,-1.7713,1.5131,4,4,4,100.0,14.30882470568014,20.141843971631218,4.4346349745331075,3.5653650254668925,历史4/4次成功; 当前距低点3.57%; 最新日涨幅-1.77%; 状态bottom_area; 底部未确认
15,79.3300114427579,76.44265888797143,605177,东亚药业,bottom_area,2024-06-11,21.18,2024-06-11,20.75,2.0722891566265047,2.74698795180723,29.54159592529711,False,-1.3966,1.0335,2,2,2,100.0,16.81439873698852,21.452513966480446,5.927710843373496,2.0722891566265047,历史2/2次成功; 当前距低点2.07%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
16,79.26527457627117,78.52,002491,通鼎互联,confirmed_rebound,2024-06-11,3.54,2024-06-06,3.42,3.5087719298245648,8.479532163742691,29.48453608247422,False,0.2833,0.9765,1,1,1,100.0,52.39520958083833,52.39520958083833,4.491228070175436,3.5087719298245648,历史1/1次成功; 当前距低点3.51%; 最新日涨幅0.28%; 状态confirmed_rebound; 底部未确认
17,79.20579439775912,79.24352941176471,000420,吉林化纤,bottom_area,2024-06-11,3.36,2024-06-06,3.23,4.024767801857582,5.26315789473684,29.321663019693663,False,1.5106,1.7054,1,1,1,100.0,53.9249146757679,53.9249146757679,3.9752321981424186,4.024767801857582,历史1/1次成功; 当前距低点4.02%; 最新日涨幅1.51%; 状态bottom_area; 底部未确认
18,78.62297081000288,78.31038963423165,601020,华钰矿业,bottom_area,2024-06-11,14.23,2024-06-11,13.71,3.7928519328956933,5.616338439095547,27.03565726450239,False,1.2091,10.1179,2,2,2,100.0,25.473613124913108,26.324110671936758,4.207148067104307,3.7928519328956933,历史2/2次成功; 当前距低点3.79%; 最新日涨幅1.21%; 状态bottom_area; 底部未确认
