rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.15833978904219,79.89991818864941,002155,湖南黄金,bottom_area,2025-07-18,17.87,2025-06-30,17.39,2.760207015526167,7.073030477285798,29.28019520130134,True,0.4497,1.5357,1,1,1,100.0,28.834355828220854,28.834355828220854,17.239792984473834,2.760207015526167,历史1/1次成功; 当前距低点2.76%; 最新日涨幅0.45%; 状态bottom_area; 底部已确认
2,87.72443745853579,75.5218141861,300649,杭州园林,bottom_area,2025-07-18,17.75,2025-07-18,17.44,1.777522935779809,9.461009174311918,27.333333333333325,False,-4.0022,15.2717,3,4,3,75.0,39.29874451439769,71.60305343511452,18.22247706422019,1.777522935779809,历史3/4次成功; 当前距低点1.78%; 最新日涨幅-4.00%; 状态bottom_area; 底部未确认
3,87.6181143201715,77.17873470659656,301348,蓝箭电子,bottom_area,2025-07-18,20.39,2025-07-15,19.79,3.031834259727142,3.4360788276907512,29.92209631728045,False,0.1473,3.5725,1,1,1,100.0,26.727509778357234,26.727509778357234,16.96816574027286,3.031834259727142,历史1/1次成功; 当前距低点3.03%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
4,85.07236277120052,71.81611439444285,603928,兴业股份,bottom_area,2025-07-18,15.7,2025-07-18,15.59,0.7055805003207147,1.8601667735728091,30.058322117541497,False,-0.6329,3.3848,1,1,1,100.0,31.69267707082834,31.69267707082834,19.294419499679286,0.7055805003207147,历史1/1次成功; 当前距低点0.71%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
5,80.9127992955559,73.13912100809503,301108,洁雅股份,bottom_area,2025-07-18,24.18,2025-07-15,23.15,4.449244060475167,4.578833693304546,32.32972814966384,False,1.1715,2.9416,1,1,1,100.0,22.383857343969968,22.383857343969968,15.550755939524835,4.449244060475167,历史1/1次成功; 当前距低点4.45%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
6,79.68133414114874,70.76990178206077,000999,华润三九,bottom_area,2025-07-18,31.48,2025-07-15,30.42,3.4845496383957877,5.0295857988165595,30.036798528058867,False,-0.2535,0.5176,1,1,1,100.0,20.293951384963254,20.293951384963254,16.515450361604213,3.4845496383957877,历史1/1次成功; 当前距低点3.48%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
7,75.55956076441494,63.83972977573518,002658,雪迪龙,bottom_area,2025-07-18,8.04,2025-07-17,7.98,0.7518796992481042,2.1303258145363397,30.36649214659686,False,-0.2481,4.5932,2,3,2,66.66666666666666,28.265316254592392,34.81481481481481,19.248120300751896,0.7518796992481042,历史2/3次成功; 当前距低点0.75%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
8,75.08683977065647,64.12959731543624,002636,金安国纪,bottom_area,2025-07-18,12.08,2025-07-16,11.92,1.342281879194632,5.956375838926182,28.192771084337352,False,-2.7375,7.7022,1,2,1,50.0,69.0,69.0,18.65771812080537,1.342281879194632,历史1/2次成功; 当前距低点1.34%; 最新日涨幅-2.74%; 状态bottom_area; 底部未确认
9,70.92360561494012,60.28330894816663,603022,新通联,bottom_area,2025-07-18,10.3,2025-07-15,10.19,1.0794896957801885,2.2571148184494643,32.202262142381905,False,-0.1938,2.455,1,2,1,50.0,26.099706744868023,26.099706744868023,18.92051030421981,1.0794896957801885,历史1/2次成功; 当前距低点1.08%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
10,69.58745550356383,60.66299557728952,000637,茂化实华,bottom_area,2025-07-18,4.16,2025-07-07,4.06,2.4630541871921316,5.665024630541883,27.370304114490168,False,0.0,2.5833,1,2,1,50.0,22.627737226277358,22.627737226277358,17.53694581280787,2.4630541871921316,历史1/2次成功; 当前距低点2.46%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,68.1874115556943,59.82978278103693,600241,时代万恒,bottom_area,2025-07-18,8.39,2025-07-15,8.16,2.8186274509803972,4.044117647058824,30.25641025641025,False,0.1193,2.2636,1,2,1,50.0,22.50673854447439,22.50673854447439,17.181372549019603,2.8186274509803972,历史1/2次成功; 当前距低点2.82%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
12,67.91082667225756,59.83221532091094,600227,赤天化,bottom_area,2025-07-18,2.37,2025-07-16,2.3,3.043478260869578,4.347826086956526,27.444794952681388,False,0.4237,1.3088,1,3,1,33.33333333333333,44.72049689440993,44.72049689440993,16.956521739130423,3.043478260869578,历史1/3次成功; 当前距低点3.04%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
13,67.471555511386,59.00788159771755,300698,万马科技,bottom_area,2025-07-18,43.17,2025-07-14,42.06,2.6390870185449344,7.489300998573463,27.093083723348926,True,-1.5956,5.6768,1,4,1,25.0,63.86182462356068,63.86182462356068,17.36091298145507,2.6390870185449344,历史1/4次成功; 当前距低点2.64%; 最新日涨幅-1.60%; 状态bottom_area; 底部已确认
14,65.1090988532734,57.91517715228986,002041,登海种业,bottom_area,2025-07-18,9.87,2025-06-23,9.53,3.567681007345224,4.931794333683113,29.719764011799416,False,0.3049,0.6576,1,2,1,50.0,21.395106715252467,21.395106715252467,16.432318992654775,3.567681007345224,历史1/2次成功; 当前距低点3.57%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
