rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.05431328064009,86.15250205638377,002819,东方中科,bottom_area,2025-05-29,28.81,2025-05-29,28.49,1.123201123201124,2.141102141102152,30.103042198233567,False,-0.1386,4.7569,5,5,5,100.0,24.050540953130696,51.677148846960186,6.876798876798876,1.123201123201124,历史5/5次成功; 当前距低点1.12%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
2,90.98267784267429,87.56784572273399,000715,中兴商业,bottom_area,2025-05-29,5.58,2025-05-29,5.47,2.0109689213894026,3.2906764168190237,28.02631578947368,False,1.2704,3.4785,4,4,4,100.0,20.069112169364704,29.105691056910565,5.989031078610598,2.0109689213894026,历史4/4次成功; 当前距低点2.01%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
3,88.9028074255177,86.88652645189579,688010,福光股份,bottom_area,2025-05-29,31.13,2025-05-28,30.28,2.807133421400257,3.599735799207397,32.1988356471115,False,2.1325,1.42,4,4,4,100.0,26.1655411434859,42.08955223880597,5.192866578599744,2.807133421400257,历史4/4次成功; 当前距低点2.81%; 最新日涨幅2.13%; 状态bottom_area; 底部未确认
4,87.76379466682621,83.04159133356086,002041,登海种业,bottom_area,2025-05-29,9.89,2025-05-29,9.78,1.124744376278131,1.4314928425357931,27.876106194690276,False,0.6104,0.579,2,2,2,100.0,18.2043468358871,21.395106715252467,6.87525562372187,1.124744376278131,历史2/2次成功; 当前距低点1.12%; 最新日涨幅0.61%; 状态bottom_area; 底部未确认
5,87.11914809783049,86.39232926652512,001212,中旗新材,bottom_area,2025-05-29,52.3,2025-05-29,50.5,3.5643564356435586,4.910891089108905,31.618144888287063,False,1.4352,7.4532,5,5,5,100.0,32.79065559028195,82.06521739130437,4.435643564356441,3.5643564356435586,历史5/5次成功; 当前距低点3.56%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
6,86.3644530517361,82.44390393242931,002304,洋河股份,bottom_area,2025-05-29,66.03,2025-05-29,65.0,1.5846153846153863,1.5846153846153863,31.57894736842105,False,0.5635,0.4241,2,2,2,100.0,20.62810220081931,20.781426953567394,6.415384615384615,1.5846153846153863,历史2/2次成功; 当前距低点1.58%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
7,85.56232575750377,81.73423416156056,688543,国科军工,bottom_area,2025-05-29,44.53,2025-05-29,43.82,1.620264719306255,1.825650387950701,31.133113311331133,False,0.9293,2.7481,1,1,1,100.0,33.916331836445266,33.916331836445266,6.379735280693745,1.620264719306255,历史1/1次成功; 当前距低点1.62%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
8,85.4050038789685,82.64204592563385,002490,山东墨龙,bottom_area,2025-05-29,4.02,2025-05-29,3.93,2.2900763358778478,3.053435114503808,29.189189189189186,False,1.7722,3.3949,3,3,3,100.0,13.674300921695417,14.885496183206094,5.709923664122153,2.2900763358778478,历史3/3次成功; 当前距低点2.29%; 最新日涨幅1.77%; 状态bottom_area; 底部未确认
9,84.7413251809328,82.29154824524556,301459,丰茂股份,bottom_area,2025-05-29,45.55,2025-05-29,44.45,2.4746906636670287,5.309336332958379,29.75663716814159,False,0.8859,16.1171,3,3,3,100.0,14.052919131217203,20.772345063843044,5.525309336332971,2.4746906636670287,历史3/3次成功; 当前距低点2.47%; 最新日涨幅0.89%; 状态bottom_area; 底部未确认
10,84.34794913654493,81.69827534167963,002042,华孚时尚,bottom_area,2025-05-29,4.81,2025-05-27,4.7,2.3404255319148812,3.617021276595743,27.469135802469136,False,0.8386,1.3098,2,2,2,100.0,25.88411588411589,42.41758241758243,5.659574468085118,2.3404255319148812,历史2/2次成功; 当前距低点2.34%; 最新日涨幅0.84%; 状态bottom_area; 底部未确认
11,83.78832155213979,80.79053666070635,300727,润禾材料,bottom_area,2025-05-29,27.64,2025-05-28,27.07,2.105652013298856,2.918359807905427,32.661691542288565,False,1.8048,1.2408,6,7,6,85.71428571428571,15.744979076186002,26.812499999999993,5.894347986701145,2.105652013298856,历史6/7次成功; 当前距低点2.11%; 最新日涨幅1.80%; 状态bottom_area; 底部未确认
12,80.43216682753368,78.02387096774194,600137,浪莎股份,confirmed_rebound,2025-05-29,19.05,2025-05-28,18.6,2.4193548387096735,9.892473118279568,31.617647058823522,False,-4.2714,11.4535,2,2,2,100.0,67.2644771232335,120.42139384116692,5.5806451612903265,2.4193548387096735,历史2/2次成功; 当前距低点2.42%; 最新日涨幅-4.27%; 状态confirmed_rebound; 底部未确认
13,77.07760392045466,76.62701579979259,002916,深南电路,bottom_area,2025-05-29,85.03,2025-05-29,82.0,3.6951219512195133,3.878048780487813,31.242663089049138,False,4.3057,1.4622,2,2,2,100.0,15.22523574501653,15.60198664154821,4.304878048780487,3.6951219512195133,历史2/2次成功; 当前距低点3.70%; 最新日涨幅4.31%; 状态bottom_area; 底部未确认
14,76.87512251517923,77.75727272727272,301058,中粮科工,confirmed_rebound,2025-05-29,10.93,2025-04-30,10.45,4.593301435406703,8.038277511961722,29.77150537634409,True,1.8639,1.39,1,1,1,100.0,57.794273594909875,57.794273594909875,3.4066985645932975,4.593301435406703,历史1/1次成功; 当前距低点4.59%; 最新日涨幅1.86%; 状态confirmed_rebound; 底部已确认
15,75.18919843672882,73.95569387468609,002040,南京港,bottom_area,2025-05-29,10.84,2025-05-29,10.51,3.1398667935299724,7.802093244529022,27.51724137931035,False,-0.5505,13.2436,1,1,1,100.0,33.196721311475414,33.196721311475414,4.860133206470028,3.1398667935299724,历史1/1次成功; 当前距低点3.14%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
16,73.7836055135148,75.16795437294002,001299,美能能源,bottom_area,2025-05-29,10.99,2025-04-29,10.47,4.9665711556828995,7.163323782234957,31.11842105263157,True,1.104,5.1944,2,2,2,100.0,13.772777461812025,15.247322794492616,3.033428844317101,4.9665711556828995,历史2/2次成功; 当前距低点4.97%; 最新日涨幅1.10%; 状态bottom_area; 底部已确认
17,73.50904647562533,73.18173221511277,301392,汇成真空,bottom_area,2025-05-29,104.1,2025-05-29,100.32,3.767942583732059,5.811403508771942,30.313976104473472,False,3.0591,7.1715,1,1,1,100.0,14.261512397967028,14.261512397967028,4.232057416267941,3.767942583732059,历史1/1次成功; 当前距低点3.77%; 最新日涨幅3.06%; 状态bottom_area; 底部未确认
