rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.40435750307385,78.9984293984395,002141,贤丰控股,bottom_area,2025-07-03,4.17,2025-07-03,4.11,1.4598540145985306,2.1897810218978067,27.25663716814159,False,0.0,6.4893,1,1,1,100.0,17.241379310344833,17.241379310344833,13.54014598540147,1.4598540145985306,历史1/1次成功; 当前距低点1.46%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,87.56616814821126,79.15316427922578,300849,锦盛新材,bottom_area,2025-07-03,13.28,2025-07-01,13.01,2.075326671790927,5.073020753266719,32.204273058884844,False,-1.2639,7.0172,1,1,1,100.0,48.090909090909086,48.090909090909086,12.924673328209071,2.075326671790927,历史1/1次成功; 当前距低点2.08%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
3,86.80692267374916,78.34809110667149,000999,华润三九,bottom_area,2025-07-03,31.2,2025-06-23,30.59,1.9941157240928389,4.347826086956528,29.645814167433297,False,1.0036,0.4639,1,1,1,100.0,20.293951384963254,20.293951384963254,13.005884275907158,1.9941157240928389,历史1/1次成功; 当前距低点1.99%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
4,85.32723518351428,77.56405317626889,605198,安德利,bottom_area,2025-07-03,40.06,2025-06-20,39.13,2.376693074367492,5.877843087145405,29.748653500897664,False,-0.3483,0.6171,1,1,1,100.0,43.241469816272954,43.241469816272954,12.623306925632507,2.376693074367492,历史1/1次成功; 当前距低点2.38%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
5,84.19807016715794,77.95018479688947,002041,登海种业,bottom_area,2025-07-03,9.85,2025-06-23,9.53,3.3578174186778624,3.4627492130115436,29.719764011799416,False,0.1016,0.5928,2,2,2,100.0,18.2043468358871,21.395106715252467,11.642182581322137,3.3578174186778624,历史2/2次成功; 当前距低点3.36%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
6,83.75415404606264,76.28468464957653,002371,北方华创,bottom_area,2025-07-03,328.17,2025-07-03,320.22,2.4826681656361216,2.738742114796072,28.602006688963204,False,1.5975,0.5641,1,1,1,100.0,15.189075630252091,15.189075630252091,12.51733183436388,2.4826681656361216,历史1/1次成功; 当前距低点2.48%; 最新日涨幅1.60%; 状态bottom_area; 底部未确认
7,82.96842194008707,78.84688046142185,002127,南极电商,bottom_area,2025-07-03,3.96,2025-06-20,3.78,4.761904761904766,6.878306878306885,29.34579439252336,False,1.2788,1.5148,3,3,3,100.0,23.570017841745774,33.53658536585366,10.238095238095232,4.761904761904766,历史3/3次成功; 当前距低点4.76%; 最新日涨幅1.28%; 状态bottom_area; 底部未确认
8,78.85733256380654,74.3644786456329,600770,综艺股份,bottom_area,2025-07-03,5.28,2025-06-23,5.06,4.347826086956535,6.916996047430842,32.980132450331126,False,0.3802,1.6694,1,1,1,100.0,27.72861356932153,27.72861356932153,10.652173913043464,4.347826086956535,历史1/1次成功; 当前距低点4.35%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
9,77.77533479707142,73.54818808654788,605377,华旺科技,bottom_area,2025-07-03,8.83,2025-06-23,8.45,4.497041420118353,4.852071005917162,30.04966887417219,False,0.4551,0.6897,1,1,1,100.0,25.16904583020285,25.16904583020285,10.502958579881646,4.497041420118353,历史1/1次成功; 当前距低点4.50%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
10,77.65363471343625,73.73218385857467,002155,湖南黄金,bottom_area,2025-07-03,18.21,2025-06-30,17.39,4.715353651523866,5.405405405405392,29.28019520130134,False,0.6077,1.8775,1,1,1,100.0,28.834355828220854,28.834355828220854,10.284646348476134,4.715353651523866,历史1/1次成功; 当前距低点4.72%; 最新日涨幅0.61%; 状态bottom_area; 底部未确认
11,74.98015439296627,69.69309222423148,688556,高测股份,bottom_area,2025-07-03,7.25,2025-06-27,7.0,3.571428571428571,4.999999999999995,31.10236220472441,False,-0.8208,1.8193,1,1,1,100.0,15.569620253164562,15.569620253164562,11.428571428571429,3.571428571428571,历史1/1次成功; 当前距低点3.57%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
12,73.6992823336342,66.24183521987743,688114,华大智造,bottom_area,2025-07-03,63.2,2025-06-23,62.1,1.771336553945252,7.004830917874398,28.20809248554913,True,-0.0474,1.028,2,4,2,50.0,24.08861592942264,27.745919717688572,13.228663446054748,1.771336553945252,历史2/4次成功; 当前距低点1.77%; 最新日涨幅-0.05%; 状态bottom_area; 底部已确认
13,70.96294909694565,66.84078842867842,605136,丽人丽妆,bottom_area,2025-07-03,10.71,2025-06-26,10.27,4.284323271665056,8.081791626095425,29.318651066758434,True,1.5166,9.7272,2,4,2,50.0,35.640029505778216,52.667814113597245,10.715676728334945,4.284323271665056,历史2/4次成功; 当前距低点4.28%; 最新日涨幅1.52%; 状态bottom_area; 底部已确认
14,69.19208283605015,61.211065770889796,001282,三联锻造,bottom_area,2025-07-03,19.73,2025-06-26,19.55,0.9207161125319678,7.161125319693087,30.62455642299503,True,0.2031,3.6852,1,2,1,50.0,37.31343283582089,37.31343283582089,14.07928388746803,0.9207161125319678,历史1/2次成功; 当前距低点0.92%; 最新日涨幅0.20%; 状态bottom_area; 底部已确认
15,63.89087589659987,58.01538055691257,688059,华锐精密,bottom_area,2025-07-03,45.89,2025-07-02,44.85,2.318840579710143,4.19175027870679,32.52595155709342,False,1.392,1.8735,1,5,1,20.0,38.29213483146067,38.29213483146067,12.681159420289855,2.318840579710143,历史1/5次成功; 当前距低点2.32%; 最新日涨幅1.39%; 状态bottom_area; 底部未确认
