rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.27108985494019,89.39039836227023,688221,前沿生物,bottom_area,2025-09-10,14.74,2025-09-09,14.56,1.2362637362637343,6.593406593406587,28.90625,False,0.2721,3.1443,7,7,7,100.0,20.371396134147986,34.87394957983194,6.7637362637362655,1.2362637362637343,历史7/7次成功; 当前距低点1.24%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
2,93.44634376138863,88.83851414097334,302132,中航成飞,bottom_area,2025-09-10,80.59,2025-09-09,79.5,1.3710691823899415,3.3459119496855303,27.595628415300546,False,1.3711,2.3726,4,4,4,100.0,19.056730520550555,28.81165919282512,6.628930817610058,1.3710691823899415,历史4/4次成功; 当前距低点1.37%; 最新日涨幅1.37%; 状态bottom_area; 底部未确认
3,90.11697053496158,85.1933411395647,002256,兆新股份,bottom_area,2025-09-10,2.81,2025-09-10,2.78,1.079136690647491,2.517985611510802,30.32581453634086,False,-0.3546,6.6587,8,8,8,100.0,18.353617173338506,31.775700934579426,6.92086330935251,1.079136690647491,历史8/8次成功; 当前距低点1.08%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
4,89.4090092814261,86.2769388946619,002298,中电鑫龙,bottom_area,2025-09-10,9.52,2025-09-05,9.32,2.145922746781108,6.330472103004291,27.187500000000004,False,1.169,6.4727,7,7,7,100.0,14.783025577004356,23.734729493891784,5.854077253218892,2.145922746781108,历史7/7次成功; 当前距低点2.15%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
5,87.78432333152341,83.90808903401081,688347,华虹公司,bottom_area,2025-09-10,68.3,2025-09-10,67.19,1.6520315523143319,3.4380116088703714,28.46039182282794,False,1.4859,4.7422,1,1,1,100.0,45.99312351229833,45.99312351229833,6.347968447685669,1.6520315523143319,历史1/1次成功; 当前距低点1.65%; 最新日涨幅1.49%; 状态bottom_area; 底部未确认
6,85.80176917071776,84.68373238279155,000561,烽火电子,bottom_area,2025-09-10,11.21,2025-09-04,10.85,3.317972350230426,6.267281105990781,32.60869565217392,False,1.448,2.2981,4,4,4,100.0,20.584458824284518,31.050955414012744,4.682027649769574,3.317972350230426,历史4/4次成功; 当前距低点3.32%; 最新日涨幅1.45%; 状态bottom_area; 底部未确认
7,84.79385715707873,81.05528131530444,300645,正元智慧,bottom_area,2025-09-10,18.42,2025-09-05,18.12,1.6556291390728517,4.74613686534216,27.3164861612515,False,0.8762,3.7147,1,1,1,100.0,30.699547055863096,30.699547055863096,6.344370860927148,1.6556291390728517,历史1/1次成功; 当前距低点1.66%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
8,84.40405594927364,81.19759614192303,002265,建设工业,bottom_area,2025-09-10,29.78,2025-09-09,29.2,1.98630136986302,4.17808219178083,28.780487804878053,False,1.2925,4.523,5,6,5,83.33333333333334,21.629193182136394,41.46981627296587,6.01369863013698,1.98630136986302,历史5/6次成功; 当前距低点1.99%; 最新日涨幅1.29%; 状态bottom_area; 底部未确认
9,83.34866314485627,82.0134765679083,300510,金冠股份,bottom_area,2025-09-10,4.57,2025-09-03,4.43,3.160270880361187,6.997742663656896,30.01579778830964,False,-0.8677,3.8915,4,4,4,100.0,26.76824825339677,40.000000000000014,4.839729119638813,3.160270880361187,历史4/4次成功; 当前距低点3.16%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
10,83.17121245722603,80.8429359032135,002212,天融信,confirmed_rebound,2025-09-10,9.75,2025-09-04,9.51,2.5236593059936934,8.201892744479489,30.17621145374449,True,0.2055,5.1724,2,2,2,100.0,24.553113553113555,30.95238095238096,5.476340694006307,2.5236593059936934,历史2/2次成功; 当前距低点2.52%; 最新日涨幅0.21%; 状态confirmed_rebound; 底部已确认
11,82.88096126918616,77.99205258282862,002041,登海种业,bottom_area,2025-09-10,9.61,2025-06-23,9.53,0.8394543546694656,7.345225603357829,29.719764011799416,True,0.0,0.735,2,2,2,100.0,18.2043468358871,21.395106715252467,7.160545645330535,0.8394543546694656,历史2/2次成功; 当前距低点0.84%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
12,82.53057027089812,82.5678289205319,603221,爱丽家居,bottom_area,2025-09-10,12.41,2025-09-02,11.93,4.023470243084664,5.616093880972338,32.2159090909091,False,0.2423,1.4928,4,4,4,100.0,17.856672444972688,20.699708454810505,3.976529756915336,4.023470243084664,历史4/4次成功; 当前距低点4.02%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
13,81.56875378033244,78.96537313432835,301009,可靠股份,bottom_area,2025-09-10,13.71,2025-09-05,13.4,2.3134328358208993,5.522388059701494,27.762803234501348,False,-1.3669,3.4276,1,1,1,100.0,53.96648044692738,53.96648044692738,5.686567164179101,2.3134328358208993,历史1/1次成功; 当前距低点2.31%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
14,81.24075601651396,78.70573272943733,300192,科德教育,bottom_area,2025-09-10,19.15,2025-09-09,18.71,2.3516835916622005,5.184393372528054,32.649388048956084,False,2.1878,7.3446,1,1,1,100.0,26.599845797995382,26.599845797995382,5.6483164083378,2.3516835916622005,历史1/1次成功; 当前距低点2.35%; 最新日涨幅2.19%; 状态bottom_area; 底部未确认
15,81.14651245240898,77.2910388421231,301556,托普云农,bottom_area,2025-09-10,98.76,2025-09-04,97.33,1.4692283982328234,5.394020343162437,32.87586206896552,False,0.8888,4.0565,1,1,1,100.0,8.176771989752345,8.176771989752345,6.530771601767177,1.4692283982328234,历史1/1次成功; 当前距低点1.47%; 最新日涨幅0.89%; 状态bottom_area; 底部未确认
16,79.65885003764133,76.82716222262216,300902,国安达,bottom_area,2025-09-10,22.66,2025-09-04,22.19,2.1180712032446998,4.551599819738612,32.798304058146584,False,-0.9182,3.7276,2,2,2,100.0,19.4428202474198,26.906779661016937,5.881928796755301,2.1180712032446998,历史2/2次成功; 当前距低点2.12%; 最新日涨幅-0.92%; 状态bottom_area; 底部未确认
17,79.56003884746283,79.38198579521189,603109,神驰机电,confirmed_rebound,2025-09-10,31.03,2025-09-04,29.87,3.8834951456310685,8.77134248409776,27.79792119893642,True,-1.3355,2.3299,5,5,5,100.0,22.507283479842627,33.71428571428571,4.116504854368932,3.8834951456310685,历史5/5次成功; 当前距低点3.88%; 最新日涨幅-1.34%; 状态confirmed_rebound; 底部已确认
18,78.31350381164413,78.78497294105516,002148,北纬科技,bottom_area,2025-09-10,10.16,2025-09-05,9.74,4.312114989733059,6.468172484599578,32.31410701876303,False,1.6,5.4695,3,3,3,100.0,17.72362966476626,19.756097560975626,3.6878850102669407,4.312114989733059,历史3/3次成功; 当前距低点4.31%; 最新日涨幅1.60%; 状态bottom_area; 底部未确认
19,78.18592265543003,75.75487770183946,688552,航天南湖,confirmed_rebound,2025-09-10,33.43,2025-09-04,32.66,2.3576240048989687,9.920391916717705,28.860814637333913,False,1.4568,4.3248,1,1,1,100.0,21.02290555381236,21.02290555381236,5.642375995101031,2.3576240048989687,历史1/1次成功; 当前距低点2.36%; 最新日涨幅1.46%; 状态confirmed_rebound; 底部未确认
