rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.09474743193566,81.53975383938842,605298,必得科技,bottom_area,2025-10-16,39.49,2025-10-13,38.66,2.146921883083304,7.682359027418537,28.007448789571704,True,-2.2767,1.2537,3,3,3,100.0,19.272772757087996,28.626692456479695,7.853078116916697,2.146921883083304,历史3/3次成功; 当前距低点2.15%; 最新日涨幅-2.28%; 状态bottom_area; 底部已确认
2,83.99628578523287,78.90924320310386,600376,首开股份,bottom_area,2025-10-16,5.91,2025-10-16,5.81,1.7211703958692002,5.163511187607585,27.375000000000004,False,-3.2733,5.9725,3,3,3,100.0,19.319955406911923,24.99999999999999,8.278829604130799,1.7211703958692002,历史3/3次成功; 当前距低点1.72%; 最新日涨幅-3.27%; 状态bottom_area; 底部未确认
3,82.60609895941785,77.77442147311227,600706,曲江文旅,bottom_area,2025-10-16,9.98,2025-10-13,9.8,1.8367346938775482,4.59183673469387,31.420573827851634,False,-2.2527,4.8812,2,2,2,100.0,21.086970834156286,24.578313253012034,8.163265306122453,1.8367346938775482,历史2/2次成功; 当前距低点1.84%; 最新日涨幅-2.25%; 状态bottom_area; 底部未确认
4,80.65894828599065,75.60231642942271,688039,当虹科技,bottom_area,2025-10-16,52.0,2025-10-15,51.18,1.6021883548261044,3.7514654161781977,27.885021840214176,False,-1.6827,3.1703,5,7,5,71.42857142857143,35.1053311436126,79.31638913234006,8.397811645173896,1.6021883548261044,历史5/7次成功; 当前距低点1.60%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
5,80.51277563461771,74.32432834743037,300757,罗博特科,bottom_area,2025-10-16,219.57,2025-10-15,217.82,0.8034156643099807,4.021669268203112,28.031454437322417,False,-1.947,2.8599,7,8,7,87.5,23.46030140890924,74.11052233156698,9.19658433569002,0.8034156643099807,历史7/8次成功; 当前距低点0.80%; 最新日涨幅-1.95%; 状态bottom_area; 底部未确认
6,78.98267171141396,75.37100529303214,000096,广聚能源,bottom_area,2025-10-16,11.29,2025-09-23,11.01,2.5431425976385045,6.176203451407809,28.039215686274517,False,-0.878,0.6769,2,2,2,100.0,16.82457212713937,21.149144254278735,7.4568574023614955,2.5431425976385045,历史2/2次成功; 当前距低点2.54%; 最新日涨幅-0.88%; 状态bottom_area; 底部未确认
7,78.8808914940725,73.28908333027289,688210,统联精密,confirmed_rebound,2025-10-16,48.73,2025-10-14,48.18,1.1415525114155192,17.185554171855543,27.0,True,-4.638,4.3039,1,1,1,100.0,16.353887399463808,16.353887399463808,8.858447488584481,1.1415525114155192,历史1/1次成功; 当前距低点1.14%; 最新日涨幅-4.64%; 状态confirmed_rebound; 底部已确认
8,78.39072816005833,76.3095583858975,002269,美邦服饰,bottom_area,2025-10-16,2.31,2025-10-13,2.23,3.587443946188344,8.520179372197308,30.529595015576323,True,-2.9412,4.2411,6,8,6,75.0,46.3114547484244,173.50993377483442,6.412556053811656,3.587443946188344,历史6/8次成功; 当前距低点3.59%; 最新日涨幅-2.94%; 状态bottom_area; 底部已确认
9,77.2956477932928,76.36647396557478,601208,东材科技,confirmed_rebound,2025-10-16,18.41,2025-10-14,17.64,4.365079365079363,10.034013605442174,28.088055442315536,True,-2.5926,2.979,3,3,3,100.0,28.86481138685871,48.70466321243524,5.634920634920638,4.365079365079363,历史3/3次成功; 当前距低点4.37%; 最新日涨幅-2.59%; 状态confirmed_rebound; 底部已确认
10,76.0701215471388,75.04888669652159,600232,金鹰股份,bottom_area,2025-10-16,6.32,2025-10-13,6.06,4.290429042904302,6.930693069306945,28.28402366863905,False,-1.8634,2.0207,3,3,3,100.0,19.844435023351593,27.954545454545443,5.709570957095698,4.290429042904302,历史3/3次成功; 当前距低点4.29%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
11,75.46907254912648,72.76257670532105,300056,中创环保,bottom_area,2025-10-16,10.7,2025-10-15,10.38,3.082851637764918,8.188824662813097,29.001367989056074,True,-4.0359,3.7867,1,1,1,100.0,27.10472279260781,27.10472279260781,6.917148362235083,3.082851637764918,历史1/1次成功; 当前距低点3.08%; 最新日涨幅-4.04%; 状态bottom_area; 底部已确认
