rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
59,76.65639546429121,70.78631112693556,300461,田中精机,confirmed_rebound,2024-07-04,18.45,2024-07-04,18.3,0.8196721311475332,12.185792349726778,29.53407778205621,False,-12.6834,22.9128,2,2,2,100.0,31.318083795440543,39.80283425754775,9.180327868852467,0.8196721311475332,历史2/2次成功; 当前距低点0.82%; 最新日涨幅-12.68%; 状态confirmed_rebound; 底部未确认
60,76.59758842430747,70.68338868827352,600161,天坛生物,bottom_area,2024-07-04,23.15,2024-07-04,22.97,0.7836308228123627,4.484109708315199,29.23598274799754,False,-3.2191,0.9544,1,1,1,100.0,36.77455357142857,36.77455357142857,9.216369177187637,0.7836308228123627,历史1/1次成功; 当前距低点0.78%; 最新日涨幅-3.22%; 状态bottom_area; 底部未确认
61,76.49228003122293,70.25567959645723,300393,中来股份,bottom_area,2024-07-04,5.61,2024-07-04,5.58,0.5376344086021551,5.197132616487456,31.36531365313654,False,-3.7736,1.1376,4,5,4,80.0,24.792935742312604,36.516853932584276,9.462365591397845,0.5376344086021551,历史4/5次成功; 当前距低点0.54%; 最新日涨幅-3.77%; 状态bottom_area; 底部未确认
62,76.4619107399363,71.53045928097488,002861,瀛通通讯,bottom_area,2024-07-04,8.79,2024-07-04,8.66,1.501154734411074,6.812933025404155,32.13166144200626,False,-7.6681,25.2151,3,4,3,75.0,14.452107932430843,18.668012108980825,8.498845265588926,1.501154734411074,历史3/4次成功; 当前距低点1.50%; 最新日涨幅-7.67%; 状态bottom_area; 底部未确认
63,76.3727730990196,74.94565375760722,300409,道氏技术,bottom_area,2024-07-04,8.56,2024-06-25,8.23,4.009720534629405,8.74848116646414,30.60708263069139,True,-2.8377,1.2554,4,5,4,80.0,33.321594497646515,50.03460207612457,5.9902794653705955,4.009720534629405,历史4/5次成功; 当前距低点4.01%; 最新日涨幅-2.84%; 状态bottom_area; 底部已确认
64,76.30142508740936,70.02620006887157,688061,灿瑞科技,bottom_area,2024-07-04,24.26,2024-07-04,24.14,0.49710024855012835,6.669428334714164,28.240190249702735,False,-5.3453,3.0464,2,2,2,100.0,13.062304492289648,15.713159968479115,9.502899751449872,0.49710024855012835,历史2/2次成功; 当前距低点0.50%; 最新日涨幅-5.35%; 状态bottom_area; 底部未确认
65,76.24519703388019,69.70812406592053,002068,黑猫股份,bottom_area,2024-07-04,6.75,2024-07-04,6.73,0.29717682020801744,3.566121842496275,31.326530612244895,False,-2.3155,1.0698,3,4,3,75.0,19.51982374190758,32.77777777777777,9.702823179791983,0.29717682020801744,历史3/4次成功; 当前距低点0.30%; 最新日涨幅-2.32%; 状态bottom_area; 底部未确认
66,76.22106747731148,69.65997385448135,688017,绿的谐波,bottom_area,2024-07-04,75.87,2024-07-04,75.66,0.27755749405235,4.229447528416604,32.94336612603031,False,-0.7846,1.6485,3,4,3,75.0,19.02045667161674,22.08643815201191,9.722442505947651,0.27755749405235,历史3/4次成功; 当前距低点0.28%; 最新日涨幅-0.78%; 状态bottom_area; 底部未确认
67,76.2063276658713,69.88058070815087,001324,长青科技,bottom_area,2024-07-04,15.51,2024-07-04,15.44,0.4533678756476703,5.181347150259061,28.152629129827822,False,-3.8438,1.3852,2,2,2,100.0,11.743330454986909,13.057213057213065,9.54663212435233,0.4533678756476703,历史2/2次成功; 当前距低点0.45%; 最新日涨幅-3.84%; 状态bottom_area; 底部未确认
68,76.11510636366897,69.7457619841268,002172,澳洋健康,bottom_area,2024-07-04,2.42,2024-06-24,2.41,0.41493775933609073,6.224066390041489,27.627627627627625,False,-4.3478,1.0645,4,5,4,80.0,20.54741976028543,29.824561403508774,9.585062240663909,0.41493775933609073,历史4/5次成功; 当前距低点0.41%; 最新日涨幅-4.35%; 状态bottom_area; 底部未确认
