rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.17248085208406,84.80824045692641,603800,洪田股份,bottom_area,2026-02-06,38.96,53.2,2026-02-06,38.0,2.5263157894736867,3.684210526315786,28.571428571428577,26.766917293233085,False,0.7239,1.3407,3,3,3,100.0,28.216346542615163,32.08300079808461,17.473684210526315,2.5263157894736867,历史3/3次成功; 当前距低点2.53%; 最新日涨幅0.72%; 状态bottom_area; 底部未确认
2,93.03802435926707,83.41340114968773,300668,杰恩股份,bottom_area,2026-02-06,24.96,33.3,2026-01-30,24.0,4.0000000000000036,8.333333333333332,27.92792792792792,25.045045045045033,True,0.8078,3.0422,3,3,3,100.0,29.588178224127592,36.04488078541374,15.999999999999998,4.0000000000000036,历史3/3次成功; 当前距低点4.00%; 最新日涨幅0.81%; 状态bottom_area; 底部已确认
3,89.18915550137217,78.0765799607603,301023,奕帆传动,bottom_area,2026-02-06,46.54,65.18,2026-02-06,45.32,2.691968225948806,5.4060017652250725,30.469469162319733,28.59772936483585,False,1.7713,8.9893,1,1,1,100.0,27.388535031847127,27.388535031847127,17.308031774051194,2.691968225948806,历史1/1次成功; 当前距低点2.69%; 最新日涨幅1.77%; 状态bottom_area; 底部未确认
4,87.23734181147191,75.55917944731782,600435,北方导航,bottom_area,2026-02-06,16.46,22.55,2026-01-30,16.12,2.109181141439205,4.83870967741934,28.514412416851435,27.006651884700666,False,-0.4837,1.5069,1,1,1,100.0,29.183400267737625,29.183400267737625,17.8908188585608,2.109181141439205,历史1/1次成功; 当前距低点2.11%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
5,87.03282809400724,72.8810441652196,300765,新诺威,bottom_area,2026-02-06,34.0,47.92,2026-02-06,33.91,0.26540843409024895,4.511943379534065,29.236227045075136,29.04841402337229,False,-1.9325,0.75,4,5,4,80.0,25.35578169325464,28.947368421052634,19.73459156590975,0.26540843409024895,历史4/5次成功; 当前距低点0.27%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
6,86.98590140069481,76.49930964467003,600271,航天信息,bottom_area,2026-02-06,10.14,13.99,2026-02-02,9.85,2.9441624365482326,5.1776649746192875,29.592566118656187,27.519656897784127,False,0.0,1.7743,1,1,1,100.0,21.999999999999996,21.999999999999996,17.05583756345177,2.9441624365482326,历史1/1次成功; 当前距低点2.94%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
7,81.62821100884717,71.41367759242185,600595,中孚实业,bottom_area,2026-02-06,8.11,10.83,2026-02-06,7.9,2.658227848101254,7.974683544303785,27.054478301015696,25.11542012927055,False,-5.8072,3.9238,1,1,1,100.0,23.84105960264901,23.84105960264901,17.34177215189875,2.658227848101254,历史1/1次成功; 当前距低点2.66%; 最新日涨幅-5.81%; 状态bottom_area; 底部未确认
8,72.84094359324058,61.77556886227546,300652,雷迪克,bottom_area,2026-02-06,50.58,74.21,2026-02-06,50.1,0.9580838323353231,2.754491017964063,32.48888289987871,31.842069801913485,False,0.1584,2.2198,1,2,1,50.0,54.41115272575945,54.41115272575945,19.041916167664677,0.9580838323353231,历史1/2次成功; 当前距低点0.96%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
9,72.30471371430285,64.79768561555531,301428,世纪恒通,bottom_area,2026-02-06,37.91,50.09,2026-02-06,36.46,3.976961053208984,6.55512890839276,27.211020163705335,24.316230784587752,False,0.1585,14.8209,2,4,2,50.0,30.081488262751606,33.956079973779076,16.02303894679102,3.976961053208984,历史2/4次成功; 当前距低点3.98%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
10,69.31149947646793,62.87952159691732,688062,迈威生物,bottom_area,2026-02-06,35.8,47.8,2026-02-03,34.21,4.64776381175094,7.541654486992103,28.430962343096226,25.10460251046025,True,-0.721,2.6593,2,4,2,50.0,41.27109186940569,47.1990464839094,15.35223618824906,4.64776381175094,历史2/4次成功; 当前距低点4.65%; 最新日涨幅-0.72%; 状态bottom_area; 底部已确认
11,66.58587552430086,58.86044245242063,603069,海汽集团,bottom_area,2026-02-06,22.72,31.58,2026-02-02,22.01,3.2258064516128906,9.268514311676507,30.30398986700443,28.055731475617478,True,-2.9475,2.8002,2,7,2,28.57142857142857,48.661265848453205,76.0375880971026,16.77419354838711,3.2258064516128906,历史2/7次成功; 当前距低点3.23%; 最新日涨幅-2.95%; 状态bottom_area; 底部已确认
12,64.82744177069182,57.01556843338973,300723,一品红,bottom_area,2026-02-06,33.88,45.88,2026-02-02,32.91,2.947432391370423,6.95837131570953,28.269398430688764,26.155187445510027,False,-0.059,2.3978,1,2,1,50.0,31.428571428571427,31.428571428571427,17.05256760862958,2.947432391370423,历史1/2次成功; 当前距低点2.95%; 最新日涨幅-0.06%; 状态bottom_area; 底部未确认
13,63.49625262608201,53.06206362603179,603039,泛微网络,bottom_area,2026-02-06,52.4,74.51,2026-02-06,52.32,0.15290519877675515,3.7844036697247647,29.781237417796273,29.673869279291377,False,-4.0996,2.0955,1,2,1,50.0,25.971438060445035,25.971438060445035,19.847094801223246,0.15290519877675515,历史1/2次成功; 当前距低点0.15%; 最新日涨幅-4.10%; 状态bottom_area; 底部未确认
14,63.17681180906782,56.966209970210315,300561,汇金科技,bottom_area,2026-02-06,13.3,18.6,2026-02-06,12.75,4.3137254901960835,7.215686274509803,31.45161290322581,28.49462365591398,False,-8.4022,12.9885,2,4,2,50.0,24.79303273041607,27.62128325508607,15.68627450980392,4.3137254901960835,历史2/4次成功; 当前距低点4.31%; 最新日涨幅-8.40%; 状态bottom_area; 底部未确认
15,62.585027726273744,53.74481762953436,300454,深信服,bottom_area,2026-02-06,136.28,188.0,2026-02-06,134.08,1.6408114558472469,4.78818615751789,28.68085106382978,27.51063829787234,False,-2.3012,3.5179,1,5,1,20.0,29.49391262831224,29.49391262831224,18.359188544152754,1.6408114558472469,历史1/5次成功; 当前距低点1.64%; 最新日涨幅-2.30%; 状态bottom_area; 底部未确认
16,59.6490741590748,50.13406973978402,300687,赛意信息,bottom_area,2026-02-06,21.55,30.44,2026-02-06,21.45,0.4662004662004729,2.331002331002331,29.533508541392912,29.20499342969777,False,-1.688,2.8219,1,3,1,33.33333333333333,23.299319727891156,23.299319727891156,19.533799533799527,0.4662004662004729,历史1/3次成功; 当前距低点0.47%; 最新日涨幅-1.69%; 状态bottom_area; 底部未确认
17,59.18160618711726,53.405514607263704,605365,立达信,bottom_area,2026-02-06,20.6,27.37,2026-01-30,19.74,4.356636271529904,7.294832826747727,27.87723785166241,24.735111435878697,True,-0.097,1.0605,1,3,1,33.33333333333333,39.54468802698146,39.54468802698146,15.643363728470097,4.356636271529904,历史1/3次成功; 当前距低点4.36%; 最新日涨幅-0.10%; 状态bottom_area; 底部已确认
18,58.91177364255563,53.054873303186966,300639,凯普生物,bottom_area,2026-02-06,7.12,10.07,2026-02-05,6.83,4.245973645680821,8.638360175695459,32.17477656405164,29.29493545183714,True,2.7417,13.0013,1,6,1,16.666666666666664,33.27433628318583,33.27433628318583,15.754026354319182,4.245973645680821,历史1/6次成功; 当前距低点4.25%; 最新日涨幅2.74%; 状态bottom_area; 底部已确认
19,58.43566468242384,53.00134913790452,000797,中国武夷,bottom_area,2026-02-06,3.16,4.27,2026-02-02,3.02,4.635761589403978,9.602649006622517,29.274004683840744,25.995316159250574,True,-2.4691,3.2154,2,6,2,33.33333333333333,24.126624883936852,27.083333333333325,15.364238410596023,4.635761589403978,历史2/6次成功; 当前距低点4.64%; 最新日涨幅-2.47%; 状态bottom_area; 底部已确认
20,57.244800966623444,49.55429702858272,300459,汤姆猫,bottom_area,2026-02-06,4.91,6.61,2026-02-06,4.81,2.07900207900209,3.9501039501039585,27.231467473524972,25.718608169440245,False,-1.2072,3.6935,1,7,1,14.285714285714285,24.716553287981853,24.716553287981853,17.920997920997912,2.07900207900209,历史1/7次成功; 当前距低点2.08%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
