rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.60524724602607,80.31211971532383,300561,汇金科技,bottom_area,2022-03-07,12.8,2022-03-07,12.67,1.026045777426999,3.1570639305445964,30.689277899343548,False,-1.9157,6.0322,2,2,2,100.0,24.79303273041607,27.62128325508607,13.973954222573001,1.026045777426999,历史2/2次成功; 当前距低点1.03%; 最新日涨幅-1.92%; 状态bottom_area; 底部未确认
2,86.4434577403069,76.60150126220387,603348,文灿股份,bottom_area,2022-03-07,36.97,2022-03-07,36.6,1.010928961748627,4.071038251366126,27.164179104477608,False,-4.3219,2.3415,1,1,1,100.0,31.539888682745836,31.539888682745836,13.989071038251371,1.010928961748627,历史1/1次成功; 当前距低点1.01%; 最新日涨幅-4.32%; 状态bottom_area; 底部未确认
3,80.32946467518656,70.4333325683058,300735,光弘科技,bottom_area,2022-03-07,11.32,2022-03-07,11.27,0.44365572315883506,3.726708074534161,27.98722044728435,False,-3.413,0.6917,1,1,1,100.0,31.262729124236255,31.262729124236255,14.556344276841166,0.44365572315883506,历史1/1次成功; 当前距低点0.44%; 最新日涨幅-3.41%; 状态bottom_area; 底部未确认
4,79.63107610196681,69.35148015784381,002695,煌上煌,bottom_area,2022-03-07,12.11,2022-03-07,12.1,0.0826446280991718,2.892561983471072,27.890345649582844,False,-3.12,0.7667,1,1,1,100.0,21.021021021021024,21.021021021021024,14.917355371900829,0.0826446280991718,历史1/1次成功; 当前距低点0.08%; 最新日涨幅-3.12%; 状态bottom_area; 底部未确认
5,79.13945983486991,74.63960453960455,300511,雪榕生物,bottom_area,2022-03-07,6.95,2022-01-27,6.66,4.354354354354355,8.70870870870871,31.198347107438014,True,-1.138,2.8316,2,2,2,100.0,25.900712191034756,29.220779220779214,10.645645645645645,4.354354354354355,历史2/2次成功; 当前距低点4.35%; 最新日涨幅-1.14%; 状态bottom_area; 底部已确认
6,78.88213048712174,69.61636715438763,001267,汇绿生态,bottom_area,2022-03-07,6.36,2022-03-07,6.31,0.7923930269413743,1.901743264659273,27.22029988465975,False,-0.4695,4.4173,1,1,1,100.0,20.930232558139547,20.930232558139547,14.207606973058626,0.7923930269413743,历史1/1次成功; 当前距低点0.79%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
7,77.1849633267149,67.69481893795984,601995,中金公司,bottom_area,2022-03-07,39.45,2022-03-07,39.27,0.45836516424751644,7.308377896613185,28.7037037037037,False,-6.6935,3.5459,1,1,1,100.0,16.719846841097638,16.719846841097638,14.541634835752483,0.45836516424751644,历史1/1次成功; 当前距低点0.46%; 最新日涨幅-6.69%; 状态bottom_area; 底部未确认
8,76.53347559882889,67.24311369078005,600031,三一重工,bottom_area,2022-03-07,18.16,2022-03-07,18.06,0.5537098560354453,3.654485049833888,28.644804425128413,False,-4.0676,1.6201,1,1,1,100.0,15.460065390004665,15.460065390004665,14.446290143964555,0.5537098560354453,历史1/1次成功; 当前距低点0.55%; 最新日涨幅-4.07%; 状态bottom_area; 底部未确认
9,75.97548483201864,70.90954341317364,002355,兴民智通,bottom_area,2022-03-07,5.2,2022-02-24,5.01,3.7924151696606865,7.984031936127751,27.18023255813954,True,-1.3283,0.7415,1,1,1,100.0,15.624999999999991,15.624999999999991,11.207584830339313,3.7924151696606865,历史1/1次成功; 当前距低点3.79%; 最新日涨幅-1.33%; 状态bottom_area; 底部已确认
10,70.47094062143388,62.21077791909245,300521,爱司凯,bottom_area,2022-03-07,14.98,2022-03-07,14.86,0.807537012113062,3.7685060565275945,32.17708808763122,False,-1.5769,3.4578,2,3,2,66.66666666666666,20.189761505610566,20.590790616854918,14.192462987886936,0.807537012113062,历史2/3次成功; 当前距低点0.81%; 最新日涨幅-1.58%; 状态bottom_area; 底部未确认
11,58.00776740265003,50.77938517179022,002600,领益智造,bottom_area,2022-03-07,5.62,2022-03-07,5.6,0.3571428571428654,4.107142857142865,30.6930693069307,False,-3.7671,0.7169,1,2,1,50.0,16.20253164556961,16.20253164556961,14.642857142857135,0.3571428571428654,历史1/2次成功; 当前距低点0.36%; 最新日涨幅-3.77%; 状态bottom_area; 底部未确认
