rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.0043569347275,85.17876076370268,605117,德业股份,bottom_area,2023-03-28,251.6,2023-03-24,245.0,2.693877551020406,7.591836734693887,28.913390396053963,True,-2.8646,1.9436,5,5,5,100.0,28.875277311984927,59.18895599654874,7.306122448979595,2.693877551020406,历史5/5次成功; 当前距低点2.69%; 最新日涨幅-2.86%; 状态bottom_area; 底部已确认
2,85.0855289583477,78.15263400618603,300382,斯莱克,bottom_area,2023-03-28,14.88,2023-03-28,14.8,0.540540540540541,3.783783783783775,32.788374205267935,False,-2.3622,1.7028,3,3,3,100.0,30.403583003325068,49.70059880239522,9.45945945945946,0.540540540540541,历史3/3次成功; 当前距低点0.54%; 最新日涨幅-2.36%; 状态bottom_area; 底部未确认
3,81.28883503171477,75.50208363864878,605128,上海沿浦,bottom_area,2023-03-28,40.46,2023-03-28,40.01,1.1247188202949334,2.8992751812047084,32.75630252100841,False,-1.2448,2.0918,1,1,1,100.0,16.80883090817863,16.80883090817863,8.875281179705068,1.1247188202949334,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
4,80.10115049826949,76.16980568853846,002708,光洋股份,bottom_area,2023-03-28,6.51,2023-03-20,6.36,2.3584905660377276,6.132075471698108,31.759656652360512,False,-1.9578,1.3871,1,1,1,100.0,35.522388059701484,35.522388059701484,7.641509433962273,2.3584905660377276,历史1/1次成功; 当前距低点2.36%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
5,79.52999287329122,76.60112628022384,002660,茂硕电源,bottom_area,2023-03-28,9.18,2023-03-20,8.91,3.0303030303030254,7.519640852974185,28.31858407079646,True,-1.0776,2.3578,2,2,2,100.0,20.21622144792876,24.71428571428572,6.969696969696976,3.0303030303030254,历史2/2次成功; 当前距低点3.03%; 最新日涨幅-1.08%; 状态bottom_area; 底部已确认
6,78.71353839211534,74.97840112994352,300699,光威复材,confirmed_rebound,2023-03-28,54.4,2023-03-28,53.1,2.4482109227871884,11.111111111111107,27.518427518427522,False,-9.8293,4.232,2,2,2,100.0,33.98022598870056,49.6271186440678,7.551789077212812,2.4482109227871884,历史2/2次成功; 当前距低点2.45%; 最新日涨幅-9.83%; 状态confirmed_rebound; 底部未确认
7,78.62067902083413,75.83886183149808,603290,斯达半导,bottom_area,2023-03-28,264.99,2023-03-20,257.0,3.1089494163424156,9.37354085603112,27.605633802816904,True,-1.9173,1.2007,2,2,2,100.0,17.082077961068716,23.2822670787034,6.891050583657584,3.1089494163424156,历史2/2次成功; 当前距低点3.11%; 最新日涨幅-1.92%; 状态bottom_area; 底部已确认
8,78.41982826294303,75.4710558673521,002347,泰尔股份,bottom_area,2023-03-28,5.17,2023-03-20,5.02,2.988047808764948,6.175298804780887,29.09604519774012,False,-2.2684,2.6176,2,2,2,100.0,22.816155222237516,29.585798816568047,7.0119521912350535,2.988047808764948,历史2/2次成功; 当前距低点2.99%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
9,78.23548201671522,74.62261227805502,601702,华峰铝业,bottom_area,2023-03-28,12.62,2023-03-20,12.31,2.5182778229081944,9.098294069861893,29.212190914318576,True,-1.5601,2.7958,1,1,1,100.0,19.96927803379416,19.96927803379416,7.4817221770918065,2.5182778229081944,历史1/1次成功; 当前距低点2.52%; 最新日涨幅-1.56%; 状态bottom_area; 底部已确认
10,78.20625739921559,73.29197563041939,300767,震安科技,bottom_area,2023-03-28,40.79,2023-03-28,40.15,1.5940224159402254,3.6861768368617787,28.9128895184136,False,-1.1391,1.0791,1,1,1,100.0,10.679283541737075,10.679283541737075,8.405977584059775,1.5940224159402254,历史1/1次成功; 当前距低点1.59%; 最新日涨幅-1.14%; 状态bottom_area; 底部未确认
11,75.67374762461245,75.54245725772068,300393,中来股份,bottom_area,2023-03-28,14.96,2023-03-20,14.26,4.908835904628338,7.8541374474053365,27.61421319796954,True,-1.7083,2.4631,3,3,3,100.0,20.884963012222048,23.89610389610389,5.091164095371662,4.908835904628338,历史3/3次成功; 当前距低点4.91%; 最新日涨幅-1.71%; 状态bottom_area; 底部已确认
