rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,100.06742290687757,84.98341085271316,603787,新日股份,bottom_area,2026-05-13,11.73,17.11,2026-04-27,11.61,1.0335917312661584,5.426356589147294,32.14494447691409,31.44360023378141,False,-0.5932,1.7036,2,2,2,100.0,56.730295566502456,92.85714285714283,18.966408268733844,1.0335917312661584,历史2/2次成功; 当前距低点1.03%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
2,88.19231905551834,75.72418933488535,603277,银都股份,bottom_area,2026-05-13,13.07,17.69,2026-04-24,12.86,1.632970451010893,6.609642301710743,27.30356133408706,26.116449971735445,False,-1.0598,0.3612,1,1,1,100.0,24.23312883435582,24.23312883435582,18.36702954898911,1.632970451010893,历史1/1次成功; 当前距低点1.63%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
3,82.66394403617655,70.45028660119874,000723,美锦能源,bottom_area,2026-05-13,4.13,5.67,2026-05-13,4.08,1.225490196078427,1.715686274509811,28.04232804232804,27.160493827160494,False,0.7317,1.3095,2,4,2,50.0,26.74410886159975,30.434782608695667,18.774509803921575,1.225490196078427,历史2/4次成功; 当前距低点1.23%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
4,77.69738679583817,67.6574491592534,601567,三星电气,bottom_area,2026-05-13,19.61,26.41,2026-05-13,19.15,2.4020887728459575,3.7075718015665844,27.48958727754639,25.747822794396065,False,1.9761,1.85,2,4,2,50.0,26.151675060979485,31.09512390087929,17.597911227154047,2.4020887728459575,历史2/4次成功; 当前距低点2.40%; 最新日涨幅1.98%; 状态bottom_area; 底部未确认
5,72.57139137911349,62.19570281124498,300516,久之洋,bottom_area,2026-05-13,40.45,58.98,2026-05-13,39.84,1.5311244979919663,3.1375502008032123,32.45167853509663,31.417429637165135,False,1.8892,2.3361,1,3,1,33.33333333333333,38.888888888888886,38.888888888888886,18.468875502008032,1.5311244979919663,历史1/3次成功; 当前距低点1.53%; 最新日涨幅1.89%; 状态bottom_area; 底部未确认
6,71.85960035382699,61.50844879144661,603113,金能科技,bottom_area,2026-05-13,5.55,7.5,2026-05-13,5.47,1.4625228519195625,2.5594149908592425,27.066666666666674,26.0,False,-0.1799,1.8126,2,5,2,40.0,25.71505856894199,31.03448275862069,18.537477148080438,1.4625228519195625,历史2/5次成功; 当前距低点1.46%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
7,71.70942685305735,60.675666954695274,603313,梦百合,bottom_area,2026-05-13,6.06,8.27,2026-05-12,6.01,0.831946755407651,4.326123128119797,27.327690447400236,26.723095525997582,False,0.3311,1.8235,2,5,2,40.0,30.87368579045548,36.22250970245794,19.16805324459235,0.831946755407651,历史2/5次成功; 当前距低点0.83%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
8,71.40166223263041,62.217216053329416,605337,李子园,bottom_area,2026-05-13,10.5,14.95,2026-03-23,10.25,2.4390243902439024,8.97560975609756,31.438127090301,29.765886287625413,True,-0.7561,0.9448,2,5,2,40.0,32.30210571551354,37.98882681564246,17.5609756097561,2.4390243902439024,历史2/5次成功; 当前距低点2.44%; 最新日涨幅-0.76%; 状态bottom_area; 底部已确认
9,70.19979310344827,58.4998275862069,600636,退市国化,bottom_area,2026-05-13,4.51,6.3,2026-04-29,4.51,0.0,2.660753880266078,28.41269841269841,28.41269841269841,False,0.0,0.0,1,2,1,50.0,32.90229885057471,32.90229885057471,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
10,68.84596449810485,57.926195963915106,000012,南玻A,bottom_area,2026-05-13,3.83,5.27,2026-05-13,3.81,0.5249343832021002,2.0997375328084007,27.70398481973434,27.324478178368118,False,-1.7949,1.6702,1,2,1,50.0,46.467991169977914,46.467991169977914,19.475065616797902,0.5249343832021002,历史1/2次成功; 当前距低点0.52%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
11,67.8552556895878,58.23124421478444,688196,卓越新能,bottom_area,2026-05-13,50.68,71.0,2026-05-13,49.88,1.6038492381716059,1.7842822774659193,29.746478873239436,28.619718309859156,False,0.4161,0.9137,1,5,1,20.0,30.688282138794104,30.688282138794104,18.396150761828395,1.6038492381716059,历史1/5次成功; 当前距低点1.60%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
12,65.4027430001773,55.2835648982662,601808,中海油服,bottom_area,2026-05-13,14.27,20.55,2026-05-13,14.16,0.7768361581920864,1.4830508474576205,31.094890510948908,30.559610705596114,False,-0.2795,0.6698,1,2,1,50.0,35.34812547819435,35.34812547819435,19.223163841807914,0.7768361581920864,历史1/2次成功; 当前距低点0.78%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
