rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.8995222059711,85.55075465972727,300721,怡达股份,bottom_area,2024-08-02,11.41,2024-07-31,11.25,1.4222222222222236,7.466666666666666,27.976952624839946,True,-2.8936,3.8672,5,5,5,100.0,15.2872114322255,22.270742358078603,6.577777777777777,1.4222222222222236,历史5/5次成功; 当前距低点1.42%; 最新日涨幅-2.89%; 状态bottom_area; 底部已确认
2,83.35347797967228,79.19819368980984,001203,大中矿业,bottom_area,2024-08-02,8.31,2024-07-30,8.2,1.3414634146341613,5.121951219512195,29.492691315563206,False,-0.9535,0.403,2,2,2,100.0,22.670592877288865,29.46341463414634,6.658536585365839,1.3414634146341613,历史2/2次成功; 当前距低点1.34%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
3,81.6478201165766,80.58787022716119,001309,德明利,confirmed_rebound,2024-08-02,75.3,2024-07-30,72.88,3.320526893523603,10.222283205268939,28.74462260461479,True,-5.0681,5.7457,5,5,5,100.0,32.304685722553685,64.1432791728213,4.679473106476397,3.320526893523603,历史5/5次成功; 当前距低点3.32%; 最新日涨幅-5.07%; 状态confirmed_rebound; 底部已确认
4,78.94158664425622,76.08877586522227,002293,罗莱生活,bottom_area,2024-08-02,7.34,2024-07-30,7.19,2.0862308762169604,3.6161335187760746,29.78515625,False,0.4104,0.1625,1,1,1,100.0,9.27624872579001,9.27624872579001,5.91376912378304,2.0862308762169604,历史1/1次成功; 当前距低点2.09%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
5,78.04569021090923,77.98717697144646,603368,柳药集团,bottom_area,2024-08-02,17.06,2024-07-31,16.41,3.9609993906154695,6.581352833638015,31.908713692946062,False,-0.2339,1.4453,3,3,3,100.0,31.603524634675978,42.85714285714285,4.039000609384531,3.9609993906154695,历史3/3次成功; 当前距低点3.96%; 最新日涨幅-0.23%; 状态bottom_area; 底部未确认
6,77.1853587150413,77.14810409736852,002563,森马服饰,bottom_area,2024-08-02,4.97,2024-07-30,4.78,3.9748953974895294,7.531380753138063,29.080118694362017,True,0.0,0.6607,1,1,1,100.0,28.929384965831446,28.929384965831446,4.025104602510471,3.9748953974895294,历史1/1次成功; 当前距低点3.97%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
7,77.1758484741075,75.77560075314793,001218,丽臣实业,bottom_area,2024-08-02,14.2,2024-07-25,13.78,3.047895500725689,6.603773584905662,30.404040404040412,False,-1.5257,1.0979,2,2,2,100.0,25.18711018711019,29.999999999999993,4.952104499274311,3.047895500725689,历史2/2次成功; 当前距低点3.05%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
8,76.76121750286025,76.11786259541984,002687,乔治白,bottom_area,2024-08-02,4.07,2024-07-25,3.93,3.562340966921122,5.852417302798981,32.82051282051282,False,-0.7317,0.57,1,1,1,100.0,64.00000000000001,64.00000000000001,4.437659033078878,3.562340966921122,历史1/1次成功; 当前距低点3.56%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
9,76.73624169883011,76.30841299379003,603156,养元饮品,bottom_area,2024-08-02,20.69,2024-07-30,19.95,3.709273182957404,6.516290726817046,27.322404371584703,False,1.1736,0.2469,2,2,2,100.0,13.685784144800545,15.851851851851857,4.2907268170425965,3.709273182957404,历史2/2次成功; 当前距低点3.71%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
10,76.69743446458413,76.10971466025782,603317,天味食品,confirmed_rebound,2024-08-02,10.36,2024-07-30,10.0,3.5999999999999943,8.200000000000003,31.74061433447099,True,0.2904,0.5959,2,2,2,100.0,12.299541184181786,14.347826086956525,4.400000000000006,3.5999999999999943,历史2/2次成功; 当前距低点3.60%; 最新日涨幅0.29%; 状态confirmed_rebound; 底部已确认
11,76.15979714909169,72.79632725749006,002372,伟星新材,bottom_area,2024-08-02,13.54,2024-07-30,13.32,1.6516516516516433,5.780780780780778,29.3368700265252,False,-0.951,0.4849,1,1,1,100.0,8.720930232558127,8.720930232558127,6.348348348348357,1.6516516516516433,历史1/1次成功; 当前距低点1.65%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
12,75.4863133000417,72.56632084363358,002601,龙佰集团,bottom_area,2024-08-02,16.74,2024-07-25,16.42,1.9488428745432198,6.211936662606575,29.224137931034473,False,-1.3553,0.2997,1,1,1,100.0,11.127325793506023,11.127325793506023,6.051157125456781,1.9488428745432198,历史1/1次成功; 当前距低点1.95%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
13,75.01311725559574,69.56587122190649,000786,北新建材,bottom_area,2024-08-02,24.52,2024-08-02,24.5,0.08163265306122275,1.9999999999999933,32.87671232876712,False,-2.2329,0.6838,1,1,1,100.0,11.946202531645568,11.946202531645568,7.918367346938777,0.08163265306122275,历史1/1次成功; 当前距低点0.08%; 最新日涨幅-2.23%; 状态bottom_area; 底部未确认
14,74.32392628223678,74.89649846008058,603367,辰欣药业,bottom_area,2024-08-02,13.29,2024-07-30,12.73,4.399057344854664,5.89159465828751,27.048710601719193,False,0.4535,0.7751,1,1,1,100.0,31.216931216931226,31.216931216931226,3.600942655145336,4.399057344854664,历史1/1次成功; 当前距低点4.40%; 最新日涨幅0.45%; 状态bottom_area; 底部未确认
15,74.2791536572358,71.84795396181762,000039,中集集团,confirmed_rebound,2024-08-02,7.66,2024-07-25,7.49,2.2696929238985306,9.212283044058738,30.583873957367924,True,-2.1711,0.8758,1,1,1,100.0,12.219644238205724,12.219644238205724,5.730307076101469,2.2696929238985306,历史1/1次成功; 当前距低点2.27%; 最新日涨幅-2.17%; 状态confirmed_rebound; 底部已确认
16,72.90094683137104,71.12344841801503,600997,开滦股份,bottom_area,2024-08-02,6.05,2024-07-30,5.89,2.716468590831921,5.942275042444831,30.70588235294118,False,-0.4934,0.3472,1,1,1,100.0,12.77955271565495,12.77955271565495,5.28353140916808,2.716468590831921,历史1/1次成功; 当前距低点2.72%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
17,70.96569354550374,71.14565279124973,000933,神火股份,confirmed_rebound,2024-08-02,16.13,2024-07-31,15.49,4.131697869593278,9.748224661071658,28.48568790397045,True,-1.5863,0.8356,2,2,2,100.0,14.601741580227943,21.05263157894737,3.868302130406722,4.131697869593278,历史2/2次成功; 当前距低点4.13%; 最新日涨幅-1.59%; 状态confirmed_rebound; 底部已确认
