rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.39456959344153,89.98884559323686,603215,比依股份,bottom_area,2024-07-17,11.66,2024-07-09,11.5,1.3913043478260883,6.956521739130441,32.70918665886483,False,0.0,0.8996,4,4,4,100.0,25.48935218430281,36.01562499999999,8.608695652173912,1.3913043478260883,历史4/4次成功; 当前距低点1.39%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,94.18154020357588,89.01846900148949,600966,博汇纸业,bottom_area,2024-07-17,4.5,2024-07-10,4.41,2.040816326530609,8.616780045351472,28.640776699029118,True,0.0,0.5084,5,5,5,100.0,19.04048508591009,40.28436018957346,7.959183673469392,2.040816326530609,历史5/5次成功; 当前距低点2.04%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
3,90.84016721553077,86.14675857606169,603368,柳药集团,bottom_area,2024-07-17,17.07,2024-07-16,16.7,2.2155688622754552,3.413173652694613,30.705394190871377,False,1.0059,1.1247,3,3,3,100.0,31.603524634675978,42.85714285714285,7.784431137724546,2.2155688622754552,历史3/3次成功; 当前距低点2.22%; 最新日涨幅1.01%; 状态bottom_area; 底部未确认
4,90.67418622304892,85.48139141732365,601388,怡球资源,bottom_area,2024-07-17,2.14,2024-07-09,2.1,1.9047619047619064,7.619047619047604,29.292929292929294,True,-1.8349,0.7808,4,4,4,100.0,20.829293334305355,35.632183908045974,8.095238095238095,1.9047619047619064,历史4/4次成功; 当前距低点1.90%; 最新日涨幅-1.83%; 状态bottom_area; 底部已确认
5,89.58388764558732,86.29990881458967,600094,大名城,bottom_area,2024-07-17,3.39,2024-07-09,3.29,3.0395136778115526,9.726443768996955,30.000000000000004,True,0.0,1.04,2,2,2,100.0,51.71595225176342,87.28070175438596,6.960486322188447,3.0395136778115526,历史2/2次成功; 当前距低点3.04%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
6,89.50351622532901,83.03825094494407,603209,兴通股份,bottom_area,2024-07-17,12.33,2024-07-17,12.2,1.0655737704918098,2.8688524590164053,27.077106993424994,False,-1.1227,0.7387,3,3,3,100.0,23.267522267018258,26.115859449192786,8.93442622950819,1.0655737704918098,历史3/3次成功; 当前距低点1.07%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
7,87.92171530932912,84.284000580542,300480,光力科技,bottom_area,2024-07-17,13.67,2024-07-09,13.3,2.781954887218039,7.4436090225563785,28.108108108108105,True,-2.7046,1.6442,5,5,5,100.0,25.144396362360865,39.69465648854962,7.2180451127819625,2.781954887218039,历史5/5次成功; 当前距低点2.78%; 最新日涨幅-2.70%; 状态bottom_area; 底部已确认
8,87.86191771362094,81.32547746849,000065,北方国际,bottom_area,2024-07-17,9.63,2024-07-09,9.54,0.9433962264151114,4.088050314465415,28.000000000000007,False,0.2081,0.5778,3,3,3,100.0,29.926993896325044,41.48061104582843,9.05660377358489,0.9433962264151114,历史3/3次成功; 当前距低点0.94%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
9,87.52990084667819,82.26295772871546,601886,江河集团,bottom_area,2024-07-17,4.67,2024-07-09,4.59,1.7429193899782152,5.228758169934646,27.488151658767773,False,-0.6383,0.5835,3,3,3,100.0,27.40222547239673,33.5540838852097,8.257080610021786,1.7429193899782152,历史3/3次成功; 当前距低点1.74%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
10,87.52695582559781,83.78911568769492,002838,道恩股份,bottom_area,2024-07-17,8.72,2024-07-09,8.49,2.7090694935217954,9.422850412249693,32.511923688394276,True,-1.2458,0.4163,5,5,5,100.0,21.59029103722908,38.59649122807017,7.290930506478205,2.7090694935217954,历史5/5次成功; 当前距低点2.71%; 最新日涨幅-1.25%; 状态bottom_area; 底部已确认
11,86.84080139225797,79.53470628044927,603113,金能科技,bottom_area,2024-07-17,5.16,2024-07-17,5.14,0.3891050583657678,2.1400778210116793,29.005524861878463,False,-1.3384,0.7784,5,5,5,100.0,19.31110652431836,31.03448275862069,9.610894941634232,0.3891050583657678,历史5/5次成功; 当前距低点0.39%; 最新日涨幅-1.34%; 状态bottom_area; 底部未确认
