rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.63664239186497,87.97037520504657,688315,诺禾致源,bottom_area,2024-01-29,17.34,2024-01-24,17.14,1.1668611435239165,7.4679113185530985,27.24957555178268,True,-2.0339,1.2868,3,3,3,100.0,41.83235813054352,86.2826357231662,8.833138856476085,1.1668611435239165,历史3/3次成功; 当前距低点1.17%; 最新日涨幅-2.03%; 状态bottom_area; 底部已确认
2,91.08924675181716,85.72506449807615,002600,领益智造,bottom_area,2024-01-29,5.05,2024-01-22,4.96,1.8145161290322551,9.677419354838717,27.272727272727277,True,-2.5097,0.6657,4,4,4,100.0,21.03312511972955,38.381201044386415,8.185483870967746,1.8145161290322551,历史4/4次成功; 当前距低点1.81%; 最新日涨幅-2.51%; 状态bottom_area; 底部已确认
3,87.80405528428874,82.79898650370599,002536,飞龙股份,bottom_area,2024-01-29,11.15,2024-01-24,10.94,1.9195612431444318,8.135283363802564,27.212242182302067,True,-3.6301,2.2411,3,3,3,100.0,33.47089321545858,55.505617977528075,8.080438756855568,1.9195612431444318,历史3/3次成功; 当前距低点1.92%; 最新日涨幅-3.63%; 状态bottom_area; 底部已确认
4,86.90254042369311,79.20406467240807,688037,芯源微,bottom_area,2024-01-29,97.43,2024-01-29,97.3,0.1336073997944601,6.351490236382331,29.68637086284145,False,-3.2665,2.1167,5,5,5,100.0,24.616610451287148,34.08866995073892,9.866392600205542,0.1336073997944601,历史5/5次成功; 当前距低点0.13%; 最新日涨幅-3.27%; 状态bottom_area; 底部未确认
5,86.48944325149786,81.65497233854835,300607,拓斯达,bottom_area,2024-01-29,11.84,2024-01-24,11.61,1.9810508182601243,8.699397071490093,30.520646319569128,True,-3.3469,1.9159,3,3,3,100.0,28.074022603125986,45.9265890778872,8.018949181739876,1.9810508182601243,历史3/3次成功; 当前距低点1.98%; 最新日涨幅-3.35%; 状态bottom_area; 底部已确认
6,86.38880743859704,80.68552834137071,688176,亚虹医药,bottom_area,2024-01-29,7.88,2024-01-24,7.77,1.4157014157014198,8.751608751608748,28.84615384615385,True,-2.9557,2.3226,2,2,2,100.0,22.38348155467721,25.473484848484844,8.58429858429858,1.4157014157014198,历史2/2次成功; 当前距低点1.42%; 最新日涨幅-2.96%; 状态bottom_area; 底部已确认
7,85.41909937449324,78.21507894531912,300604,长川科技,bottom_area,2024-01-29,26.6,2024-01-29,26.5,0.3773584905660431,7.471698113207549,31.701030927835046,False,-4.5911,3.222,4,4,4,100.0,22.28739948284786,36.28082648300379,9.622641509433958,0.3773584905660431,历史4/4次成功; 当前距低点0.38%; 最新日涨幅-4.59%; 状态bottom_area; 底部未确认
8,84.75187896135213,77.2534337804268,603305,旭升集团,bottom_area,2024-01-29,14.3,2024-01-29,14.28,0.14005602240897305,3.7815126050420234,29.09632571996028,False,-1.9877,0.9959,3,3,3,100.0,20.660008126447625,32.41061130334487,9.859943977591028,0.14005602240897305,历史3/3次成功; 当前距低点0.14%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
9,84.1974112813662,78.45100042240057,300593,新雷能,bottom_area,2024-01-29,10.99,2024-01-24,10.85,1.2903225806451666,7.834101382488476,31.11111111111111,True,-2.3111,1.6269,1,1,1,100.0,25.499655410062033,25.499655410062033,8.709677419354833,1.2903225806451666,历史1/1次成功; 当前距低点1.29%; 最新日涨幅-2.31%; 状态bottom_area; 底部已确认
10,82.69147633585628,78.42902910204927,002843,泰嘉股份,bottom_area,2024-01-29,19.32,2024-01-29,18.9,2.222222222222231,9.947089947089962,29.080675422138842,False,-6.5312,2.2584,3,3,3,100.0,22.880084778042797,31.56626506024095,7.77777777777777,2.222222222222231,历史3/3次成功; 当前距低点2.22%; 最新日涨幅-6.53%; 状态bottom_area; 底部未确认
11,82.68182442566237,76.1667358622394,300354,东华测试,bottom_area,2024-01-29,36.3,2024-01-29,36.05,0.6934812760055479,4.299583911234409,29.768166764075595,False,-2.5503,2.0173,2,2,2,100.0,38.26813533081753,39.34343434343434,9.306518723994452,0.6934812760055479,历史2/2次成功; 当前距低点0.69%; 最新日涨幅-2.55%; 状态bottom_area; 底部未确认
12,82.27651194997026,79.64192328882255,600418,江淮汽车,bottom_area,2024-01-29,13.18,2024-01-23,12.76,3.2915360501567394,8.620689655172411,30.0438596491228,True,-3.2305,1.7979,4,4,4,100.0,16.648524103117875,24.365079365079367,6.70846394984326,3.2915360501567394,历史4/4次成功; 当前距低点3.29%; 最新日涨幅-3.23%; 状态bottom_area; 底部已确认
13,82.01420233588965,76.33311779121215,688320,禾川科技,bottom_area,2024-01-29,29.56,2024-01-24,29.2,1.2328767123287652,8.184931506849317,29.074568860820992,True,-3.4933,1.6165,3,4,3,75.0,27.79073492108457,38.29133374308544,8.767123287671236,1.2328767123287652,历史3/4次成功; 当前距低点1.23%; 最新日涨幅-3.49%; 状态bottom_area; 底部已确认
14,81.91852884615382,78.20384615384614,002426,胜利精密,bottom_area,2024-01-29,2.0,2024-01-23,1.95,2.5641025641025665,8.717948717948726,29.090909090909093,True,-3.3816,0.8833,1,1,1,100.0,51.31578947368419,51.31578947368419,7.435897435897434,2.5641025641025665,历史1/1次成功; 当前距低点2.56%; 最新日涨幅-3.38%; 状态bottom_area; 底部已确认
15,81.6183193292834,77.4625054549865,603087,甘李药业,bottom_area,2024-01-29,39.87,2024-01-24,38.99,2.25698897153115,8.104642215952799,27.79629629629629,True,-1.5312,1.6811,2,2,2,100.0,15.367958656330744,17.002583979328158,7.7430110284688505,2.25698897153115,历史2/2次成功; 当前距低点2.26%; 最新日涨幅-1.53%; 状态bottom_area; 底部已确认
16,81.35199260137418,75.06013698630134,300580,贝斯特,bottom_area,2024-01-29,22.07,2024-01-25,21.9,0.7762557077625649,7.8082191780821955,32.177144626819455,False,-0.809,1.7835,1,1,1,100.0,53.89266817838245,53.89266817838245,9.223744292237436,0.7762557077625649,历史1/1次成功; 当前距低点0.78%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
17,80.82692193697731,74.29892399095151,688095,福昕软件,bottom_area,2024-01-29,51.9,2024-01-29,51.6,0.5813953488372038,6.511627906976742,27.892677473448856,False,-3.8711,2.277,3,3,3,100.0,20.400566593012503,31.679509356817103,9.418604651162797,0.5813953488372038,历史3/3次成功; 当前距低点0.58%; 最新日涨幅-3.87%; 状态bottom_area; 底部未确认
18,80.80485845485215,77.03572839599244,002185,华天科技,bottom_area,2024-01-29,6.99,2024-01-24,6.82,2.4926686217008784,7.038123167155417,27.292110874200432,True,-2.6462,0.455,2,2,2,100.0,15.962434696077615,19.40874035989716,7.507331378299122,2.4926686217008784,历史2/2次成功; 当前距低点2.49%; 最新日涨幅-2.65%; 状态bottom_area; 底部已确认
19,80.15023098250002,76.3469193739801,300507,苏奥传感,bottom_area,2024-01-29,5.44,2024-01-24,5.31,2.448210922787209,8.0979284369115,28.532974427994617,True,-3.5461,1.5133,2,2,2,100.0,21.92924880610189,33.6283185840708,7.551789077212792,2.448210922787209,历史2/2次成功; 当前距低点2.45%; 最新日涨幅-3.55%; 状态bottom_area; 底部已确认
20,79.94208643821327,75.34771365440791,002609,捷顺科技,bottom_area,2024-01-29,8.61,2024-01-24,8.45,1.8934911242603567,7.928994082840236,31.90975020145045,True,-3.9063,1.9139,1,1,1,100.0,26.42405063291139,26.42405063291139,8.106508875739642,1.8934911242603567,历史1/1次成功; 当前距低点1.89%; 最新日涨幅-3.91%; 状态bottom_area; 底部已确认
21,79.88261187411196,74.45636394801151,603226,菲林格尔,bottom_area,2024-01-29,5.42,2024-01-24,5.35,1.3084112149532765,7.850467289719626,29.419525065963064,True,-3.9007,1.2073,3,4,3,75.0,18.62656730163969,20.479302832244016,8.691588785046724,1.3084112149532765,历史3/4次成功; 当前距低点1.31%; 最新日涨幅-3.90%; 状态bottom_area; 底部已确认
22,79.87177162275256,75.94673673317942,002213,大为股份,bottom_area,2024-01-29,11.3,2024-01-24,11.04,2.3550724637681304,8.33333333333335,27.98434442270059,True,-4.0747,1.2447,2,2,2,100.0,18.636031992315928,20.248254460822338,7.64492753623187,2.3550724637681304,历史2/2次成功; 当前距低点2.36%; 最新日涨幅-4.07%; 状态bottom_area; 底部已确认
23,79.68244990087712,74.57302383034241,000516,国际医学,bottom_area,2024-01-29,6.67,2024-01-29,6.57,1.5220700152206947,6.088280060882792,30.623020063357977,False,-3.7518,1.5876,1,1,1,100.0,26.89969604863221,26.89969604863221,8.477929984779307,1.5220700152206947,历史1/1次成功; 当前距低点1.52%; 最新日涨幅-3.75%; 状态bottom_area; 底部未确认
24,79.64346563345866,72.4031505758715,603160,汇顶科技,bottom_area,2024-01-29,54.8,2024-01-29,54.8,0.0,5.43795620437957,31.500000000000007,False,-4.4797,0.7667,3,3,3,100.0,15.339519225115597,20.747474747474755,10.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-4.48%; 状态bottom_area; 底部未确认
25,79.63827676952852,73.0004398025969,300421,力星股份,bottom_area,2024-01-29,9.26,2024-01-29,9.22,0.43383947939261547,5.639913232104116,29.618320610687014,False,-4.3388,3.7863,2,2,2,100.0,28.27738610544126,43.59974009096816,9.566160520607385,0.43383947939261547,历史2/2次成功; 当前距低点0.43%; 最新日涨幅-4.34%; 状态bottom_area; 底部未确认
26,79.05282595628415,71.86620541480377,688017,绿的谐波,bottom_area,2024-01-29,108.99,2024-01-29,108.99,0.0,4.110468850353247,29.456310679611654,False,-2.5831,0.9937,2,2,2,100.0,18.90433018711707,22.08643815201191,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-2.58%; 状态bottom_area; 底部未确认
27,78.00691079227067,71.25978206046926,001217,华尔泰,bottom_area,2024-01-29,11.85,2024-01-29,11.82,0.25380710659897937,9.983079526226732,30.593071051086323,False,-9.6799,21.8772,2,2,2,100.0,16.712162707069524,22.206095791001456,9.746192893401021,0.25380710659897937,历史2/2次成功; 当前距低点0.25%; 最新日涨幅-9.68%; 状态bottom_area; 底部未确认
28,77.99929150689758,75.56652309942326,002806,华锋股份,confirmed_rebound,2024-01-29,10.53,2024-01-24,10.19,3.336604514229636,10.402355250245344,27.266238401142047,True,-4.0984,2.6962,3,3,3,100.0,22.17194296702598,34.66407010710809,6.663395485770366,3.336604514229636,历史3/3次成功; 当前距低点3.34%; 最新日涨幅-4.10%; 状态confirmed_rebound; 底部已确认
29,77.99377302439221,74.09299477030831,002020,京新药业,bottom_area,2024-01-29,10.2,2024-01-24,9.97,2.306920762286847,8.525576730190568,29.887482419127988,True,-2.5788,2.5209,1,1,1,100.0,14.531043593130773,14.531043593130773,7.693079237713153,2.306920762286847,历史1/1次成功; 当前距低点2.31%; 最新日涨幅-2.58%; 状态bottom_area; 底部已确认
30,77.70314296108474,71.55827786963637,002050,三花智控,bottom_area,2024-01-29,20.81,2024-01-29,20.67,0.677310111272361,2.9511369134010614,29.8132427843803,False,-2.3921,0.9556,2,2,2,100.0,13.293252276007243,13.890426120641935,9.32268988872764,0.677310111272361,历史2/2次成功; 当前距低点0.68%; 最新日涨幅-2.39%; 状态bottom_area; 底部未确认
31,77.4688909215608,70.42626447414618,300661,圣邦股份,bottom_area,2024-01-29,62.1,2024-01-29,62.1,0.0,5.990338164251194,30.614525139664806,False,-4.2406,0.737,2,2,2,100.0,21.377765990033247,31.832606108687024,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-4.24%; 状态bottom_area; 底部未确认
32,77.33679000701005,70.3061727336455,688234,天岳先进,bottom_area,2024-01-29,52.39,2024-01-29,52.39,0.0,5.058217217026147,31.694915254237287,False,-1.0015,0.9887,2,2,2,100.0,10.517057707771569,10.647803425167522,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
33,77.23706963851508,75.01780276876535,002304,洋河股份,bottom_area,2024-01-29,95.73,2024-01-24,92.52,3.4695201037613574,5.544747081712073,27.53759398496241,False,0.9491,0.5739,1,1,1,100.0,20.474777448071226,20.474777448071226,6.530479896238643,3.4695201037613574,历史1/1次成功; 当前距低点3.47%; 最新日涨幅0.95%; 状态bottom_area; 底部未确认
34,77.13258696440228,72.87415384615387,300650,太龙股份,bottom_area,2024-01-29,10.61,2024-01-24,10.4,2.0192307692307603,8.557692307692296,28.718300205620285,True,-4.0687,2.9808,1,1,1,100.0,14.666666666666664,14.666666666666664,7.98076923076924,2.0192307692307603,历史1/1次成功; 当前距低点2.02%; 最新日涨幅-4.07%; 状态bottom_area; 底部已确认
35,76.99572099059405,69.99610999144913,300682,朗新科技,bottom_area,2024-01-29,11.8,2024-01-29,11.8,0.0,5.0847457627118615,28.700906344410875,False,-3.437,1.1255,2,2,2,100.0,19.0651074809093,21.503593145384194,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-3.44%; 状态bottom_area; 底部未确认
36,76.96015796404706,73.53808849923136,605158,华达新材,bottom_area,2024-01-29,7.07,2024-01-24,6.89,2.6124818577648856,8.708272859216263,28.15432742440042,True,-3.2832,1.3329,1,1,1,100.0,25.5083179297597,25.5083179297597,7.387518142235115,2.6124818577648856,历史1/1次成功; 当前距低点2.61%; 最新日涨幅-3.28%; 状态bottom_area; 底部已确认
37,76.8960125974645,74.06523739326221,300676,华大基因,bottom_area,2024-01-29,40.45,2024-01-23,39.26,3.0310748853795335,9.322465613856352,29.363080244692334,True,-2.5066,0.5283,1,1,1,100.0,23.258538343696497,23.258538343696497,6.9689251146204665,3.0310748853795335,历史1/1次成功; 当前距低点3.03%; 最新日涨幅-2.51%; 状态bottom_area; 底部已确认
38,76.57652332026187,73.4404693699478,300633,开立医疗,bottom_area,2024-01-29,37.75,2024-01-24,36.72,2.8050108932461906,8.06100217864924,29.78967495219885,True,-1.3845,0.4995,1,1,1,100.0,17.12846347607052,17.12846347607052,7.19498910675381,2.8050108932461906,历史1/1次成功; 当前距低点2.81%; 最新日涨幅-1.38%; 状态bottom_area; 底部已确认
39,76.01349747481053,73.84920397225726,002329,皇氏集团,bottom_area,2024-01-29,5.05,2024-01-23,4.88,3.4836065573770476,9.01639344262296,27.38095238095238,True,-2.6975,2.0062,1,1,1,100.0,27.644230769230756,27.644230769230756,6.516393442622953,3.4836065573770476,历史1/1次成功; 当前距低点3.48%; 最新日涨幅-2.70%; 状态bottom_area; 底部已确认
40,75.96332665449854,74.58139006953891,688136,科兴制药,confirmed_rebound,2024-01-29,17.27,2024-01-24,16.6,4.036144578313242,10.481927710843362,27.25679228746713,True,-3.1951,1.0593,2,2,2,100.0,42.117202731683314,60.65012831479899,5.963855421686759,4.036144578313242,历史2/2次成功; 当前距低点4.04%; 最新日涨幅-3.20%; 状态confirmed_rebound; 底部已确认
41,75.6391109411831,74.48708609271526,002337,赛象科技,bottom_area,2024-01-29,4.72,2024-01-24,4.53,4.194260485651203,9.49227373068432,29.439252336448597,True,-3.2787,2.311,1,1,1,100.0,60.465116279069754,60.465116279069754,5.805739514348797,4.194260485651203,历史1/1次成功; 当前距低点4.19%; 最新日涨幅-3.28%; 状态bottom_area; 底部已确认
42,75.47663737280297,68.61512488436632,002399,海普瑞,bottom_area,2024-01-29,8.8,2024-01-24,8.8,0.0,6.7045454545454515,32.15111796453354,False,-3.2967,0.6262,1,1,1,100.0,28.307123034227555,28.307123034227555,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.30%; 状态bottom_area; 底部未确认
43,75.25524468199735,75.25524468199734,002370,亚太药业,confirmed_rebound,2024-01-29,3.78,2024-01-23,3.6,4.999999999999992,10.27777777777778,30.367504835589937,True,-2.8278,1.7933,4,4,4,100.0,14.006691838695174,15.633423180592995,5.000000000000009,4.999999999999992,历史4/4次成功; 当前距低点5.00%; 最新日涨幅-2.83%; 状态confirmed_rebound; 底部已确认
44,74.80352060433042,73.24450110294248,300639,凯普生物,bottom_area,2024-01-29,7.47,2024-01-24,7.19,3.894297635604998,9.596662030598045,28.670634920634917,True,-2.7344,0.8778,2,2,2,100.0,12.760751140440224,15.373134328358212,6.105702364395003,3.894297635604998,历史2/2次成功; 当前距低点3.89%; 最新日涨幅-2.73%; 状态bottom_area; 底部已确认
45,74.71280852422942,72.95486008836522,002164,宁波东力,confirmed_rebound,2024-01-29,4.98,2024-01-23,4.8,3.750000000000013,10.833333333333343,28.143712574850298,True,-3.675,2.9007,2,2,2,100.0,29.86483918475938,45.468509984639034,6.249999999999988,3.750000000000013,历史2/2次成功; 当前距低点3.75%; 最新日涨幅-3.67%; 状态confirmed_rebound; 底部已确认
46,74.61044371231131,73.17495418053994,603289,泰瑞机器,confirmed_rebound,2024-01-29,8.36,2024-01-23,8.04,3.9800995024875663,10.447761194029873,30.32928942807626,True,-3.908,1.4824,2,2,2,100.0,33.86871530221285,40.702947845804985,6.019900497512435,3.9800995024875663,历史2/2次成功; 当前距低点3.98%; 最新日涨幅-3.91%; 状态confirmed_rebound; 底部已确认
47,74.47633749779871,73.2856552275119,688196,卓越新能,bottom_area,2024-01-29,30.59,2024-01-24,29.37,4.153898535921003,7.933265236636017,31.31431244153414,True,-2.7345,0.3803,2,2,2,100.0,16.16421445920315,19.41979522184301,5.846101464078997,4.153898535921003,历史2/2次成功; 当前距低点4.15%; 最新日涨幅-2.73%; 状态bottom_area; 底部已确认
48,74.40687075148297,73.29444586925679,000837,秦川机床,bottom_area,2024-01-29,8.17,2024-01-24,7.84,4.209183673469389,9.056122448979604,28.073394495412845,True,-2.6222,1.6591,2,2,2,100.0,16.889164756811816,21.915584415584412,5.790816326530612,4.209183673469389,历史2/2次成功; 当前距低点4.21%; 最新日涨幅-2.62%; 状态bottom_area; 底部已确认
49,74.25772667550667,71.25989654499317,301510,固高科技,confirmed_rebound,2024-01-29,29.0,2024-01-24,28.2,2.8368794326241162,10.212765957446805,28.061224489795926,True,-1.6949,5.1446,1,1,1,100.0,16.010654039656714,16.010654039656714,7.163120567375884,2.8368794326241162,历史1/1次成功; 当前距低点2.84%; 最新日涨幅-1.69%; 状态confirmed_rebound; 底部已确认
50,74.18045555555557,67.43677777777778,603217,元利科技,confirmed_rebound,2024-01-29,15.78,2024-01-29,15.78,0.0,10.89987325728771,31.450912250217204,False,-9.9829,4.4502,2,2,2,100.0,15.520310633213857,19.81481481481482,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.98%; 状态confirmed_rebound; 底部未确认
51,74.01772797746939,71.82725151289185,688183,生益电子,bottom_area,2024-01-29,8.46,2024-01-24,8.18,3.422982885085588,9.902200488997561,28.62129144851659,True,-3.0928,0.8672,1,1,1,100.0,26.24544349939247,26.24544349939247,6.577017114914413,3.422982885085588,历史1/1次成功; 当前距低点3.42%; 最新日涨幅-3.09%; 状态bottom_area; 底部已确认
52,74.00721525659455,73.74662647047978,000723,美锦能源,bottom_area,2024-01-29,5.66,2024-01-22,5.4,4.81481481481481,9.07407407407406,28.28685258964143,True,-2.0761,0.5975,2,2,2,100.0,26.74410886159975,30.434782608695667,5.18518518518519,4.81481481481481,历史2/2次成功; 当前距低点4.81%; 最新日涨幅-2.08%; 状态bottom_area; 底部已确认
53,73.96531986718715,67.56859732824425,605180,华生科技,bottom_area,2024-01-29,11.82,2024-01-29,11.79,0.25445292620866106,8.142493638676852,30.728554641598123,False,-5.44,16.7936,1,1,1,100.0,13.541666666666663,13.541666666666663,9.74554707379134,0.25445292620866106,历史1/1次成功; 当前距低点0.25%; 最新日涨幅-5.44%; 状态bottom_area; 底部未确认
