rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.91162649966861,83.44083427591333,600178,东安动力,bottom_area,2024-01-08,12.96,2024-01-05,12.74,1.7268445839874462,7.927786499215069,27.572484366117113,False,0.856,7.0648,2,2,2,100.0,27.731397459165148,36.84210526315788,13.273155416012553,1.7268445839874462,历史2/2次成功; 当前距低点1.73%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
2,88.12639406190208,79.4336545115784,002632,道明光学,bottom_area,2024-01-08,8.48,2024-01-08,8.32,1.9230769230769247,3.1249999999999973,28.706083976006852,False,1.3142,9.3161,1,1,1,100.0,25.259515570934255,25.259515570934255,13.076923076923075,1.9230769230769247,历史1/1次成功; 当前距低点1.92%; 最新日涨幅1.31%; 状态bottom_area; 底部未确认
3,87.89993694681405,76.96789720396946,605133,嵘泰股份,bottom_area,2024-01-08,24.29,2024-01-08,24.2,0.3719008264462804,4.421487603305787,32.42111142139068,False,-4.2947,5.4957,2,2,2,100.0,48.8485542379945,60.01483679525222,14.628099173553718,0.3719008264462804,历史2/2次成功; 当前距低点0.37%; 最新日涨幅-4.29%; 状态bottom_area; 底部未确认
4,86.83064988638506,78.64541802934983,002355,兴民智通,bottom_area,2024-01-08,5.15,2024-01-08,5.04,2.182539682539689,5.55555555555556,27.27272727272727,False,0.7828,4.6734,4,5,4,80.0,17.535529599679155,21.138211382113823,12.817460317460311,2.182539682539689,历史4/5次成功; 当前距低点2.18%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
5,86.54765979985575,75.85978723404256,603013,亚普股份,bottom_area,2024-01-08,16.52,2024-01-08,16.45,0.42553191489361875,1.702127659574475,27.692307692307693,False,-1.4908,0.6403,1,1,1,100.0,53.30739299610896,53.30739299610896,14.574468085106382,0.42553191489361875,历史1/1次成功; 当前距低点0.43%; 最新日涨幅-1.49%; 状态bottom_area; 底部未确认
6,86.31046848015181,79.15572715335163,002796,世嘉科技,bottom_area,2024-01-08,10.82,2023-12-26,10.52,2.8517110266159764,9.125475285171111,28.092959671907046,True,-1.9928,1.8424,2,2,2,100.0,31.7614424410541,36.33841886269071,12.148288973384023,2.8517110266159764,历史2/2次成功; 当前距低点2.85%; 最新日涨幅-1.99%; 状态bottom_area; 底部已确认
7,85.88438415388754,74.68207317729352,000070,特发信息,bottom_area,2024-01-08,7.46,2024-01-08,7.46,0.0,2.546916890080434,28.061716489874634,False,-2.0997,0.9649,2,2,2,100.0,34.04340417899739,50.60532687651331,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-2.10%; 状态bottom_area; 底部未确认
8,85.7325,74.55000000000001,600172,黄河旋风,bottom_area,2024-01-08,3.46,2024-01-08,3.46,0.0,2.0231213872832323,29.098360655737704,False,-1.4245,1.1478,1,1,1,100.0,51.074589127686465,51.074589127686465,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
9,83.97637278729957,74.99065093022207,002195,岩山科技,bottom_area,2024-01-08,2.85,2024-01-05,2.81,1.4234875444839872,6.405693950177942,27.948717948717945,False,-1.3841,1.2717,1,1,1,100.0,17.72151898734177,17.72151898734177,13.576512455516013,1.4234875444839872,历史1/1次成功; 当前距低点1.42%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
10,82.25000809301066,71.7416242750218,002041,登海种业,bottom_area,2024-01-08,12.2,2024-01-08,12.18,0.16420361247947104,3.5303776683087005,27.88632326820604,False,-3.2514,0.6958,2,2,2,100.0,18.2043468358871,21.395106715252467,14.835796387520528,0.16420361247947104,历史2/2次成功; 当前距低点0.16%; 最新日涨幅-3.25%; 状态bottom_area; 底部未确认
11,82.21061139371533,71.7944035335005,601628,中国人寿,bottom_area,2024-01-08,26.24,2024-01-08,26.18,0.2291825821237537,3.0175706646294853,31.716223265519044,False,-2.0896,0.0697,1,1,1,100.0,25.736235595390532,25.736235595390532,14.770817417876245,0.2291825821237537,历史1/1次成功; 当前距低点0.23%; 最新日涨幅-2.09%; 状态bottom_area; 底部未确认
12,81.80344903172967,74.39652252252252,300466,赛摩智能,bottom_area,2024-01-08,6.82,2023-12-26,6.66,2.4024024024024047,9.459459459459458,28.387096774193555,True,-1.3025,1.825,1,1,1,100.0,17.33333333333334,17.33333333333334,12.597597597597595,2.4024024024024047,历史1/1次成功; 当前距低点2.40%; 最新日涨幅-1.30%; 状态bottom_area; 底部已确认
